Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:27:23:992,0.000000,0.000000,1,-120.81,-120.81,0,0,
09/21/2026,11:27:24:062,0.000000,0.000000,2,-122.35,-122.35,0,0,
09/21/2026,11:27:24:118,0.000000,0.000000,3,-116.85,-116.85,0,0,
09/21/2026,11:27:24:179,0.000000,0.000000,1,-121.62,-121.62,0,0,
09/21/2026,11:27:24:206,0.000000,0.000000,4,-66.5,-66.5,0,0,
09/21/2026,11:27:24:265,0.000000,0.000000,2,-121.76,-121.76,0,0,
09/21/2026,11:27:24:392,0.000000,0.000000,3,-118.56,-118.56,0,0,
09/21/2026,11:27:24:482,0.000000,0.000000,1,-124.68,-124.68,0,0,
09/21/2026,11:27:24:501,0.000000,0.000000,4,-68.19,-68.19,0,0,
09/21/2026,11:27:24:535,0.000000,0.000000,2,-121.76,-121.76,0,0,
09/21/2026,11:27:24:651,0.000000,0.000000,3,-120.67,-120.67,0,0,
09/21/2026,11:27:24:770,0.000000,0.000000,1,-124.95,-124.95,0,0,
09/21/2026,11:27:24:774,0.000000,0.000000,4,-67.52,-67.52,0,0,
09/21/2026,11:27:24:840,0.000000,0.000000,2,-123.03,-123.03,0,0,
09/21/2026,11:27:24:980,0.000000,0.000000,3,-118.52,-118.52,0,0,
09/21/2026,11:27:25:070,0.000000,0.000000,1,-121.48,-121.48,0,0,
09/21/2026,11:27:25:073,0.000000,0.000000,4,-74.28,-74.28,0,0,
09/21/2026,11:27:25:087,0.000000,0.000000,2,-124.29,-124.29,0,0,
09/21/2026,11:27:25:208,0.000000,0.000000,3,-119.09,-119.09,0,0,
09/21/2026,11:27:25:297,0.000000,0.000000,1,-122.52,-122.52,0,0,
09/21/2026,11:27:25:312,0.000000,0.000000,4,-67.96,-67.96,0,0,
09/21/2026,11:27:25:368,0.000000,0.000000,2,-121.62,-121.62,0,0,
09/21/2026,11:27:25:491,0.000000,0.000000,3,-119.38,-119.38,0,0,
09/21/2026,11:27:25:576,0.000000,0.000000,1,-121.36,-121.36,0,0,
09/21/2026,11:27:25:592,0.000000,0.000000,4,-68.2,-68.2,0,0,
09/21/2026,11:27:25:642,0.000000,0.000000,2,-122.48,-122.48,0,0,
09/21/2026,11:27:25:776,0.000000,0.000000,3,-118.95,-118.95,0,0,
09/21/2026,11:27:25:853,0.000000,0.000000,1,-124.85,-124.85,0,0,
09/21/2026,11:27:25:876,0.000000,0.000000,4,-68.45,-68.45,0,0,
09/21/2026,11:27:25:925,0.000000,0.000000,2,-122.85,-122.85,0,0,
09/21/2026,11:27:26:047,0.000000,0.000000,3,-120.56,-120.56,0,0,
09/21/2026,11:27:26:141,0.000000,0.000000,1,-122.37,-122.37,0,0,
09/21/2026,11:27:26:154,0.000000,0.000000,4,-72,-72,0,0,
09/21/2026,11:27:26:235,0.000000,0.000000,2,-122.73,-122.73,0,0,
09/21/2026,11:27:26:340,0.000000,0.000000,3,-118.36,-118.36,0,0,
09/21/2026,11:27:26:412,0.000000,0.000000,1,-121.71,-121.71,0,0,
09/21/2026,11:27:26:440,0.000000,0.000000,4,-68.45,-68.45,0,0,
09/21/2026,11:27:26:507,0.000000,0.000000,2,-122.25,-122.25,0,0,
09/21/2026,11:27:26:609,0.000000,0.000000,3,-120.61,-120.61,0,0,
09/21/2026,11:27:26:690,0.000000,0.000000,1,-119.42,-119.42,0,0,
09/21/2026,11:27:26:709,0.000000,0.000000,4,-62.63,-62.63,0,0,
09/21/2026,11:27:26:759,0.000000,0.000000,2,-123.92,-123.92,0,0,
09/21/2026,11:27:26:891,0.000000,0.000000,3,-119.87,-119.87,0,0,
09/21/2026,11:27:27:017,0.000000,0.000000,1,-123.29,-123.29,0,0,
09/21/2026,11:27:27:027,0.000000,0.000000,4,-71.13,-71.13,0,0,
09/21/2026,11:27:27:067,0.000000,0.000000,2,-122.97,-122.97,0,0,
09/21/2026,11:27:27:187,0.000000,0.000000,3,-122.88,-122.88,0,0,
09/21/2026,11:27:27:249,0.000000,0.000000,1,-119.53,-119.53,0,0,
09/21/2026,11:27:27:282,0.000000,0.000000,4,-67.89,-67.89,0,0,
09/21/2026,11:27:27:315,0.000000,0.000000,2,-122.58,-122.58,0,0,
09/21/2026,11:27:27:461,0.000000,0.000000,3,-119.47,-119.47,0,0,
09/21/2026,11:27:27:553,0.000000,0.000000,1,-121.11,-121.11,0,0,
09/21/2026,11:27:27:569,0.000000,0.000000,4,-66.59,-66.59,0,0,
