Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:58:05:279,0.000000,0.000000,1,-123.55,-123.55,0,0,
08/27/2026,08:58:05:354,0.000000,0.000000,2,-124.25,-124.25,0,0,
08/27/2026,08:58:05:392,0.000000,0.000000,3,-125.52,-125.52,0,0,
08/27/2026,08:58:05:448,0.000000,0.000000,4,-87.77,-87.77,0,0,
08/27/2026,08:58:05:470,0.000000,0.000000,1,-121.44,-121.44,0,0,
08/27/2026,08:58:05:584,0.000000,0.000000,2,-121.79,-121.79,0,0,
08/27/2026,08:58:05:668,0.000000,0.000000,3,-124.51,-124.51,0,0,
08/27/2026,08:58:05:759,0.000000,0.000000,4,-81.51,-81.51,0,0,
08/27/2026,08:58:05:766,0.000000,0.000000,1,-124.66,-124.66,0,0,
08/27/2026,08:58:05:888,0.000000,0.000000,2,-122.98,-122.98,0,0,
08/27/2026,08:58:05:971,0.000000,0.000000,3,-125.07,-125.07,0,0,
08/27/2026,08:58:06:001,0.000000,0.000000,4,-76.38,-76.38,0,0,
08/27/2026,08:58:06:025,0.000000,0.000000,1,-122.82,-122.82,0,0,
08/27/2026,08:58:06:143,0.000000,0.000000,2,-125.43,-125.43,0,0,
08/27/2026,08:58:06:214,0.000000,0.000000,3,-124.55,-124.55,0,0,
08/27/2026,08:58:06:285,0.000000,0.000000,4,-75.6,-75.6,0,0,
08/27/2026,08:58:06:314,0.000000,0.000000,1,-125.26,-125.26,0,0,
08/27/2026,08:58:06:421,0.000000,0.000000,2,-122.69,-122.69,0,0,
08/27/2026,08:58:06:496,0.000000,0.000000,3,-124.63,-124.63,0,0,
08/27/2026,08:58:06:558,0.000000,0.000000,4,-78.72,-78.72,0,0,
08/27/2026,08:58:06:581,0.000000,0.000000,1,-124.96,-124.96,0,0,
08/27/2026,08:58:06:697,0.000000,0.000000,2,-124.96,-124.96,0,0,
08/27/2026,08:58:06:768,0.000000,0.000000,3,-122.16,-122.16,0,0,
08/27/2026,08:58:06:850,0.000000,0.000000,4,-67.04,-67.04,0,0,
08/27/2026,08:58:06:854,0.000000,0.000000,1,-121.92,-121.92,0,0,
08/27/2026,08:58:06:984,0.000000,0.000000,2,-124.29,-124.29,0,0,
08/27/2026,08:58:07:046,0.000000,0.000000,3,-125.47,-125.47,0,0,
08/27/2026,08:58:07:118,0.000000,0.000000,4,-70.3,-70.3,0,0,
08/27/2026,08:58:07:142,0.000000,0.000000,1,-123.42,-123.42,0,0,
08/27/2026,08:58:07:265,0.000000,0.000000,2,-122.55,-122.55,0,0,
08/27/2026,08:58:07:331,0.000000,0.000000,3,-125.95,-125.95,0,0,
08/27/2026,08:58:07:416,0.000000,0.000000,4,-66.79,-66.79,0,0,
08/27/2026,08:58:07:424,0.000000,0.000000,1,-123.61,-123.61,0,0,
08/27/2026,08:58:07:544,0.000000,0.000000,2,-123.46,-123.46,0,0,
08/27/2026,08:58:07:620,0.000000,0.000000,3,-127.39,-127.39,0,0,
08/27/2026,08:58:07:678,0.000000,0.000000,4,-79.46,-79.46,0,0,
08/27/2026,08:58:07:718,0.000000,0.000000,1,-122.09,-122.09,0,0,
08/27/2026,08:58:07:813,0.000000,0.000000,2,-123.26,-123.26,0,0,
08/27/2026,08:58:07:891,0.000000,0.000000,3,-122.09,-122.09,0,0,
08/27/2026,08:58:07:969,0.000000,0.000000,4,-71.36,-71.36,0,0,
08/27/2026,08:58:07:977,0.000000,0.000000,1,-125.12,-125.12,0,0,
08/27/2026,08:58:08:097,0.000000,0.000000,2,-122.35,-122.35,0,0,
08/27/2026,08:58:08:185,0.000000,0.000000,3,-123.23,-123.23,0,0,
08/27/2026,08:58:08:240,0.000000,0.000000,4,-78.66,-78.66,0,0,
08/27/2026,08:58:08:252,0.000000,0.000000,1,-123.39,-123.39,0,0,
08/27/2026,08:58:08:375,0.000000,0.000000,2,-124.88,-124.88,0,0,
08/27/2026,08:58:08:443,0.000000,0.000000,3,-123.14,-123.14,0,0,
08/27/2026,08:58:08:516,0.000000,0.000000,4,-74.64,-74.64,0,0,
08/27/2026,08:58:08:532,0.000000,0.000000,1,-123.18,-123.18,0,0,
08/27/2026,08:58:08:649,0.000000,0.000000,2,-122.99,-122.99,0,0,
08/27/2026,08:58:08:720,0.000000,0.000000,3,-123.58,-123.58,0,0,
08/27/2026,08:58:08:806,0.000000,0.000000,4,-77.35,-77.35,0,0,
08/27/2026,08:58:08:810,0.000000,0.000000,1,-122.99,-122.99,0,0,
08/27/2026,08:58:08:939,0.000000,0.000000,2,-122.73,-122.73,0,0,
08/27/2026,08:58:09:008,0.000000,0.000000,3,-125,-125,0,0,
08/27/2026,08:58:09:074,0.000000,0.000000,4,-71.7,-71.7,0,0,
08/27/2026,08:58:09:086,0.000000,0.000000,1,-124.04,-124.04,0,0,
08/27/2026,08:58:09:219,0.000000,0.000000,2,-122.48,-122.48,0,0,
08/27/2026,08:58:09:278,0.000000,0.000000,3,-124.32,-124.32,0,0,
08/27/2026,08:58:09:360,0.000000,0.000000,4,-73.59,-73.59,0,0,
08/27/2026,08:58:09:363,0.000000,0.000000,1,-122.74,-122.74,0,0,
08/27/2026,08:58:09:512,0.000000,0.000000,2,-122.37,-122.37,0,0,
08/27/2026,08:58:09:565,0.000000,0.000000,3,-124.22,-124.22,0,0,
08/27/2026,08:58:09:653,0.000000,0.000000,4,-76.83,-76.83,0,0,
08/27/2026,08:58:09:660,0.000000,0.000000,1,-125.03,-125.03,0,0,
08/27/2026,08:58:09:767,0.000000,0.000000,2,-121.68,-121.68,0,0,
08/27/2026,08:58:09:847,0.000000,0.000000,3,-123.3,-123.3,0,0,
08/27/2026,08:58:09:907,0.000000,0.000000,4,-77.83,-77.83,0,0,
08/27/2026,08:58:09:932,0.000000,0.000000,1,-122.66,-122.66,0,0,
08/27/2026,08:58:10:046,0.000000,0.000000,2,-124.06,-124.06,0,0,
08/27/2026,08:58:10:120,0.000000,0.000000,3,-123.19,-123.19,0,0,
08/27/2026,08:58:10:183,0.000000,0.000000,4,-75.81,-75.81,0,0,
08/27/2026,08:58:10:203,0.000000,0.000000,1,-123.88,-123.88,0,0,
08/27/2026,08:58:10:325,0.000000,0.000000,2,-122.76,-122.76,0,0,
08/27/2026,08:58:10:401,0.000000,0.000000,3,-123.53,-123.53,0,0,
08/27/2026,08:58:10:535,0.000000,0.000000,4,-70.87,-70.87,0,0,
08/27/2026,08:58:10:539,0.000000,0.000000,1,-125.03,-125.03,0,0,
08/27/2026,08:58:10:615,0.000000,0.000000,2,-123.78,-123.78,0,0,
08/27/2026,08:58:10:673,0.000000,0.000000,3,-123.43,-123.43,0,0,
08/27/2026,08:58:10:746,0.000000,0.000000,4,-79.1,-79.1,0,0,
08/27/2026,08:58:10:759,0.000000,0.000000,1,-122.52,-122.52,0,0,
08/27/2026,08:58:10:879,0.000000,0.000000,2,-124.67,-124.67,0,0,
08/27/2026,08:58:10:951,0.000000,0.000000,3,-123.46,-123.46,0,0,
08/27/2026,08:58:11:050,0.000000,0.000000,4,-78.75,-78.75,0,0,
08/27/2026,08:58:11:053,0.000000,0.000000,1,-123.28,-123.28,0,0,
08/27/2026,08:58:11:173,0.000000,0.000000,2,-123.94,-123.94,0,0,
08/27/2026,08:58:11:255,0.000000,0.000000,3,-124.78,-124.78,0,0,
08/27/2026,08:58:11:300,0.000000,0.000000,4,-76.99,-76.99,0,0,
08/27/2026,08:58:11:348,0.000000,0.000000,1,-124.94,-124.94,0,0,
08/27/2026,08:58:11:437,0.000000,0.000000,2,-124.51,-124.51,0,0,
08/27/2026,08:58:11:510,0.000000,0.000000,3,-122.32,-122.32,0,0,
08/27/2026,08:58:11:581,0.000000,0.000000,4,-68.47,-68.47,0,0,
08/27/2026,08:58:11:604,0.000000,0.000000,1,-123.13,-123.13,0,0,
08/27/2026,08:58:11:721,0.000000,0.000000,2,-122.92,-122.92,0,0,
08/27/2026,08:58:11:802,0.000000,0.000000,3,-123.67,-123.67,0,0,
08/27/2026,08:58:11:858,0.000000,0.000000,4,-62.7,-62.7,0,0,
08/27/2026,08:58:11:878,0.000000,0.000000,1,-121.6,-121.6,0,0,
08/27/2026,08:58:11:997,0.000000,0.000000,2,-123.65,-123.65,0,0,
08/27/2026,08:58:12:073,0.000000,0.000000,3,-124.74,-124.74,0,0,
08/27/2026,08:58:12:140,0.000000,0.000000,4,-61.97,-61.97,0,0,
08/27/2026,08:58:12:153,0.000000,0.000000,1,-121.76,-121.76,0,0,
08/27/2026,08:58:12:278,0.000000,0.000000,2,-122.08,-122.08,0,0,
08/27/2026,08:58:12:346,0.000000,0.000000,3,-120.59,-120.59,0,0,
08/27/2026,08:58:12:418,0.000000,0.000000,4,-62.91,-62.91,0,0,
08/27/2026,08:58:12:432,0.000000,0.000000,1,-124.35,-124.35,0,0,
08/27/2026,08:58:12:554,0.000000,0.000000,2,-123.15,-123.15,0,0,
08/27/2026,08:58:12:622,0.000000,0.000000,3,-123.48,-123.48,0,0,
08/27/2026,08:58:12:705,0.000000,0.000000,4,-70.6,-70.6,0,0,
08/27/2026,08:58:12:714,0.000000,0.000000,1,-125.8,-125.8,0,0,
08/27/2026,08:58:12:832,0.000000,0.000000,2,-123.25,-123.25,0,0,
08/27/2026,08:58:12:933,0.000000,0.000000,3,-124.22,-124.22,0,0,
08/27/2026,08:58:12:994,0.000000,0.000000,4,-67.6,-67.6,0,0,
08/27/2026,08:58:13:033,0.000000,0.000000,1,-123.2,-123.2,0,0,
08/27/2026,08:58:13:164,0.000000,0.000000,2,-125.63,-125.63,0,0,
08/27/2026,08:58:13:205,0.000000,0.000000,3,-123.29,-123.29,0,0,
08/27/2026,08:58:13:252,0.000000,0.000000,4,-61.02,-61.02,0,0,
08/27/2026,08:58:13:283,0.000000,0.000000,1,-121.92,-121.92,0,0,
08/27/2026,08:58:13:389,0.000000,0.000000,2,-123.26,-123.26,0,0,
08/27/2026,08:58:13:488,0.000000,0.000000,3,-124.89,-124.89,0,0,
08/27/2026,08:58:13:549,0.000000,0.000000,4,-61.62,-61.62,0,0,
08/27/2026,08:58:13:564,0.000000,0.000000,1,-122.65,-122.65,0,0,
08/27/2026,08:58:13:684,0.000000,0.000000,2,-122.06,-122.06,0,0,
08/27/2026,08:58:13:749,0.000000,0.000000,3,-123.46,-123.46,0,0,
08/27/2026,08:58:13:809,0.000000,0.000000,4,-60.16,-60.16,0,0,
08/27/2026,08:58:13:829,0.000000,0.000000,1,-122.41,-122.41,0,0,
08/27/2026,08:58:13:951,0.000000,0.000000,2,-123.14,-123.14,0,0,
08/27/2026,08:58:14:018,0.000000,0.000000,3,-123.24,-123.24,0,0,
08/27/2026,08:58:14:089,0.000000,0.000000,4,-57.61,-57.61,0,0,
08/27/2026,08:58:14:117,0.000000,0.000000,1,-122.32,-122.32,0,0,
08/27/2026,08:58:14:243,0.000000,0.000000,2,-123.87,-123.87,0,0,
08/27/2026,08:58:14:301,0.000000,0.000000,3,-123.65,-123.65,0,0,
08/27/2026,08:58:14:369,0.000000,0.000000,4,-61.15,-61.15,0,0,
08/27/2026,08:58:14:388,0.000000,0.000000,1,-121.88,-121.88,0,0,
08/27/2026,08:58:14:516,0.000000,0.000000,2,-119.82,-119.82,0,0,
08/27/2026,08:58:14:579,0.000000,0.000000,3,-119.95,-119.95,0,0,
08/27/2026,08:58:14:652,0.000000,0.000000,4,-62.77,-62.77,0,0,
08/27/2026,08:58:14:661,0.000000,0.000000,1,-121.93,-121.93,0,0,
08/27/2026,08:58:14:812,0.000000,0.000000,2,-122.88,-122.88,0,0,
08/27/2026,08:58:14:864,0.000000,0.000000,3,-119.65,-119.65,0,0,
08/27/2026,08:58:14:925,0.000000,0.000000,4,-65.92,-65.92,0,0,
08/27/2026,08:58:14:959,0.000000,0.000000,1,-119.3,-119.3,0,0,
08/27/2026,08:58:15:079,0.000000,0.000000,2,-111.15,-111.15,0,0,
08/27/2026,08:58:15:132,0.000000,0.000000,3,-121.97,-121.97,0,0,
08/27/2026,08:58:15:203,0.000000,0.000000,4,-62.07,-62.07,0,0,
08/27/2026,08:58:15:224,0.000000,0.000000,1,-121,-121,0,0,
08/27/2026,08:58:15:345,0.000000,0.000000,2,-113.27,-113.27,0,0,
08/27/2026,08:58:15:411,0.000000,0.000000,3,-106.21,-106.21,0,0,
08/27/2026,08:58:15:481,0.000000,0.000000,4,-65.49,-65.49,0,0,
08/27/2026,08:58:15:501,0.000000,0.000000,1,-112.87,-112.87,0,0,
08/27/2026,08:58:15:681,0.000000,0.000000,2,-112.09,-112.09,0,0,
08/27/2026,08:58:15:719,0.000000,0.000000,3,-111.88,-111.88,0,0,
08/27/2026,08:58:15:768,0.000000,0.000000,4,-64.12,-64.12,0,0,
08/27/2026,08:58:15:778,0.000000,0.000000,1,-107.72,-107.72,0,0,
08/27/2026,08:58:15:899,0.000000,0.000000,2,-115.08,-115.08,0,0,
08/27/2026,08:58:15:973,0.000000,0.000000,3,-112.64,-112.64,0,0,
08/27/2026,08:58:16:051,0.000000,0.000000,4,-60.47,-60.47,0,0,
08/27/2026,08:58:16:056,0.000000,0.000000,1,-117.26,-117.26,0,0,
08/27/2026,08:58:16:183,0.000000,0.000000,2,-117.69,-117.69,0,0,
08/27/2026,08:58:16:260,0.000000,0.000000,3,-120.12,-120.12,0,0,
08/27/2026,08:58:16:331,0.000000,0.000000,4,-63.67,-63.67,0,0,
08/27/2026,08:58:16:344,0.000000,0.000000,1,-121.35,-121.35,0,0,
08/27/2026,08:58:16:461,0.000000,0.000000,2,-124.47,-124.47,0,0,
08/27/2026,08:58:16:529,0.000000,0.000000,3,-123.12,-123.12,0,0,
08/27/2026,08:58:16:603,0.000000,0.000000,4,-63.72,-63.72,0,0,
08/27/2026,08:58:16:641,0.000000,0.000000,1,-122.4,-122.4,0,0,
08/27/2026,08:58:16:774,0.000000,0.000000,2,-126.26,-126.26,0,0,
08/27/2026,08:58:16:814,0.000000,0.000000,3,-124.99,-124.99,0,0,
08/27/2026,08:58:16:895,0.000000,0.000000,4,-66.26,-66.26,0,0,
08/27/2026,08:58:16:898,0.000000,0.000000,1,-122.34,-122.34,0,0,
08/27/2026,08:58:17:022,0.000000,0.000000,2,-119.88,-119.88,0,0,
08/27/2026,08:58:17:100,0.000000,0.000000,3,-122.74,-122.74,0,0,
08/27/2026,08:58:17:153,0.000000,0.000000,4,-65.9,-65.9,0,0,
08/27/2026,08:58:17:174,0.000000,0.000000,1,-121.47,-121.47,0,0,
08/27/2026,08:58:17:302,0.000000,0.000000,2,-124.01,-124.01,0,0,
08/27/2026,08:58:17:365,0.000000,0.000000,3,-123.46,-123.46,0,0,
08/27/2026,08:58:17:449,0.000000,0.000000,4,-68.82,-68.82,0,0,
08/27/2026,08:58:17:457,0.000000,0.000000,1,-122.37,-122.37,0,0,
08/27/2026,08:58:17:574,0.000000,0.000000,2,-122.83,-122.83,0,0,
08/27/2026,08:58:17:650,0.000000,0.000000,3,-124.33,-124.33,0,0,
08/27/2026,08:58:17:716,0.000000,0.000000,4,-64.7,-64.7,0,0,
08/27/2026,08:58:17:736,0.000000,0.000000,1,-124.47,-124.47,0,0,
08/27/2026,08:58:17:862,0.000000,0.000000,2,-124.4,-124.4,0,0,
08/27/2026,08:58:17:933,0.000000,0.000000,3,-125.92,-125.92,0,0,
