Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,10:10:21:177,0.000000,0.000000,1,-124.69,-124.69,0,0,
09/21/2026,10:10:21:238,0.000000,0.000000,2,-123.8,-123.8,0,0,
09/21/2026,10:10:21:327,0.000000,0.000000,3,-120.35,-120.35,0,0,
09/21/2026,10:10:21:364,0.000000,0.000000,4,-72.35,-72.35,0,0,
09/21/2026,10:10:21:387,0.000000,0.000000,1,-124.54,-124.54,0,0,
09/21/2026,10:10:21:429,0.000000,0.000000,2,-123.72,-123.72,0,0,
09/21/2026,10:10:21:571,0.000000,0.000000,3,-119.76,-119.76,0,0,
09/21/2026,10:10:21:646,0.000000,0.000000,4,-78.43,-78.43,0,0,
09/21/2026,10:10:21:656,0.000000,0.000000,1,-123.37,-123.37,0,0,
09/21/2026,10:10:21:708,0.000000,0.000000,2,-120.57,-120.57,0,0,
09/21/2026,10:10:21:879,0.000000,0.000000,3,-119.64,-119.64,0,0,
09/21/2026,10:10:21:928,0.000000,0.000000,4,-76.2,-76.2,0,0,
09/21/2026,10:10:21:935,0.000000,0.000000,1,-123.68,-123.68,0,0,
09/21/2026,10:10:22:014,0.000000,0.000000,2,-123.22,-123.22,0,0,
09/21/2026,10:10:22:134,0.000000,0.000000,3,-121.67,-121.67,0,0,
09/21/2026,10:10:22:205,0.000000,0.000000,4,-74.82,-74.82,0,0,
09/21/2026,10:10:22:213,0.000000,0.000000,1,-125.3,-125.3,0,0,
09/21/2026,10:10:22:266,0.000000,0.000000,2,-124.78,-124.78,0,0,
09/21/2026,10:10:22:408,0.000000,0.000000,3,-120.02,-120.02,0,0,
09/21/2026,10:10:22:481,0.000000,0.000000,4,-72.39,-72.39,0,0,
09/21/2026,10:10:22:493,0.000000,0.000000,1,-123.47,-123.47,0,0,
09/21/2026,10:10:22:545,0.000000,0.000000,2,-122.66,-122.66,0,0,
09/21/2026,10:10:22:685,0.000000,0.000000,3,-120.15,-120.15,0,0,
09/21/2026,10:10:22:766,0.000000,0.000000,4,-79.85,-79.85,0,0,
09/21/2026,10:10:22:774,0.000000,0.000000,1,-122.14,-122.14,0,0,
09/21/2026,10:10:22:825,0.000000,0.000000,2,-121.89,-121.89,0,0,
09/21/2026,10:10:22:979,0.000000,0.000000,3,-119.87,-119.87,0,0,
09/21/2026,10:10:23:044,0.000000,0.000000,4,-70,-70,0,0,
09/21/2026,10:10:23:060,0.000000,0.000000,1,-123.46,-123.46,0,0,
09/21/2026,10:10:23:113,0.000000,0.000000,2,-124.94,-124.94,0,0,
09/21/2026,10:10:23:264,0.000000,0.000000,3,-120.97,-120.97,0,0,
09/21/2026,10:10:23:338,0.000000,0.000000,4,-79.07,-79.07,0,0,
09/21/2026,10:10:23:352,0.000000,0.000000,1,-124.21,-124.21,0,0,
09/21/2026,10:10:23:401,0.000000,0.000000,2,-123.72,-123.72,0,0,
09/21/2026,10:10:23:577,0.000000,0.000000,3,-121.88,-121.88,0,0,
09/21/2026,10:10:23:645,0.000000,0.000000,4,-77.87,-77.87,0,0,
09/21/2026,10:10:23:665,0.000000,0.000000,1,-122.89,-122.89,0,0,
09/21/2026,10:10:23:713,0.000000,0.000000,2,-123.43,-123.43,0,0,
09/21/2026,10:10:23:914,0.000000,0.000000,3,-121,-121,0,0,
09/21/2026,10:10:24:003,0.000000,0.000000,4,-74.21,-74.21,0,0,
09/21/2026,10:10:24:011,0.000000,0.000000,1,-124.37,-124.37,0,0,
