Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:21:49:896,0.000000,0.000000,1,-120.49,-120.49,0,0,
09/21/2026,11:21:49:902,0.000000,0.000000,1,-120.97,-120.97,0,0,
09/21/2026,11:21:49:903,0.000000,0.000000,1,-121.58,-121.58,0,0,
09/21/2026,11:21:49:951,0.000000,0.000000,1,-122,-122,0,0,
09/21/2026,11:21:49:953,0.000000,0.000000,1,-123.02,-123.02,0,0,
09/21/2026,11:21:49:957,0.000000,0.000000,1,-123.6,-123.6,0,0,
09/21/2026,11:21:49:980,0.000000,0.000000,1,-114,-114,0,0,
09/21/2026,11:21:49:997,0.000000,0.000000,1,-121.63,-121.63,0,0,
09/21/2026,11:21:50:020,0.000000,0.000000,1,-110.28,-110.28,0,0,
09/21/2026,11:21:50:047,0.000000,0.000000,2,-115.17,-115.17,0,0,
09/21/2026,11:21:50:067,0.000000,0.000000,1,-122.66,-122.66,0,0,
09/21/2026,11:21:50:097,0.000000,0.000000,2,-108.86,-108.86,0,0,
09/21/2026,11:21:50:123,0.000000,0.000000,3,-113.38,-113.38,0,0,
09/21/2026,11:21:50:149,0.000000,0.000000,1,-111.37,-111.37,0,0,
09/21/2026,11:21:50:164,0.000000,0.000000,4,-97.62,-97.62,0,0,
09/21/2026,11:21:50:181,0.000000,0.000000,2,-122.64,-122.64,0,0,
09/21/2026,11:21:50:197,0.000000,0.000000,3,-122.09,-122.09,0,0,
09/21/2026,11:21:50:231,0.000000,0.000000,1,-120.95,-120.95,0,0,
09/21/2026,11:21:50:274,0.000000,0.000000,4,-98.98,-98.98,0,0,
09/21/2026,11:21:50:304,0.000000,0.000000,2,-119.81,-119.81,0,0,
09/21/2026,11:21:50:344,0.000000,0.000000,3,-120.42,-120.42,0,0,
09/21/2026,11:21:50:370,0.000000,0.000000,1,-121.15,-121.15,0,0,
09/21/2026,11:21:50:420,0.000000,0.000000,4,-111.72,-111.72,0,0,
09/21/2026,11:21:50:492,0.000000,0.000000,2,-119.62,-119.62,0,0,
09/21/2026,11:21:50:538,0.000000,0.000000,3,-117.41,-117.41,0,0,
09/21/2026,11:21:50:588,0.000000,0.000000,1,-123.52,-123.52,0,0,
