Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,10:32:38:294,0.000000,0.000000,1,-124.98,-124.98,0,0,
09/21/2026,10:32:38:369,0.000000,0.000000,2,-124.49,-124.49,0,0,
09/21/2026,10:32:38:449,0.000000,0.000000,3,-126.24,-126.24,0,0,
09/21/2026,10:32:38:452,0.000000,0.000000,1,-123.64,-123.64,0,0,
09/21/2026,10:32:38:506,0.000000,0.000000,4,-84.71,-84.71,0,0,
09/21/2026,10:32:38:510,0.000000,0.000000,2,-123.63,-123.63,0,0,
09/21/2026,10:32:38:552,0.000000,0.000000,3,-125.65,-125.65,0,0,
09/21/2026,10:32:38:555,0.000000,0.000000,1,-124.28,-124.28,0,0,
09/21/2026,10:32:38:609,0.000000,0.000000,4,-89.53,-89.53,0,0,
09/21/2026,10:32:38:661,0.000000,0.000000,2,-123.18,-123.18,0,0,
09/21/2026,10:32:38:718,0.000000,0.000000,3,-125.69,-125.69,0,0,
09/21/2026,10:32:38:722,0.000000,0.000000,1,-126.1,-126.1,0,0,
09/21/2026,10:32:38:817,0.000000,0.000000,4,-73.96,-73.96,0,0,
09/21/2026,10:32:38:829,0.000000,0.000000,2,-126.98,-126.98,0,0,
09/21/2026,10:32:38:921,0.000000,0.000000,3,-125.75,-125.75,0,0,
09/21/2026,10:32:38:953,0.000000,0.000000,1,-125.8,-125.8,0,0,
09/21/2026,10:32:39:091,0.000000,0.000000,4,-75.53,-75.53,0,0,
09/21/2026,10:32:39:111,0.000000,0.000000,2,-125.25,-125.25,0,0,
09/21/2026,10:32:39:245,0.000000,0.000000,3,-123.26,-123.26,0,0,
09/21/2026,10:32:39:283,0.000000,0.000000,1,-124.97,-124.97,0,0,
09/21/2026,10:32:39:442,0.000000,0.000000,4,-86.62,-86.62,0,0,
09/21/2026,10:32:39:458,0.000000,0.000000,2,-126.92,-126.92,0,0,
09/21/2026,10:32:39:597,0.000000,0.000000,3,-124.28,-124.28,0,0,
09/21/2026,10:32:39:629,0.000000,0.000000,1,-126.87,-126.87,0,0,
09/21/2026,10:32:39:785,0.000000,0.000000,4,-94.12,-94.12,0,0,
09/21/2026,10:32:39:805,0.000000,0.000000,2,-125.75,-125.75,0,0,
09/21/2026,10:32:39:951,0.000000,0.000000,3,-126.06,-126.06,0,0,
09/21/2026,10:32:39:980,0.000000,0.000000,1,-124.44,-124.44,0,0,
09/21/2026,10:32:40:159,0.000000,0.000000,4,-86.36,-86.36,0,0,
09/21/2026,10:32:40:164,0.000000,0.000000,2,-127.24,-127.24,0,0,
09/21/2026,10:32:40:295,0.000000,0.000000,3,-126.69,-126.69,0,0,
09/21/2026,10:32:40:351,0.000000,0.000000,1,-125.67,-125.67,0,0,
09/21/2026,10:32:40:481,0.000000,0.000000,4,-73.24,-73.24,0,0,
09/21/2026,10:32:40:497,0.000000,0.000000,2,-125.13,-125.13,0,0,
09/21/2026,10:32:40:633,0.000000,0.000000,3,-128.53,-128.53,0,0,
09/21/2026,10:32:40:669,0.000000,0.000000,1,-125.24,-125.24,0,0,
09/21/2026,10:32:40:826,0.000000,0.000000,4,-79.4,-79.4,0,0,
09/21/2026,10:32:40:848,0.000000,0.000000,2,-123.23,-123.23,0,0,
09/21/2026,10:32:40:985,0.000000,0.000000,3,-125.69,-125.69,0,0,
09/21/2026,10:32:41:016,0.000000,0.000000,1,-128.04,-128.04,0,0,
09/21/2026,10:32:41:172,0.000000,0.000000,4,-78.76,-78.76,0,0,
09/21/2026,10:32:41:218,0.000000,0.000000,2,-125.97,-125.97,0,0,
09/21/2026,10:32:41:327,0.000000,0.000000,3,-125.51,-125.51,0,0,
09/21/2026,10:32:41:361,0.000000,0.000000,1,-125.23,-125.23,0,0,
09/21/2026,10:32:41:517,0.000000,0.000000,4,-79.25,-79.25,0,0,
09/21/2026,10:32:41:540,0.000000,0.000000,2,-125.8,-125.8,0,0,
09/21/2026,10:32:41:674,0.000000,0.000000,3,-127.08,-127.08,0,0,
09/21/2026,10:32:41:713,0.000000,0.000000,1,-124.69,-124.69,0,0,
09/21/2026,10:32:41:867,0.000000,0.000000,4,-76.74,-76.74,0,0,
09/21/2026,10:32:41:882,0.000000,0.000000,2,-126.29,-126.29,0,0,
09/21/2026,10:32:42:048,0.000000,0.000000,3,-126.83,-126.83,0,0,
09/21/2026,10:32:42:055,0.000000,0.000000,1,-124.62,-124.62,0,0,
09/21/2026,10:32:42:213,0.000000,0.000000,4,-75.12,-75.12,0,0,
09/21/2026,10:32:42:248,0.000000,0.000000,2,-125.9,-125.9,0,0,
09/21/2026,10:32:42:366,0.000000,0.000000,3,-125.06,-125.06,0,0,
09/21/2026,10:32:42:404,0.000000,0.000000,1,-125.67,-125.67,0,0,
09/21/2026,10:32:42:559,0.000000,0.000000,4,-82.85,-82.85,0,0,
09/21/2026,10:32:42:577,0.000000,0.000000,2,-125.05,-125.05,0,0,
09/21/2026,10:32:42:713,0.000000,0.000000,3,-125.59,-125.59,0,0,
09/21/2026,10:32:42:752,0.000000,0.000000,1,-124.82,-124.82,0,0,
09/21/2026,10:32:42:908,0.000000,0.000000,4,-76.01,-76.01,0,0,
09/21/2026,10:32:42:924,0.000000,0.000000,2,-125.6,-125.6,0,0,
09/21/2026,10:32:43:067,0.000000,0.000000,3,-126.82,-126.82,0,0,
09/21/2026,10:32:43:099,0.000000,0.000000,1,-125.13,-125.13,0,0,
09/21/2026,10:32:43:256,0.000000,0.000000,4,-83.83,-83.83,0,0,
09/21/2026,10:32:43:270,0.000000,0.000000,2,-125.01,-125.01,0,0,
09/21/2026,10:32:43:411,0.000000,0.000000,3,-126.03,-126.03,0,0,
09/21/2026,10:32:43:445,0.000000,0.000000,1,-125.52,-125.52,0,0,
09/21/2026,10:32:43:601,0.000000,0.000000,4,-74.83,-74.83,0,0,
09/21/2026,10:32:43:622,0.000000,0.000000,2,-125.07,-125.07,0,0,
09/21/2026,10:32:43:774,0.000000,0.000000,3,-125.23,-125.23,0,0,
09/21/2026,10:32:43:794,0.000000,0.000000,1,-127.75,-127.75,0,0,
09/21/2026,10:32:43:970,0.000000,0.000000,4,-75.1,-75.1,0,0,
09/21/2026,10:32:43:972,0.000000,0.000000,2,-127.4,-127.4,0,0,
09/21/2026,10:32:44:183,0.000000,0.000000,3,-126.5,-126.5,0,0,
09/21/2026,10:32:44:194,0.000000,0.000000,1,-125.66,-125.66,0,0,
09/21/2026,10:32:44:295,0.000000,0.000000,4,-90.62,-90.62,0,0,
09/21/2026,10:32:44:318,0.000000,0.000000,2,-124.78,-124.78,0,0,
09/21/2026,10:32:44:448,0.000000,0.000000,3,-126.64,-126.64,0,0,
09/21/2026,10:32:44:486,0.000000,0.000000,1,-128,-128,0,0,
09/21/2026,10:32:44:641,0.000000,0.000000,4,-77.84,-77.84,0,0,
09/21/2026,10:32:44:664,0.000000,0.000000,2,-126.15,-126.15,0,0,
09/21/2026,10:32:44:797,0.000000,0.000000,3,-126.19,-126.19,0,0,
09/21/2026,10:32:44:832,0.000000,0.000000,1,-124.12,-124.12,0,0,
09/21/2026,10:32:44:986,0.000000,0.000000,4,-68.9,-68.9,0,0,
09/21/2026,10:32:45:008,0.000000,0.000000,2,-125.13,-125.13,0,0,
09/21/2026,10:32:45:144,0.000000,0.000000,3,-125.43,-125.43,0,0,
09/21/2026,10:32:45:177,0.000000,0.000000,1,-125.42,-125.42,0,0,
09/21/2026,10:32:45:339,0.000000,0.000000,4,-90.14,-90.14,0,0,
09/21/2026,10:32:45:351,0.000000,0.000000,2,-126.74,-126.74,0,0,
09/21/2026,10:32:45:489,0.000000,0.000000,3,-126.2,-126.2,0,0,
09/21/2026,10:32:45:524,0.000000,0.000000,1,-123.13,-123.13,0,0,
09/21/2026,10:32:45:705,0.000000,0.000000,4,-76.31,-76.31,0,0,
09/21/2026,10:32:45:707,0.000000,0.000000,2,-123.85,-123.85,0,0,
09/21/2026,10:32:45:845,0.000000,0.000000,3,-123.61,-123.61,0,0,
09/21/2026,10:32:45:916,0.000000,0.000000,1,-128.67,-128.67,0,0,
09/21/2026,10:32:46:030,0.000000,0.000000,4,-83.26,-83.26,0,0,
09/21/2026,10:32:46:049,0.000000,0.000000,2,-123.51,-123.51,0,0,
09/21/2026,10:32:46:182,0.000000,0.000000,3,-126.39,-126.39,0,0,
09/21/2026,10:32:46:227,0.000000,0.000000,1,-125.21,-125.21,0,0,
09/21/2026,10:32:46:380,0.000000,0.000000,4,-78.53,-78.53,0,0,
09/21/2026,10:32:46:392,0.000000,0.000000,2,-121.99,-121.99,0,0,
09/21/2026,10:32:46:530,0.000000,0.000000,3,-124.8,-124.8,0,0,
09/21/2026,10:32:46:573,0.000000,0.000000,1,-127.66,-127.66,0,0,
09/21/2026,10:32:46:722,0.000000,0.000000,4,-82.14,-82.14,0,0,
09/21/2026,10:32:46:741,0.000000,0.000000,2,-124.93,-124.93,0,0,
09/21/2026,10:32:46:881,0.000000,0.000000,3,-124.39,-124.39,0,0,
09/21/2026,10:32:46:914,0.000000,0.000000,1,-125.14,-125.14,0,0,
09/21/2026,10:32:47:069,0.000000,0.000000,4,-74.73,-74.73,0,0,
09/21/2026,10:32:47:093,0.000000,0.000000,2,-123.37,-123.37,0,0,
