Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,10:58:29:768,0.000000,0.000000,1,-112.5,-112.5,0,0,
09/21/2026,10:58:29:822,0.000000,0.000000,2,-109.81,-109.81,0,0,
09/21/2026,10:58:29:874,0.000000,0.000000,3,-87.45,-87.45,0,0,
09/21/2026,10:58:29:975,0.000000,0.000000,4,-115.28,-115.28,0,0,
09/21/2026,10:58:30:103,0.000000,0.000000,1,-112.24,-112.24,0,0,
09/21/2026,10:58:30:237,0.000000,0.000000,2,-107.8,-107.8,0,0,
09/21/2026,10:58:30:241,0.000000,0.000000,3,-81.81,-81.81,0,0,
09/21/2026,10:58:30:298,0.000000,0.000000,4,-115.85,-115.85,0,0,
09/21/2026,10:58:30:446,0.000000,0.000000,1,-112.67,-112.67,0,0,
09/21/2026,10:58:30:513,0.000000,0.000000,2,-109.06,-109.06,0,0,
09/21/2026,10:58:30:568,0.000000,0.000000,3,-87.27,-87.27,0,0,
09/21/2026,10:58:30:622,0.000000,0.000000,4,-115.95,-115.95,0,0,
09/21/2026,10:58:30:790,0.000000,0.000000,1,-112.13,-112.13,0,0,
09/21/2026,10:58:30:860,0.000000,0.000000,2,-109.06,-109.06,0,0,
09/21/2026,10:58:30:913,0.000000,0.000000,3,-81.1,-81.1,0,0,
09/21/2026,10:58:30:967,0.000000,0.000000,4,-115.43,-115.43,0,0,
09/21/2026,10:58:31:137,0.000000,0.000000,1,-111.79,-111.79,0,0,
09/21/2026,10:58:31:206,0.000000,0.000000,2,-106.59,-106.59,0,0,
09/21/2026,10:58:31:261,0.000000,0.000000,3,-81.55,-81.55,0,0,
09/21/2026,10:58:31:311,0.000000,0.000000,4,-113.51,-113.51,0,0,
09/21/2026,10:58:31:483,0.000000,0.000000,1,-111.32,-111.32,0,0,
09/21/2026,10:58:31:552,0.000000,0.000000,2,-106.85,-106.85,0,0,
09/21/2026,10:58:31:607,0.000000,0.000000,3,-87.04,-87.04,0,0,
09/21/2026,10:58:31:660,0.000000,0.000000,4,-113.4,-113.4,0,0,
09/21/2026,10:58:31:864,0.000000,0.000000,1,-113.4,-113.4,0,0,
09/21/2026,10:58:31:935,0.000000,0.000000,2,-107.31,-107.31,0,0,
09/21/2026,10:58:31:995,0.000000,0.000000,3,-85.04,-85.04,0,0,
09/21/2026,10:58:32:009,0.000000,0.000000,4,-114.87,-114.87,0,0,
09/21/2026,10:58:32:176,0.000000,0.000000,1,-112.52,-112.52,0,0,
09/21/2026,10:58:32:250,0.000000,0.000000,2,-108.31,-108.31,0,0,
09/21/2026,10:58:32:299,0.000000,0.000000,3,-83.25,-83.25,0,0,
09/21/2026,10:58:32:363,0.000000,0.000000,4,-112.53,-112.53,0,0,
09/21/2026,10:58:32:523,0.000000,0.000000,1,-112.37,-112.37,0,0,
09/21/2026,10:58:32:597,0.000000,0.000000,2,-107.7,-107.7,0,0,
09/21/2026,10:58:32:649,0.000000,0.000000,3,-83.61,-83.61,0,0,
09/21/2026,10:58:32:701,0.000000,0.000000,4,-114.51,-114.51,0,0,
09/21/2026,10:58:32:874,0.000000,0.000000,1,-113.13,-113.13,0,0,
09/21/2026,10:58:32:942,0.000000,0.000000,2,-107.29,-107.29,0,0,
09/21/2026,10:58:32:995,0.000000,0.000000,3,-91.54,-91.54,0,0,
09/21/2026,10:58:33:054,0.000000,0.000000,4,-114.69,-114.69,0,0,
09/21/2026,10:58:33:219,0.000000,0.000000,1,-110.31,-110.31,0,0,
09/21/2026,10:58:33:287,0.000000,0.000000,2,-107.6,-107.6,0,0,
09/21/2026,10:58:33:339,0.000000,0.000000,3,-85.7,-85.7,0,0,
09/21/2026,10:58:33:393,0.000000,0.000000,4,-114.95,-114.95,0,0,
09/21/2026,10:58:33:563,0.000000,0.000000,1,-112.71,-112.71,0,0,
09/21/2026,10:58:33:677,0.000000,0.000000,2,-106.95,-106.95,0,0,
09/21/2026,10:58:33:688,0.000000,0.000000,3,-83.37,-83.37,0,0,
09/21/2026,10:58:33:789,0.000000,0.000000,4,-114.98,-114.98,0,0,
09/21/2026,10:58:33:937,0.000000,0.000000,1,-110.78,-110.78,0,0,
09/21/2026,10:58:33:980,0.000000,0.000000,2,-109.47,-109.47,0,0,
09/21/2026,10:58:34:035,0.000000,0.000000,3,-84.13,-84.13,0,0,
09/21/2026,10:58:34:087,0.000000,0.000000,4,-114.05,-114.05,0,0,
09/21/2026,10:58:34:258,0.000000,0.000000,1,-104,-104,0,0,
09/21/2026,10:58:34:333,0.000000,0.000000,2,-108.69,-108.69,0,0,
09/21/2026,10:58:34:381,0.000000,0.000000,3,-89.42,-89.42,0,0,
09/21/2026,10:58:34:433,0.000000,0.000000,4,-116.23,-116.23,0,0,
09/21/2026,10:58:34:604,0.000000,0.000000,1,-110.96,-110.96,0,0,
09/21/2026,10:58:34:675,0.000000,0.000000,2,-108.13,-108.13,0,0,
09/21/2026,10:58:34:726,0.000000,0.000000,3,-79.01,-79.01,0,0,
09/21/2026,10:58:34:783,0.000000,0.000000,4,-113.87,-113.87,0,0,
09/21/2026,10:58:35:210,0.000000,0.000000,1,-110.39,-110.39,0,0,
09/21/2026,10:58:35:233,0.000000,0.000000,2,-107.24,-107.24,0,0,
09/21/2026,10:58:35:247,0.000000,0.000000,3,-78.27,-78.27,0,0,
09/21/2026,10:58:35:254,0.000000,0.000000,4,-113.42,-113.42,0,0,
09/21/2026,10:58:35:302,0.000000,0.000000,1,-112.51,-112.51,0,0,
09/21/2026,10:58:35:370,0.000000,0.000000,2,-107.42,-107.42,0,0,
09/21/2026,10:58:35:433,0.000000,0.000000,3,-79.21,-79.21,0,0,
09/21/2026,10:58:35:476,0.000000,0.000000,4,-112.49,-112.49,0,0,
09/21/2026,10:58:35:701,0.000000,0.000000,1,-111.58,-111.58,0,0,
09/21/2026,10:58:35:714,0.000000,0.000000,2,-107.26,-107.26,0,0,
09/21/2026,10:58:35:769,0.000000,0.000000,3,-77.13,-77.13,0,0,
09/21/2026,10:58:35:824,0.000000,0.000000,4,-112.9,-112.9,0,0,
09/21/2026,10:58:35:993,0.000000,0.000000,1,-113.49,-113.49,0,0,
09/21/2026,10:58:36:063,0.000000,0.000000,2,-107.9,-107.9,0,0,
09/21/2026,10:58:36:117,0.000000,0.000000,3,-77.95,-77.95,0,0,
09/21/2026,10:58:36:168,0.000000,0.000000,4,-113,-113,0,0,
09/21/2026,10:58:36:342,0.000000,0.000000,1,-112.32,-112.32,0,0,
09/21/2026,10:58:36:417,0.000000,0.000000,2,-107.86,-107.86,0,0,
09/21/2026,10:58:36:463,0.000000,0.000000,3,-81.39,-81.39,0,0,
09/21/2026,10:58:36:514,0.000000,0.000000,4,-113.84,-113.84,0,0,
09/21/2026,10:58:36:686,0.000000,0.000000,1,-114.07,-114.07,0,0,
09/21/2026,10:58:36:755,0.000000,0.000000,2,-108.36,-108.36,0,0,
09/21/2026,10:58:36:809,0.000000,0.000000,3,-87.74,-87.74,0,0,
09/21/2026,10:58:36:860,0.000000,0.000000,4,-116.48,-116.48,0,0,
09/21/2026,10:58:37:032,0.000000,0.000000,1,-114.24,-114.24,0,0,
09/21/2026,10:58:37:103,0.000000,0.000000,2,-107.65,-107.65,0,0,
09/21/2026,10:58:37:157,0.000000,0.000000,3,-93.18,-93.18,0,0,
09/21/2026,10:58:37:208,0.000000,0.000000,4,-115.17,-115.17,0,0,
09/21/2026,10:58:37:381,0.000000,0.000000,1,-111,-111,0,0,
09/21/2026,10:58:37:448,0.000000,0.000000,2,-108.16,-108.16,0,0,
09/21/2026,10:58:37:500,0.000000,0.000000,3,-88.22,-88.22,0,0,
09/21/2026,10:58:37:555,0.000000,0.000000,4,-112.93,-112.93,0,0,
09/21/2026,10:58:37:767,0.000000,0.000000,1,-112.25,-112.25,0,0,
09/21/2026,10:58:37:850,0.000000,0.000000,2,-108.54,-108.54,0,0,
09/21/2026,10:58:37:854,0.000000,0.000000,3,-79.6,-79.6,0,0,
09/21/2026,10:58:37:909,0.000000,0.000000,4,-113.79,-113.79,0,0,
09/21/2026,10:58:38:073,0.000000,0.000000,1,-111.15,-111.15,0,0,
09/21/2026,10:58:38:143,0.000000,0.000000,2,-109.26,-109.26,0,0,
09/21/2026,10:58:38:197,0.000000,0.000000,3,-95.41,-95.41,0,0,
