Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,10:58:29:979,0.000000,0.000000,1,-125.78,-125.78,0,0,
09/21/2026,10:58:30:019,0.000000,0.000000,2,-124.92,-124.92,0,0,
09/21/2026,10:58:30:102,0.000000,0.000000,3,-126.19,-126.19,0,0,
09/21/2026,10:58:30:156,0.000000,0.000000,4,-79.77,-79.77,0,0,
09/21/2026,10:58:30:308,0.000000,0.000000,1,-125.56,-125.56,0,0,
09/21/2026,10:58:30:359,0.000000,0.000000,2,-125.28,-125.28,0,0,
09/21/2026,10:58:30:427,0.000000,0.000000,3,-123.69,-123.69,0,0,
09/21/2026,10:58:30:499,0.000000,0.000000,4,-82.53,-82.53,0,0,
09/21/2026,10:58:30:654,0.000000,0.000000,1,-128.39,-128.39,0,0,
09/21/2026,10:58:30:705,0.000000,0.000000,2,-126.62,-126.62,0,0,
09/21/2026,10:58:30:771,0.000000,0.000000,3,-126.17,-126.17,0,0,
09/21/2026,10:58:30:843,0.000000,0.000000,4,-78.08,-78.08,0,0,
09/21/2026,10:58:31:002,0.000000,0.000000,1,-124.6,-124.6,0,0,
09/21/2026,10:58:31:050,0.000000,0.000000,2,-125.8,-125.8,0,0,
09/21/2026,10:58:31:121,0.000000,0.000000,3,-121.86,-121.86,0,0,
09/21/2026,10:58:31:195,0.000000,0.000000,4,-70.46,-70.46,0,0,
09/21/2026,10:58:31:346,0.000000,0.000000,1,-127.2,-127.2,0,0,
09/21/2026,10:58:31:397,0.000000,0.000000,2,-125.66,-125.66,0,0,
09/21/2026,10:58:31:466,0.000000,0.000000,3,-127.14,-127.14,0,0,
09/21/2026,10:58:31:538,0.000000,0.000000,4,-95.05,-95.05,0,0,
09/21/2026,10:58:31:693,0.000000,0.000000,1,-124.22,-124.22,0,0,
09/21/2026,10:58:31:745,0.000000,0.000000,2,-125.3,-125.3,0,0,
09/21/2026,10:58:31:860,0.000000,0.000000,3,-122.24,-122.24,0,0,
09/21/2026,10:58:31:933,0.000000,0.000000,4,-82.77,-82.77,0,0,
09/21/2026,10:58:32:079,0.000000,0.000000,1,-126.83,-126.83,0,0,
09/21/2026,10:58:32:090,0.000000,0.000000,2,-127.66,-127.66,0,0,
09/21/2026,10:58:32:160,0.000000,0.000000,3,-124.22,-124.22,0,0,
09/21/2026,10:58:32:227,0.000000,0.000000,4,-78.27,-78.27,0,0,
09/21/2026,10:58:32:388,0.000000,0.000000,1,-125.79,-125.79,0,0,
09/21/2026,10:58:32:438,0.000000,0.000000,2,-125.63,-125.63,0,0,
09/21/2026,10:58:32:505,0.000000,0.000000,3,-122.74,-122.74,0,0,
09/21/2026,10:58:32:578,0.000000,0.000000,4,-80.71,-80.71,0,0,
09/21/2026,10:58:32:740,0.000000,0.000000,1,-125.54,-125.54,0,0,
09/21/2026,10:58:32:784,0.000000,0.000000,2,-124.22,-124.22,0,0,
09/21/2026,10:58:32:854,0.000000,0.000000,3,-125.7,-125.7,0,0,
09/21/2026,10:58:32:922,0.000000,0.000000,4,-75.7,-75.7,0,0,
09/21/2026,10:58:33:080,0.000000,0.000000,1,-127.3,-127.3,0,0,
09/21/2026,10:58:33:133,0.000000,0.000000,2,-125.8,-125.8,0,0,
09/21/2026,10:58:33:198,0.000000,0.000000,3,-124.47,-124.47,0,0,
09/21/2026,10:58:33:270,0.000000,0.000000,4,-86.82,-86.82,0,0,
09/21/2026,10:58:33:427,0.000000,0.000000,1,-126.3,-126.3,0,0,
09/21/2026,10:58:33:477,0.000000,0.000000,2,-125.5,-125.5,0,0,
09/21/2026,10:58:33:547,0.000000,0.000000,3,-123.48,-123.48,0,0,
09/21/2026,10:58:33:676,0.000000,0.000000,4,-79.19,-79.19,0,0,
09/21/2026,10:58:33:794,0.000000,0.000000,1,-125.53,-125.53,0,0,
09/21/2026,10:58:33:862,0.000000,0.000000,2,-126.56,-126.56,0,0,
09/21/2026,10:58:33:935,0.000000,0.000000,3,-125.58,-125.58,0,0,
09/21/2026,10:58:33:963,0.000000,0.000000,4,-81.17,-81.17,0,0,
09/21/2026,10:58:34:121,0.000000,0.000000,1,-124.94,-124.94,0,0,
09/21/2026,10:58:34:173,0.000000,0.000000,2,-125.88,-125.88,0,0,
09/21/2026,10:58:34:239,0.000000,0.000000,3,-124.37,-124.37,0,0,
09/21/2026,10:58:34:310,0.000000,0.000000,4,-84.75,-84.75,0,0,
09/21/2026,10:58:34:469,0.000000,0.000000,1,-124.94,-124.94,0,0,
09/21/2026,10:58:34:518,0.000000,0.000000,2,-126.55,-126.55,0,0,
09/21/2026,10:58:34:587,0.000000,0.000000,3,-123.17,-123.17,0,0,
09/21/2026,10:58:34:656,0.000000,0.000000,4,-87.68,-87.68,0,0,
09/21/2026,10:58:35:184,0.000000,0.000000,1,-125.57,-125.57,0,0,
09/21/2026,10:58:35:193,0.000000,0.000000,2,-125.84,-125.84,0,0,
09/21/2026,10:58:35:205,0.000000,0.000000,3,-123.89,-123.89,0,0,
09/21/2026,10:58:35:227,0.000000,0.000000,4,-80.58,-80.58,0,0,
09/21/2026,10:58:35:259,0.000000,0.000000,1,-124.11,-124.11,0,0,
09/21/2026,10:58:35:268,0.000000,0.000000,2,-126.37,-126.37,0,0,
09/21/2026,10:58:35:284,0.000000,0.000000,3,-123.99,-123.99,0,0,
09/21/2026,10:58:35:351,0.000000,0.000000,4,-80.3,-80.3,0,0,
