Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:34:34:569,0.000000,0.000000,1,-114.77,-114.77,0,0,
09/21/2026,09:34:34:622,0.000000,0.000000,2,-116.59,-116.59,0,0,
09/21/2026,09:34:34:700,0.000000,0.000000,3,-103.79,-103.79,0,0,
09/21/2026,09:34:34:749,0.000000,0.000000,4,-120.62,-120.62,0,0,
09/21/2026,09:34:34:764,0.000000,0.000000,1,-116.04,-116.04,0,0,
09/21/2026,09:34:34:824,0.000000,0.000000,2,-116.68,-116.68,0,0,
09/21/2026,09:34:34:901,0.000000,0.000000,3,-100.6,-100.6,0,0,
09/21/2026,09:34:34:946,0.000000,0.000000,4,-120.99,-120.99,0,0,
09/21/2026,09:34:34:954,0.000000,0.000000,1,-119.8,-119.8,0,0,
09/21/2026,09:34:35:024,0.000000,0.000000,2,-121.78,-121.78,0,0,
09/21/2026,09:34:35:106,0.000000,0.000000,3,-87.71,-87.71,0,0,
09/21/2026,09:34:35:142,0.000000,0.000000,4,-119.43,-119.43,0,0,
09/21/2026,09:34:35:150,0.000000,0.000000,1,-111.66,-111.66,0,0,
09/21/2026,09:34:35:206,0.000000,0.000000,2,-114.53,-114.53,0,0,
09/21/2026,09:34:35:276,0.000000,0.000000,3,-89.8,-89.8,0,0,
09/21/2026,09:34:35:343,0.000000,0.000000,4,-120.11,-120.11,0,0,
09/21/2026,09:34:35:347,0.000000,0.000000,1,-121.28,-121.28,0,0,
09/21/2026,09:34:35:419,0.000000,0.000000,2,-120.72,-120.72,0,0,
09/21/2026,09:34:35:472,0.000000,0.000000,3,-77.05,-77.05,0,0,
09/21/2026,09:34:35:556,0.000000,0.000000,4,-120.01,-120.01,0,0,
09/21/2026,09:34:35:557,0.000000,0.000000,1,-115.78,-115.78,0,0,
09/21/2026,09:34:35:601,0.000000,0.000000,2,-113.64,-113.64,0,0,
09/21/2026,09:34:35:672,0.000000,0.000000,3,-92.72,-92.72,0,0,
09/21/2026,09:34:35:715,0.000000,0.000000,4,-121.76,-121.76,0,0,
09/21/2026,09:34:35:739,0.000000,0.000000,1,-116.86,-116.86,0,0,
09/21/2026,09:34:35:778,0.000000,0.000000,2,-120.25,-120.25,0,0,
09/21/2026,09:34:35:852,0.000000,0.000000,3,-91.1,-91.1,0,0,
09/21/2026,09:34:35:919,0.000000,0.000000,4,-122.34,-122.34,0,0,
09/21/2026,09:34:35:920,0.000000,0.000000,1,-115.38,-115.38,0,0,
09/21/2026,09:34:35:978,0.000000,0.000000,2,-115.64,-115.64,0,0,
09/21/2026,09:34:36:045,0.000000,0.000000,3,-78.35,-78.35,0,0,
09/21/2026,09:34:36:093,0.000000,0.000000,4,-121.42,-121.42,0,0,
09/21/2026,09:34:36:118,0.000000,0.000000,1,-118.45,-118.45,0,0,
09/21/2026,09:34:36:163,0.000000,0.000000,2,-120.42,-120.42,0,0,
09/21/2026,09:34:36:245,0.000000,0.000000,3,-92.65,-92.65,0,0,
09/21/2026,09:34:36:288,0.000000,0.000000,4,-119.79,-119.79,0,0,
09/21/2026,09:34:36:312,0.000000,0.000000,1,-119.85,-119.85,0,0,
09/21/2026,09:34:36:374,0.000000,0.000000,2,-120.33,-120.33,0,0,
09/21/2026,09:34:36:426,0.000000,0.000000,3,-78.33,-78.33,0,0,
09/21/2026,09:34:36:485,0.000000,0.000000,4,-122.04,-122.04,0,0,
09/21/2026,09:34:36:497,0.000000,0.000000,1,-112.38,-112.38,0,0,
09/21/2026,09:34:36:556,0.000000,0.000000,2,-112.64,-112.64,0,0,
09/21/2026,09:34:36:624,0.000000,0.000000,3,-84.88,-84.88,0,0,
09/21/2026,09:34:36:670,0.000000,0.000000,4,-122.75,-122.75,0,0,
09/21/2026,09:34:36:698,0.000000,0.000000,1,-118.77,-118.77,0,0,
09/21/2026,09:34:36:743,0.000000,0.000000,2,-115.96,-115.96,0,0,
09/21/2026,09:34:36:811,0.000000,0.000000,3,-98.17,-98.17,0,0,
09/21/2026,09:34:36:866,0.000000,0.000000,4,-122.94,-122.94,0,0,
09/21/2026,09:34:36:883,0.000000,0.000000,1,-108.76,-108.76,0,0,
09/21/2026,09:34:36:934,0.000000,0.000000,2,-109.87,-109.87,0,0,
09/21/2026,09:34:37:056,0.000000,0.000000,3,-82.55,-82.55,0,0,
09/21/2026,09:34:37:090,0.000000,0.000000,4,-121.13,-121.13,0,0,
09/21/2026,09:34:37:094,0.000000,0.000000,1,-121.18,-121.18,0,0,
09/21/2026,09:34:37:127,0.000000,0.000000,2,-122.2,-122.2,0,0,
09/21/2026,09:34:37:201,0.000000,0.000000,3,-90.27,-90.27,0,0,
09/21/2026,09:34:37:248,0.000000,0.000000,4,-123.19,-123.19,0,0,
09/21/2026,09:34:37:275,0.000000,0.000000,1,-116.31,-116.31,0,0,
09/21/2026,09:34:37:323,0.000000,0.000000,2,-117.58,-117.58,0,0,
09/21/2026,09:34:37:419,0.000000,0.000000,3,-77.62,-77.62,0,0,
09/21/2026,09:34:37:455,0.000000,0.000000,4,-124.31,-124.31,0,0,
09/21/2026,09:34:37:460,0.000000,0.000000,1,-120.48,-120.48,0,0,
09/21/2026,09:34:37:534,0.000000,0.000000,2,-109.69,-109.69,0,0,
09/21/2026,09:34:37:618,0.000000,0.000000,3,-82.74,-82.74,0,0,
09/21/2026,09:34:37:673,0.000000,0.000000,4,-122.26,-122.26,0,0,
09/21/2026,09:34:37:708,0.000000,0.000000,1,-116.58,-116.58,0,0,
09/21/2026,09:34:37:733,0.000000,0.000000,2,-119.07,-119.07,0,0,
09/21/2026,09:34:37:781,0.000000,0.000000,3,-80.98,-80.98,0,0,
09/21/2026,09:34:37:833,0.000000,0.000000,4,-121.51,-121.51,0,0,
09/21/2026,09:34:37:848,0.000000,0.000000,1,-105.13,-105.13,0,0,
09/21/2026,09:34:37:899,0.000000,0.000000,2,-115.82,-115.82,0,0,
09/21/2026,09:34:37:975,0.000000,0.000000,3,-88.33,-88.33,0,0,
09/21/2026,09:34:38:023,0.000000,0.000000,4,-120.32,-120.32,0,0,
09/21/2026,09:34:38:050,0.000000,0.000000,1,-105.32,-105.32,0,0,
09/21/2026,09:34:38:103,0.000000,0.000000,2,-114.38,-114.38,0,0,
09/21/2026,09:34:38:172,0.000000,0.000000,3,-79.14,-79.14,0,0,
09/21/2026,09:34:38:214,0.000000,0.000000,4,-121,-121,0,0,
09/21/2026,09:34:38:256,0.000000,0.000000,1,-112.16,-112.16,0,0,
09/21/2026,09:34:38:286,0.000000,0.000000,2,-111.72,-111.72,0,0,
09/21/2026,09:34:38:357,0.000000,0.000000,3,-100.13,-100.13,0,0,
09/21/2026,09:34:38:414,0.000000,0.000000,4,-119.18,-119.18,0,0,
09/21/2026,09:34:38:425,0.000000,0.000000,1,-113.38,-113.38,0,0,
09/21/2026,09:34:38:494,0.000000,0.000000,2,-121.55,-121.55,0,0,
09/21/2026,09:34:38:557,0.000000,0.000000,3,-92.62,-92.62,0,0,
09/21/2026,09:34:38:608,0.000000,0.000000,4,-121.5,-121.5,0,0,
09/21/2026,09:34:38:615,0.000000,0.000000,1,-110.72,-110.72,0,0,
09/21/2026,09:34:38:685,0.000000,0.000000,2,-109.61,-109.61,0,0,
09/21/2026,09:34:38:738,0.000000,0.000000,3,-91.55,-91.55,0,0,
09/21/2026,09:34:38:791,0.000000,0.000000,4,-121.33,-121.33,0,0,
09/21/2026,09:34:38:809,0.000000,0.000000,1,-105.87,-105.87,0,0,
09/21/2026,09:34:38:861,0.000000,0.000000,2,-117.21,-117.21,0,0,
09/21/2026,09:34:38:937,0.000000,0.000000,3,-85.89,-85.89,0,0,
09/21/2026,09:34:38:990,0.000000,0.000000,4,-119.34,-119.34,0,0,
09/21/2026,09:34:39:004,0.000000,0.000000,1,-110.8,-110.8,0,0,
09/21/2026,09:34:39:054,0.000000,0.000000,2,-118.69,-118.69,0,0,
09/21/2026,09:34:39:137,0.000000,0.000000,3,-80.11,-80.11,0,0,
09/21/2026,09:34:39:222,0.000000,0.000000,4,-121.69,-121.69,0,0,
09/21/2026,09:34:39:224,0.000000,0.000000,1,-118.39,-118.39,0,0,
09/21/2026,09:34:39:295,0.000000,0.000000,2,-118.97,-118.97,0,0,
09/21/2026,09:34:39:348,0.000000,0.000000,3,-77.96,-77.96,0,0,
09/21/2026,09:34:39:397,0.000000,0.000000,4,-121.47,-121.47,0,0,
09/21/2026,09:34:39:400,0.000000,0.000000,1,-114.28,-114.28,0,0,
09/21/2026,09:34:39:446,0.000000,0.000000,2,-117,-117,0,0,
09/21/2026,09:34:39:512,0.000000,0.000000,3,-84.35,-84.35,0,0,
09/21/2026,09:34:39:568,0.000000,0.000000,4,-119.58,-119.58,0,0,
09/21/2026,09:34:39:915,0.000000,0.000000,1,-105.57,-105.57,0,0,
09/21/2026,09:34:39:943,0.000000,0.000000,2,-106.5,-106.5,0,0,
09/21/2026,09:34:39:971,0.000000,0.000000,3,-76.44,-76.44,0,0,
09/21/2026,09:34:39:997,0.000000,0.000000,4,-117.09,-117.09,0,0,
09/21/2026,09:34:39:998,0.000000,0.000000,1,-119.07,-119.07,0,0,
09/21/2026,09:34:40:009,0.000000,0.000000,2,-103.75,-103.75,0,0,
09/21/2026,09:34:40:026,0.000000,0.000000,3,-65.68,-65.68,0,0,
09/21/2026,09:34:40:055,0.000000,0.000000,4,-120.79,-120.79,0,0,
09/21/2026,09:34:40:059,0.000000,0.000000,1,-109.93,-109.93,0,0,
09/21/2026,09:34:40:079,0.000000,0.000000,2,-108.77,-108.77,0,0,
09/21/2026,09:34:40:109,0.000000,0.000000,3,-72.49,-72.49,0,0,
09/21/2026,09:34:40:145,0.000000,0.000000,4,-119.81,-119.81,0,0,
09/21/2026,09:34:40:176,0.000000,0.000000,1,-115.99,-115.99,0,0,
09/21/2026,09:34:40:215,0.000000,0.000000,2,-106.04,-106.04,0,0,
09/21/2026,09:34:40:294,0.000000,0.000000,3,-66.73,-66.73,0,0,
09/21/2026,09:34:40:336,0.000000,0.000000,4,-121.01,-121.01,0,0,
09/21/2026,09:34:40:354,0.000000,0.000000,1,-113.44,-113.44,0,0,
09/21/2026,09:34:40:410,0.000000,0.000000,2,-107.14,-107.14,0,0,
