Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:54:55:144,0.000000,0.000000,1,-113.31,-113.31,0,0,
09/21/2026,11:54:55:214,0.000000,0.000000,2,-110.14,-110.14,0,0,
09/21/2026,11:54:55:289,0.000000,0.000000,3,-96.9,-96.9,0,0,
09/21/2026,11:54:55:345,0.000000,0.000000,4,-119.62,-119.62,0,0,
09/21/2026,11:54:55:354,0.000000,0.000000,1,-115.52,-115.52,0,0,
09/21/2026,11:54:55:425,0.000000,0.000000,2,-110.24,-110.24,0,0,
09/21/2026,11:54:55:495,0.000000,0.000000,3,-94.77,-94.77,0,0,
09/21/2026,11:54:55:549,0.000000,0.000000,4,-118.84,-118.84,0,0,
09/21/2026,11:54:55:565,0.000000,0.000000,1,-112.99,-112.99,0,0,
09/21/2026,11:54:55:637,0.000000,0.000000,2,-109.94,-109.94,0,0,
09/21/2026,11:54:55:710,0.000000,0.000000,3,-81.53,-81.53,0,0,
09/21/2026,11:54:55:821,0.000000,0.000000,4,-119.44,-119.44,0,0,
09/21/2026,11:54:55:824,0.000000,0.000000,1,-113.08,-113.08,0,0,
09/21/2026,11:54:55:928,0.000000,0.000000,2,-108.75,-108.75,0,0,
09/21/2026,11:54:55:968,0.000000,0.000000,3,-72.08,-72.08,0,0,
09/21/2026,11:54:56:029,0.000000,0.000000,4,-117.3,-117.3,0,0,
09/21/2026,11:54:56:044,0.000000,0.000000,1,-114.97,-114.97,0,0,
09/21/2026,11:54:56:078,0.000000,0.000000,2,-116.68,-116.68,0,0,
09/21/2026,11:54:56:123,0.000000,0.000000,3,-80.96,-80.96,0,0,
09/21/2026,11:54:56:176,0.000000,0.000000,4,-118.29,-118.29,0,0,
09/21/2026,11:54:56:196,0.000000,0.000000,1,-109.65,-109.65,0,0,
09/21/2026,11:54:56:263,0.000000,0.000000,2,-113.56,-113.56,0,0,
09/21/2026,11:54:56:333,0.000000,0.000000,3,-81.38,-81.38,0,0,
09/21/2026,11:54:56:401,0.000000,0.000000,4,-118.24,-118.24,0,0,
09/21/2026,11:54:56:402,0.000000,0.000000,1,-112.4,-112.4,0,0,
09/21/2026,11:54:56:474,0.000000,0.000000,2,-108.79,-108.79,0,0,
09/21/2026,11:54:56:545,0.000000,0.000000,3,-88.47,-88.47,0,0,
09/21/2026,11:54:56:595,0.000000,0.000000,4,-119.43,-119.43,0,0,
09/21/2026,11:54:56:612,0.000000,0.000000,1,-112.4,-112.4,0,0,
09/21/2026,11:54:56:682,0.000000,0.000000,2,-107.45,-107.45,0,0,
