Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:54:54:690,0.000000,0.000000,1,-121.13,-121.13,0,0,
09/21/2026,11:54:54:704,0.000000,0.000000,1,-123.33,-123.33,0,0,
09/21/2026,11:54:54:718,0.000000,0.000000,1,-122.42,-122.42,0,0,
09/21/2026,11:54:54:737,0.000000,0.000000,1,-122.15,-122.15,0,0,
09/21/2026,11:54:54:762,0.000000,0.000000,1,-120.83,-120.83,0,0,
09/21/2026,11:54:54:779,0.000000,0.000000,2,-124.47,-124.47,0,0,
09/21/2026,11:54:54:791,0.000000,0.000000,1,-119.58,-119.58,0,0,
09/21/2026,11:54:54:804,0.000000,0.000000,2,-116.65,-116.65,0,0,
09/21/2026,11:54:54:820,0.000000,0.000000,3,-124.1,-124.1,0,0,
09/21/2026,11:54:54:838,0.000000,0.000000,1,-121.08,-121.08,0,0,
09/21/2026,11:54:54:855,0.000000,0.000000,2,-114.77,-114.77,0,0,
09/21/2026,11:54:54:872,0.000000,0.000000,3,-123.94,-123.94,0,0,
09/21/2026,11:54:54:905,0.000000,0.000000,1,-119.95,-119.95,0,0,
09/21/2026,11:54:54:946,0.000000,0.000000,2,-114.21,-114.21,0,0,
09/21/2026,11:54:54:960,0.000000,0.000000,3,-122.17,-122.17,0,0,
09/21/2026,11:54:55:007,0.000000,0.000000,1,-117.58,-117.58,0,0,
09/21/2026,11:54:55:060,0.000000,0.000000,2,-112.62,-112.62,0,0,
09/21/2026,11:54:55:093,0.000000,0.000000,3,-123.79,-123.79,0,0,
09/21/2026,11:54:55:169,0.000000,0.000000,1,-116.2,-116.2,0,0,
09/21/2026,11:54:55:239,0.000000,0.000000,2,-112.43,-112.43,0,0,
09/21/2026,11:54:55:265,0.000000,0.000000,3,-125.01,-125.01,0,0,
09/21/2026,11:54:55:371,0.000000,0.000000,1,-119.47,-119.47,0,0,
09/21/2026,11:54:55:452,0.000000,0.000000,2,-115.17,-115.17,0,0,
09/21/2026,11:54:55:475,0.000000,0.000000,3,-124.41,-124.41,0,0,
09/21/2026,11:54:55:581,0.000000,0.000000,1,-121.35,-121.35,0,0,
09/21/2026,11:54:55:699,0.000000,0.000000,2,-111.38,-111.38,0,0,
09/21/2026,11:54:55:706,0.000000,0.000000,3,-122.16,-122.16,0,0,
09/21/2026,11:54:55:827,0.000000,0.000000,1,-119.62,-119.62,0,0,
09/21/2026,11:54:55:933,0.000000,0.000000,2,-114.12,-114.12,0,0,
09/21/2026,11:54:55:941,0.000000,0.000000,3,-122.68,-122.68,0,0,
09/21/2026,11:54:56:048,0.000000,0.000000,1,-119.7,-119.7,0,0,
09/21/2026,11:54:56:098,0.000000,0.000000,2,-121.02,-121.02,0,0,
09/21/2026,11:54:56:120,0.000000,0.000000,3,-123.08,-123.08,0,0,
09/21/2026,11:54:56:211,0.000000,0.000000,1,-118.92,-118.92,0,0,
09/21/2026,11:54:56:281,0.000000,0.000000,2,-118.9,-118.9,0,0,
09/21/2026,11:54:56:313,0.000000,0.000000,3,-123.07,-123.07,0,0,
09/21/2026,11:54:56:419,0.000000,0.000000,1,-121.86,-121.86,0,0,
09/21/2026,11:54:56:490,0.000000,0.000000,2,-116.13,-116.13,0,0,
09/21/2026,11:54:56:527,0.000000,0.000000,3,-125.34,-125.34,0,0,
09/21/2026,11:54:56:641,0.000000,0.000000,1,-120.62,-120.62,0,0,
09/21/2026,11:54:56:698,0.000000,0.000000,2,-114.54,-114.54,0,0,
09/21/2026,11:54:56:745,0.000000,0.000000,3,-121.75,-121.75,0,0,
09/21/2026,11:54:56:843,0.000000,0.000000,1,-120.03,-120.03,0,0,
09/21/2026,11:54:56:907,0.000000,0.000000,2,-115.02,-115.02,0,0,
09/21/2026,11:54:56:955,0.000000,0.000000,3,-122.95,-122.95,0,0,
09/21/2026,11:54:57:049,0.000000,0.000000,1,-120.48,-120.48,0,0,
09/21/2026,11:54:57:123,0.000000,0.000000,2,-115.29,-115.29,0,0,
09/21/2026,11:54:57:152,0.000000,0.000000,3,-119.13,-119.13,0,0,
09/21/2026,11:54:57:260,0.000000,0.000000,1,-118.99,-118.99,0,0,
09/21/2026,11:54:57:328,0.000000,0.000000,2,-129.41,-129.41,0,0,
09/21/2026,11:54:57:363,0.000000,0.000000,3,-119.72,-119.72,0,0,
09/21/2026,11:54:57:484,0.000000,0.000000,1,-120.56,-120.56,0,0,
09/21/2026,11:54:57:579,0.000000,0.000000,2,-122.6,-122.6,0,0,
09/21/2026,11:54:57:586,0.000000,0.000000,3,-122.66,-122.66,0,0,
09/21/2026,11:54:57:714,0.000000,0.000000,1,-118.74,-118.74,0,0,
09/21/2026,11:54:57:764,0.000000,0.000000,2,-115.39,-115.39,0,0,
09/21/2026,11:54:57:827,0.000000,0.000000,3,-123.4,-123.4,0,0,
09/21/2026,11:54:57:888,0.000000,0.000000,1,-115.23,-115.23,0,0,
09/21/2026,11:54:57:963,0.000000,0.000000,2,-115.54,-115.54,0,0,
09/21/2026,11:54:57:996,0.000000,0.000000,3,-122.75,-122.75,0,0,
09/21/2026,11:54:58:096,0.000000,0.000000,1,-115.42,-115.42,0,0,
09/21/2026,11:54:58:183,0.000000,0.000000,2,-113.08,-113.08,0,0,
09/21/2026,11:54:58:203,0.000000,0.000000,3,-118.25,-118.25,0,0,
09/21/2026,11:54:58:308,0.000000,0.000000,1,-120.19,-120.19,0,0,
09/21/2026,11:54:58:379,0.000000,0.000000,2,-114.44,-114.44,0,0,
09/21/2026,11:54:58:409,0.000000,0.000000,3,-120.96,-120.96,0,0,
09/21/2026,11:54:58:520,0.000000,0.000000,1,-120.61,-120.61,0,0,
09/21/2026,11:54:58:587,0.000000,0.000000,2,-116.46,-116.46,0,0,
09/21/2026,11:54:58:627,0.000000,0.000000,3,-122.6,-122.6,0,0,
09/21/2026,11:54:58:725,0.000000,0.000000,1,-123.48,-123.48,0,0,
09/21/2026,11:54:58:795,0.000000,0.000000,2,-116.01,-116.01,0,0,
09/21/2026,11:54:58:835,0.000000,0.000000,3,-123.47,-123.47,0,0,
09/21/2026,11:54:58:936,0.000000,0.000000,1,-121.48,-121.48,0,0,
09/21/2026,11:54:59:010,0.000000,0.000000,2,-118.67,-118.67,0,0,
09/21/2026,11:54:59:042,0.000000,0.000000,3,-124.74,-124.74,0,0,
09/21/2026,11:54:59:147,0.000000,0.000000,1,-122.75,-122.75,0,0,
09/21/2026,11:54:59:220,0.000000,0.000000,2,-113.58,-113.58,0,0,
09/21/2026,11:54:59:286,0.000000,0.000000,3,-121.91,-121.91,0,0,
09/21/2026,11:54:59:363,0.000000,0.000000,1,-121.05,-121.05,0,0,
09/21/2026,11:54:59:433,0.000000,0.000000,2,-114.03,-114.03,0,0,
09/21/2026,11:54:59:499,0.000000,0.000000,3,-118.85,-118.85,0,0,
09/21/2026,11:54:59:567,0.000000,0.000000,1,-116.79,-116.79,0,0,
09/21/2026,11:54:59:642,0.000000,0.000000,2,-113.61,-113.61,0,0,
09/21/2026,11:54:59:670,0.000000,0.000000,3,-121.33,-121.33,0,0,
09/21/2026,11:54:59:778,0.000000,0.000000,1,-122.75,-122.75,0,0,
09/21/2026,11:54:59:847,0.000000,0.000000,2,-113.82,-113.82,0,0,
09/21/2026,11:54:59:889,0.000000,0.000000,3,-117.52,-117.52,0,0,
09/21/2026,11:54:59:988,0.000000,0.000000,1,-115.79,-115.79,0,0,
09/21/2026,11:55:00:055,0.000000,0.000000,2,-112.63,-112.63,0,0,
09/21/2026,11:55:00:100,0.000000,0.000000,3,-118.43,-118.43,0,0,
09/21/2026,11:55:00:398,0.000000,0.000000,1,-120.07,-120.07,0,0,
09/21/2026,11:55:00:424,0.000000,0.000000,2,-124.65,-124.65,0,0,
09/21/2026,11:55:00:443,0.000000,0.000000,3,-110.66,-110.66,0,0,
09/21/2026,11:55:00:480,0.000000,0.000000,1,-120.1,-120.1,0,0,
09/21/2026,11:55:00:509,0.000000,0.000000,2,-113.94,-113.94,0,0,
09/21/2026,11:55:00:522,0.000000,0.000000,3,-105.3,-105.3,0,0,
09/21/2026,11:55:00:617,0.000000,0.000000,1,-118.5,-118.5,0,0,
09/21/2026,11:55:00:683,0.000000,0.000000,2,-112.27,-112.27,0,0,
09/21/2026,11:55:00:729,0.000000,0.000000,3,-113.64,-113.64,0,0,
09/21/2026,11:55:00:823,0.000000,0.000000,1,-121.16,-121.16,0,0,
09/21/2026,11:55:00:892,0.000000,0.000000,2,-97.16,-97.16,0,0,
09/21/2026,11:55:00:931,0.000000,0.000000,3,-94.96,-94.96,0,0,
09/21/2026,11:55:01:035,0.000000,0.000000,1,-89.59,-89.59,0,0,
09/21/2026,11:55:01:105,0.000000,0.000000,2,-107,-107,0,0,
09/21/2026,11:55:01:140,0.000000,0.000000,3,-109.35,-109.35,0,0,
09/21/2026,11:55:01:270,0.000000,0.000000,1,-118.96,-118.96,0,0,
09/21/2026,11:55:01:318,0.000000,0.000000,2,-110.74,-110.74,0,0,
09/21/2026,11:55:01:356,0.000000,0.000000,3,-97.64,-97.64,0,0,
09/21/2026,11:55:01:540,0.000000,0.000000,1,-114.15,-114.15,0,0,
09/21/2026,11:55:01:584,0.000000,0.000000,2,-95.34,-95.34,0,0,
09/21/2026,11:55:01:593,0.000000,0.000000,3,-98.92,-98.92,0,0,
09/21/2026,11:55:01:679,0.000000,0.000000,1,-119.47,-119.47,0,0,
09/21/2026,11:55:01:742,0.000000,0.000000,2,-117.39,-117.39,0,0,
