Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:54:54:889,0.000000,0.000000,1,-125.36,-125.36,0,0,
09/21/2026,11:54:54:997,0.000000,0.000000,1,-123.75,-123.75,0,0,
09/21/2026,11:54:55:128,0.000000,0.000000,1,-124.68,-124.68,0,0,
09/21/2026,11:54:55:324,0.000000,0.000000,1,-124.06,-124.06,0,0,
09/21/2026,11:54:55:528,0.000000,0.000000,1,-126.43,-126.43,0,0,
09/21/2026,11:54:55:817,0.000000,0.000000,1,-126.25,-126.25,0,0,
09/21/2026,11:54:55:991,0.000000,0.000000,1,-122.94,-122.94,0,0,
09/21/2026,11:54:56:157,0.000000,0.000000,1,-123.95,-123.95,0,0,
09/21/2026,11:54:56:368,0.000000,0.000000,1,-126.38,-126.38,0,0,
09/21/2026,11:54:56:577,0.000000,0.000000,1,-125.83,-125.83,0,0,
09/21/2026,11:54:56:787,0.000000,0.000000,1,-129.12,-129.12,0,0,
09/21/2026,11:54:56:999,0.000000,0.000000,1,-126.08,-126.08,0,0,
09/21/2026,11:54:57:213,0.000000,0.000000,1,-123.52,-123.52,0,0,
09/21/2026,11:54:57:417,0.000000,0.000000,1,-125.85,-125.85,0,0,
09/21/2026,11:54:57:659,0.000000,0.000000,1,-126.11,-126.11,0,0,
09/21/2026,11:54:57:838,0.000000,0.000000,1,-125.24,-125.24,0,0,
09/21/2026,11:54:58:044,0.000000,0.000000,1,-125.62,-125.62,0,0,
09/21/2026,11:54:58:253,0.000000,0.000000,1,-123.82,-123.82,0,0,
09/21/2026,11:54:58:463,0.000000,0.000000,1,-123.09,-123.09,0,0,
09/21/2026,11:54:58:672,0.000000,0.000000,1,-126.53,-126.53,0,0,
09/21/2026,11:54:58:896,0.000000,0.000000,1,-122.57,-122.57,0,0,
09/21/2026,11:54:59:097,0.000000,0.000000,1,-121.43,-121.43,0,0,
09/21/2026,11:54:59:354,0.000000,0.000000,1,-126.53,-126.53,0,0,
09/21/2026,11:54:59:512,0.000000,0.000000,1,-125.25,-125.25,0,0,
09/21/2026,11:54:59:721,0.000000,0.000000,1,-124.98,-124.98,0,0,
09/21/2026,11:54:59:933,0.000000,0.000000,1,-124.15,-124.15,0,0,
09/21/2026,11:55:00:149,0.000000,0.000000,1,-126.32,-126.32,0,0,
09/21/2026,11:55:00:462,0.000000,0.000000,1,-126.12,-126.12,0,0,
09/21/2026,11:55:00:561,0.000000,0.000000,1,-124.79,-124.79,0,0,
09/21/2026,11:55:00:769,0.000000,0.000000,1,-129.06,-129.06,0,0,
09/21/2026,11:55:00:981,0.000000,0.000000,1,-110.11,-110.11,0,0,
09/21/2026,11:55:01:191,0.000000,0.000000,1,-95.81,-95.81,0,0,
09/21/2026,11:55:01:411,0.000000,0.000000,1,-88.36,-88.36,0,0,
09/21/2026,11:55:01:624,0.000000,0.000000,1,-125.84,-125.84,0,0,
09/21/2026,11:55:01:837,0.000000,0.000000,1,-125.29,-125.29,0,0,
09/21/2026,11:55:02:043,0.000000,0.000000,1,-125.32,-125.32,0,0,
09/21/2026,11:55:02:250,0.000000,0.000000,1,-126.91,-126.91,0,0,
09/21/2026,11:55:02:458,0.000000,0.000000,1,-124.56,-124.56,0,0,
09/21/2026,11:55:02:669,0.000000,0.000000,1,-125.38,-125.38,0,0,
09/21/2026,11:55:02:883,0.000000,0.000000,1,-126.59,-126.59,0,0,
09/21/2026,11:55:03:091,0.000000,0.000000,1,-119.41,-119.41,0,0,
09/21/2026,11:55:03:329,0.000000,0.000000,1,-126.72,-126.72,0,0,
09/21/2026,11:55:03:515,0.000000,0.000000,1,-130,-130,0,0,
09/21/2026,11:55:03:724,0.000000,0.000000,1,-127.45,-127.45,0,0,
09/21/2026,11:55:03:926,0.000000,0.000000,1,-126.87,-126.87,0,0,
09/21/2026,11:55:04:138,0.000000,0.000000,1,-125.84,-125.84,0,0,
09/21/2026,11:55:04:361,0.000000,0.000000,1,-126.41,-126.41,0,0,
09/21/2026,11:55:04:585,0.000000,0.000000,1,-125.1,-125.1,0,0,
09/21/2026,11:55:04:766,0.000000,0.000000,1,-126.41,-126.41,0,0,
09/21/2026,11:55:04:985,0.000000,0.000000,1,-125.33,-125.33,0,0,
09/21/2026,11:55:05:190,0.000000,0.000000,1,-127.21,-127.21,0,0,
09/21/2026,11:55:05:398,0.000000,0.000000,1,-125.09,-125.09,0,0,
09/21/2026,11:55:05:909,0.000000,0.000000,1,-125.81,-125.81,0,0,
09/21/2026,11:55:05:965,0.000000,0.000000,1,-127.56,-127.56,0,0,
09/21/2026,11:55:06:044,0.000000,0.000000,1,-126.25,-126.25,0,0,
09/21/2026,11:55:06:233,0.000000,0.000000,1,-124.58,-124.58,0,0,
09/21/2026,11:55:06:443,0.000000,0.000000,1,-127.91,-127.91,0,0,
09/21/2026,11:55:06:653,0.000000,0.000000,1,-124.2,-124.2,0,0,
09/21/2026,11:55:06:908,0.000000,0.000000,1,-127.18,-127.18,0,0,
09/21/2026,11:55:07:114,0.000000,0.000000,1,-125.47,-125.47,0,0,
09/21/2026,11:55:07:281,0.000000,0.000000,1,-125.28,-125.28,0,0,
09/21/2026,11:55:07:493,0.000000,0.000000,1,-123.63,-123.63,0,0,
09/21/2026,11:55:07:702,0.000000,0.000000,1,-125.19,-125.19,0,0,
09/21/2026,11:55:07:924,0.000000,0.000000,1,-127.35,-127.35,0,0,
09/21/2026,11:55:08:121,0.000000,0.000000,1,-128.16,-128.16,0,0,
09/21/2026,11:55:08:329,0.000000,0.000000,1,-124.38,-124.38,0,0,
09/21/2026,11:55:08:541,0.000000,0.000000,1,-125,-125,0,0,
09/21/2026,11:55:08:791,0.000000,0.000000,1,-124.42,-124.42,0,0,
09/21/2026,11:55:08:964,0.000000,0.000000,1,-128.45,-128.45,0,0,
09/21/2026,11:55:09:181,0.000000,0.000000,1,-124.35,-124.35,0,0,
09/21/2026,11:55:09:380,0.000000,0.000000,1,-126.93,-126.93,0,0,
09/21/2026,11:55:09:587,0.000000,0.000000,1,-125.55,-125.55,0,0,
09/21/2026,11:55:09:801,0.000000,0.000000,1,-126.8,-126.8,0,0,
09/21/2026,11:55:10:009,0.000000,0.000000,1,-125.02,-125.02,0,0,
09/21/2026,11:55:10:217,0.000000,0.000000,1,-126.43,-126.43,0,0,
09/21/2026,11:55:10:436,0.000000,0.000000,1,-125.32,-125.32,0,0,
09/21/2026,11:55:10:637,0.000000,0.000000,1,-124.81,-124.81,0,0,
09/21/2026,11:55:10:847,0.000000,0.000000,1,-123.04,-123.04,0,0,
09/21/2026,11:55:11:366,0.000000,0.000000,1,-125.12,-125.12,0,0,
09/21/2026,11:55:11:478,0.000000,0.000000,1,-127.85,-127.85,0,0,
09/21/2026,11:55:11:545,0.000000,0.000000,1,-125.9,-125.9,0,0,
09/21/2026,11:55:11:685,0.000000,0.000000,1,-125.66,-125.66,0,0,
09/21/2026,11:55:11:903,0.000000,0.000000,1,-124.28,-124.28,0,0,
09/21/2026,11:55:12:103,0.000000,0.000000,1,-125.9,-125.9,0,0,
09/21/2026,11:55:12:357,0.000000,0.000000,1,-128.27,-128.27,0,0,
09/21/2026,11:55:12:526,0.000000,0.000000,1,-124.27,-124.27,0,0,
09/21/2026,11:55:12:737,0.000000,0.000000,1,-124.85,-124.85,0,0,
09/21/2026,11:55:12:946,0.000000,0.000000,1,-126.64,-126.64,0,0,
09/21/2026,11:55:13:153,0.000000,0.000000,1,-127.14,-127.14,0,0,
09/21/2026,11:55:13:371,0.000000,0.000000,1,-125.8,-125.8,0,0,
09/21/2026,11:55:13:572,0.000000,0.000000,1,-126.94,-126.94,0,0,
09/21/2026,11:55:13:780,0.000000,0.000000,1,-125.92,-125.92,0,0,
09/21/2026,11:55:13:993,0.000000,0.000000,1,-126.22,-126.22,0,0,
09/21/2026,11:55:14:209,0.000000,0.000000,1,-125.18,-125.18,0,0,
09/21/2026,11:55:14:447,0.000000,0.000000,1,-126.63,-126.63,0,0,
09/21/2026,11:55:14:621,0.000000,0.000000,1,-125.25,-125.25,0,0,
09/21/2026,11:55:14:830,0.000000,0.000000,1,-127.37,-127.37,0,0,
09/21/2026,11:55:15:039,0.000000,0.000000,1,-127.55,-127.55,0,0,
09/21/2026,11:55:15:249,0.000000,0.000000,1,-128.85,-128.85,0,0,
09/21/2026,11:55:15:459,0.000000,0.000000,1,-126.17,-126.17,0,0,
09/21/2026,11:55:15:681,0.000000,0.000000,1,-124.96,-124.96,0,0,
09/21/2026,11:55:15:878,0.000000,0.000000,1,-125.37,-125.37,0,0,
09/21/2026,11:55:16:139,0.000000,0.000000,1,-125.3,-125.3,0,0,
09/21/2026,11:55:16:337,0.000000,0.000000,1,-126.29,-126.29,0,0,
09/21/2026,11:55:16:816,0.000000,0.000000,1,-127.6,-127.6,0,0,
09/21/2026,11:55:16:883,0.000000,0.000000,1,-128.16,-128.16,0,0,
09/21/2026,11:55:16:940,0.000000,0.000000,1,-122.72,-122.72,0,0,
09/21/2026,11:55:17:138,0.000000,0.000000,1,-125.27,-125.27,0,0,
09/21/2026,11:55:17:351,0.000000,0.000000,1,-126.75,-126.75,0,0,
09/21/2026,11:55:17:557,0.000000,0.000000,1,-126.75,-126.75,0,0,
09/21/2026,11:55:17:814,0.000000,0.000000,1,-125.39,-125.39,0,0,
09/21/2026,11:55:17:998,0.000000,0.000000,1,-124.67,-124.67,0,0,
09/21/2026,11:55:18:186,0.000000,0.000000,1,-127.06,-127.06,0,0,
09/21/2026,11:55:18:397,0.000000,0.000000,1,-124.33,-124.33,0,0,
