Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:36:03:833,0.000000,0.000000,1,-120.96,-120.96,0,0,
09/21/2026,09:36:03:891,0.000000,0.000000,2,-124.43,-124.43,0,0,
09/21/2026,09:36:03:918,0.000000,0.000000,1,-120.33,-120.33,0,0,
09/21/2026,09:36:03:943,0.000000,0.000000,3,-127.81,-127.81,0,0,
09/21/2026,09:36:04:049,0.000000,0.000000,4,-74.02,-74.02,0,0,
09/21/2026,09:36:04:053,0.000000,0.000000,2,-125.02,-125.02,0,0,
09/21/2026,09:36:04:059,0.000000,0.000000,1,-120.56,-120.56,0,0,
09/21/2026,09:36:04:109,0.000000,0.000000,3,-126.4,-126.4,0,0,
09/21/2026,09:36:04:148,0.000000,0.000000,4,-81.04,-81.04,0,0,
09/21/2026,09:36:04:175,0.000000,0.000000,2,-125,-125,0,0,
09/21/2026,09:36:04:189,0.000000,0.000000,1,-120.69,-120.69,0,0,
09/21/2026,09:36:04:259,0.000000,0.000000,3,-122.18,-122.18,0,0,
09/21/2026,09:36:04:326,0.000000,0.000000,4,-73.56,-73.56,0,0,
09/21/2026,09:36:04:363,0.000000,0.000000,2,-126.28,-126.28,0,0,
09/21/2026,09:36:04:394,0.000000,0.000000,1,-121.32,-121.32,0,0,
09/21/2026,09:36:04:486,0.000000,0.000000,3,-126.03,-126.03,0,0,
09/21/2026,09:36:04:521,0.000000,0.000000,4,-73.47,-73.47,0,0,
09/21/2026,09:36:04:550,0.000000,0.000000,2,-125.11,-125.11,0,0,
09/21/2026,09:36:04:572,0.000000,0.000000,1,-121.44,-121.44,0,0,
09/21/2026,09:36:04:652,0.000000,0.000000,3,-125,-125,0,0,
09/21/2026,09:36:04:770,0.000000,0.000000,4,-84.02,-84.02,0,0,
09/21/2026,09:36:04:824,0.000000,0.000000,2,-122.57,-122.57,0,0,
09/21/2026,09:36:04:828,0.000000,0.000000,1,-121.75,-121.75,0,0,
09/21/2026,09:36:04:978,0.000000,0.000000,3,-126.02,-126.02,0,0,
09/21/2026,09:36:04:991,0.000000,0.000000,4,-78.93,-78.93,0,0,
09/21/2026,09:36:05:025,0.000000,0.000000,2,-124.14,-124.14,0,0,
09/21/2026,09:36:05:059,0.000000,0.000000,1,-121.04,-121.04,0,0,
09/21/2026,09:36:05:145,0.000000,0.000000,3,-124.97,-124.97,0,0,
09/21/2026,09:36:05:166,0.000000,0.000000,4,-79.56,-79.56,0,0,
09/21/2026,09:36:05:181,0.000000,0.000000,2,-123.54,-123.54,0,0,
09/21/2026,09:36:05:196,0.000000,0.000000,1,-121.72,-121.72,0,0,
09/21/2026,09:36:05:260,0.000000,0.000000,3,-126.06,-126.06,0,0,
09/21/2026,09:36:05:286,0.000000,0.000000,4,-79.09,-79.09,0,0,
09/21/2026,09:36:05:363,0.000000,0.000000,2,-124.36,-124.36,0,0,
09/21/2026,09:36:05:388,0.000000,0.000000,1,-120.19,-120.19,0,0,
09/21/2026,09:36:05:439,0.000000,0.000000,3,-124.45,-124.45,0,0,
