Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:51:12:272,0.000000,0.000000,1,-127.51,-127.51,0,0,
09/21/2026,11:51:12:357,0.000000,0.000000,1,-126.49,-126.49,0,0,
09/21/2026,11:51:12:459,0.000000,0.000000,1,-126.11,-126.11,0,0,
09/21/2026,11:51:12:584,0.000000,0.000000,1,-125.44,-125.44,0,0,
09/21/2026,11:51:12:749,0.000000,0.000000,1,-125.91,-125.91,0,0,
09/21/2026,11:51:12:968,0.000000,0.000000,1,-127.08,-127.08,0,0,
09/21/2026,11:51:13:167,0.000000,0.000000,1,-125.01,-125.01,0,0,
09/21/2026,11:51:13:400,0.000000,0.000000,1,-126.52,-126.52,0,0,
09/21/2026,11:51:13:642,0.000000,0.000000,1,-126.09,-126.09,0,0,
09/21/2026,11:51:13:856,0.000000,0.000000,1,-124.39,-124.39,0,0,
09/21/2026,11:51:14:020,0.000000,0.000000,1,-125.53,-125.53,0,0,
09/21/2026,11:51:14:216,0.000000,0.000000,1,-126.43,-126.43,0,0,
09/21/2026,11:51:14:425,0.000000,0.000000,1,-129,-129,0,0,
09/21/2026,11:51:14:637,0.000000,0.000000,1,-125.77,-125.77,0,0,
09/21/2026,11:51:14:843,0.000000,0.000000,1,-124.2,-124.2,0,0,
09/21/2026,11:51:15:054,0.000000,0.000000,1,-125.83,-125.83,0,0,
09/21/2026,11:51:15:264,0.000000,0.000000,1,-126.07,-126.07,0,0,
09/21/2026,11:51:15:503,0.000000,0.000000,1,-125.37,-125.37,0,0,
09/21/2026,11:51:15:701,0.000000,0.000000,1,-128.13,-128.13,0,0,
09/21/2026,11:51:15:898,0.000000,0.000000,1,-125.32,-125.32,0,0,
09/21/2026,11:51:16:102,0.000000,0.000000,1,-127.19,-127.19,0,0,
09/21/2026,11:51:16:313,0.000000,0.000000,1,-125.82,-125.82,0,0,
09/21/2026,11:51:16:530,0.000000,0.000000,1,-126.01,-126.01,0,0,
09/21/2026,11:51:16:744,0.000000,0.000000,1,-125.35,-125.35,0,0,
09/21/2026,11:51:16:949,0.000000,0.000000,1,-126.92,-126.92,0,0,
09/21/2026,11:51:17:164,0.000000,0.000000,1,-125.02,-125.02,0,0,
09/21/2026,11:51:17:404,0.000000,0.000000,1,-125.72,-125.72,0,0,
09/21/2026,11:51:17:583,0.000000,0.000000,1,-124.14,-124.14,0,0,
09/21/2026,11:51:17:828,0.000000,0.000000,1,-123.05,-123.05,0,0,
09/21/2026,11:51:17:991,0.000000,0.000000,1,-126.26,-126.26,0,0,
09/21/2026,11:51:18:198,0.000000,0.000000,1,-123.68,-123.68,0,0,
09/21/2026,11:51:18:413,0.000000,0.000000,1,-128.36,-128.36,0,0,
09/21/2026,11:51:18:617,0.000000,0.000000,1,-127.68,-127.68,0,0,
09/21/2026,11:51:18:834,0.000000,0.000000,1,-124.46,-124.46,0,0,
09/21/2026,11:51:19:073,0.000000,0.000000,1,-123.88,-123.88,0,0,
09/21/2026,11:51:19:270,0.000000,0.000000,1,-128.42,-128.42,0,0,
09/21/2026,11:51:19:457,0.000000,0.000000,1,-126.31,-126.31,0,0,
09/21/2026,11:51:19:666,0.000000,0.000000,1,-124.88,-124.88,0,0,
09/21/2026,11:51:19:875,0.000000,0.000000,1,-127.73,-127.73,0,0,
09/21/2026,11:51:20:085,0.000000,0.000000,1,-122.3,-122.3,0,0,
09/21/2026,11:51:20:306,0.000000,0.000000,1,-123.83,-123.83,0,0,
09/21/2026,11:51:20:524,0.000000,0.000000,1,-126.27,-126.27,0,0,
09/21/2026,11:51:20:714,0.000000,0.000000,1,-123.99,-123.99,0,0,
09/21/2026,11:51:20:946,0.000000,0.000000,1,-122.79,-122.79,0,0,
09/21/2026,11:51:21:197,0.000000,0.000000,1,-122.31,-122.31,0,0,
09/21/2026,11:51:21:345,0.000000,0.000000,1,-120.98,-120.98,0,0,
09/21/2026,11:51:21:555,0.000000,0.000000,1,-124.8,-124.8,0,0,
09/21/2026,11:51:21:762,0.000000,0.000000,1,-122.37,-122.37,0,0,
09/21/2026,11:51:21:973,0.000000,0.000000,1,-126.37,-126.37,0,0,
