Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:37:38:761,0.000000,0.000000,1,-124.02,-124.02,0,0,
09/21/2026,09:37:38:781,0.000000,0.000000,1,-124.66,-124.66,0,0,
09/21/2026,09:37:38:807,0.000000,0.000000,1,-124.4,-124.4,0,0,
09/21/2026,09:37:38:811,0.000000,0.000000,1,-123.44,-123.44,0,0,
09/21/2026,09:37:38:823,0.000000,0.000000,1,-123.36,-123.36,0,0,
09/21/2026,09:37:38:841,0.000000,0.000000,1,-121.41,-121.41,0,0,
09/21/2026,09:37:38:856,0.000000,0.000000,1,-125.38,-125.38,0,0,
09/21/2026,09:37:38:882,0.000000,0.000000,2,-119.01,-119.01,0,0,
09/21/2026,09:37:38:890,0.000000,0.000000,1,-122.14,-122.14,0,0,
09/21/2026,09:37:38:908,0.000000,0.000000,2,-117.59,-117.59,0,0,
09/21/2026,09:37:38:923,0.000000,0.000000,1,-121.4,-121.4,0,0,
09/21/2026,09:37:38:951,0.000000,0.000000,3,-126.5,-126.5,0,0,
09/21/2026,09:37:38:959,0.000000,0.000000,2,-118.5,-118.5,0,0,
09/21/2026,09:37:38:991,0.000000,0.000000,1,-121.77,-121.77,0,0,
09/21/2026,09:37:39:012,0.000000,0.000000,3,-126.79,-126.79,0,0,
09/21/2026,09:37:39:051,0.000000,0.000000,2,-119.47,-119.47,0,0,
09/21/2026,09:37:39:073,0.000000,0.000000,1,-124.92,-124.92,0,0,
09/21/2026,09:37:39:122,0.000000,0.000000,3,-124.98,-124.98,0,0,
09/21/2026,09:37:39:144,0.000000,0.000000,2,-121.99,-121.99,0,0,
09/21/2026,09:37:39:203,0.000000,0.000000,1,-123.61,-123.61,0,0,
09/21/2026,09:37:39:248,0.000000,0.000000,3,-126.1,-126.1,0,0,
09/21/2026,09:37:39:300,0.000000,0.000000,2,-118.54,-118.54,0,0,
09/21/2026,09:37:39:375,0.000000,0.000000,1,-122.7,-122.7,0,0,
09/21/2026,09:37:39:441,0.000000,0.000000,3,-123.42,-123.42,0,0,
09/21/2026,09:37:39:492,0.000000,0.000000,2,-116.6,-116.6,0,0,
09/21/2026,09:37:39:564,0.000000,0.000000,1,-123.85,-123.85,0,0,
09/21/2026,09:37:39:640,0.000000,0.000000,3,-124.25,-124.25,0,0,
09/21/2026,09:37:39:690,0.000000,0.000000,2,-121.41,-121.41,0,0,
09/21/2026,09:37:39:778,0.000000,0.000000,1,-123.78,-123.78,0,0,
09/21/2026,09:37:39:866,0.000000,0.000000,3,-127.22,-127.22,0,0,
09/21/2026,09:37:39:904,0.000000,0.000000,2,-119.27,-119.27,0,0,
09/21/2026,09:37:39:961,0.000000,0.000000,1,-123.9,-123.9,0,0,
09/21/2026,09:37:40:037,0.000000,0.000000,3,-124.02,-124.02,0,0,
09/21/2026,09:37:40:089,0.000000,0.000000,2,-117.76,-117.76,0,0,
09/21/2026,09:37:40:144,0.000000,0.000000,1,-124.44,-124.44,0,0,
09/21/2026,09:37:40:216,0.000000,0.000000,3,-125.6,-125.6,0,0,
09/21/2026,09:37:40:272,0.000000,0.000000,2,-117.93,-117.93,0,0,
09/21/2026,09:37:40:342,0.000000,0.000000,1,-125.58,-125.58,0,0,
09/21/2026,09:37:40:412,0.000000,0.000000,3,-126.26,-126.26,0,0,
09/21/2026,09:37:40:460,0.000000,0.000000,2,-119.72,-119.72,0,0,
09/21/2026,09:37:40:531,0.000000,0.000000,1,-125.72,-125.72,0,0,
09/21/2026,09:37:40:607,0.000000,0.000000,3,-124.55,-124.55,0,0,
09/21/2026,09:37:40:654,0.000000,0.000000,2,-120.71,-120.71,0,0,
09/21/2026,09:37:40:724,0.000000,0.000000,1,-125.39,-125.39,0,0,
09/21/2026,09:37:40:793,0.000000,0.000000,3,-122.72,-122.72,0,0,
09/21/2026,09:37:40:845,0.000000,0.000000,2,-119.77,-119.77,0,0,
09/21/2026,09:37:40:916,0.000000,0.000000,1,-124.11,-124.11,0,0,
09/21/2026,09:37:40:984,0.000000,0.000000,3,-123.72,-123.72,0,0,
09/21/2026,09:37:41:045,0.000000,0.000000,2,-120.01,-120.01,0,0,
09/21/2026,09:37:41:118,0.000000,0.000000,1,-127.56,-127.56,0,0,
09/21/2026,09:37:41:174,0.000000,0.000000,3,-125.3,-125.3,0,0,
09/21/2026,09:37:41:237,0.000000,0.000000,2,-118.69,-118.69,0,0,
09/21/2026,09:37:41:298,0.000000,0.000000,1,-125.3,-125.3,0,0,
09/21/2026,09:37:41:380,0.000000,0.000000,3,-125.56,-125.56,0,0,
09/21/2026,09:37:41:420,0.000000,0.000000,2,-118.16,-118.16,0,0,
09/21/2026,09:37:41:491,0.000000,0.000000,1,-125.84,-125.84,0,0,
09/21/2026,09:37:41:582,0.000000,0.000000,3,-126.3,-126.3,0,0,
09/21/2026,09:37:41:625,0.000000,0.000000,2,-118.94,-118.94,0,0,
09/21/2026,09:37:41:705,0.000000,0.000000,1,-126.45,-126.45,0,0,
09/21/2026,09:37:41:757,0.000000,0.000000,3,-124.44,-124.44,0,0,
09/21/2026,09:37:41:831,0.000000,0.000000,2,-120.33,-120.33,0,0,
09/21/2026,09:37:41:877,0.000000,0.000000,1,-125.24,-125.24,0,0,
09/21/2026,09:37:41:987,0.000000,0.000000,3,-124.36,-124.36,0,0,
09/21/2026,09:37:41:999,0.000000,0.000000,2,-118.64,-118.64,0,0,
09/21/2026,09:37:42:080,0.000000,0.000000,1,-123.7,-123.7,0,0,
09/21/2026,09:37:42:146,0.000000,0.000000,3,-124.65,-124.65,0,0,
09/21/2026,09:37:42:200,0.000000,0.000000,2,-120.46,-120.46,0,0,
09/21/2026,09:37:42:261,0.000000,0.000000,1,-125.25,-125.25,0,0,
09/21/2026,09:37:42:334,0.000000,0.000000,3,-125.49,-125.49,0,0,
09/21/2026,09:37:42:386,0.000000,0.000000,2,-120.37,-120.37,0,0,
09/21/2026,09:37:42:460,0.000000,0.000000,1,-124.93,-124.93,0,0,
09/21/2026,09:37:42:528,0.000000,0.000000,3,-126.16,-126.16,0,0,
09/21/2026,09:37:42:578,0.000000,0.000000,2,-117.52,-117.52,0,0,
09/21/2026,09:37:42:656,0.000000,0.000000,1,-124.83,-124.83,0,0,
09/21/2026,09:37:42:727,0.000000,0.000000,3,-123.36,-123.36,0,0,
09/21/2026,09:37:42:770,0.000000,0.000000,2,-118.29,-118.29,0,0,
09/21/2026,09:37:42:841,0.000000,0.000000,1,-123.75,-123.75,0,0,
09/21/2026,09:37:42:915,0.000000,0.000000,3,-127.26,-127.26,0,0,
09/21/2026,09:37:42:974,0.000000,0.000000,2,-118.03,-118.03,0,0,
09/21/2026,09:37:43:046,0.000000,0.000000,1,-126.1,-126.1,0,0,
09/21/2026,09:37:43:141,0.000000,0.000000,3,-124.76,-124.76,0,0,
09/21/2026,09:37:43:165,0.000000,0.000000,2,-116.94,-116.94,0,0,
09/21/2026,09:37:43:236,0.000000,0.000000,1,-123.53,-123.53,0,0,
09/21/2026,09:37:43:297,0.000000,0.000000,3,-126.15,-126.15,0,0,
09/21/2026,09:37:43:347,0.000000,0.000000,2,-117.89,-117.89,0,0,
09/21/2026,09:37:43:420,0.000000,0.000000,1,-125.06,-125.06,0,0,
09/21/2026,09:37:43:547,0.000000,0.000000,3,-124.46,-124.46,0,0,
09/21/2026,09:37:43:585,0.000000,0.000000,2,-116.9,-116.9,0,0,
09/21/2026,09:37:43:636,0.000000,0.000000,1,-125.54,-125.54,0,0,
09/21/2026,09:37:43:680,0.000000,0.000000,3,-123.77,-123.77,0,0,
09/21/2026,09:37:43:757,0.000000,0.000000,2,-118.25,-118.25,0,0,
09/21/2026,09:37:43:819,0.000000,0.000000,1,-125.52,-125.52,0,0,
09/21/2026,09:37:43:880,0.000000,0.000000,3,-125.91,-125.91,0,0,
09/21/2026,09:37:43:928,0.000000,0.000000,2,-118.54,-118.54,0,0,
09/21/2026,09:37:44:001,0.000000,0.000000,1,-124.9,-124.9,0,0,
09/21/2026,09:37:44:077,0.000000,0.000000,3,-120.74,-120.74,0,0,
09/21/2026,09:37:44:120,0.000000,0.000000,2,-119.91,-119.91,0,0,
09/21/2026,09:37:44:193,0.000000,0.000000,1,-126.51,-126.51,0,0,
09/21/2026,09:37:44:461,0.000000,0.000000,3,-123.07,-123.07,0,0,
09/21/2026,09:37:44:554,0.000000,0.000000,2,-119.52,-119.52,0,0,
09/21/2026,09:37:44:580,0.000000,0.000000,1,-124.43,-124.43,0,0,
09/21/2026,09:37:44:620,0.000000,0.000000,3,-121.99,-121.99,0,0,
09/21/2026,09:37:44:631,0.000000,0.000000,2,-119.65,-119.65,0,0,
09/21/2026,09:37:44:650,0.000000,0.000000,1,-125.47,-125.47,0,0,
09/21/2026,09:37:44:673,0.000000,0.000000,3,-119.6,-119.6,0,0,
09/21/2026,09:37:44:698,0.000000,0.000000,2,-118.96,-118.96,0,0,
09/21/2026,09:37:44:768,0.000000,0.000000,1,-123.5,-123.5,0,0,
09/21/2026,09:37:44:841,0.000000,0.000000,3,-124.99,-124.99,0,0,
09/21/2026,09:37:44:892,0.000000,0.000000,2,-118.97,-118.97,0,0,
09/21/2026,09:37:44:963,0.000000,0.000000,1,-126.24,-126.24,0,0,
09/21/2026,09:37:45:035,0.000000,0.000000,3,-118.33,-118.33,0,0,
09/21/2026,09:37:45:089,0.000000,0.000000,2,-119.75,-119.75,0,0,
09/21/2026,09:37:45:155,0.000000,0.000000,1,-123.24,-123.24,0,0,
