Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:46:51:356,0.000000,0.000000,1,-123.59,-123.59,0,0,
09/21/2026,11:46:51:381,0.000000,0.000000,1,-125.46,-125.46,0,0,
09/21/2026,11:46:51:385,0.000000,0.000000,1,-124.09,-124.09,0,0,
09/21/2026,11:46:51:401,0.000000,0.000000,1,-124.47,-124.47,0,0,
09/21/2026,11:46:51:429,0.000000,0.000000,1,-122.48,-122.48,0,0,
09/21/2026,11:46:51:435,0.000000,0.000000,1,-124.54,-124.54,0,0,
09/21/2026,11:46:51:481,0.000000,0.000000,1,-125.5,-125.5,0,0,
09/21/2026,11:46:51:486,0.000000,0.000000,1,-126.37,-126.37,0,0,
09/21/2026,11:46:51:493,0.000000,0.000000,1,-122.81,-122.81,0,0,
09/21/2026,11:46:51:504,0.000000,0.000000,2,-121.04,-121.04,0,0,
09/21/2026,11:46:51:534,0.000000,0.000000,1,-122.71,-122.71,0,0,
09/21/2026,11:46:51:550,0.000000,0.000000,2,-122.13,-122.13,0,0,
09/21/2026,11:46:51:595,0.000000,0.000000,1,-122.49,-122.49,0,0,
09/21/2026,11:46:51:639,0.000000,0.000000,2,-123.17,-123.17,0,0,
09/21/2026,11:46:51:649,0.000000,0.000000,1,-124.37,-124.37,0,0,
09/21/2026,11:46:51:652,0.000000,0.000000,2,-124.87,-124.87,0,0,
09/21/2026,11:46:51:659,0.000000,0.000000,1,-125.4,-125.4,0,0,
09/21/2026,11:46:51:686,0.000000,0.000000,2,-122.89,-122.89,0,0,
09/21/2026,11:46:51:709,0.000000,0.000000,3,-122.71,-122.71,0,0,
09/21/2026,11:46:51:716,0.000000,0.000000,1,-123.27,-123.27,0,0,
09/21/2026,11:46:51:731,0.000000,0.000000,2,-125.16,-125.16,0,0,
09/21/2026,11:46:51:741,0.000000,0.000000,3,-125.45,-125.45,0,0,
09/21/2026,11:46:51:770,0.000000,0.000000,1,-124.2,-124.2,0,0,
09/21/2026,11:46:51:804,0.000000,0.000000,2,-123.6,-123.6,0,0,
09/21/2026,11:46:51:806,0.000000,0.000000,3,-124.04,-124.04,0,0,
09/21/2026,11:46:51:810,0.000000,0.000000,1,-124.51,-124.51,0,0,
09/21/2026,11:46:51:833,0.000000,0.000000,2,-123.62,-123.62,0,0,
09/21/2026,11:46:51:852,0.000000,0.000000,3,-126.16,-126.16,0,0,
09/21/2026,11:46:51:857,0.000000,0.000000,4,-91.97,-91.97,0,0,
09/21/2026,11:46:51:867,0.000000,0.000000,1,-122.64,-122.64,0,0,
09/21/2026,11:46:51:885,0.000000,0.000000,2,-122.34,-122.34,0,0,
09/21/2026,11:46:51:891,0.000000,0.000000,3,-125.73,-125.73,0,0,
09/21/2026,11:46:51:906,0.000000,0.000000,4,-88.03,-88.03,0,0,
09/21/2026,11:46:51:923,0.000000,0.000000,1,-122.97,-122.97,0,0,
