Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:46:52:294,0.000000,0.000000,1,-122.47,-122.47,0,0,
09/21/2026,11:46:52:331,0.000000,0.000000,2,-126.24,-126.24,0,0,
09/21/2026,11:46:52:376,0.000000,0.000000,3,-124.04,-124.04,0,0,
09/21/2026,11:46:52:422,0.000000,0.000000,1,-124.4,-124.4,0,0,
09/21/2026,11:46:52:432,0.000000,0.000000,4,-122.19,-122.19,0,0,
09/21/2026,11:46:52:513,0.000000,0.000000,2,-126.54,-126.54,0,0,
09/21/2026,11:46:52:573,0.000000,0.000000,3,-124.89,-124.89,0,0,
09/21/2026,11:46:52:621,0.000000,0.000000,1,-125.53,-125.53,0,0,
09/21/2026,11:46:52:652,0.000000,0.000000,4,-122.54,-122.54,0,0,
09/21/2026,11:46:52:750,0.000000,0.000000,2,-124.32,-124.32,0,0,
09/21/2026,11:46:52:824,0.000000,0.000000,3,-123.65,-123.65,0,0,
09/21/2026,11:46:52:889,0.000000,0.000000,1,-126.16,-126.16,0,0,
09/21/2026,11:46:52:959,0.000000,0.000000,4,-121.9,-121.9,0,0,
09/21/2026,11:46:53:048,0.000000,0.000000,2,-122.93,-122.93,0,0,
09/21/2026,11:46:53:250,0.000000,0.000000,3,-125.68,-125.68,0,0,
09/21/2026,11:46:53:297,0.000000,0.000000,1,-122.87,-122.87,0,0,
09/21/2026,11:46:53:305,0.000000,0.000000,4,-125.26,-125.26,0,0,
09/21/2026,11:46:53:420,0.000000,0.000000,2,-120.11,-120.11,0,0,
09/21/2026,11:46:53:493,0.000000,0.000000,3,-122.43,-122.43,0,0,
09/21/2026,11:46:53:552,0.000000,0.000000,1,-122.19,-122.19,0,0,
09/21/2026,11:46:53:584,0.000000,0.000000,4,-120.9,-120.9,0,0,
09/21/2026,11:46:53:707,0.000000,0.000000,2,-123.6,-123.6,0,0,
09/21/2026,11:46:53:812,0.000000,0.000000,3,-120.54,-120.54,0,0,
09/21/2026,11:46:53:899,0.000000,0.000000,1,-125.07,-125.07,0,0,
09/21/2026,11:46:53:915,0.000000,0.000000,4,-123.69,-123.69,0,0,
09/21/2026,11:46:54:035,0.000000,0.000000,2,-121.93,-121.93,0,0,
09/21/2026,11:46:54:147,0.000000,0.000000,3,-124.98,-124.98,0,0,
09/21/2026,11:46:54:209,0.000000,0.000000,1,-124.13,-124.13,0,0,
09/21/2026,11:46:54:248,0.000000,0.000000,4,-119.69,-119.69,0,0,
09/21/2026,11:46:54:390,0.000000,0.000000,2,-121.03,-121.03,0,0,
09/21/2026,11:46:54:470,0.000000,0.000000,3,-125.19,-125.19,0,0,
09/21/2026,11:46:54:540,0.000000,0.000000,1,-123.97,-123.97,0,0,
09/21/2026,11:46:54:585,0.000000,0.000000,4,-119.07,-119.07,0,0,
09/21/2026,11:46:54:704,0.000000,0.000000,2,-121.38,-121.38,0,0,
09/21/2026,11:46:54:798,0.000000,0.000000,3,-122.94,-122.94,0,0,
09/21/2026,11:46:54:868,0.000000,0.000000,1,-123.85,-123.85,0,0,
09/21/2026,11:46:54:902,0.000000,0.000000,4,-122.89,-122.89,0,0,
09/21/2026,11:46:55:028,0.000000,0.000000,2,-124.2,-124.2,0,0,
09/21/2026,11:46:55:174,0.000000,0.000000,3,-123.4,-123.4,0,0,
09/21/2026,11:46:55:300,0.000000,0.000000,1,-122.89,-122.89,0,0,
09/21/2026,11:46:55:309,0.000000,0.000000,4,-121.28,-121.28,0,0,
09/21/2026,11:46:55:410,0.000000,0.000000,2,-120.87,-120.87,0,0,
09/21/2026,11:46:55:474,0.000000,0.000000,3,-122.46,-122.46,0,0,
09/21/2026,11:46:55:530,0.000000,0.000000,1,-124.6,-124.6,0,0,
09/21/2026,11:46:55:563,0.000000,0.000000,4,-121.09,-121.09,0,0,
09/21/2026,11:46:55:692,0.000000,0.000000,2,-119.88,-119.88,0,0,
