Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:48:27:017,0.000000,0.000000,1,-118.88,-118.88,0,0,
09/21/2026,09:48:27:078,0.000000,0.000000,2,-119.91,-119.91,0,0,
09/21/2026,09:48:27:129,0.000000,0.000000,3,-73.06,-73.06,0,0,
09/21/2026,09:48:27:180,0.000000,0.000000,4,-117.74,-117.74,0,0,
09/21/2026,09:48:27:296,0.000000,0.000000,1,-119.4,-119.4,0,0,
09/21/2026,09:48:27:349,0.000000,0.000000,2,-120.68,-120.68,0,0,
09/21/2026,09:48:27:404,0.000000,0.000000,3,-76.41,-76.41,0,0,
09/21/2026,09:48:27:460,0.000000,0.000000,4,-121.38,-121.38,0,0,
09/21/2026,09:48:27:580,0.000000,0.000000,1,-116.72,-116.72,0,0,
09/21/2026,09:48:27:629,0.000000,0.000000,2,-118.52,-118.52,0,0,
09/21/2026,09:48:27:682,0.000000,0.000000,3,-77.58,-77.58,0,0,
09/21/2026,09:48:27:736,0.000000,0.000000,4,-112.1,-112.1,0,0,
09/21/2026,09:48:27:859,0.000000,0.000000,1,-118.22,-118.22,0,0,
09/21/2026,09:48:27:907,0.000000,0.000000,2,-117.33,-117.33,0,0,
09/21/2026,09:48:27:961,0.000000,0.000000,3,-70.22,-70.22,0,0,
09/21/2026,09:48:28:017,0.000000,0.000000,4,-111.97,-111.97,0,0,
09/21/2026,09:48:28:142,0.000000,0.000000,1,-119.61,-119.61,0,0,
09/21/2026,09:48:28:200,0.000000,0.000000,2,-117.13,-117.13,0,0,
09/21/2026,09:48:28:276,0.000000,0.000000,3,-70.04,-70.04,0,0,
09/21/2026,09:48:28:294,0.000000,0.000000,4,-117.84,-117.84,0,0,
09/21/2026,09:48:28:415,0.000000,0.000000,1,-118.3,-118.3,0,0,
09/21/2026,09:48:28:499,0.000000,0.000000,2,-114.68,-114.68,0,0,
09/21/2026,09:48:28:552,0.000000,0.000000,3,-68.79,-68.79,0,0,
09/21/2026,09:48:28:580,0.000000,0.000000,4,-115.21,-115.21,0,0,
09/21/2026,09:48:28:691,0.000000,0.000000,1,-119.31,-119.31,0,0,
09/21/2026,09:48:28:747,0.000000,0.000000,2,-117.45,-117.45,0,0,
09/21/2026,09:48:28:802,0.000000,0.000000,3,-87.03,-87.03,0,0,
09/21/2026,09:48:28:852,0.000000,0.000000,4,-120.64,-120.64,0,0,
09/21/2026,09:48:28:970,0.000000,0.000000,1,-117.53,-117.53,0,0,
09/21/2026,09:48:29:024,0.000000,0.000000,2,-117.75,-117.75,0,0,
09/21/2026,09:48:29:076,0.000000,0.000000,3,-87.87,-87.87,0,0,
09/21/2026,09:48:29:129,0.000000,0.000000,4,-120.97,-120.97,0,0,
09/21/2026,09:48:29:250,0.000000,0.000000,1,-122.24,-122.24,0,0,
09/21/2026,09:48:29:306,0.000000,0.000000,2,-116.37,-116.37,0,0,
09/21/2026,09:48:29:357,0.000000,0.000000,3,-77.89,-77.89,0,0,
09/21/2026,09:48:29:410,0.000000,0.000000,4,-121.01,-121.01,0,0,
09/21/2026,09:48:29:533,0.000000,0.000000,1,-119.21,-119.21,0,0,
09/21/2026,09:48:29:580,0.000000,0.000000,2,-117.45,-117.45,0,0,
09/21/2026,09:48:29:636,0.000000,0.000000,3,-83.3,-83.3,0,0,
09/21/2026,09:48:29:687,0.000000,0.000000,4,-120.54,-120.54,0,0,
09/21/2026,09:48:29:806,0.000000,0.000000,1,-122.47,-122.47,0,0,
09/21/2026,09:48:29:859,0.000000,0.000000,2,-121.7,-121.7,0,0,
09/21/2026,09:48:29:921,0.000000,0.000000,3,-83.99,-83.99,0,0,
09/21/2026,09:48:30:027,0.000000,0.000000,4,-118.83,-118.83,0,0,
09/21/2026,09:48:30:093,0.000000,0.000000,1,-116.78,-116.78,0,0,
09/21/2026,09:48:30:269,0.000000,0.000000,2,-118.62,-118.62,0,0,
09/21/2026,09:48:30:281,0.000000,0.000000,3,-78.67,-78.67,0,0,
09/21/2026,09:48:30:349,0.000000,0.000000,4,-120.02,-120.02,0,0,
09/21/2026,09:48:30:420,0.000000,0.000000,1,-120.01,-120.01,0,0,
09/21/2026,09:48:30:424,0.000000,0.000000,2,-118.95,-118.95,0,0,
09/21/2026,09:48:30:474,0.000000,0.000000,3,-87.89,-87.89,0,0,
09/21/2026,09:48:30:539,0.000000,0.000000,4,-120.87,-120.87,0,0,
09/21/2026,09:48:30:643,0.000000,0.000000,1,-120.52,-120.52,0,0,
09/21/2026,09:48:30:697,0.000000,0.000000,2,-116.72,-116.72,0,0,
09/21/2026,09:48:30:758,0.000000,0.000000,3,-88.74,-88.74,0,0,
09/21/2026,09:48:30:821,0.000000,0.000000,4,-118.73,-118.73,0,0,
09/21/2026,09:48:30:921,0.000000,0.000000,1,-118.86,-118.86,0,0,
09/21/2026,09:48:30:976,0.000000,0.000000,2,-116.59,-116.59,0,0,
09/21/2026,09:48:31:037,0.000000,0.000000,3,-85.3,-85.3,0,0,
09/21/2026,09:48:31:087,0.000000,0.000000,4,-118.89,-118.89,0,0,
09/21/2026,09:48:31:202,0.000000,0.000000,1,-120,-120,0,0,
09/21/2026,09:48:31:257,0.000000,0.000000,2,-117.62,-117.62,0,0,
09/21/2026,09:48:31:309,0.000000,0.000000,3,-83.29,-83.29,0,0,
09/21/2026,09:48:31:368,0.000000,0.000000,4,-120.98,-120.98,0,0,
09/21/2026,09:48:31:490,0.000000,0.000000,1,-118.32,-118.32,0,0,
09/21/2026,09:48:31:533,0.000000,0.000000,2,-116.85,-116.85,0,0,
09/21/2026,09:48:31:611,0.000000,0.000000,3,-96.66,-96.66,0,0,
09/21/2026,09:48:31:638,0.000000,0.000000,4,-120.61,-120.61,0,0,
09/21/2026,09:48:31:759,0.000000,0.000000,1,-120.05,-120.05,0,0,
09/21/2026,09:48:31:811,0.000000,0.000000,2,-118.19,-118.19,0,0,
09/21/2026,09:48:31:865,0.000000,0.000000,3,-83.07,-83.07,0,0,
09/21/2026,09:48:32:231,0.000000,0.000000,4,-122.07,-122.07,0,0,
09/21/2026,09:48:32:261,0.000000,0.000000,1,-119.54,-119.54,0,0,
09/21/2026,09:48:32:273,0.000000,0.000000,2,-117.66,-117.66,0,0,
09/21/2026,09:48:32:294,0.000000,0.000000,3,-80.01,-80.01,0,0,
09/21/2026,09:48:32:306,0.000000,0.000000,4,-120.54,-120.54,0,0,
09/21/2026,09:48:32:340,0.000000,0.000000,1,-120.09,-120.09,0,0,
09/21/2026,09:48:32:373,0.000000,0.000000,2,-115.94,-115.94,0,0,
09/21/2026,09:48:32:423,0.000000,0.000000,3,-91.42,-91.42,0,0,
09/21/2026,09:48:32:474,0.000000,0.000000,4,-118.52,-118.52,0,0,
09/21/2026,09:48:32:598,0.000000,0.000000,1,-121.27,-121.27,0,0,
09/21/2026,09:48:32:649,0.000000,0.000000,2,-117.32,-117.32,0,0,
09/21/2026,09:48:32:700,0.000000,0.000000,3,-76.64,-76.64,0,0,
09/21/2026,09:48:32:753,0.000000,0.000000,4,-122.74,-122.74,0,0,
09/21/2026,09:48:32:891,0.000000,0.000000,1,-122.46,-122.46,0,0,
09/21/2026,09:48:32:928,0.000000,0.000000,2,-116.45,-116.45,0,0,
09/21/2026,09:48:32:985,0.000000,0.000000,3,-89.2,-89.2,0,0,
09/21/2026,09:48:33:031,0.000000,0.000000,4,-120.99,-120.99,0,0,
09/21/2026,09:48:33:154,0.000000,0.000000,1,-121.31,-121.31,0,0,
09/21/2026,09:48:33:206,0.000000,0.000000,2,-119.5,-119.5,0,0,
09/21/2026,09:48:33:258,0.000000,0.000000,3,-84.89,-84.89,0,0,
09/21/2026,09:48:33:311,0.000000,0.000000,4,-121.43,-121.43,0,0,
09/21/2026,09:48:33:451,0.000000,0.000000,1,-120.39,-120.39,0,0,
09/21/2026,09:48:33:485,0.000000,0.000000,2,-117.33,-117.33,0,0,
09/21/2026,09:48:33:541,0.000000,0.000000,3,-76.1,-76.1,0,0,
09/21/2026,09:48:33:589,0.000000,0.000000,4,-120.99,-120.99,0,0,
09/21/2026,09:48:33:713,0.000000,0.000000,1,-120.09,-120.09,0,0,
09/21/2026,09:48:33:788,0.000000,0.000000,2,-115.99,-115.99,0,0,
09/21/2026,09:48:33:838,0.000000,0.000000,3,-93.98,-93.98,0,0,
09/21/2026,09:48:33:922,0.000000,0.000000,4,-122.46,-122.46,0,0,
09/21/2026,09:48:34:002,0.000000,0.000000,1,-119.77,-119.77,0,0,
09/21/2026,09:48:34:043,0.000000,0.000000,2,-116.97,-116.97,0,0,
09/21/2026,09:48:34:094,0.000000,0.000000,3,-85.04,-85.04,0,0,
09/21/2026,09:48:34:170,0.000000,0.000000,4,-118.18,-118.18,0,0,
09/21/2026,09:48:34:272,0.000000,0.000000,1,-120.54,-120.54,0,0,
09/21/2026,09:48:34:320,0.000000,0.000000,2,-121.13,-121.13,0,0,
09/21/2026,09:48:34:374,0.000000,0.000000,3,-85.98,-85.98,0,0,
09/21/2026,09:48:34:429,0.000000,0.000000,4,-119.67,-119.67,0,0,
09/21/2026,09:48:34:553,0.000000,0.000000,1,-118.93,-118.93,0,0,
09/21/2026,09:48:34:599,0.000000,0.000000,2,-116.98,-116.98,0,0,
09/21/2026,09:48:34:657,0.000000,0.000000,3,-85.58,-85.58,0,0,
09/21/2026,09:48:34:707,0.000000,0.000000,4,-118.21,-118.21,0,0,
09/21/2026,09:48:34:826,0.000000,0.000000,1,-120.19,-120.19,0,0,
09/21/2026,09:48:34:877,0.000000,0.000000,2,-118.44,-118.44,0,0,
09/21/2026,09:48:34:930,0.000000,0.000000,3,-85.05,-85.05,0,0,
09/21/2026,09:48:34:986,0.000000,0.000000,4,-120.57,-120.57,0,0,
09/21/2026,09:48:35:117,0.000000,0.000000,1,-116.44,-116.44,0,0,
09/21/2026,09:48:35:178,0.000000,0.000000,2,-114.07,-114.07,0,0,
09/21/2026,09:48:35:226,0.000000,0.000000,3,-91.92,-91.92,0,0,
09/21/2026,09:48:35:274,0.000000,0.000000,4,-118.91,-118.91,0,0,
09/21/2026,09:48:35:399,0.000000,0.000000,1,-115.79,-115.79,0,0,
09/21/2026,09:48:35:457,0.000000,0.000000,2,-112.19,-112.19,0,0,
09/21/2026,09:48:35:527,0.000000,0.000000,3,-85.14,-85.14,0,0,
09/21/2026,09:48:35:598,0.000000,0.000000,4,-113.41,-113.41,0,0,
09/21/2026,09:48:35:682,0.000000,0.000000,1,-116.98,-116.98,0,0,
09/21/2026,09:48:35:726,0.000000,0.000000,2,-111.87,-111.87,0,0,
09/21/2026,09:48:35:795,0.000000,0.000000,3,-76.17,-76.17,0,0,
09/21/2026,09:48:35:830,0.000000,0.000000,4,-117.05,-117.05,0,0,
09/21/2026,09:48:35:951,0.000000,0.000000,1,-115.03,-115.03,0,0,
09/21/2026,09:48:36:007,0.000000,0.000000,2,-112.46,-112.46,0,0,
09/21/2026,09:48:36:060,0.000000,0.000000,3,-90.06,-90.06,0,0,
09/21/2026,09:48:36:121,0.000000,0.000000,4,-119.61,-119.61,0,0,
09/21/2026,09:48:36:236,0.000000,0.000000,1,-114.25,-114.25,0,0,
09/21/2026,09:48:36:283,0.000000,0.000000,2,-112.3,-112.3,0,0,
09/21/2026,09:48:36:334,0.000000,0.000000,3,-96.43,-96.43,0,0,
09/21/2026,09:48:36:391,0.000000,0.000000,4,-109.92,-109.92,0,0,
09/21/2026,09:48:36:520,0.000000,0.000000,1,-113.47,-113.47,0,0,
09/21/2026,09:48:36:573,0.000000,0.000000,2,-110.54,-110.54,0,0,
09/21/2026,09:48:36:629,0.000000,0.000000,3,-70.83,-70.83,0,0,
09/21/2026,09:48:36:678,0.000000,0.000000,4,-117.07,-117.07,0,0,
09/21/2026,09:48:36:800,0.000000,0.000000,1,-116.48,-116.48,0,0,
09/21/2026,09:48:36:851,0.000000,0.000000,2,-110.14,-110.14,0,0,
09/21/2026,09:48:36:904,0.000000,0.000000,3,-90.15,-90.15,0,0,
09/21/2026,09:48:36:957,0.000000,0.000000,4,-119.48,-119.48,0,0,
09/21/2026,09:48:37:080,0.000000,0.000000,1,-113.93,-113.93,0,0,
09/21/2026,09:48:37:130,0.000000,0.000000,2,-109.48,-109.48,0,0,
09/21/2026,09:48:37:185,0.000000,0.000000,3,-82.18,-82.18,0,0,
09/21/2026,09:48:37:239,0.000000,0.000000,4,-115.15,-115.15,0,0,
09/21/2026,09:48:37:362,0.000000,0.000000,1,-113.31,-113.31,0,0,
09/21/2026,09:48:37:410,0.000000,0.000000,2,-110.79,-110.79,0,0,
09/21/2026,09:48:37:465,0.000000,0.000000,3,-71.21,-71.21,0,0,
09/21/2026,09:48:37:514,0.000000,0.000000,4,-104.87,-104.87,0,0,
09/21/2026,09:48:37:655,0.000000,0.000000,1,-108.77,-108.77,0,0,
09/21/2026,09:48:37:692,0.000000,0.000000,2,-109.35,-109.35,0,0,
09/21/2026,09:48:37:765,0.000000,0.000000,3,-66.59,-66.59,0,0,
09/21/2026,09:48:37:831,0.000000,0.000000,4,-111.11,-111.11,0,0,
09/21/2026,09:48:37:920,0.000000,0.000000,1,-114.77,-114.77,0,0,
09/21/2026,09:48:37:967,0.000000,0.000000,2,-112.92,-112.92,0,0,
09/21/2026,09:48:38:018,0.000000,0.000000,3,-72.89,-72.89,0,0,
09/21/2026,09:48:38:073,0.000000,0.000000,4,-110.51,-110.51,0,0,
09/21/2026,09:48:38:195,0.000000,0.000000,1,-114.97,-114.97,0,0,
09/21/2026,09:48:38:247,0.000000,0.000000,2,-111.55,-111.55,0,0,
09/21/2026,09:48:38:299,0.000000,0.000000,3,-82.29,-82.29,0,0,
09/21/2026,09:48:38:351,0.000000,0.000000,4,-115.57,-115.57,0,0,
09/21/2026,09:48:38:472,0.000000,0.000000,1,-116,-116,0,0,
09/21/2026,09:48:38:524,0.000000,0.000000,2,-111.24,-111.24,0,0,
09/21/2026,09:48:38:577,0.000000,0.000000,3,-97.65,-97.65,0,0,
09/21/2026,09:48:38:639,0.000000,0.000000,4,-111.84,-111.84,0,0,
09/21/2026,09:48:38:752,0.000000,0.000000,1,-112.24,-112.24,0,0,
09/21/2026,09:48:38:806,0.000000,0.000000,2,-113.43,-113.43,0,0,
09/21/2026,09:48:38:855,0.000000,0.000000,3,-69.34,-69.34,0,0,
09/21/2026,09:48:38:910,0.000000,0.000000,4,-116,-116,0,0,
09/21/2026,09:48:39:030,0.000000,0.000000,1,-113.42,-113.42,0,0,
09/21/2026,09:48:39:089,0.000000,0.000000,2,-110.39,-110.39,0,0,
09/21/2026,09:48:39:140,0.000000,0.000000,3,-82.38,-82.38,0,0,
09/21/2026,09:48:39:191,0.000000,0.000000,4,-117.83,-117.83,0,0,
09/21/2026,09:48:39:308,0.000000,0.000000,1,-114.95,-114.95,0,0,
09/21/2026,09:48:39:363,0.000000,0.000000,2,-112.35,-112.35,0,0,
09/21/2026,09:48:39:438,0.000000,0.000000,3,-70.99,-70.99,0,0,
09/21/2026,09:48:39:533,0.000000,0.000000,4,-116.99,-116.99,0,0,
09/21/2026,09:48:39:587,0.000000,0.000000,1,-111.22,-111.22,0,0,
09/21/2026,09:48:39:654,0.000000,0.000000,2,-112.63,-112.63,0,0,
09/21/2026,09:48:39:722,0.000000,0.000000,3,-75.36,-75.36,0,0,
09/21/2026,09:48:39:758,0.000000,0.000000,4,-112.15,-112.15,0,0,
09/21/2026,09:48:39:865,0.000000,0.000000,1,-115.1,-115.1,0,0,
09/21/2026,09:48:39:921,0.000000,0.000000,2,-110.99,-110.99,0,0,
09/21/2026,09:48:39:972,0.000000,0.000000,3,-72.97,-72.97,0,0,
09/21/2026,09:48:40:024,0.000000,0.000000,4,-115.48,-115.48,0,0,
09/21/2026,09:48:40:145,0.000000,0.000000,1,-113.23,-113.23,0,0,
09/21/2026,09:48:40:197,0.000000,0.000000,2,-112.27,-112.27,0,0,
09/21/2026,09:48:40:251,0.000000,0.000000,3,-88.02,-88.02,0,0,
09/21/2026,09:48:40:308,0.000000,0.000000,4,-114.72,-114.72,0,0,
09/21/2026,09:48:40:426,0.000000,0.000000,1,-114.04,-114.04,0,0,
09/21/2026,09:48:40:484,0.000000,0.000000,2,-110.94,-110.94,0,0,
09/21/2026,09:48:40:586,0.000000,0.000000,3,-90.32,-90.32,0,0,
09/21/2026,09:48:40:659,0.000000,0.000000,4,-113.87,-113.87,0,0,
09/21/2026,09:48:40:726,0.000000,0.000000,1,-115.41,-115.41,0,0,
09/21/2026,09:48:40:756,0.000000,0.000000,2,-113.15,-113.15,0,0,
09/21/2026,09:48:40:818,0.000000,0.000000,3,-96.69,-96.69,0,0,
09/21/2026,09:48:40:868,0.000000,0.000000,4,-119.49,-119.49,0,0,
09/21/2026,09:48:40:982,0.000000,0.000000,1,-116.18,-116.18,0,0,
09/21/2026,09:48:41:035,0.000000,0.000000,2,-110.79,-110.79,0,0,
09/21/2026,09:48:41:088,0.000000,0.000000,3,-91.73,-91.73,0,0,
