Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:48:26:099,0.000000,0.000000,1,-125.42,-125.42,0,0,
09/21/2026,09:48:26:127,0.000000,0.000000,1,-125.4,-125.4,0,0,
09/21/2026,09:48:26:143,0.000000,0.000000,1,-126.04,-126.04,0,0,
09/21/2026,09:48:26:149,0.000000,0.000000,1,-126.45,-126.45,0,0,
09/21/2026,09:48:26:168,0.000000,0.000000,2,-126.92,-126.92,0,0,
09/21/2026,09:48:26:189,0.000000,0.000000,1,-127.21,-127.21,0,0,
09/21/2026,09:48:26:202,0.000000,0.000000,2,-125,-125,0,0,
09/21/2026,09:48:26:222,0.000000,0.000000,3,-125.95,-125.95,0,0,
09/21/2026,09:48:26:264,0.000000,0.000000,1,-124.11,-124.11,0,0,
09/21/2026,09:48:26:274,0.000000,0.000000,2,-123.14,-123.14,0,0,
09/21/2026,09:48:26:315,0.000000,0.000000,4,-78.07,-78.07,0,0,
09/21/2026,09:48:26:318,0.000000,0.000000,3,-126.24,-126.24,0,0,
09/21/2026,09:48:26:325,0.000000,0.000000,1,-124.18,-124.18,0,0,
09/21/2026,09:48:26:393,0.000000,0.000000,2,-125.59,-125.59,0,0,
09/21/2026,09:48:26:394,0.000000,0.000000,4,-89.77,-89.77,0,0,
09/21/2026,09:48:26:403,0.000000,0.000000,3,-125.78,-125.78,0,0,
09/21/2026,09:48:26:405,0.000000,0.000000,1,-125.51,-125.51,0,0,
09/21/2026,09:48:26:446,0.000000,0.000000,2,-122.07,-122.07,0,0,
09/21/2026,09:48:26:498,0.000000,0.000000,4,-79.18,-79.18,0,0,
09/21/2026,09:48:26:502,0.000000,0.000000,3,-126.35,-126.35,0,0,
09/21/2026,09:48:26:513,0.000000,0.000000,1,-124.77,-124.77,0,0,
09/21/2026,09:48:26:565,0.000000,0.000000,2,-126.5,-126.5,0,0,
09/21/2026,09:48:26:604,0.000000,0.000000,4,-74.11,-74.11,0,0,
09/21/2026,09:48:26:610,0.000000,0.000000,3,-126.03,-126.03,0,0,
09/21/2026,09:48:26:654,0.000000,0.000000,1,-123.57,-123.57,0,0,
09/21/2026,09:48:26:717,0.000000,0.000000,2,-126.35,-126.35,0,0,
09/21/2026,09:48:26:731,0.000000,0.000000,4,-74.66,-74.66,0,0,
09/21/2026,09:48:26:744,0.000000,0.000000,3,-127.23,-127.23,0,0,
09/21/2026,09:48:26:799,0.000000,0.000000,1,-115.3,-115.3,0,0,
09/21/2026,09:48:26:898,0.000000,0.000000,2,-123.7,-123.7,0,0,
09/21/2026,09:48:26:916,0.000000,0.000000,4,-73.24,-73.24,0,0,
09/21/2026,09:48:26:934,0.000000,0.000000,3,-124.21,-124.21,0,0,
09/21/2026,09:48:27:006,0.000000,0.000000,1,-124.3,-124.3,0,0,
09/21/2026,09:48:27:157,0.000000,0.000000,2,-123.91,-123.91,0,0,
09/21/2026,09:48:27:205,0.000000,0.000000,4,-75.8,-75.8,0,0,
09/21/2026,09:48:27:210,0.000000,0.000000,3,-123.89,-123.89,0,0,
09/21/2026,09:48:27:279,0.000000,0.000000,1,-122.54,-122.54,0,0,
09/21/2026,09:48:27:438,0.000000,0.000000,2,-124.65,-124.65,0,0,
09/21/2026,09:48:27:474,0.000000,0.000000,4,-77.35,-77.35,0,0,
09/21/2026,09:48:27:489,0.000000,0.000000,3,-124.34,-124.34,0,0,
09/21/2026,09:48:27:558,0.000000,0.000000,1,-126.03,-126.03,0,0,
09/21/2026,09:48:27:714,0.000000,0.000000,2,-125.24,-125.24,0,0,
09/21/2026,09:48:27:770,0.000000,0.000000,4,-72.66,-72.66,0,0,
09/21/2026,09:48:27:775,0.000000,0.000000,3,-123.93,-123.93,0,0,
09/21/2026,09:48:27:844,0.000000,0.000000,1,-125.71,-125.71,0,0,
09/21/2026,09:48:27:995,0.000000,0.000000,2,-126.2,-126.2,0,0,
09/21/2026,09:48:28:035,0.000000,0.000000,4,-82.36,-82.36,0,0,
09/21/2026,09:48:28:048,0.000000,0.000000,3,-120.83,-120.83,0,0,
09/21/2026,09:48:28:119,0.000000,0.000000,1,-123.96,-123.96,0,0,
09/21/2026,09:48:28:284,0.000000,0.000000,2,-121.67,-121.67,0,0,
09/21/2026,09:48:28:327,0.000000,0.000000,4,-74.28,-74.28,0,0,
09/21/2026,09:48:28:328,0.000000,0.000000,3,-120.82,-120.82,0,0,
09/21/2026,09:48:28:405,0.000000,0.000000,1,-122.08,-122.08,0,0,
09/21/2026,09:48:28:559,0.000000,0.000000,2,-124.19,-124.19,0,0,
09/21/2026,09:48:28:587,0.000000,0.000000,4,-79.62,-79.62,0,0,
09/21/2026,09:48:28:605,0.000000,0.000000,3,-124.64,-124.64,0,0,
09/21/2026,09:48:28:684,0.000000,0.000000,1,-122.21,-122.21,0,0,
09/21/2026,09:48:28:844,0.000000,0.000000,2,-123.69,-123.69,0,0,
09/21/2026,09:48:28:870,0.000000,0.000000,4,-87.81,-87.81,0,0,
09/21/2026,09:48:28:885,0.000000,0.000000,3,-124.45,-124.45,0,0,
09/21/2026,09:48:28:960,0.000000,0.000000,1,-123.5,-123.5,0,0,
09/21/2026,09:48:29:110,0.000000,0.000000,2,-125.4,-125.4,0,0,
09/21/2026,09:48:29:146,0.000000,0.000000,4,-99.29,-99.29,0,0,
09/21/2026,09:48:29:164,0.000000,0.000000,3,-124.03,-124.03,0,0,
