Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:48:26:327,0.000000,0.000000,1,-126.13,-126.13,0,0,
09/21/2026,09:48:26:410,0.000000,0.000000,2,-125.3,-125.3,0,0,
09/21/2026,09:48:26:439,0.000000,0.000000,1,-126.19,-126.19,0,0,
09/21/2026,09:48:26:509,0.000000,0.000000,3,-125.9,-125.9,0,0,
09/21/2026,09:48:26:560,0.000000,0.000000,2,-125.79,-125.79,0,0,
09/21/2026,09:48:26:564,0.000000,0.000000,1,-127.01,-127.01,0,0,
09/21/2026,09:48:26:614,0.000000,0.000000,3,-125.54,-125.54,0,0,
09/21/2026,09:48:26:629,0.000000,0.000000,4,-126.7,-126.7,0,0,
09/21/2026,09:48:26:659,0.000000,0.000000,2,-126.45,-126.45,0,0,
09/21/2026,09:48:26:709,0.000000,0.000000,1,-127.04,-127.04,0,0,
09/21/2026,09:48:26:760,0.000000,0.000000,3,-124.53,-124.53,0,0,
09/21/2026,09:48:26:780,0.000000,0.000000,4,-125.58,-125.58,0,0,
09/21/2026,09:48:26:840,0.000000,0.000000,2,-125.82,-125.82,0,0,
09/21/2026,09:48:26:860,0.000000,0.000000,1,-126.66,-126.66,0,0,
09/21/2026,09:48:26:969,0.000000,0.000000,3,-125.06,-125.06,0,0,
09/21/2026,09:48:26:990,0.000000,0.000000,4,-123.72,-123.72,0,0,
09/21/2026,09:48:27:054,0.000000,0.000000,2,-127.11,-127.11,0,0,
09/21/2026,09:48:27:087,0.000000,0.000000,1,-126.09,-126.09,0,0,
09/21/2026,09:48:27:246,0.000000,0.000000,3,-126.12,-126.12,0,0,
09/21/2026,09:48:27:261,0.000000,0.000000,4,-125.42,-125.42,0,0,
09/21/2026,09:48:27:332,0.000000,0.000000,2,-124.47,-124.47,0,0,
09/21/2026,09:48:27:371,0.000000,0.000000,1,-123.98,-123.98,0,0,
09/21/2026,09:48:27:523,0.000000,0.000000,3,-124.82,-124.82,0,0,
09/21/2026,09:48:27:542,0.000000,0.000000,4,-125.19,-125.19,0,0,
09/21/2026,09:48:27:610,0.000000,0.000000,2,-125.12,-125.12,0,0,
09/21/2026,09:48:27:649,0.000000,0.000000,1,-126.75,-126.75,0,0,
09/21/2026,09:48:27:809,0.000000,0.000000,3,-125.27,-125.27,0,0,
09/21/2026,09:48:27:821,0.000000,0.000000,4,-126.64,-126.64,0,0,
09/21/2026,09:48:27:890,0.000000,0.000000,2,-123.84,-123.84,0,0,
09/21/2026,09:48:27:926,0.000000,0.000000,1,-125.67,-125.67,0,0,
09/21/2026,09:48:28:081,0.000000,0.000000,3,-126.13,-126.13,0,0,
09/21/2026,09:48:28:098,0.000000,0.000000,4,-124.67,-124.67,0,0,
09/21/2026,09:48:28:171,0.000000,0.000000,2,-127.92,-127.92,0,0,
