Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:48:26:714,0.000000,0.000000,1,-126.17,-126.17,0,0,
09/21/2026,09:48:26:812,0.000000,0.000000,2,-125.77,-125.77,0,0,
09/21/2026,09:48:26:864,0.000000,0.000000,1,-125.57,-125.57,0,0,
09/21/2026,09:48:26:883,0.000000,0.000000,3,-126.41,-126.41,0,0,
09/21/2026,09:48:26:948,0.000000,0.000000,4,-68.01,-68.01,0,0,
09/21/2026,09:48:27:051,0.000000,0.000000,2,-125.59,-125.59,0,0,
09/21/2026,09:48:27:108,0.000000,0.000000,1,-126.34,-126.34,0,0,
09/21/2026,09:48:27:141,0.000000,0.000000,3,-125.43,-125.43,0,0,
09/21/2026,09:48:27:231,0.000000,0.000000,4,-67.76,-67.76,0,0,
09/21/2026,09:48:27:317,0.000000,0.000000,2,-125.97,-125.97,0,0,
09/21/2026,09:48:27:383,0.000000,0.000000,1,-125.79,-125.79,0,0,
09/21/2026,09:48:27:428,0.000000,0.000000,3,-126.33,-126.33,0,0,
09/21/2026,09:48:27:508,0.000000,0.000000,4,-70.76,-70.76,0,0,
09/21/2026,09:48:27:598,0.000000,0.000000,2,-125.86,-125.86,0,0,
09/21/2026,09:48:27:665,0.000000,0.000000,1,-126.27,-126.27,0,0,
09/21/2026,09:48:27:706,0.000000,0.000000,3,-125.17,-125.17,0,0,
09/21/2026,09:48:27:793,0.000000,0.000000,4,-77.96,-77.96,0,0,
09/21/2026,09:48:27:871,0.000000,0.000000,2,-125.36,-125.36,0,0,
09/21/2026,09:48:27:942,0.000000,0.000000,1,-124.76,-124.76,0,0,
09/21/2026,09:48:27:979,0.000000,0.000000,3,-126.15,-126.15,0,0,
09/21/2026,09:48:28:064,0.000000,0.000000,4,-70.05,-70.05,0,0,
09/21/2026,09:48:28:152,0.000000,0.000000,2,-126.8,-126.8,0,0,
09/21/2026,09:48:28:275,0.000000,0.000000,1,-125.73,-125.73,0,0,
09/21/2026,09:48:28:280,0.000000,0.000000,3,-124.53,-124.53,0,0,
09/21/2026,09:48:28:396,0.000000,0.000000,4,-78.33,-78.33,0,0,
09/21/2026,09:48:28:465,0.000000,0.000000,2,-123.54,-123.54,0,0,
09/21/2026,09:48:28:510,0.000000,0.000000,1,-125.01,-125.01,0,0,
09/21/2026,09:48:28:554,0.000000,0.000000,3,-126.87,-126.87,0,0,
09/21/2026,09:48:28:621,0.000000,0.000000,4,-72.02,-72.02,0,0,
09/21/2026,09:48:28:710,0.000000,0.000000,2,-126.06,-126.06,0,0,
09/21/2026,09:48:28:781,0.000000,0.000000,1,-124.88,-124.88,0,0,
09/21/2026,09:48:28:817,0.000000,0.000000,3,-124.44,-124.44,0,0,
09/21/2026,09:48:28:899,0.000000,0.000000,4,-78.05,-78.05,0,0,
09/21/2026,09:48:29:002,0.000000,0.000000,2,-127.28,-127.28,0,0,
09/21/2026,09:48:29:059,0.000000,0.000000,1,-122.81,-122.81,0,0,
09/21/2026,09:48:29:095,0.000000,0.000000,3,-123.29,-123.29,0,0,
09/21/2026,09:48:29:180,0.000000,0.000000,4,-71.48,-71.48,0,0,
09/21/2026,09:48:29:266,0.000000,0.000000,2,-125.04,-125.04,0,0,
09/21/2026,09:48:29:340,0.000000,0.000000,1,-124.42,-124.42,0,0,
09/21/2026,09:48:29:372,0.000000,0.000000,3,-125.23,-125.23,0,0,
09/21/2026,09:48:29:459,0.000000,0.000000,4,-72.9,-72.9,0,0,
09/21/2026,09:48:29:546,0.000000,0.000000,2,-124.61,-124.61,0,0,
09/21/2026,09:48:29:619,0.000000,0.000000,1,-127.25,-127.25,0,0,
09/21/2026,09:48:29:655,0.000000,0.000000,3,-125.5,-125.5,0,0,
09/21/2026,09:48:29:741,0.000000,0.000000,4,-76.32,-76.32,0,0,
09/21/2026,09:48:29:825,0.000000,0.000000,2,-125.96,-125.96,0,0,
09/21/2026,09:48:29:918,0.000000,0.000000,1,-124.85,-124.85,0,0,
09/21/2026,09:48:29:979,0.000000,0.000000,3,-125.81,-125.81,0,0,
09/21/2026,09:48:30:042,0.000000,0.000000,4,-75.32,-75.32,0,0,
09/21/2026,09:48:30:262,0.000000,0.000000,2,-125.99,-125.99,0,0,
09/21/2026,09:48:30:277,0.000000,0.000000,1,-126.39,-126.39,0,0,
09/21/2026,09:48:30:285,0.000000,0.000000,3,-125.01,-125.01,0,0,
09/21/2026,09:48:30:359,0.000000,0.000000,4,-77.27,-77.27,0,0,
09/21/2026,09:48:30:421,0.000000,0.000000,2,-125.94,-125.94,0,0,
09/21/2026,09:48:30:472,0.000000,0.000000,1,-126.37,-126.37,0,0,
09/21/2026,09:48:30:489,0.000000,0.000000,3,-124.27,-124.27,0,0,
