Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,08:48:07:431,0.000000,0.000000,1,-121.53,-121.53,0,0,
09/21/2026,08:48:07:497,0.000000,0.000000,2,-126.16,-126.16,0,0,
09/21/2026,08:48:07:540,0.000000,0.000000,3,-100.76,-100.76,0,0,
09/21/2026,08:48:07:595,0.000000,0.000000,4,-120.43,-120.43,0,0,
09/21/2026,08:48:07:670,0.000000,0.000000,1,-121.74,-121.74,0,0,
09/21/2026,08:48:07:739,0.000000,0.000000,2,-118.73,-118.73,0,0,
09/21/2026,08:48:07:748,0.000000,0.000000,3,-97.61,-97.61,0,0,
09/21/2026,08:48:07:814,0.000000,0.000000,4,-122.11,-122.11,0,0,
09/21/2026,08:48:07:883,0.000000,0.000000,1,-124.29,-124.29,0,0,
09/21/2026,08:48:07:938,0.000000,0.000000,2,-120.81,-120.81,0,0,
09/21/2026,08:48:07:993,0.000000,0.000000,3,-84.6,-84.6,0,0,
09/21/2026,08:48:08:013,0.000000,0.000000,4,-122.46,-122.46,0,0,
09/21/2026,08:48:08:065,0.000000,0.000000,1,-119.64,-119.64,0,0,
09/21/2026,08:48:08:119,0.000000,0.000000,2,-120.76,-120.76,0,0,
09/21/2026,08:48:08:171,0.000000,0.000000,3,-81.14,-81.14,0,0,
09/21/2026,08:48:08:223,0.000000,0.000000,4,-119.66,-119.66,0,0,
09/21/2026,08:48:08:276,0.000000,0.000000,1,-120.39,-120.39,0,0,
09/21/2026,08:48:08:331,0.000000,0.000000,2,-124.96,-124.96,0,0,
09/21/2026,08:48:08:380,0.000000,0.000000,3,-83.62,-83.62,0,0,
09/21/2026,08:48:08:435,0.000000,0.000000,4,-120.16,-120.16,0,0,
09/21/2026,08:48:08:488,0.000000,0.000000,1,-121.07,-121.07,0,0,
09/21/2026,08:48:08:543,0.000000,0.000000,2,-120.48,-120.48,0,0,
09/21/2026,08:48:08:598,0.000000,0.000000,3,-93.1,-93.1,0,0,
09/21/2026,08:48:08:646,0.000000,0.000000,4,-121.57,-121.57,0,0,
09/21/2026,08:48:08:699,0.000000,0.000000,1,-121.63,-121.63,0,0,
09/21/2026,08:48:08:750,0.000000,0.000000,2,-125.53,-125.53,0,0,
09/21/2026,08:48:08:805,0.000000,0.000000,3,-83.14,-83.14,0,0,
09/21/2026,08:48:08:858,0.000000,0.000000,4,-121.7,-121.7,0,0,
09/21/2026,08:48:08:914,0.000000,0.000000,1,-124.03,-124.03,0,0,
09/21/2026,08:48:08:960,0.000000,0.000000,2,-124.97,-124.97,0,0,
09/21/2026,08:48:09:016,0.000000,0.000000,3,-80.57,-80.57,0,0,
09/21/2026,08:48:09:069,0.000000,0.000000,4,-120.72,-120.72,0,0,
09/21/2026,08:48:09:121,0.000000,0.000000,1,-122.5,-122.5,0,0,
09/21/2026,08:48:09:193,0.000000,0.000000,2,-122.21,-122.21,0,0,
09/21/2026,08:48:09:225,0.000000,0.000000,3,-89.37,-89.37,0,0,
09/21/2026,08:48:09:277,0.000000,0.000000,4,-118.27,-118.27,0,0,
