Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,08:48:06:998,0.000000,0.000000,1,-125.17,-125.17,0,0,
09/21/2026,08:48:07:009,0.000000,0.000000,1,-125.43,-125.43,0,0,
09/21/2026,08:48:07:025,0.000000,0.000000,1,-127.59,-127.59,0,0,
09/21/2026,08:48:07:040,0.000000,0.000000,1,-125.27,-125.27,0,0,
09/21/2026,08:48:07:058,0.000000,0.000000,2,-117.22,-117.22,0,0,
09/21/2026,08:48:07:076,0.000000,0.000000,1,-125.43,-125.43,0,0,
09/21/2026,08:48:07:092,0.000000,0.000000,2,-116.06,-116.06,0,0,
09/21/2026,08:48:07:113,0.000000,0.000000,3,-127.86,-127.86,0,0,
09/21/2026,08:48:07:131,0.000000,0.000000,1,-124.65,-124.65,0,0,
09/21/2026,08:48:07:144,0.000000,0.000000,2,-118.65,-118.65,0,0,
09/21/2026,08:48:07:177,0.000000,0.000000,3,-125.71,-125.71,0,0,
09/21/2026,08:48:07:213,0.000000,0.000000,1,-126.69,-126.69,0,0,
09/21/2026,08:48:07:231,0.000000,0.000000,2,-116.34,-116.34,0,0,
09/21/2026,08:48:07:283,0.000000,0.000000,3,-127.22,-127.22,0,0,
09/21/2026,08:48:07:296,0.000000,0.000000,1,-126.51,-126.51,0,0,
09/21/2026,08:48:07:348,0.000000,0.000000,2,-118.54,-118.54,0,0,
09/21/2026,08:48:07:416,0.000000,0.000000,3,-126.51,-126.51,0,0,
09/21/2026,08:48:07:452,0.000000,0.000000,1,-124.99,-124.99,0,0,
09/21/2026,08:48:07:520,0.000000,0.000000,2,-117.2,-117.2,0,0,
09/21/2026,08:48:07:628,0.000000,0.000000,3,-127.25,-127.25,0,0,
09/21/2026,08:48:07:677,0.000000,0.000000,1,-123.92,-123.92,0,0,
09/21/2026,08:48:07:742,0.000000,0.000000,2,-116.18,-116.18,0,0,
09/21/2026,08:48:07:878,0.000000,0.000000,3,-128.36,-128.36,0,0,
09/21/2026,08:48:07:899,0.000000,0.000000,1,-118.63,-118.63,0,0,
09/21/2026,08:48:07:943,0.000000,0.000000,2,-117.84,-117.84,0,0,
09/21/2026,08:48:08:048,0.000000,0.000000,3,-125.72,-125.72,0,0,
09/21/2026,08:48:08:082,0.000000,0.000000,1,-123.42,-123.42,0,0,
09/21/2026,08:48:08:153,0.000000,0.000000,2,-113.92,-113.92,0,0,
09/21/2026,08:48:08:261,0.000000,0.000000,3,-126.6,-126.6,0,0,
09/21/2026,08:48:08:299,0.000000,0.000000,1,-119.95,-119.95,0,0,
09/21/2026,08:48:08:364,0.000000,0.000000,2,-113.57,-113.57,0,0,
