Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,08:48:07:161,0.000000,0.000000,1,-125.61,-125.61,0,0,
09/21/2026,08:48:07:244,0.000000,0.000000,1,-123.61,-123.61,0,0,
09/21/2026,08:48:07:383,0.000000,0.000000,1,-123,-123,0,0,
09/21/2026,08:48:07:572,0.000000,0.000000,1,-122.41,-122.41,0,0,
09/21/2026,08:48:07:811,0.000000,0.000000,1,-126.94,-126.94,0,0,
09/21/2026,08:48:07:997,0.000000,0.000000,1,-119.89,-119.89,0,0,
09/21/2026,08:48:08:214,0.000000,0.000000,1,-120.64,-120.64,0,0,
09/21/2026,08:48:08:424,0.000000,0.000000,1,-122.38,-122.38,0,0,
09/21/2026,08:48:08:628,0.000000,0.000000,1,-122.46,-122.46,0,0,
09/21/2026,08:48:08:847,0.000000,0.000000,1,-120.49,-120.49,0,0,
09/21/2026,08:48:09:053,0.000000,0.000000,1,-123.76,-123.76,0,0,
09/21/2026,08:48:09:262,0.000000,0.000000,1,-120.38,-120.38,0,0,
09/21/2026,08:48:09:472,0.000000,0.000000,1,-121.77,-121.77,0,0,
09/21/2026,08:48:09:712,0.000000,0.000000,1,-125.37,-125.37,0,0,
09/21/2026,08:48:09:899,0.000000,0.000000,1,-126.97,-126.97,0,0,
09/21/2026,08:48:10:102,0.000000,0.000000,1,-123.16,-123.16,0,0,
09/21/2026,08:48:10:318,0.000000,0.000000,1,-125.32,-125.32,0,0,
09/21/2026,08:48:10:524,0.000000,0.000000,1,-121.64,-121.64,0,0,
09/21/2026,08:48:10:737,0.000000,0.000000,1,-123.66,-123.66,0,0,
09/21/2026,08:48:10:951,0.000000,0.000000,1,-125.64,-125.64,0,0,
09/21/2026,08:48:11:159,0.000000,0.000000,1,-122.57,-122.57,0,0,
09/21/2026,08:48:11:372,0.000000,0.000000,1,-123.9,-123.9,0,0,
09/21/2026,08:48:11:634,0.000000,0.000000,1,-127.26,-127.26,0,0,
09/21/2026,08:48:11:802,0.000000,0.000000,1,-125.25,-125.25,0,0,
09/21/2026,08:48:12:004,0.000000,0.000000,1,-126.01,-126.01,0,0,
09/21/2026,08:48:12:211,0.000000,0.000000,1,-124.47,-124.47,0,0,
09/21/2026,08:48:12:738,0.000000,0.000000,1,-125.23,-125.23,0,0,
09/21/2026,08:48:12:804,0.000000,0.000000,1,-125.49,-125.49,0,0,
09/21/2026,08:48:12:957,0.000000,0.000000,1,-123.08,-123.08,0,0,
09/21/2026,08:48:13:062,0.000000,0.000000,1,-123.23,-123.23,0,0,
09/21/2026,08:48:13:366,0.000000,0.000000,1,-125.33,-125.33,0,0,
09/21/2026,08:48:13:502,0.000000,0.000000,1,-122.22,-122.22,0,0,
09/21/2026,08:48:13:704,0.000000,0.000000,1,-119.23,-119.23,0,0,
09/21/2026,08:48:13:901,0.000000,0.000000,1,-123.36,-123.36,0,0,
09/21/2026,08:48:14:113,0.000000,0.000000,1,-124.58,-124.58,0,0,
09/21/2026,08:48:14:332,0.000000,0.000000,1,-109.57,-109.57,0,0,
09/21/2026,08:48:14:530,0.000000,0.000000,1,-121.24,-121.24,0,0,
09/21/2026,08:48:14:745,0.000000,0.000000,1,-119.24,-119.24,0,0,
09/21/2026,08:48:14:969,0.000000,0.000000,1,-119.89,-119.89,0,0,
09/21/2026,08:48:15:197,0.000000,0.000000,1,-122.6,-122.6,0,0,
09/21/2026,08:48:15:433,0.000000,0.000000,1,-121.02,-121.02,0,0,
09/21/2026,08:48:15:613,0.000000,0.000000,1,-121.7,-121.7,0,0,
09/21/2026,08:48:15:809,0.000000,0.000000,1,-118.61,-118.61,0,0,
09/21/2026,08:48:16:008,0.000000,0.000000,1,-114.47,-114.47,0,0,
09/21/2026,08:48:16:220,0.000000,0.000000,1,-119.68,-119.68,0,0,
09/21/2026,08:48:16:438,0.000000,0.000000,1,-121.95,-121.95,0,0,
09/21/2026,08:48:16:645,0.000000,0.000000,1,-117.74,-117.74,0,0,
09/21/2026,08:48:16:851,0.000000,0.000000,1,-120.86,-120.86,0,0,
09/21/2026,08:48:17:117,0.000000,0.000000,1,-113.27,-113.27,0,0,
09/21/2026,08:48:17:315,0.000000,0.000000,1,-98.48,-98.48,0,0,
09/21/2026,08:48:17:500,0.000000,0.000000,1,-94.99,-94.99,0,0,
09/21/2026,08:48:17:694,0.000000,0.000000,1,-123,-123,0,0,
09/21/2026,08:48:17:907,0.000000,0.000000,1,-122.07,-122.07,0,0,
09/21/2026,08:48:18:116,0.000000,0.000000,1,-126.07,-126.07,0,0,
09/21/2026,08:48:18:326,0.000000,0.000000,1,-124.59,-124.59,0,0,
09/21/2026,08:48:18:537,0.000000,0.000000,1,-124.89,-124.89,0,0,
09/21/2026,08:48:18:749,0.000000,0.000000,1,-123.32,-123.32,0,0,
09/21/2026,08:48:18:962,0.000000,0.000000,1,-124.24,-124.24,0,0,
09/21/2026,08:48:19:173,0.000000,0.000000,1,-123.83,-123.83,0,0,
09/21/2026,08:48:19:381,0.000000,0.000000,1,-125.78,-125.78,0,0,
09/21/2026,08:48:19:593,0.000000,0.000000,1,-125.21,-125.21,0,0,
09/21/2026,08:48:19:818,0.000000,0.000000,1,-122.69,-122.69,0,0,
09/21/2026,08:48:20:014,0.000000,0.000000,1,-122.34,-122.34,0,0,
09/21/2026,08:48:20:226,0.000000,0.000000,1,-122.68,-122.68,0,0,
09/21/2026,08:48:20:436,0.000000,0.000000,1,-123.51,-123.51,0,0,
09/21/2026,08:48:20:678,0.000000,0.000000,1,-122.67,-122.67,0,0,
09/21/2026,08:48:20:992,0.000000,0.000000,1,-125.2,-125.2,0,0,
09/21/2026,08:48:21:138,0.000000,0.000000,1,-123.54,-123.54,0,0,
09/21/2026,08:48:21:287,0.000000,0.000000,1,-124.78,-124.78,0,0,
09/21/2026,08:48:21:495,0.000000,0.000000,1,-122.07,-122.07,0,0,
09/21/2026,08:48:21:703,0.000000,0.000000,1,-121.91,-121.91,0,0,
09/21/2026,08:48:21:918,0.000000,0.000000,1,-126.66,-126.66,0,0,
09/21/2026,08:48:22:125,0.000000,0.000000,1,-121.44,-121.44,0,0,
09/21/2026,08:48:22:335,0.000000,0.000000,1,-123.78,-123.78,0,0,
09/21/2026,08:48:22:547,0.000000,0.000000,1,-123.9,-123.9,0,0,
09/21/2026,08:48:22:766,0.000000,0.000000,1,-125.4,-125.4,0,0,
09/21/2026,08:48:23:304,0.000000,0.000000,1,-121.04,-121.04,0,0,
09/21/2026,08:48:23:372,0.000000,0.000000,1,-121.2,-121.2,0,0,
09/21/2026,08:48:23:427,0.000000,0.000000,1,-122.03,-122.03,0,0,
09/21/2026,08:48:23:612,0.000000,0.000000,1,-120.85,-120.85,0,0,
09/21/2026,08:48:23:811,0.000000,0.000000,1,-123.23,-123.23,0,0,
09/21/2026,08:48:24:020,0.000000,0.000000,1,-122.29,-122.29,0,0,
09/21/2026,08:48:24:231,0.000000,0.000000,1,-121.78,-121.78,0,0,
09/21/2026,08:48:24:458,0.000000,0.000000,1,-121.53,-121.53,0,0,
09/21/2026,08:48:24:658,0.000000,0.000000,1,-122.17,-122.17,0,0,
09/21/2026,08:48:24:863,0.000000,0.000000,1,-123.17,-123.17,0,0,
09/21/2026,08:48:25:083,0.000000,0.000000,1,-121.45,-121.45,0,0,
09/21/2026,08:48:25:287,0.000000,0.000000,1,-121.14,-121.14,0,0,
09/21/2026,08:48:25:497,0.000000,0.000000,1,-124.73,-124.73,0,0,
09/21/2026,08:48:25:717,0.000000,0.000000,1,-123.18,-123.18,0,0,
09/21/2026,08:48:25:918,0.000000,0.000000,1,-125.96,-125.96,0,0,
09/21/2026,08:48:26:131,0.000000,0.000000,1,-122.32,-122.32,0,0,
09/21/2026,08:48:26:384,0.000000,0.000000,1,-125.4,-125.4,0,0,
09/21/2026,08:48:26:578,0.000000,0.000000,1,-122.23,-122.23,0,0,
09/21/2026,08:48:26:764,0.000000,0.000000,1,-124.79,-124.79,0,0,
09/21/2026,08:48:26:974,0.000000,0.000000,1,-123.5,-123.5,0,0,
09/21/2026,08:48:27:187,0.000000,0.000000,1,-127.08,-127.08,0,0,
09/21/2026,08:48:27:400,0.000000,0.000000,1,-126.81,-126.81,0,0,
09/21/2026,08:48:27:624,0.000000,0.000000,1,-127.02,-127.02,0,0,
09/21/2026,08:48:27:817,0.000000,0.000000,1,-125.28,-125.28,0,0,
09/21/2026,08:48:28:058,0.000000,0.000000,1,-123.48,-123.48,0,0,
09/21/2026,08:48:28:268,0.000000,0.000000,1,-123.24,-123.24,0,0,
09/21/2026,08:48:28:451,0.000000,0.000000,1,-126.06,-126.06,0,0,
09/21/2026,08:48:28:660,0.000000,0.000000,1,-123.99,-123.99,0,0,
09/21/2026,08:48:28:872,0.000000,0.000000,1,-120.9,-120.9,0,0,
09/21/2026,08:48:29:083,0.000000,0.000000,1,-123.19,-123.19,0,0,
09/21/2026,08:48:29:293,0.000000,0.000000,1,-122.92,-122.92,0,0,
09/21/2026,08:48:29:504,0.000000,0.000000,1,-126.31,-126.31,0,0,
09/21/2026,08:48:29:718,0.000000,0.000000,1,-125.83,-125.83,0,0,
09/21/2026,08:48:29:929,0.000000,0.000000,1,-125.96,-125.96,0,0,
09/21/2026,08:48:30:165,0.000000,0.000000,1,-128.8,-128.8,0,0,
09/21/2026,08:48:30:359,0.000000,0.000000,1,-124.17,-124.17,0,0,
09/21/2026,08:48:30:558,0.000000,0.000000,1,-127.43,-127.43,0,0,
09/21/2026,08:48:30:769,0.000000,0.000000,1,-126.81,-126.81,0,0,
09/21/2026,08:48:30:981,0.000000,0.000000,1,-128.05,-128.05,0,0,
09/21/2026,08:48:31:191,0.000000,0.000000,1,-124.61,-124.61,0,0,
09/21/2026,08:48:31:401,0.000000,0.000000,1,-124.06,-124.06,0,0,
09/21/2026,08:48:31:616,0.000000,0.000000,1,-122.96,-122.96,0,0,
09/21/2026,08:48:31:829,0.000000,0.000000,1,-124.78,-124.78,0,0,
09/21/2026,08:48:32:034,0.000000,0.000000,1,-124.06,-124.06,0,0,
09/21/2026,08:48:32:269,0.000000,0.000000,1,-123.2,-123.2,0,0,
09/21/2026,08:48:32:456,0.000000,0.000000,1,-124.26,-124.26,0,0,
09/21/2026,08:48:32:668,0.000000,0.000000,1,-124,-124,0,0,
09/21/2026,08:48:32:878,0.000000,0.000000,1,-127.6,-127.6,0,0,
09/21/2026,08:48:33:089,0.000000,0.000000,1,-126.82,-126.82,0,0,
09/21/2026,08:48:33:300,0.000000,0.000000,1,-123.8,-123.8,0,0,
09/21/2026,08:48:33:868,0.000000,0.000000,1,-124.49,-124.49,0,0,
09/21/2026,08:48:33:946,0.000000,0.000000,1,-124.23,-124.23,0,0,
09/21/2026,08:48:34:081,0.000000,0.000000,1,-125.51,-125.51,0,0,
09/21/2026,08:48:34:225,0.000000,0.000000,1,-124.25,-124.25,0,0,
09/21/2026,08:48:34:356,0.000000,0.000000,1,-124,-124,0,0,
09/21/2026,08:48:34:563,0.000000,0.000000,1,-124.98,-124.98,0,0,
09/21/2026,08:48:34:775,0.000000,0.000000,1,-125.47,-125.47,0,0,
09/21/2026,08:48:34:988,0.000000,0.000000,1,-124.26,-124.26,0,0,
09/21/2026,08:48:35:196,0.000000,0.000000,1,-126.05,-126.05,0,0,
09/21/2026,08:48:35:407,0.000000,0.000000,1,-125.89,-125.89,0,0,
09/21/2026,08:48:35:621,0.000000,0.000000,1,-125.38,-125.38,0,0,
09/21/2026,08:48:35:837,0.000000,0.000000,1,-124.52,-124.52,0,0,
09/21/2026,08:48:36:040,0.000000,0.000000,1,-124.63,-124.63,0,0,
09/21/2026,08:48:36:253,0.000000,0.000000,1,-127.26,-127.26,0,0,
09/21/2026,08:48:36:461,0.000000,0.000000,1,-123.21,-123.21,0,0,
09/21/2026,08:48:36:681,0.000000,0.000000,1,-123.41,-123.41,0,0,
09/21/2026,08:48:36:888,0.000000,0.000000,1,-126.39,-126.39,0,0,
09/21/2026,08:48:37:093,0.000000,0.000000,1,-126.32,-126.32,0,0,
09/21/2026,08:48:37:313,0.000000,0.000000,1,-128,-128,0,0,
09/21/2026,08:48:37:517,0.000000,0.000000,1,-126.17,-126.17,0,0,
09/21/2026,08:48:37:750,0.000000,0.000000,1,-124.74,-124.74,0,0,
09/21/2026,08:48:37:938,0.000000,0.000000,1,-123.35,-123.35,0,0,
09/21/2026,08:48:38:155,0.000000,0.000000,1,-126.74,-126.74,0,0,
09/21/2026,08:48:38:368,0.000000,0.000000,1,-128.97,-128.97,0,0,
09/21/2026,08:48:38:574,0.000000,0.000000,1,-127.13,-127.13,0,0,
09/21/2026,08:48:38:782,0.000000,0.000000,1,-124.78,-124.78,0,0,
09/21/2026,08:48:38:992,0.000000,0.000000,1,-124.34,-124.34,0,0,
09/21/2026,08:48:39:227,0.000000,0.000000,1,-123.33,-123.33,0,0,
09/21/2026,08:48:39:438,0.000000,0.000000,1,-121.32,-121.32,0,0,
09/21/2026,08:48:39:635,0.000000,0.000000,1,-121.89,-121.89,0,0,
09/21/2026,08:48:39:835,0.000000,0.000000,1,-126.34,-126.34,0,0,
09/21/2026,08:48:40:046,0.000000,0.000000,1,-121.53,-121.53,0,0,
09/21/2026,08:48:40:259,0.000000,0.000000,1,-124.75,-124.75,0,0,
09/21/2026,08:48:40:467,0.000000,0.000000,1,-121.39,-121.39,0,0,
09/21/2026,08:48:40:679,0.000000,0.000000,1,-121.06,-121.06,0,0,
09/21/2026,08:48:40:889,0.000000,0.000000,1,-121.57,-121.57,0,0,
09/21/2026,08:48:41:132,0.000000,0.000000,1,-123.25,-123.25,0,0,
09/21/2026,08:48:41:366,0.000000,0.000000,1,-124.71,-124.71,0,0,
09/21/2026,08:48:41:522,0.000000,0.000000,1,-122.19,-122.19,0,0,
09/21/2026,08:48:41:734,0.000000,0.000000,1,-124.52,-124.52,0,0,
09/21/2026,08:48:41:944,0.000000,0.000000,1,-123.97,-123.97,0,0,
09/21/2026,08:48:42:158,0.000000,0.000000,1,-125.38,-125.38,0,0,
09/21/2026,08:48:42:365,0.000000,0.000000,1,-126.43,-126.43,0,0,
09/21/2026,08:48:42:576,0.000000,0.000000,1,-124.45,-124.45,0,0,
09/21/2026,08:48:42:791,0.000000,0.000000,1,-125.5,-125.5,0,0,
09/21/2026,08:48:43:036,0.000000,0.000000,1,-125.11,-125.11,0,0,
09/21/2026,08:48:43:212,0.000000,0.000000,1,-123.88,-123.88,0,0,
09/21/2026,08:48:43:420,0.000000,0.000000,1,-122.76,-122.76,0,0,
09/21/2026,08:48:43:631,0.000000,0.000000,1,-124.25,-124.25,0,0,
09/21/2026,08:48:43:842,0.000000,0.000000,1,-123.21,-123.21,0,0,
09/21/2026,08:48:44:054,0.000000,0.000000,1,-123.61,-123.61,0,0,
09/21/2026,08:48:44:263,0.000000,0.000000,1,-123.31,-123.31,0,0,
09/21/2026,08:48:44:473,0.000000,0.000000,1,-123.88,-123.88,0,0,
09/21/2026,08:48:44:690,0.000000,0.000000,1,-125.96,-125.96,0,0,
09/21/2026,08:48:44:924,0.000000,0.000000,1,-125.25,-125.25,0,0,
09/21/2026,08:48:45:149,0.000000,0.000000,1,-121.01,-121.01,0,0,
09/21/2026,08:48:45:316,0.000000,0.000000,1,-121.57,-121.57,0,0,
09/21/2026,08:48:45:529,0.000000,0.000000,1,-123.17,-123.17,0,0,
09/21/2026,08:48:45:742,0.000000,0.000000,1,-121.71,-121.71,0,0,
09/21/2026,08:48:45:953,0.000000,0.000000,1,-124,-124,0,0,
09/21/2026,08:48:46:175,0.000000,0.000000,1,-125.46,-125.46,0,0,
09/21/2026,08:48:46:371,0.000000,0.000000,1,-123.38,-123.38,0,0,
09/21/2026,08:48:46:614,0.000000,0.000000,1,-123.7,-123.7,0,0,
09/21/2026,08:48:46:792,0.000000,0.000000,1,-123.37,-123.37,0,0,
09/21/2026,08:48:47:008,0.000000,0.000000,1,-122.51,-122.51,0,0,
09/21/2026,08:48:47:216,0.000000,0.000000,1,-121.98,-121.98,0,0,
09/21/2026,08:48:47:427,0.000000,0.000000,1,-122.05,-122.05,0,0,
09/21/2026,08:48:47:637,0.000000,0.000000,1,-121.82,-121.82,0,0,
09/21/2026,08:48:47:848,0.000000,0.000000,1,-123.26,-123.26,0,0,
09/21/2026,08:48:48:058,0.000000,0.000000,1,-121.7,-121.7,0,0,
09/21/2026,08:48:48:269,0.000000,0.000000,1,-124.56,-124.56,0,0,
09/21/2026,08:48:48:479,0.000000,0.000000,1,-121.37,-121.37,0,0,
09/21/2026,08:48:48:707,0.000000,0.000000,1,-123.09,-123.09,0,0,
09/21/2026,08:48:49:274,0.000000,0.000000,1,-121.69,-121.69,0,0,
09/21/2026,08:48:49:319,0.000000,0.000000,1,-121.85,-121.85,0,0,
09/21/2026,08:48:49:397,0.000000,0.000000,1,-122.56,-122.56,0,0,
09/21/2026,08:48:49:539,0.000000,0.000000,1,-124.04,-124.04,0,0,
09/21/2026,08:48:49:745,0.000000,0.000000,1,-125.97,-125.97,0,0,
09/21/2026,08:48:49:961,0.000000,0.000000,1,-122.79,-122.79,0,0,
