Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,08:48:07:230,0.000000,0.000000,1,-120.14,-120.14,0,0,
09/21/2026,08:48:07:264,0.000000,0.000000,2,-124.66,-124.66,0,0,
09/21/2026,08:48:07:313,0.000000,0.000000,3,-127.2,-127.2,0,0,
09/21/2026,08:48:07:334,0.000000,0.000000,1,-122.01,-122.01,0,0,
09/21/2026,08:48:07:362,0.000000,0.000000,4,-84.94,-84.94,0,0,
09/21/2026,08:48:07:400,0.000000,0.000000,2,-124.31,-124.31,0,0,
09/21/2026,08:48:07:471,0.000000,0.000000,3,-125.3,-125.3,0,0,
09/21/2026,08:48:07:503,0.000000,0.000000,1,-119.64,-119.64,0,0,
09/21/2026,08:48:07:566,0.000000,0.000000,4,-80.66,-80.66,0,0,
09/21/2026,08:48:07:617,0.000000,0.000000,2,-126.58,-126.58,0,0,
09/21/2026,08:48:07:680,0.000000,0.000000,3,-128.67,-128.67,0,0,
09/21/2026,08:48:07:740,0.000000,0.000000,1,-119.57,-119.57,0,0,
09/21/2026,08:48:07:809,0.000000,0.000000,4,-76.84,-76.84,0,0,
09/21/2026,08:48:07:822,0.000000,0.000000,2,-125.21,-125.21,0,0,
09/21/2026,08:48:07:935,0.000000,0.000000,3,-125.98,-125.98,0,0,
09/21/2026,08:48:07:941,0.000000,0.000000,1,-124.5,-124.5,0,0,
09/21/2026,08:48:07:994,0.000000,0.000000,4,-71.98,-71.98,0,0,
09/21/2026,08:48:08:031,0.000000,0.000000,2,-126.4,-126.4,0,0,
09/21/2026,08:48:08:101,0.000000,0.000000,3,-125.95,-125.95,0,0,
09/21/2026,08:48:08:138,0.000000,0.000000,1,-118.75,-118.75,0,0,
09/21/2026,08:48:08:192,0.000000,0.000000,4,-76.58,-76.58,0,0,
09/21/2026,08:48:08:243,0.000000,0.000000,2,-125.19,-125.19,0,0,
09/21/2026,08:48:08:310,0.000000,0.000000,3,-125.73,-125.73,0,0,
09/21/2026,08:48:08:350,0.000000,0.000000,1,-119.22,-119.22,0,0,
09/21/2026,08:48:08:401,0.000000,0.000000,4,-76.52,-76.52,0,0,
