Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,12:11:59:900,0.000000,0.000000,1,-117.42,-117.42,0,0,
09/21/2026,12:11:59:914,0.000000,0.000000,1,-117.9,-117.9,0,0,
09/21/2026,12:11:59:932,0.000000,0.000000,1,-117.23,-117.23,0,0,
09/21/2026,12:11:59:962,0.000000,0.000000,1,-119.09,-119.09,0,0,
09/21/2026,12:11:59:967,0.000000,0.000000,2,-122.92,-122.92,0,0,
09/21/2026,12:11:59:982,0.000000,0.000000,1,-117.36,-117.36,0,0,
09/21/2026,12:12:00:003,0.000000,0.000000,2,-124.72,-124.72,0,0,
09/21/2026,12:12:00:020,0.000000,0.000000,3,-125.06,-125.06,0,0,
09/21/2026,12:12:00:048,0.000000,0.000000,1,-115.47,-115.47,0,0,
09/21/2026,12:12:00:052,0.000000,0.000000,2,-125.3,-125.3,0,0,
09/21/2026,12:12:00:108,0.000000,0.000000,3,-125.73,-125.73,0,0,
09/21/2026,12:12:00:111,0.000000,0.000000,1,-121.21,-121.21,0,0,
09/21/2026,12:12:00:185,0.000000,0.000000,2,-121.41,-121.41,0,0,
09/21/2026,12:12:00:193,0.000000,0.000000,3,-123.89,-123.89,0,0,
09/21/2026,12:12:00:256,0.000000,0.000000,1,-122.93,-122.93,0,0,
09/21/2026,12:12:00:262,0.000000,0.000000,2,-122.01,-122.01,0,0,
09/21/2026,12:12:00:309,0.000000,0.000000,3,-123.64,-123.64,0,0,
09/21/2026,12:12:00:360,0.000000,0.000000,1,-121.98,-121.98,0,0,
09/21/2026,12:12:00:376,0.000000,0.000000,2,-117.35,-117.35,0,0,
09/21/2026,12:12:00:445,0.000000,0.000000,3,-121.85,-121.85,0,0,
09/21/2026,12:12:00:459,0.000000,0.000000,1,-122.32,-122.32,0,0,
09/21/2026,12:12:00:527,0.000000,0.000000,2,-115.29,-115.29,0,0,
09/21/2026,12:12:00:598,0.000000,0.000000,3,-123.38,-123.38,0,0,
09/21/2026,12:12:00:631,0.000000,0.000000,1,-119.98,-119.98,0,0,
09/21/2026,12:12:00:739,0.000000,0.000000,2,-120.75,-120.75,0,0,
09/21/2026,12:12:00:816,0.000000,0.000000,3,-124.49,-124.49,0,0,
09/21/2026,12:12:00:842,0.000000,0.000000,1,-121.64,-121.64,0,0,
09/21/2026,12:12:00:947,0.000000,0.000000,2,-116.13,-116.13,0,0,
09/21/2026,12:12:01:018,0.000000,0.000000,3,-123.16,-123.16,0,0,
09/21/2026,12:12:01:050,0.000000,0.000000,1,-120.14,-120.14,0,0,
09/21/2026,12:12:01:157,0.000000,0.000000,2,-123.65,-123.65,0,0,
09/21/2026,12:12:01:229,0.000000,0.000000,3,-124.72,-124.72,0,0,
09/21/2026,12:12:01:261,0.000000,0.000000,1,-122.57,-122.57,0,0,
09/21/2026,12:12:01:368,0.000000,0.000000,2,-122.77,-122.77,0,0,
09/21/2026,12:12:01:435,0.000000,0.000000,3,-125.28,-125.28,0,0,
09/21/2026,12:12:01:478,0.000000,0.000000,1,-124.89,-124.89,0,0,
09/21/2026,12:12:01:576,0.000000,0.000000,2,-119.16,-119.16,0,0,
09/21/2026,12:12:01:647,0.000000,0.000000,3,-125.13,-125.13,0,0,
09/21/2026,12:12:01:678,0.000000,0.000000,1,-123.1,-123.1,0,0,
09/21/2026,12:12:01:786,0.000000,0.000000,2,-126.12,-126.12,0,0,
09/21/2026,12:12:01:855,0.000000,0.000000,3,-123.34,-123.34,0,0,
09/21/2026,12:12:01:888,0.000000,0.000000,1,-126.35,-126.35,0,0,
09/21/2026,12:12:02:002,0.000000,0.000000,2,-122.73,-122.73,0,0,
09/21/2026,12:12:02:078,0.000000,0.000000,3,-123.68,-123.68,0,0,
09/21/2026,12:12:02:114,0.000000,0.000000,1,-122.19,-122.19,0,0,
09/21/2026,12:12:02:232,0.000000,0.000000,2,-119.3,-119.3,0,0,
09/21/2026,12:12:02:276,0.000000,0.000000,3,-126.29,-126.29,0,0,
09/21/2026,12:12:02:309,0.000000,0.000000,1,-120.72,-120.72,0,0,
09/21/2026,12:12:02:414,0.000000,0.000000,2,-117.72,-117.72,0,0,
09/21/2026,12:12:02:488,0.000000,0.000000,3,-125.09,-125.09,0,0,
09/21/2026,12:12:02:519,0.000000,0.000000,1,-124.02,-124.02,0,0,
09/21/2026,12:12:02:625,0.000000,0.000000,2,-119.61,-119.61,0,0,
09/21/2026,12:12:02:695,0.000000,0.000000,3,-121.43,-121.43,0,0,
09/21/2026,12:12:02:728,0.000000,0.000000,1,-123.84,-123.84,0,0,
09/21/2026,12:12:02:834,0.000000,0.000000,2,-121.68,-121.68,0,0,
09/21/2026,12:12:02:906,0.000000,0.000000,3,-123.96,-123.96,0,0,
09/21/2026,12:12:02:939,0.000000,0.000000,1,-120.24,-120.24,0,0,
09/21/2026,12:12:03:048,0.000000,0.000000,2,-121.05,-121.05,0,0,
09/21/2026,12:12:03:112,0.000000,0.000000,3,-123.23,-123.23,0,0,
09/21/2026,12:12:03:152,0.000000,0.000000,1,-123.51,-123.51,0,0,
09/21/2026,12:12:03:254,0.000000,0.000000,2,-125.22,-125.22,0,0,
09/21/2026,12:12:03:323,0.000000,0.000000,3,-124.35,-124.35,0,0,
09/21/2026,12:12:03:357,0.000000,0.000000,1,-125.55,-125.55,0,0,
09/21/2026,12:12:03:467,0.000000,0.000000,2,-121.97,-121.97,0,0,
09/21/2026,12:12:03:533,0.000000,0.000000,3,-123.71,-123.71,0,0,
09/21/2026,12:12:03:567,0.000000,0.000000,1,-119.83,-119.83,0,0,
09/21/2026,12:12:03:674,0.000000,0.000000,2,-124.92,-124.92,0,0,
09/21/2026,12:12:03:776,0.000000,0.000000,3,-127.24,-127.24,0,0,
09/21/2026,12:12:03:786,0.000000,0.000000,1,-122.36,-122.36,0,0,
09/21/2026,12:12:03:926,0.000000,0.000000,2,-118.02,-118.02,0,0,
09/21/2026,12:12:03:972,0.000000,0.000000,3,-126.95,-126.95,0,0,
09/21/2026,12:12:03:985,0.000000,0.000000,1,-120.05,-120.05,0,0,
09/21/2026,12:12:04:091,0.000000,0.000000,2,-113.84,-113.84,0,0,
09/21/2026,12:12:04:161,0.000000,0.000000,3,-124.49,-124.49,0,0,
09/21/2026,12:12:04:204,0.000000,0.000000,1,-119.87,-119.87,0,0,
09/21/2026,12:12:04:301,0.000000,0.000000,2,-119.69,-119.69,0,0,
09/21/2026,12:12:04:375,0.000000,0.000000,3,-122.13,-122.13,0,0,
09/21/2026,12:12:04:406,0.000000,0.000000,1,-123.25,-123.25,0,0,
09/21/2026,12:12:04:512,0.000000,0.000000,2,-119.99,-119.99,0,0,
09/21/2026,12:12:04:581,0.000000,0.000000,3,-123.23,-123.23,0,0,
09/21/2026,12:12:04:615,0.000000,0.000000,1,-121.94,-121.94,0,0,
09/21/2026,12:12:04:761,0.000000,0.000000,2,-120.49,-120.49,0,0,
09/21/2026,12:12:04:790,0.000000,0.000000,3,-121.87,-121.87,0,0,
09/21/2026,12:12:04:823,0.000000,0.000000,1,-119.12,-119.12,0,0,
09/21/2026,12:12:04:932,0.000000,0.000000,2,-122.26,-122.26,0,0,
09/21/2026,12:12:05:001,0.000000,0.000000,3,-124.78,-124.78,0,0,
09/21/2026,12:12:05:037,0.000000,0.000000,1,-124.91,-124.91,0,0,
09/21/2026,12:12:05:140,0.000000,0.000000,2,-120.39,-120.39,0,0,
09/21/2026,12:12:05:209,0.000000,0.000000,3,-123,-123,0,0,
09/21/2026,12:12:05:244,0.000000,0.000000,1,-122.44,-122.44,0,0,
09/21/2026,12:12:05:350,0.000000,0.000000,2,-122.51,-122.51,0,0,
09/21/2026,12:12:05:419,0.000000,0.000000,3,-124.8,-124.8,0,0,
09/21/2026,12:12:05:455,0.000000,0.000000,1,-122.45,-122.45,0,0,
09/21/2026,12:12:05:648,0.000000,0.000000,2,-126.11,-126.11,0,0,
09/21/2026,12:12:05:691,0.000000,0.000000,3,-127.14,-127.14,0,0,
09/21/2026,12:12:05:698,0.000000,0.000000,1,-122.57,-122.57,0,0,
09/21/2026,12:12:05:771,0.000000,0.000000,2,-116.63,-116.63,0,0,
