Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,12:13:54:794,0.000000,0.000000,1,-124.73,-124.73,0,0,
09/21/2026,12:13:54:848,0.000000,0.000000,2,-121.81,-121.81,0,0,
09/21/2026,12:13:54:896,0.000000,0.000000,3,-121.36,-121.36,0,0,
09/21/2026,12:13:54:912,0.000000,0.000000,1,-122.46,-122.46,0,0,
09/21/2026,12:13:54:947,0.000000,0.000000,4,-103.3,-103.3,0,0,
09/21/2026,12:13:54:984,0.000000,0.000000,2,-121.71,-121.71,0,0,
09/21/2026,12:13:55:052,0.000000,0.000000,3,-119.13,-119.13,0,0,
09/21/2026,12:13:55:085,0.000000,0.000000,1,-121.01,-121.01,0,0,
09/21/2026,12:13:55:142,0.000000,0.000000,4,-90.58,-90.58,0,0,
09/21/2026,12:13:55:207,0.000000,0.000000,2,-125.92,-125.92,0,0,
09/21/2026,12:13:55:283,0.000000,0.000000,3,-121.22,-121.22,0,0,
09/21/2026,12:13:55:296,0.000000,0.000000,1,-124.72,-124.72,0,0,
09/21/2026,12:13:55:356,0.000000,0.000000,4,-93.08,-93.08,0,0,
09/21/2026,12:13:55:420,0.000000,0.000000,2,-125.43,-125.43,0,0,
09/21/2026,12:13:55:484,0.000000,0.000000,3,-120.37,-120.37,0,0,
09/21/2026,12:13:55:509,0.000000,0.000000,1,-121.5,-121.5,0,0,
09/21/2026,12:13:55:564,0.000000,0.000000,4,-92.34,-92.34,0,0,
09/21/2026,12:13:55:612,0.000000,0.000000,2,-122.4,-122.4,0,0,
09/21/2026,12:13:55:682,0.000000,0.000000,3,-121.96,-121.96,0,0,
09/21/2026,12:13:55:726,0.000000,0.000000,1,-124.45,-124.45,0,0,
09/21/2026,12:13:55:769,0.000000,0.000000,4,-90.05,-90.05,0,0,
09/21/2026,12:13:55:823,0.000000,0.000000,2,-121.53,-121.53,0,0,
09/21/2026,12:13:55:891,0.000000,0.000000,3,-120.56,-120.56,0,0,
09/21/2026,12:13:55:929,0.000000,0.000000,1,-122.76,-122.76,0,0,
09/21/2026,12:13:55:980,0.000000,0.000000,4,-88.65,-88.65,0,0,
09/21/2026,12:13:56:034,0.000000,0.000000,2,-124.26,-124.26,0,0,
09/21/2026,12:13:56:104,0.000000,0.000000,3,-120.11,-120.11,0,0,
09/21/2026,12:13:56:145,0.000000,0.000000,1,-122.36,-122.36,0,0,
09/21/2026,12:13:56:192,0.000000,0.000000,4,-83.24,-83.24,0,0,
09/21/2026,12:13:56:247,0.000000,0.000000,2,-123.23,-123.23,0,0,
