Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,12:16:09:167,0.000000,0.000000,1,-125.63,-125.63,0,0,
09/21/2026,12:16:09:253,0.000000,0.000000,1,-127.27,-127.27,0,0,
09/21/2026,12:16:09:390,0.000000,0.000000,1,-126.91,-126.91,0,0,
09/21/2026,12:16:09:614,0.000000,0.000000,1,-125.64,-125.64,0,0,
09/21/2026,12:16:09:796,0.000000,0.000000,1,-126.6,-126.6,0,0,
09/21/2026,12:16:09:985,0.000000,0.000000,1,-124.86,-124.86,0,0,
09/21/2026,12:16:10:210,0.000000,0.000000,1,-126.02,-126.02,0,0,
09/21/2026,12:16:10:409,0.000000,0.000000,1,-123.64,-123.64,0,0,
09/21/2026,12:16:10:618,0.000000,0.000000,1,-127.45,-127.45,0,0,
09/21/2026,12:16:10:835,0.000000,0.000000,1,-126.57,-126.57,0,0,
09/21/2026,12:16:11:041,0.000000,0.000000,1,-126.85,-126.85,0,0,
09/21/2026,12:16:11:312,0.000000,0.000000,1,-124.22,-124.22,0,0,
09/21/2026,12:16:11:462,0.000000,0.000000,1,-126.35,-126.35,0,0,
09/21/2026,12:16:11:675,0.000000,0.000000,1,-127.44,-127.44,0,0,
09/21/2026,12:16:11:885,0.000000,0.000000,1,-125.37,-125.37,0,0,
09/21/2026,12:16:12:095,0.000000,0.000000,1,-126.28,-126.28,0,0,
09/21/2026,12:16:12:307,0.000000,0.000000,1,-124.35,-124.35,0,0,
09/21/2026,12:16:12:516,0.000000,0.000000,1,-125.67,-125.67,0,0,
09/21/2026,12:16:12:726,0.000000,0.000000,1,-126.61,-126.61,0,0,
09/21/2026,12:16:12:943,0.000000,0.000000,1,-124.61,-124.61,0,0,
09/21/2026,12:16:13:189,0.000000,0.000000,1,-126.32,-126.32,0,0,
09/21/2026,12:16:13:382,0.000000,0.000000,1,-126.92,-126.92,0,0,
09/21/2026,12:16:13:572,0.000000,0.000000,1,-123.25,-123.25,0,0,
09/21/2026,12:16:13:788,0.000000,0.000000,1,-126.6,-126.6,0,0,
09/21/2026,12:16:13:995,0.000000,0.000000,1,-126,-126,0,0,
09/21/2026,12:16:14:208,0.000000,0.000000,1,-125.12,-125.12,0,0,
09/21/2026,12:16:14:420,0.000000,0.000000,1,-126.5,-126.5,0,0,
09/21/2026,12:16:14:719,0.000000,0.000000,1,-125.96,-125.96,0,0,
09/21/2026,12:16:14:837,0.000000,0.000000,1,-127.01,-127.01,0,0,
