Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,12:18:47:958,0.000000,0.000000,1,-112.95,-112.95,0,0,
09/21/2026,12:18:48:037,0.000000,0.000000,2,-111.31,-111.31,0,0,
09/21/2026,12:18:48:130,0.000000,0.000000,1,-114.26,-114.26,0,0,
09/21/2026,12:18:48:131,0.000000,0.000000,3,-78.87,-78.87,0,0,
09/21/2026,12:18:48:212,0.000000,0.000000,2,-109.75,-109.75,0,0,
09/21/2026,12:18:48:217,0.000000,0.000000,4,-113.65,-113.65,0,0,
09/21/2026,12:18:48:286,0.000000,0.000000,1,-113.94,-113.94,0,0,
09/21/2026,12:18:48:369,0.000000,0.000000,3,-80.34,-80.34,0,0,
09/21/2026,12:18:48:392,0.000000,0.000000,2,-108.19,-108.19,0,0,
09/21/2026,12:18:48:409,0.000000,0.000000,4,-114.59,-114.59,0,0,
09/21/2026,12:18:48:443,0.000000,0.000000,1,-112.68,-112.68,0,0,
09/21/2026,12:18:48:455,0.000000,0.000000,3,-80.51,-80.51,0,0,
09/21/2026,12:18:48:524,0.000000,0.000000,2,-107.96,-107.96,0,0,
09/21/2026,12:18:48:542,0.000000,0.000000,4,-113.53,-113.53,0,0,
09/21/2026,12:18:48:615,0.000000,0.000000,1,-115.28,-115.28,0,0,
09/21/2026,12:18:48:630,0.000000,0.000000,3,-79.13,-79.13,0,0,
09/21/2026,12:18:48:722,0.000000,0.000000,2,-110.51,-110.51,0,0,
09/21/2026,12:18:48:738,0.000000,0.000000,4,-113.81,-113.81,0,0,
09/21/2026,12:18:48:792,0.000000,0.000000,1,-114.11,-114.11,0,0,
09/21/2026,12:18:48:809,0.000000,0.000000,3,-77.73,-77.73,0,0,
09/21/2026,12:18:48:879,0.000000,0.000000,2,-110.98,-110.98,0,0,
09/21/2026,12:18:48:896,0.000000,0.000000,4,-114.32,-114.32,0,0,
09/21/2026,12:18:48:951,0.000000,0.000000,1,-112.86,-112.86,0,0,
09/21/2026,12:18:48:966,0.000000,0.000000,3,-78.7,-78.7,0,0,
09/21/2026,12:18:49:045,0.000000,0.000000,2,-109.44,-109.44,0,0,
09/21/2026,12:18:49:066,0.000000,0.000000,4,-115.55,-115.55,0,0,
09/21/2026,12:18:49:116,0.000000,0.000000,1,-112.86,-112.86,0,0,
09/21/2026,12:18:49:138,0.000000,0.000000,3,-79.54,-79.54,0,0,
09/21/2026,12:18:49:228,0.000000,0.000000,2,-110.45,-110.45,0,0,
09/21/2026,12:18:49:230,0.000000,0.000000,4,-113.5,-113.5,0,0,
09/21/2026,12:18:49:276,0.000000,0.000000,1,-112.31,-112.31,0,0,
09/21/2026,12:18:49:293,0.000000,0.000000,3,-79.68,-79.68,0,0,
09/21/2026,12:18:49:374,0.000000,0.000000,2,-112.06,-112.06,0,0,
09/21/2026,12:18:49:390,0.000000,0.000000,4,-114.04,-114.04,0,0,
09/21/2026,12:18:49:446,0.000000,0.000000,1,-114.11,-114.11,0,0,
09/21/2026,12:18:49:460,0.000000,0.000000,3,-79.64,-79.64,0,0,
09/21/2026,12:18:49:532,0.000000,0.000000,2,-110.27,-110.27,0,0,
09/21/2026,12:18:49:548,0.000000,0.000000,4,-113.78,-113.78,0,0,
09/21/2026,12:18:49:602,0.000000,0.000000,1,-111.2,-111.2,0,0,
09/21/2026,12:18:49:616,0.000000,0.000000,3,-78.76,-78.76,0,0,
09/21/2026,12:18:49:689,0.000000,0.000000,2,-109.83,-109.83,0,0,
09/21/2026,12:18:49:705,0.000000,0.000000,4,-114.45,-114.45,0,0,
09/21/2026,12:18:49:757,0.000000,0.000000,1,-114.4,-114.4,0,0,
09/21/2026,12:18:49:781,0.000000,0.000000,3,-77.16,-77.16,0,0,
09/21/2026,12:18:49:846,0.000000,0.000000,2,-112.03,-112.03,0,0,
09/21/2026,12:18:49:863,0.000000,0.000000,4,-113.62,-113.62,0,0,
09/21/2026,12:18:49:917,0.000000,0.000000,1,-114.45,-114.45,0,0,
09/21/2026,12:18:49:932,0.000000,0.000000,3,-78.04,-78.04,0,0,
09/21/2026,12:18:50:011,0.000000,0.000000,2,-109.82,-109.82,0,0,
09/21/2026,12:18:50:019,0.000000,0.000000,4,-114.75,-114.75,0,0,
09/21/2026,12:18:50:133,0.000000,0.000000,1,-112.9,-112.9,0,0,
09/21/2026,12:18:50:134,0.000000,0.000000,3,-82.03,-82.03,0,0,
09/21/2026,12:18:50:211,0.000000,0.000000,2,-111.32,-111.32,0,0,
09/21/2026,12:18:50:212,0.000000,0.000000,4,-114.89,-114.89,0,0,
09/21/2026,12:18:50:286,0.000000,0.000000,1,-113.55,-113.55,0,0,
