Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:19:53:218,0.000000,0.000000,1,-119.08,-119.08,0,0,
08/27/2026,06:19:53:284,0.000000,0.000000,2,-119.46,-119.46,0,0,
08/27/2026,06:19:53:325,0.000000,0.000000,3,-79.87,-79.87,0,0,
08/27/2026,06:19:53:376,0.000000,0.000000,4,-117.06,-117.06,0,0,
08/27/2026,06:19:53:513,0.000000,0.000000,1,-119.34,-119.34,0,0,
08/27/2026,06:19:53:530,0.000000,0.000000,2,-118.72,-118.72,0,0,
08/27/2026,06:19:53:586,0.000000,0.000000,3,-80.71,-80.71,0,0,
08/27/2026,06:19:53:645,0.000000,0.000000,4,-117.78,-117.78,0,0,
08/27/2026,06:19:53:742,0.000000,0.000000,1,-121.47,-121.47,0,0,
08/27/2026,06:19:53:795,0.000000,0.000000,2,-122.37,-122.37,0,0,
08/27/2026,06:19:53:850,0.000000,0.000000,3,-83.45,-83.45,0,0,
08/27/2026,06:19:53:913,0.000000,0.000000,4,-121.39,-121.39,0,0,
08/27/2026,06:19:54:003,0.000000,0.000000,1,-118.12,-118.12,0,0,
08/27/2026,06:19:54:071,0.000000,0.000000,2,-121.24,-121.24,0,0,
08/27/2026,06:19:54:113,0.000000,0.000000,3,-83.88,-83.88,0,0,
08/27/2026,06:19:54:160,0.000000,0.000000,4,-118.46,-118.46,0,0,
08/27/2026,06:19:54:263,0.000000,0.000000,1,-115.67,-115.67,0,0,
08/27/2026,06:19:54:322,0.000000,0.000000,2,-113.05,-113.05,0,0,
08/27/2026,06:19:54:379,0.000000,0.000000,3,-79.71,-79.71,0,0,
08/27/2026,06:19:54:423,0.000000,0.000000,4,-118.67,-118.67,0,0,
08/27/2026,06:19:54:561,0.000000,0.000000,1,-119.59,-119.59,0,0,
08/27/2026,06:19:54:597,0.000000,0.000000,2,-120.6,-120.6,0,0,
08/27/2026,06:19:54:639,0.000000,0.000000,3,-81.36,-81.36,0,0,
