Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:19:53:013,0.000000,0.000000,1,-125.76,-125.76,0,0,
08/27/2026,06:19:53:063,0.000000,0.000000,2,-122.95,-122.95,0,0,
08/27/2026,06:19:53:118,0.000000,0.000000,3,-122.85,-122.85,0,0,
08/27/2026,06:19:53:174,0.000000,0.000000,4,-72.14,-72.14,0,0,
08/27/2026,06:19:53:216,0.000000,0.000000,1,-120.23,-120.23,0,0,
08/27/2026,06:19:53:287,0.000000,0.000000,2,-122.18,-122.18,0,0,
08/27/2026,06:19:53:356,0.000000,0.000000,3,-124.08,-124.08,0,0,
08/27/2026,06:19:53:427,0.000000,0.000000,4,-72.81,-72.81,0,0,
08/27/2026,06:19:53:460,0.000000,0.000000,1,-120.13,-120.13,0,0,
08/27/2026,06:19:53:556,0.000000,0.000000,2,-124.23,-124.23,0,0,
08/27/2026,06:19:53:624,0.000000,0.000000,3,-122.75,-122.75,0,0,
08/27/2026,06:19:53:701,0.000000,0.000000,4,-73.05,-73.05,0,0,
08/27/2026,06:19:53:730,0.000000,0.000000,1,-123.6,-123.6,0,0,
08/27/2026,06:19:53:814,0.000000,0.000000,2,-125.14,-125.14,0,0,
08/27/2026,06:19:53:879,0.000000,0.000000,3,-122.38,-122.38,0,0,
08/27/2026,06:19:53:967,0.000000,0.000000,4,-73.88,-73.88,0,0,
08/27/2026,06:19:53:984,0.000000,0.000000,1,-122.29,-122.29,0,0,
08/27/2026,06:19:54:078,0.000000,0.000000,2,-123.55,-123.55,0,0,
08/27/2026,06:19:54:157,0.000000,0.000000,3,-124.72,-124.72,0,0,
08/27/2026,06:19:54:219,0.000000,0.000000,4,-75.41,-75.41,0,0,
08/27/2026,06:19:54:256,0.000000,0.000000,1,-123.55,-123.55,0,0,
08/27/2026,06:19:54:335,0.000000,0.000000,2,-122.53,-122.53,0,0,
08/27/2026,06:19:54:419,0.000000,0.000000,3,-123.8,-123.8,0,0,
08/27/2026,06:19:54:509,0.000000,0.000000,4,-74.92,-74.92,0,0,
08/27/2026,06:19:54:516,0.000000,0.000000,1,-124.23,-124.23,0,0,
08/27/2026,06:19:54:601,0.000000,0.000000,2,-121.34,-121.34,0,0,
08/27/2026,06:19:54:675,0.000000,0.000000,3,-122.09,-122.09,0,0,
08/27/2026,06:19:54:778,0.000000,0.000000,4,-77.3,-77.3,0,0,
08/27/2026,06:19:54:790,0.000000,0.000000,1,-124.1,-124.1,0,0,
08/27/2026,06:19:54:861,0.000000,0.000000,2,-122.32,-122.32,0,0,
08/27/2026,06:19:54:934,0.000000,0.000000,3,-122.59,-122.59,0,0,
08/27/2026,06:19:55:009,0.000000,0.000000,4,-72.68,-72.68,0,0,
08/27/2026,06:19:55:038,0.000000,0.000000,1,-124.23,-124.23,0,0,
08/27/2026,06:19:55:141,0.000000,0.000000,2,-121.38,-121.38,0,0,
08/27/2026,06:19:55:196,0.000000,0.000000,3,-123.11,-123.11,0,0,
08/27/2026,06:19:55:260,0.000000,0.000000,4,-76.05,-76.05,0,0,
08/27/2026,06:19:55:301,0.000000,0.000000,1,-122.38,-122.38,0,0,
08/27/2026,06:19:55:383,0.000000,0.000000,2,-122.71,-122.71,0,0,
08/27/2026,06:19:55:463,0.000000,0.000000,3,-122.12,-122.12,0,0,
08/27/2026,06:19:55:520,0.000000,0.000000,4,-86.38,-86.38,0,0,
08/27/2026,06:19:55:560,0.000000,0.000000,1,-122.83,-122.83,0,0,
08/27/2026,06:19:55:642,0.000000,0.000000,2,-121.82,-121.82,0,0,
08/27/2026,06:19:55:721,0.000000,0.000000,3,-122.79,-122.79,0,0,
08/27/2026,06:19:55:782,0.000000,0.000000,4,-92.38,-92.38,0,0,
08/27/2026,06:19:55:834,0.000000,0.000000,1,-124.41,-124.41,0,0,
08/27/2026,06:19:55:908,0.000000,0.000000,2,-122.26,-122.26,0,0,
08/27/2026,06:19:55:977,0.000000,0.000000,3,-123.57,-123.57,0,0,
08/27/2026,06:19:56:066,0.000000,0.000000,4,-81.47,-81.47,0,0,
08/27/2026,06:19:56:077,0.000000,0.000000,1,-121.69,-121.69,0,0,
08/27/2026,06:19:56:170,0.000000,0.000000,2,-124.71,-124.71,0,0,
08/27/2026,06:19:56:250,0.000000,0.000000,3,-123.58,-123.58,0,0,
08/27/2026,06:19:56:332,0.000000,0.000000,4,-80.58,-80.58,0,0,
08/27/2026,06:19:56:340,0.000000,0.000000,1,-122.05,-122.05,0,0,
08/27/2026,06:19:56:456,0.000000,0.000000,2,-121.62,-121.62,0,0,
08/27/2026,06:19:56:506,0.000000,0.000000,3,-125.7,-125.7,0,0,
08/27/2026,06:19:56:569,0.000000,0.000000,4,-69.23,-69.23,0,0,
08/27/2026,06:19:56:612,0.000000,0.000000,1,-120.44,-120.44,0,0,
08/27/2026,06:19:56:696,0.000000,0.000000,2,-121.64,-121.64,0,0,
08/27/2026,06:19:56:788,0.000000,0.000000,3,-123.46,-123.46,0,0,
08/27/2026,06:19:56:838,0.000000,0.000000,4,-72.71,-72.71,0,0,
08/27/2026,06:19:56:865,0.000000,0.000000,1,-122.3,-122.3,0,0,
08/27/2026,06:19:56:965,0.000000,0.000000,2,-121.7,-121.7,0,0,
08/27/2026,06:19:57:032,0.000000,0.000000,3,-121.55,-121.55,0,0,
08/27/2026,06:19:57:090,0.000000,0.000000,4,-76.69,-76.69,0,0,
08/27/2026,06:19:57:133,0.000000,0.000000,1,-122.03,-122.03,0,0,
08/27/2026,06:19:57:213,0.000000,0.000000,2,-123.54,-123.54,0,0,
08/27/2026,06:19:57:305,0.000000,0.000000,3,-122.34,-122.34,0,0,
08/27/2026,06:19:57:365,0.000000,0.000000,4,-76.95,-76.95,0,0,
08/27/2026,06:19:57:396,0.000000,0.000000,1,-124.5,-124.5,0,0,
08/27/2026,06:19:57:487,0.000000,0.000000,2,-124.38,-124.38,0,0,
08/27/2026,06:19:57:548,0.000000,0.000000,3,-121.14,-121.14,0,0,
08/27/2026,06:19:57:615,0.000000,0.000000,4,-71.35,-71.35,0,0,
08/27/2026,06:19:57:650,0.000000,0.000000,1,-122.99,-122.99,0,0,
08/27/2026,06:19:57:744,0.000000,0.000000,2,-123.93,-123.93,0,0,
08/27/2026,06:19:57:812,0.000000,0.000000,3,-122.97,-122.97,0,0,
08/27/2026,06:19:57:878,0.000000,0.000000,4,-77.91,-77.91,0,0,
08/27/2026,06:19:57:914,0.000000,0.000000,1,-122.91,-122.91,0,0,
08/27/2026,06:19:58:017,0.000000,0.000000,2,-123.22,-123.22,0,0,
08/27/2026,06:19:58:090,0.000000,0.000000,3,-123.19,-123.19,0,0,
08/27/2026,06:19:58:150,0.000000,0.000000,4,-77.81,-77.81,0,0,
08/27/2026,06:19:58:186,0.000000,0.000000,1,-122.54,-122.54,0,0,
08/27/2026,06:19:58:377,0.000000,0.000000,2,-123.16,-123.16,0,0,
08/27/2026,06:19:58:417,0.000000,0.000000,3,-121.72,-121.72,0,0,
08/27/2026,06:19:58:431,0.000000,0.000000,4,-88.88,-88.88,0,0,
08/27/2026,06:19:58:442,0.000000,0.000000,1,-119.82,-119.82,0,0,
08/27/2026,06:19:58:524,0.000000,0.000000,2,-121.44,-121.44,0,0,
08/27/2026,06:19:58:592,0.000000,0.000000,3,-122.76,-122.76,0,0,
08/27/2026,06:19:58:662,0.000000,0.000000,4,-79.76,-79.76,0,0,
08/27/2026,06:19:58:697,0.000000,0.000000,1,-121.35,-121.35,0,0,
08/27/2026,06:19:58:794,0.000000,0.000000,2,-123.63,-123.63,0,0,
08/27/2026,06:19:58:854,0.000000,0.000000,3,-123.3,-123.3,0,0,
08/27/2026,06:19:58:937,0.000000,0.000000,4,-73.3,-73.3,0,0,
08/27/2026,06:19:58:959,0.000000,0.000000,1,-121.76,-121.76,0,0,
08/27/2026,06:19:59:050,0.000000,0.000000,2,-121.51,-121.51,0,0,
08/27/2026,06:19:59:118,0.000000,0.000000,3,-124.66,-124.66,0,0,
08/27/2026,06:19:59:195,0.000000,0.000000,4,-70.87,-70.87,0,0,
08/27/2026,06:19:59:229,0.000000,0.000000,1,-121.78,-121.78,0,0,
08/27/2026,06:19:59:309,0.000000,0.000000,2,-124.92,-124.92,0,0,
08/27/2026,06:19:59:377,0.000000,0.000000,3,-123.6,-123.6,0,0,
08/27/2026,06:19:59:464,0.000000,0.000000,4,-80.79,-80.79,0,0,
08/27/2026,06:19:59:481,0.000000,0.000000,1,-122.52,-122.52,0,0,
08/27/2026,06:19:59:574,0.000000,0.000000,2,-123.84,-123.84,0,0,
08/27/2026,06:19:59:650,0.000000,0.000000,3,-123.06,-123.06,0,0,
08/27/2026,06:19:59:715,0.000000,0.000000,4,-78.18,-78.18,0,0,
08/27/2026,06:19:59:746,0.000000,0.000000,1,-122.01,-122.01,0,0,
08/27/2026,06:19:59:831,0.000000,0.000000,2,-124.17,-124.17,0,0,
08/27/2026,06:19:59:903,0.000000,0.000000,3,-122.5,-122.5,0,0,
08/27/2026,06:19:59:972,0.000000,0.000000,4,-66.66,-66.66,0,0,
08/27/2026,06:20:00:011,0.000000,0.000000,1,-122.23,-122.23,0,0,
08/27/2026,06:20:00:101,0.000000,0.000000,2,-124.8,-124.8,0,0,
08/27/2026,06:20:00:174,0.000000,0.000000,3,-124.87,-124.87,0,0,
08/27/2026,06:20:00:261,0.000000,0.000000,4,-64.46,-64.46,0,0,
08/27/2026,06:20:00:265,0.000000,0.000000,1,-120.83,-120.83,0,0,
08/27/2026,06:20:00:355,0.000000,0.000000,2,-122.86,-122.86,0,0,
08/27/2026,06:20:00:427,0.000000,0.000000,3,-121.76,-121.76,0,0,
08/27/2026,06:20:00:493,0.000000,0.000000,4,-68.24,-68.24,0,0,
08/27/2026,06:20:00:526,0.000000,0.000000,1,-121.52,-121.52,0,0,
08/27/2026,06:20:00:620,0.000000,0.000000,2,-122.49,-122.49,0,0,
08/27/2026,06:20:00:691,0.000000,0.000000,3,-120.29,-120.29,0,0,
08/27/2026,06:20:00:777,0.000000,0.000000,4,-84.63,-84.63,0,0,
08/27/2026,06:20:00:790,0.000000,0.000000,1,-123.73,-123.73,0,0,
08/27/2026,06:20:00:882,0.000000,0.000000,2,-124.62,-124.62,0,0,
08/27/2026,06:20:00:965,0.000000,0.000000,3,-120.39,-120.39,0,0,
08/27/2026,06:20:01:023,0.000000,0.000000,4,-67.6,-67.6,0,0,
