Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:17:04:937,0.000000,0.000000,1,-123.26,-123.26,0,0,
08/27/2026,06:17:04:988,0.000000,0.000000,2,-120.53,-120.53,0,0,
08/27/2026,06:17:05:027,0.000000,0.000000,1,-120.36,-120.36,0,0,
08/27/2026,06:17:05:041,0.000000,0.000000,3,-121.66,-121.66,0,0,
08/27/2026,06:17:05:138,0.000000,0.000000,2,-118.52,-118.52,0,0,
08/27/2026,06:17:05:144,0.000000,0.000000,4,-74.13,-74.13,0,0,
08/27/2026,06:17:05:159,0.000000,0.000000,1,-119.03,-119.03,0,0,
08/27/2026,06:17:05:198,0.000000,0.000000,3,-118.99,-118.99,0,0,
08/27/2026,06:17:05:306,0.000000,0.000000,2,-123.25,-123.25,0,0,
08/27/2026,06:17:05:316,0.000000,0.000000,4,-72.5,-72.5,0,0,
08/27/2026,06:17:05:382,0.000000,0.000000,1,-120.49,-120.49,0,0,
08/27/2026,06:17:05:411,0.000000,0.000000,3,-122.99,-122.99,0,0,
08/27/2026,06:17:05:518,0.000000,0.000000,2,-120.65,-120.65,0,0,
08/27/2026,06:17:05:526,0.000000,0.000000,4,-76.44,-76.44,0,0,
08/27/2026,06:17:05:609,0.000000,0.000000,1,-123.63,-123.63,0,0,
08/27/2026,06:17:05:623,0.000000,0.000000,3,-123.35,-123.35,0,0,
08/27/2026,06:17:05:729,0.000000,0.000000,2,-124.48,-124.48,0,0,
08/27/2026,06:17:05:737,0.000000,0.000000,4,-73.69,-73.69,0,0,
08/27/2026,06:17:05:791,0.000000,0.000000,1,-120.51,-120.51,0,0,
08/27/2026,06:17:05:853,0.000000,0.000000,3,-121.15,-121.15,0,0,
08/27/2026,06:17:05:932,0.000000,0.000000,2,-120.15,-120.15,0,0,
08/27/2026,06:17:05:949,0.000000,0.000000,4,-83.49,-83.49,0,0,
08/27/2026,06:17:06:011,0.000000,0.000000,1,-122.24,-122.24,0,0,
08/27/2026,06:17:06:038,0.000000,0.000000,3,-119.76,-119.76,0,0,
08/27/2026,06:17:06:144,0.000000,0.000000,2,-122.69,-122.69,0,0,
08/27/2026,06:17:06:170,0.000000,0.000000,4,-82.25,-82.25,0,0,
08/27/2026,06:17:06:221,0.000000,0.000000,1,-119.68,-119.68,0,0,
08/27/2026,06:17:06:250,0.000000,0.000000,3,-118.06,-118.06,0,0,
08/27/2026,06:17:06:363,0.000000,0.000000,2,-118.89,-118.89,0,0,
08/27/2026,06:17:06:376,0.000000,0.000000,4,-79.73,-79.73,0,0,
08/27/2026,06:17:06:435,0.000000,0.000000,1,-120.74,-120.74,0,0,
08/27/2026,06:17:06:476,0.000000,0.000000,3,-119.18,-119.18,0,0,
08/27/2026,06:17:06:596,0.000000,0.000000,2,-119.67,-119.67,0,0,
08/27/2026,06:17:06:599,0.000000,0.000000,4,-76.45,-76.45,0,0,
08/27/2026,06:17:06:649,0.000000,0.000000,1,-118.79,-118.79,0,0,
08/27/2026,06:17:06:688,0.000000,0.000000,3,-119.17,-119.17,0,0,
08/27/2026,06:17:06:788,0.000000,0.000000,2,-120.76,-120.76,0,0,
08/27/2026,06:17:06:793,0.000000,0.000000,4,-76.53,-76.53,0,0,
08/27/2026,06:17:06:860,0.000000,0.000000,1,-120.83,-120.83,0,0,
08/27/2026,06:17:06:908,0.000000,0.000000,3,-120.43,-120.43,0,0,
08/27/2026,06:17:06:996,0.000000,0.000000,2,-121.7,-121.7,0,0,
08/27/2026,06:17:07:008,0.000000,0.000000,4,-72.36,-72.36,0,0,
08/27/2026,06:17:07:057,0.000000,0.000000,1,-120.32,-120.32,0,0,
08/27/2026,06:17:07:104,0.000000,0.000000,3,-121.24,-121.24,0,0,
08/27/2026,06:17:07:214,0.000000,0.000000,2,-120.39,-120.39,0,0,
08/27/2026,06:17:07:221,0.000000,0.000000,4,-73.86,-73.86,0,0,
08/27/2026,06:17:07:298,0.000000,0.000000,1,-121.22,-121.22,0,0,
08/27/2026,06:17:07:317,0.000000,0.000000,3,-121.79,-121.79,0,0,
08/27/2026,06:17:07:408,0.000000,0.000000,2,-121.5,-121.5,0,0,
08/27/2026,06:17:07:436,0.000000,0.000000,4,-72.8,-72.8,0,0,
08/27/2026,06:17:07:498,0.000000,0.000000,1,-121.99,-121.99,0,0,
08/27/2026,06:17:07:522,0.000000,0.000000,3,-119.13,-119.13,0,0,
08/27/2026,06:17:07:618,0.000000,0.000000,2,-121.01,-121.01,0,0,
08/27/2026,06:17:07:648,0.000000,0.000000,4,-86.83,-86.83,0,0,
08/27/2026,06:17:07:704,0.000000,0.000000,1,-120.87,-120.87,0,0,
08/27/2026,06:17:07:725,0.000000,0.000000,3,-122.51,-122.51,0,0,
08/27/2026,06:17:07:836,0.000000,0.000000,2,-121.27,-121.27,0,0,
08/27/2026,06:17:07:848,0.000000,0.000000,4,-74.46,-74.46,0,0,
08/27/2026,06:17:07:900,0.000000,0.000000,1,-119.27,-119.27,0,0,
08/27/2026,06:17:07:970,0.000000,0.000000,3,-120.29,-120.29,0,0,
08/27/2026,06:17:08:049,0.000000,0.000000,2,-121.9,-121.9,0,0,
08/27/2026,06:17:08:062,0.000000,0.000000,4,-78.84,-78.84,0,0,
08/27/2026,06:17:08:111,0.000000,0.000000,1,-116.75,-116.75,0,0,
08/27/2026,06:17:08:168,0.000000,0.000000,3,-120.92,-120.92,0,0,
08/27/2026,06:17:08:261,0.000000,0.000000,2,-122.88,-122.88,0,0,
08/27/2026,06:17:08:270,0.000000,0.000000,4,-80.55,-80.55,0,0,
08/27/2026,06:17:08:335,0.000000,0.000000,1,-124.35,-124.35,0,0,
08/27/2026,06:17:08:364,0.000000,0.000000,3,-119.37,-119.37,0,0,
08/27/2026,06:17:08:496,0.000000,0.000000,2,-123.42,-123.42,0,0,
08/27/2026,06:17:08:500,0.000000,0.000000,4,-83.7,-83.7,0,0,
08/27/2026,06:17:08:585,0.000000,0.000000,1,-119.64,-119.64,0,0,
08/27/2026,06:17:08:596,0.000000,0.000000,3,-123.97,-123.97,0,0,
08/27/2026,06:17:08:717,0.000000,0.000000,2,-122.21,-122.21,0,0,
08/27/2026,06:17:08:720,0.000000,0.000000,4,-78.57,-78.57,0,0,
08/27/2026,06:17:08:746,0.000000,0.000000,1,-123.46,-123.46,0,0,
08/27/2026,06:17:08:781,0.000000,0.000000,3,-120.61,-120.61,0,0,
08/27/2026,06:17:08:896,0.000000,0.000000,2,-122.74,-122.74,0,0,
08/27/2026,06:17:08:907,0.000000,0.000000,4,-75.08,-75.08,0,0,
08/27/2026,06:17:08:958,0.000000,0.000000,1,-120.73,-120.73,0,0,
08/27/2026,06:17:09:005,0.000000,0.000000,3,-120.06,-120.06,0,0,
08/27/2026,06:17:09:095,0.000000,0.000000,2,-122.79,-122.79,0,0,
08/27/2026,06:17:09:119,0.000000,0.000000,4,-81.86,-81.86,0,0,
08/27/2026,06:17:09:170,0.000000,0.000000,1,-122.16,-122.16,0,0,
08/27/2026,06:17:09:204,0.000000,0.000000,3,-121.27,-121.27,0,0,
08/27/2026,06:17:09:308,0.000000,0.000000,2,-122.37,-122.37,0,0,
08/27/2026,06:17:09:336,0.000000,0.000000,4,-72.95,-72.95,0,0,
08/27/2026,06:17:09:384,0.000000,0.000000,1,-120.46,-120.46,0,0,
08/27/2026,06:17:09:445,0.000000,0.000000,3,-119.82,-119.82,0,0,
08/27/2026,06:17:09:518,0.000000,0.000000,2,-119.57,-119.57,0,0,
08/27/2026,06:17:09:537,0.000000,0.000000,4,-82.63,-82.63,0,0,
08/27/2026,06:17:09:586,0.000000,0.000000,1,-122.13,-122.13,0,0,
08/27/2026,06:17:09:635,0.000000,0.000000,3,-120.91,-120.91,0,0,
