Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:14:05:737,0.000000,0.000000,1,-124.28,-124.28,0,0,
08/27/2026,06:14:05:758,0.000000,0.000000,1,-121.78,-121.78,0,0,
08/27/2026,06:14:05:776,0.000000,0.000000,1,-122.36,-122.36,0,0,
08/27/2026,06:14:05:785,0.000000,0.000000,1,-122.13,-122.13,0,0,
08/27/2026,06:14:05:804,0.000000,0.000000,1,-122.52,-122.52,0,0,
08/27/2026,06:14:05:818,0.000000,0.000000,1,-121.67,-121.67,0,0,
08/27/2026,06:14:05:835,0.000000,0.000000,2,-127.04,-127.04,0,0,
08/27/2026,06:14:05:859,0.000000,0.000000,1,-124.18,-124.18,0,0,
08/27/2026,06:14:05:872,0.000000,0.000000,2,-124.83,-124.83,0,0,
08/27/2026,06:14:05:887,0.000000,0.000000,3,-125.77,-125.77,0,0,
08/27/2026,06:14:05:910,0.000000,0.000000,1,-121.75,-121.75,0,0,
08/27/2026,06:14:05:929,0.000000,0.000000,2,-125.93,-125.93,0,0,
08/27/2026,06:14:05:943,0.000000,0.000000,4,-87.27,-87.27,0,0,
08/27/2026,06:14:05:962,0.000000,0.000000,3,-126.19,-126.19,0,0,
08/27/2026,06:14:05:984,0.000000,0.000000,1,-123.3,-123.3,0,0,
08/27/2026,06:14:06:028,0.000000,0.000000,2,-126.88,-126.88,0,0,
08/27/2026,06:14:06:031,0.000000,0.000000,4,-86.54,-86.54,0,0,
08/27/2026,06:14:06:073,0.000000,0.000000,3,-125.75,-125.75,0,0,
08/27/2026,06:14:06:075,0.000000,0.000000,1,-123.4,-123.4,0,0,
08/27/2026,06:14:06:127,0.000000,0.000000,2,-124.57,-124.57,0,0,
08/27/2026,06:14:06:173,0.000000,0.000000,4,-84.11,-84.11,0,0,
08/27/2026,06:14:06:221,0.000000,0.000000,3,-125.73,-125.73,0,0,
08/27/2026,06:14:06:257,0.000000,0.000000,1,-121.87,-121.87,0,0,
08/27/2026,06:14:06:307,0.000000,0.000000,2,-125.96,-125.96,0,0,
08/27/2026,06:14:06:339,0.000000,0.000000,4,-81.82,-81.82,0,0,
08/27/2026,06:14:06:399,0.000000,0.000000,3,-125.59,-125.59,0,0,
08/27/2026,06:14:06:454,0.000000,0.000000,1,-122.31,-122.31,0,0,
08/27/2026,06:14:06:509,0.000000,0.000000,2,-125.23,-125.23,0,0,
08/27/2026,06:14:06:510,0.000000,0.000000,4,-83.47,-83.47,0,0,
08/27/2026,06:14:06:547,0.000000,0.000000,3,-124.81,-124.81,0,0,
08/27/2026,06:14:06:608,0.000000,0.000000,1,-120.86,-120.86,0,0,
08/27/2026,06:14:06:681,0.000000,0.000000,2,-125.51,-125.51,0,0,
08/27/2026,06:14:06:696,0.000000,0.000000,4,-84.76,-84.76,0,0,
08/27/2026,06:14:06:751,0.000000,0.000000,3,-127.97,-127.97,0,0,
08/27/2026,06:14:06:808,0.000000,0.000000,1,-121.73,-121.73,0,0,
08/27/2026,06:14:06:898,0.000000,0.000000,2,-126.54,-126.54,0,0,
08/27/2026,06:14:06:913,0.000000,0.000000,4,-82.22,-82.22,0,0,
08/27/2026,06:14:06:966,0.000000,0.000000,3,-125.19,-125.19,0,0,
08/27/2026,06:14:07:012,0.000000,0.000000,1,-122.21,-122.21,0,0,
08/27/2026,06:14:07:098,0.000000,0.000000,2,-125.82,-125.82,0,0,
08/27/2026,06:14:07:122,0.000000,0.000000,4,-84.01,-84.01,0,0,
08/27/2026,06:14:07:167,0.000000,0.000000,3,-125.12,-125.12,0,0,
08/27/2026,06:14:07:232,0.000000,0.000000,1,-122.64,-122.64,0,0,
08/27/2026,06:14:07:333,0.000000,0.000000,2,-127.13,-127.13,0,0,
08/27/2026,06:14:07:335,0.000000,0.000000,4,-87.92,-87.92,0,0,
08/27/2026,06:14:07:381,0.000000,0.000000,3,-125.64,-125.64,0,0,
08/27/2026,06:14:07:439,0.000000,0.000000,1,-122.69,-122.69,0,0,
08/27/2026,06:14:07:532,0.000000,0.000000,2,-126.35,-126.35,0,0,
08/27/2026,06:14:07:536,0.000000,0.000000,4,-84.49,-84.49,0,0,
08/27/2026,06:14:07:590,0.000000,0.000000,3,-124.37,-124.37,0,0,
08/27/2026,06:14:07:649,0.000000,0.000000,1,-123.19,-123.19,0,0,
08/27/2026,06:14:07:728,0.000000,0.000000,2,-123.32,-123.32,0,0,
08/27/2026,06:14:07:752,0.000000,0.000000,4,-85.5,-85.5,0,0,
08/27/2026,06:14:07:800,0.000000,0.000000,3,-125.96,-125.96,0,0,
08/27/2026,06:14:07:857,0.000000,0.000000,1,-122.03,-122.03,0,0,
08/27/2026,06:14:07:949,0.000000,0.000000,2,-124.35,-124.35,0,0,
08/27/2026,06:14:07:956,0.000000,0.000000,4,-84.71,-84.71,0,0,
08/27/2026,06:14:08:035,0.000000,0.000000,3,-124.02,-124.02,0,0,
08/27/2026,06:14:08:071,0.000000,0.000000,1,-124.56,-124.56,0,0,
08/27/2026,06:14:08:156,0.000000,0.000000,2,-126.49,-126.49,0,0,
08/27/2026,06:14:08:197,0.000000,0.000000,4,-94.62,-94.62,0,0,
08/27/2026,06:14:08:283,0.000000,0.000000,3,-125.16,-125.16,0,0,
08/27/2026,06:14:08:297,0.000000,0.000000,1,-121.37,-121.37,0,0,
08/27/2026,06:14:08:368,0.000000,0.000000,2,-124.67,-124.67,0,0,
08/27/2026,06:14:08:374,0.000000,0.000000,4,-83.79,-83.79,0,0,
08/27/2026,06:14:08:427,0.000000,0.000000,3,-123.71,-123.71,0,0,
08/27/2026,06:14:08:494,0.000000,0.000000,1,-121.25,-121.25,0,0,
08/27/2026,06:14:08:578,0.000000,0.000000,2,-125.23,-125.23,0,0,
08/27/2026,06:14:08:607,0.000000,0.000000,4,-86.49,-86.49,0,0,
08/27/2026,06:14:08:643,0.000000,0.000000,3,-126.17,-126.17,0,0,
08/27/2026,06:14:08:690,0.000000,0.000000,1,-121.64,-121.64,0,0,
08/27/2026,06:14:08:783,0.000000,0.000000,2,-124.82,-124.82,0,0,
08/27/2026,06:14:08:795,0.000000,0.000000,4,-88.58,-88.58,0,0,
08/27/2026,06:14:08:846,0.000000,0.000000,3,-123.76,-123.76,0,0,
08/27/2026,06:14:08:901,0.000000,0.000000,1,-123.58,-123.58,0,0,
08/27/2026,06:14:08:994,0.000000,0.000000,2,-124.16,-124.16,0,0,
08/27/2026,06:14:09:012,0.000000,0.000000,4,-89.43,-89.43,0,0,
08/27/2026,06:14:09:072,0.000000,0.000000,3,-125.43,-125.43,0,0,
08/27/2026,06:14:09:108,0.000000,0.000000,1,-122.92,-122.92,0,0,
08/27/2026,06:14:09:217,0.000000,0.000000,2,-126.35,-126.35,0,0,
08/27/2026,06:14:09:218,0.000000,0.000000,4,-79.57,-79.57,0,0,
08/27/2026,06:14:09:272,0.000000,0.000000,3,-124.58,-124.58,0,0,
08/27/2026,06:14:09:326,0.000000,0.000000,1,-122.4,-122.4,0,0,
08/27/2026,06:14:09:421,0.000000,0.000000,2,-125.88,-125.88,0,0,
08/27/2026,06:14:09:427,0.000000,0.000000,4,-83.77,-83.77,0,0,
08/27/2026,06:14:09:476,0.000000,0.000000,3,-124.42,-124.42,0,0,
08/27/2026,06:14:09:530,0.000000,0.000000,1,-122.85,-122.85,0,0,
08/27/2026,06:14:09:621,0.000000,0.000000,2,-126.35,-126.35,0,0,
08/27/2026,06:14:09:640,0.000000,0.000000,4,-83.65,-83.65,0,0,
08/27/2026,06:14:09:686,0.000000,0.000000,3,-125.9,-125.9,0,0,
08/27/2026,06:14:09:745,0.000000,0.000000,1,-123.8,-123.8,0,0,
08/27/2026,06:14:09:858,0.000000,0.000000,2,-124.56,-124.56,0,0,
08/27/2026,06:14:09:883,0.000000,0.000000,4,-88.66,-88.66,0,0,
08/27/2026,06:14:09:902,0.000000,0.000000,3,-125.6,-125.6,0,0,
08/27/2026,06:14:09:982,0.000000,0.000000,1,-124.48,-124.48,0,0,
08/27/2026,06:14:10:041,0.000000,0.000000,2,-125.36,-125.36,0,0,
08/27/2026,06:14:10:122,0.000000,0.000000,4,-83.1,-83.1,0,0,
08/27/2026,06:14:10:132,0.000000,0.000000,3,-125.18,-125.18,0,0,
08/27/2026,06:14:10:193,0.000000,0.000000,1,-120.85,-120.85,0,0,
08/27/2026,06:14:10:246,0.000000,0.000000,2,-126.37,-126.37,0,0,
08/27/2026,06:14:10:267,0.000000,0.000000,4,-85.61,-85.61,0,0,
08/27/2026,06:14:10:320,0.000000,0.000000,3,-126.33,-126.33,0,0,
08/27/2026,06:14:10:378,0.000000,0.000000,1,-124.38,-124.38,0,0,
08/27/2026,06:14:10:460,0.000000,0.000000,2,-125.73,-125.73,0,0,
08/27/2026,06:14:10:509,0.000000,0.000000,4,-86.31,-86.31,0,0,
08/27/2026,06:14:10:524,0.000000,0.000000,3,-124.82,-124.82,0,0,
08/27/2026,06:14:10:586,0.000000,0.000000,1,-123.49,-123.49,0,0,
08/27/2026,06:14:10:683,0.000000,0.000000,2,-125.17,-125.17,0,0,
08/27/2026,06:14:10:696,0.000000,0.000000,4,-85.88,-85.88,0,0,
08/27/2026,06:14:10:755,0.000000,0.000000,3,-126.11,-126.11,0,0,
08/27/2026,06:14:10:789,0.000000,0.000000,1,-122.39,-122.39,0,0,
08/27/2026,06:14:10:874,0.000000,0.000000,2,-125.45,-125.45,0,0,
08/27/2026,06:14:10:898,0.000000,0.000000,4,-82.78,-82.78,0,0,
08/27/2026,06:14:10:947,0.000000,0.000000,3,-123.87,-123.87,0,0,
08/27/2026,06:14:11:000,0.000000,0.000000,1,-124.62,-124.62,0,0,
08/27/2026,06:14:11:095,0.000000,0.000000,2,-125.2,-125.2,0,0,
08/27/2026,06:14:11:101,0.000000,0.000000,4,-89.38,-89.38,0,0,
08/27/2026,06:14:11:159,0.000000,0.000000,3,-126.24,-126.24,0,0,
08/27/2026,06:14:11:219,0.000000,0.000000,1,-120.66,-120.66,0,0,
08/27/2026,06:14:11:307,0.000000,0.000000,2,-125.13,-125.13,0,0,
08/27/2026,06:14:11:316,0.000000,0.000000,4,-91.73,-91.73,0,0,
08/27/2026,06:14:11:365,0.000000,0.000000,3,-127.32,-127.32,0,0,
08/27/2026,06:14:11:444,0.000000,0.000000,1,-121.2,-121.2,0,0,
08/27/2026,06:14:11:957,0.000000,0.000000,2,-125.44,-125.44,0,0,
08/27/2026,06:14:11:959,0.000000,0.000000,4,-86.56,-86.56,0,0,
08/27/2026,06:14:11:981,0.000000,0.000000,3,-126.02,-126.02,0,0,
08/27/2026,06:14:11:996,0.000000,0.000000,1,-122.42,-122.42,0,0,
08/27/2026,06:14:12:022,0.000000,0.000000,2,-125.76,-125.76,0,0,
08/27/2026,06:14:12:024,0.000000,0.000000,4,-83.93,-83.93,0,0,
08/27/2026,06:14:12:035,0.000000,0.000000,3,-123.73,-123.73,0,0,
08/27/2026,06:14:12:047,0.000000,0.000000,1,-121.61,-121.61,0,0,
08/27/2026,06:14:12:085,0.000000,0.000000,2,-124.84,-124.84,0,0,
08/27/2026,06:14:12:088,0.000000,0.000000,4,-87.17,-87.17,0,0,
08/27/2026,06:14:12:105,0.000000,0.000000,3,-125.76,-125.76,0,0,
08/27/2026,06:14:12:125,0.000000,0.000000,1,-122.88,-122.88,0,0,
08/27/2026,06:14:12:143,0.000000,0.000000,2,-127.49,-127.49,0,0,
08/27/2026,06:14:12:153,0.000000,0.000000,4,-86.54,-86.54,0,0,
08/27/2026,06:14:12:209,0.000000,0.000000,3,-125.2,-125.2,0,0,
08/27/2026,06:14:12:263,0.000000,0.000000,1,-124.16,-124.16,0,0,
08/27/2026,06:14:12:348,0.000000,0.000000,2,-125,-125,0,0,
08/27/2026,06:14:12:361,0.000000,0.000000,4,-80.45,-80.45,0,0,
08/27/2026,06:14:12:423,0.000000,0.000000,3,-126.22,-126.22,0,0,
08/27/2026,06:14:12:480,0.000000,0.000000,1,-122.47,-122.47,0,0,
08/27/2026,06:14:12:553,0.000000,0.000000,2,-125.58,-125.58,0,0,
08/27/2026,06:14:12:573,0.000000,0.000000,4,-82.41,-82.41,0,0,
08/27/2026,06:14:12:638,0.000000,0.000000,3,-125.08,-125.08,0,0,
08/27/2026,06:14:12:674,0.000000,0.000000,1,-124.83,-124.83,0,0,
08/27/2026,06:14:12:792,0.000000,0.000000,2,-126.87,-126.87,0,0,
08/27/2026,06:14:12:794,0.000000,0.000000,4,-78.84,-78.84,0,0,
08/27/2026,06:14:12:834,0.000000,0.000000,3,-124.24,-124.24,0,0,
08/27/2026,06:14:12:895,0.000000,0.000000,1,-120.73,-120.73,0,0,
08/27/2026,06:14:12:985,0.000000,0.000000,2,-125.93,-125.93,0,0,
08/27/2026,06:14:12:987,0.000000,0.000000,4,-83.09,-83.09,0,0,
