Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:48:09:553,0.000000,0.000000,1,-125.08,-125.08,0,0,
08/27/2026,08:48:09:679,0.000000,0.000000,2,-126.09,-126.09,0,0,
08/27/2026,08:48:09:711,0.000000,0.000000,1,-125.53,-125.53,0,0,
08/27/2026,08:48:09:811,0.000000,0.000000,3,-126.49,-126.49,0,0,
08/27/2026,08:48:09:908,0.000000,0.000000,2,-123.49,-123.49,0,0,
08/27/2026,08:48:09:920,0.000000,0.000000,1,-126.52,-126.52,0,0,
08/27/2026,08:48:09:947,0.000000,0.000000,4,-125.73,-125.73,0,0,
08/27/2026,08:48:10:006,0.000000,0.000000,3,-125.51,-125.51,0,0,
08/27/2026,08:48:10:122,0.000000,0.000000,2,-126.64,-126.64,0,0,
08/27/2026,08:48:10:156,0.000000,0.000000,1,-123.8,-123.8,0,0,
08/27/2026,08:48:10:207,0.000000,0.000000,4,-124.85,-124.85,0,0,
08/27/2026,08:48:10:271,0.000000,0.000000,3,-124.46,-124.46,0,0,
08/27/2026,08:48:10:302,0.000000,0.000000,2,-126.25,-126.25,0,0,
08/27/2026,08:48:10:334,0.000000,0.000000,1,-125.22,-125.22,0,0,
08/27/2026,08:48:10:346,0.000000,0.000000,4,-126.51,-126.51,0,0,
08/27/2026,08:48:10:396,0.000000,0.000000,3,-125.72,-125.72,0,0,
08/27/2026,08:48:10:413,0.000000,0.000000,2,-126.38,-126.38,0,0,
08/27/2026,08:48:10:429,0.000000,0.000000,1,-125.78,-125.78,0,0,
08/27/2026,08:48:10:438,0.000000,0.000000,4,-126.31,-126.31,0,0,
08/27/2026,08:48:10:491,0.000000,0.000000,3,-127.33,-127.33,0,0,
08/27/2026,08:48:10:538,0.000000,0.000000,2,-126.07,-126.07,0,0,
08/27/2026,08:48:10:574,0.000000,0.000000,1,-125.02,-125.02,0,0,
08/27/2026,08:48:10:581,0.000000,0.000000,4,-124.56,-124.56,0,0,
08/27/2026,08:48:10:642,0.000000,0.000000,3,-126.2,-126.2,0,0,
08/27/2026,08:48:10:690,0.000000,0.000000,2,-125.77,-125.77,0,0,
08/27/2026,08:48:10:729,0.000000,0.000000,1,-126.91,-126.91,0,0,
08/27/2026,08:48:10:751,0.000000,0.000000,4,-126.64,-126.64,0,0,
08/27/2026,08:48:10:792,0.000000,0.000000,3,-126.63,-126.63,0,0,
