Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:09:28:433,0.000000,0.000000,1,-124.43,-124.43,0,0,
08/27/2026,06:09:28:454,0.000000,0.000000,2,-122.56,-122.56,0,0,
08/27/2026,06:09:28:508,0.000000,0.000000,3,-102.73,-102.73,0,0,
08/27/2026,06:09:28:542,0.000000,0.000000,4,-122.47,-122.47,0,0,
08/27/2026,06:09:28:644,0.000000,0.000000,1,-123.92,-123.92,0,0,
08/27/2026,06:09:28:678,0.000000,0.000000,2,-126.3,-126.3,0,0,
08/27/2026,06:09:28:717,0.000000,0.000000,3,-91.98,-91.98,0,0,
08/27/2026,06:09:28:758,0.000000,0.000000,4,-120.72,-120.72,0,0,
08/27/2026,06:09:28:831,0.000000,0.000000,1,-119.96,-119.96,0,0,
08/27/2026,06:09:28:900,0.000000,0.000000,2,-122.43,-122.43,0,0,
08/27/2026,06:09:28:961,0.000000,0.000000,3,-93.23,-93.23,0,0,
08/27/2026,06:09:28:978,0.000000,0.000000,4,-120.44,-120.44,0,0,
08/27/2026,06:09:29:047,0.000000,0.000000,1,-122.7,-122.7,0,0,
08/27/2026,06:09:29:101,0.000000,0.000000,2,-121.98,-121.98,0,0,
08/27/2026,06:09:29:169,0.000000,0.000000,3,-92.16,-92.16,0,0,
08/27/2026,06:09:29:173,0.000000,0.000000,4,-123.23,-123.23,0,0,
08/27/2026,06:09:29:253,0.000000,0.000000,1,-123.12,-123.12,0,0,
08/27/2026,06:09:29:298,0.000000,0.000000,2,-123.49,-123.49,0,0,
08/27/2026,06:09:29:347,0.000000,0.000000,3,-92.9,-92.9,0,0,
08/27/2026,06:09:29:388,0.000000,0.000000,4,-123.5,-123.5,0,0,
08/27/2026,06:09:29:452,0.000000,0.000000,1,-122.2,-122.2,0,0,
08/27/2026,06:09:29:520,0.000000,0.000000,2,-121.17,-121.17,0,0,
08/27/2026,06:09:29:561,0.000000,0.000000,3,-107.18,-107.18,0,0,
08/27/2026,06:09:29:608,0.000000,0.000000,4,-121.42,-121.42,0,0,
08/27/2026,06:09:29:668,0.000000,0.000000,1,-122.45,-122.45,0,0,
08/27/2026,06:09:29:721,0.000000,0.000000,2,-124.22,-124.22,0,0,
08/27/2026,06:09:29:789,0.000000,0.000000,3,-91.26,-91.26,0,0,
08/27/2026,06:09:29:816,0.000000,0.000000,4,-119.8,-119.8,0,0,
08/27/2026,06:09:29:879,0.000000,0.000000,1,-122.58,-122.58,0,0,
08/27/2026,06:09:29:932,0.000000,0.000000,2,-122.72,-122.72,0,0,
08/27/2026,06:09:29:985,0.000000,0.000000,3,-96.65,-96.65,0,0,
08/27/2026,06:09:30:025,0.000000,0.000000,4,-124.76,-124.76,0,0,
08/27/2026,06:09:30:092,0.000000,0.000000,1,-124.38,-124.38,0,0,
08/27/2026,06:09:30:147,0.000000,0.000000,2,-122.49,-122.49,0,0,
08/27/2026,06:09:30:192,0.000000,0.000000,3,-96.95,-96.95,0,0,
08/27/2026,06:09:30:227,0.000000,0.000000,4,-122.57,-122.57,0,0,
08/27/2026,06:09:30:305,0.000000,0.000000,1,-122.06,-122.06,0,0,
08/27/2026,06:09:30:354,0.000000,0.000000,2,-125.1,-125.1,0,0,
08/27/2026,06:09:30:407,0.000000,0.000000,3,-98.23,-98.23,0,0,
08/27/2026,06:09:30:464,0.000000,0.000000,4,-122.88,-122.88,0,0,
08/27/2026,06:09:30:514,0.000000,0.000000,1,-124.04,-124.04,0,0,
08/27/2026,06:09:30:588,0.000000,0.000000,2,-122.53,-122.53,0,0,
08/27/2026,06:09:30:638,0.000000,0.000000,3,-99.33,-99.33,0,0,
08/27/2026,06:09:30:675,0.000000,0.000000,4,-122.5,-122.5,0,0,
08/27/2026,06:09:30:726,0.000000,0.000000,1,-123.35,-123.35,0,0,
08/27/2026,06:09:30:808,0.000000,0.000000,2,-122.49,-122.49,0,0,
08/27/2026,06:09:30:831,0.000000,0.000000,3,-111.5,-111.5,0,0,
08/27/2026,06:09:30:870,0.000000,0.000000,4,-122.62,-122.62,0,0,
08/27/2026,06:09:30:932,0.000000,0.000000,1,-125.32,-125.32,0,0,
08/27/2026,06:09:30:983,0.000000,0.000000,2,-124.26,-124.26,0,0,
08/27/2026,06:09:31:039,0.000000,0.000000,3,-95.41,-95.41,0,0,
08/27/2026,06:09:31:072,0.000000,0.000000,4,-120.74,-120.74,0,0,
08/27/2026,06:09:31:149,0.000000,0.000000,1,-121.33,-121.33,0,0,
08/27/2026,06:09:31:213,0.000000,0.000000,2,-123.11,-123.11,0,0,
08/27/2026,06:09:31:247,0.000000,0.000000,3,-92.71,-92.71,0,0,
08/27/2026,06:09:31:292,0.000000,0.000000,4,-121.28,-121.28,0,0,
08/27/2026,06:09:31:351,0.000000,0.000000,1,-123.21,-123.21,0,0,
08/27/2026,06:09:31:413,0.000000,0.000000,2,-123.67,-123.67,0,0,
08/27/2026,06:09:31:458,0.000000,0.000000,3,-97.03,-97.03,0,0,
08/27/2026,06:09:31:502,0.000000,0.000000,4,-121.11,-121.11,0,0,
08/27/2026,06:09:31:599,0.000000,0.000000,1,-124.17,-124.17,0,0,
08/27/2026,06:09:31:614,0.000000,0.000000,2,-123.09,-123.09,0,0,
08/27/2026,06:09:31:675,0.000000,0.000000,3,-101.34,-101.34,0,0,
08/27/2026,06:09:31:710,0.000000,0.000000,4,-118.34,-118.34,0,0,
08/27/2026,06:09:31:785,0.000000,0.000000,1,-122.63,-122.63,0,0,
08/27/2026,06:09:31:827,0.000000,0.000000,2,-123.8,-123.8,0,0,
08/27/2026,06:09:31:884,0.000000,0.000000,3,-101.54,-101.54,0,0,
08/27/2026,06:09:31:917,0.000000,0.000000,4,-122.33,-122.33,0,0,
08/27/2026,06:09:31:990,0.000000,0.000000,1,-124.61,-124.61,0,0,
08/27/2026,06:09:32:039,0.000000,0.000000,2,-121.26,-121.26,0,0,
08/27/2026,06:09:32:090,0.000000,0.000000,3,-111.79,-111.79,0,0,
08/27/2026,06:09:32:123,0.000000,0.000000,4,-120.73,-120.73,0,0,
08/27/2026,06:09:32:202,0.000000,0.000000,1,-121.75,-121.75,0,0,
08/27/2026,06:09:32:247,0.000000,0.000000,2,-124.63,-124.63,0,0,
08/27/2026,06:09:32:304,0.000000,0.000000,3,-111.84,-111.84,0,0,
08/27/2026,06:09:32:341,0.000000,0.000000,4,-122.02,-122.02,0,0,
08/27/2026,06:09:32:449,0.000000,0.000000,1,-123.83,-123.83,0,0,
08/27/2026,06:09:32:501,0.000000,0.000000,2,-124.69,-124.69,0,0,
08/27/2026,06:09:32:547,0.000000,0.000000,3,-110.53,-110.53,0,0,
08/27/2026,06:09:32:556,0.000000,0.000000,4,-122.28,-122.28,0,0,
08/27/2026,06:09:32:631,0.000000,0.000000,1,-124.24,-124.24,0,0,
08/27/2026,06:09:32:675,0.000000,0.000000,2,-121.16,-121.16,0,0,
08/27/2026,06:09:32:799,0.000000,0.000000,3,-102.34,-102.34,0,0,
08/27/2026,06:09:32:809,0.000000,0.000000,4,-121.54,-121.54,0,0,
08/27/2026,06:09:32:849,0.000000,0.000000,1,-123.77,-123.77,0,0,
08/27/2026,06:09:32:880,0.000000,0.000000,2,-123.64,-123.64,0,0,
08/27/2026,06:09:32:933,0.000000,0.000000,3,-109.82,-109.82,0,0,
08/27/2026,06:09:32:968,0.000000,0.000000,4,-121,-121,0,0,
08/27/2026,06:09:33:041,0.000000,0.000000,1,-121.79,-121.79,0,0,
08/27/2026,06:09:33:101,0.000000,0.000000,2,-124.03,-124.03,0,0,
08/27/2026,06:09:33:150,0.000000,0.000000,3,-109.4,-109.4,0,0,
08/27/2026,06:09:33:180,0.000000,0.000000,4,-122.25,-122.25,0,0,
08/27/2026,06:09:33:263,0.000000,0.000000,1,-124.54,-124.54,0,0,
08/27/2026,06:09:33:307,0.000000,0.000000,2,-123.11,-123.11,0,0,
08/27/2026,06:09:33:782,0.000000,0.000000,3,-108.41,-108.41,0,0,
08/27/2026,06:09:33:788,0.000000,0.000000,4,-121.86,-121.86,0,0,
08/27/2026,06:09:33:823,0.000000,0.000000,1,-125.34,-125.34,0,0,
08/27/2026,06:09:33:849,0.000000,0.000000,2,-124.46,-124.46,0,0,
08/27/2026,06:09:33:868,0.000000,0.000000,3,-113.64,-113.64,0,0,
08/27/2026,06:09:33:875,0.000000,0.000000,4,-120.43,-120.43,0,0,
08/27/2026,06:09:33:899,0.000000,0.000000,1,-122.67,-122.67,0,0,
08/27/2026,06:09:33:919,0.000000,0.000000,2,-124.65,-124.65,0,0,
08/27/2026,06:09:33:937,0.000000,0.000000,3,-108.71,-108.71,0,0,
08/27/2026,06:09:33:954,0.000000,0.000000,4,-121.58,-121.58,0,0,
08/27/2026,06:09:33:968,0.000000,0.000000,1,-124.92,-124.92,0,0,
08/27/2026,06:09:33:979,0.000000,0.000000,2,-122.47,-122.47,0,0,
08/27/2026,06:09:33:995,0.000000,0.000000,3,-108.47,-108.47,0,0,
08/27/2026,06:09:34:027,0.000000,0.000000,4,-121.47,-121.47,0,0,
08/27/2026,06:09:34:096,0.000000,0.000000,1,-123.36,-123.36,0,0,
08/27/2026,06:09:34:154,0.000000,0.000000,2,-124.76,-124.76,0,0,
08/27/2026,06:09:34:220,0.000000,0.000000,3,-112.51,-112.51,0,0,
08/27/2026,06:09:34:267,0.000000,0.000000,4,-119.93,-119.93,0,0,
08/27/2026,06:09:34:303,0.000000,0.000000,1,-121.84,-121.84,0,0,
08/27/2026,06:09:34:372,0.000000,0.000000,2,-124.32,-124.32,0,0,
08/27/2026,06:09:34:417,0.000000,0.000000,3,-107.89,-107.89,0,0,
08/27/2026,06:09:34:460,0.000000,0.000000,4,-120.02,-120.02,0,0,
08/27/2026,06:09:34:541,0.000000,0.000000,1,-122.94,-122.94,0,0,
08/27/2026,06:09:34:570,0.000000,0.000000,2,-124.37,-124.37,0,0,
08/27/2026,06:09:34:632,0.000000,0.000000,3,-111.5,-111.5,0,0,
08/27/2026,06:09:34:665,0.000000,0.000000,4,-122.57,-122.57,0,0,
08/27/2026,06:09:34:726,0.000000,0.000000,1,-123.53,-123.53,0,0,
08/27/2026,06:09:34:782,0.000000,0.000000,2,-124.16,-124.16,0,0,
08/27/2026,06:09:34:838,0.000000,0.000000,3,-113.13,-113.13,0,0,
08/27/2026,06:09:34:882,0.000000,0.000000,4,-122.99,-122.99,0,0,
08/27/2026,06:09:34:936,0.000000,0.000000,1,-122.05,-122.05,0,0,
08/27/2026,06:09:34:997,0.000000,0.000000,2,-123.56,-123.56,0,0,
08/27/2026,06:09:35:050,0.000000,0.000000,3,-105.47,-105.47,0,0,
08/27/2026,06:09:35:082,0.000000,0.000000,4,-122.55,-122.55,0,0,
08/27/2026,06:09:35:147,0.000000,0.000000,1,-122.5,-122.5,0,0,
08/27/2026,06:09:35:209,0.000000,0.000000,2,-122.62,-122.62,0,0,
08/27/2026,06:09:35:251,0.000000,0.000000,3,-105.63,-105.63,0,0,
08/27/2026,06:09:35:288,0.000000,0.000000,4,-121.82,-121.82,0,0,
08/27/2026,06:09:35:359,0.000000,0.000000,1,-123.18,-123.18,0,0,
08/27/2026,06:09:35:413,0.000000,0.000000,2,-120.69,-120.69,0,0,
08/27/2026,06:09:35:473,0.000000,0.000000,3,-108.64,-108.64,0,0,
08/27/2026,06:09:35:498,0.000000,0.000000,4,-121.76,-121.76,0,0,
08/27/2026,06:09:35:568,0.000000,0.000000,1,-123.75,-123.75,0,0,
08/27/2026,06:09:35:625,0.000000,0.000000,2,-124.26,-124.26,0,0,
08/27/2026,06:09:35:678,0.000000,0.000000,3,-107.3,-107.3,0,0,
08/27/2026,06:09:35:715,0.000000,0.000000,4,-121.62,-121.62,0,0,
08/27/2026,06:09:35:791,0.000000,0.000000,1,-123.89,-123.89,0,0,
08/27/2026,06:09:35:839,0.000000,0.000000,2,-124.16,-124.16,0,0,
08/27/2026,06:09:35:901,0.000000,0.000000,3,-106.3,-106.3,0,0,
08/27/2026,06:09:35:927,0.000000,0.000000,4,-120.73,-120.73,0,0,
08/27/2026,06:09:35:993,0.000000,0.000000,1,-123.87,-123.87,0,0,
08/27/2026,06:09:36:096,0.000000,0.000000,2,-123.17,-123.17,0,0,
08/27/2026,06:09:36:135,0.000000,0.000000,3,-106.15,-106.15,0,0,
08/27/2026,06:09:36:142,0.000000,0.000000,4,-121.65,-121.65,0,0,
08/27/2026,06:09:36:201,0.000000,0.000000,1,-123.87,-123.87,0,0,
08/27/2026,06:09:36:271,0.000000,0.000000,2,-125.45,-125.45,0,0,
08/27/2026,06:09:36:323,0.000000,0.000000,3,-104.36,-104.36,0,0,
08/27/2026,06:09:36:357,0.000000,0.000000,4,-122.24,-122.24,0,0,
08/27/2026,06:09:36:414,0.000000,0.000000,1,-123.18,-123.18,0,0,
08/27/2026,06:09:36:466,0.000000,0.000000,2,-127.47,-127.47,0,0,
08/27/2026,06:09:36:518,0.000000,0.000000,3,-105.98,-105.98,0,0,
08/27/2026,06:09:36:564,0.000000,0.000000,4,-121.37,-121.37,0,0,
08/27/2026,06:09:36:623,0.000000,0.000000,1,-122.52,-122.52,0,0,
08/27/2026,06:09:36:684,0.000000,0.000000,2,-125.91,-125.91,0,0,
08/27/2026,06:09:36:734,0.000000,0.000000,3,-106.51,-106.51,0,0,
08/27/2026,06:09:36:770,0.000000,0.000000,4,-122.78,-122.78,0,0,
08/27/2026,06:09:36:838,0.000000,0.000000,1,-125.22,-125.22,0,0,
08/27/2026,06:09:36:889,0.000000,0.000000,2,-125.46,-125.46,0,0,
08/27/2026,06:09:36:949,0.000000,0.000000,3,-101.98,-101.98,0,0,
08/27/2026,06:09:36:984,0.000000,0.000000,4,-122.83,-122.83,0,0,
08/27/2026,06:09:37:047,0.000000,0.000000,1,-123.94,-123.94,0,0,
08/27/2026,06:09:37:097,0.000000,0.000000,2,-124.98,-124.98,0,0,
08/27/2026,06:09:37:151,0.000000,0.000000,3,-106.49,-106.49,0,0,
08/27/2026,06:09:37:187,0.000000,0.000000,4,-124.12,-124.12,0,0,
08/27/2026,06:09:37:258,0.000000,0.000000,1,-122.96,-122.96,0,0,
08/27/2026,06:09:37:307,0.000000,0.000000,2,-124.9,-124.9,0,0,
08/27/2026,06:09:37:365,0.000000,0.000000,3,-114.82,-114.82,0,0,
08/27/2026,06:09:37:401,0.000000,0.000000,4,-120.02,-120.02,0,0,
08/27/2026,06:09:37:470,0.000000,0.000000,1,-123.97,-123.97,0,0,
08/27/2026,06:09:37:523,0.000000,0.000000,2,-123.88,-123.88,0,0,
08/27/2026,06:09:37:575,0.000000,0.000000,3,-105,-105,0,0,
08/27/2026,06:09:37:612,0.000000,0.000000,4,-122.09,-122.09,0,0,
08/27/2026,06:09:37:688,0.000000,0.000000,1,-122.16,-122.16,0,0,
08/27/2026,06:09:37:731,0.000000,0.000000,2,-123.17,-123.17,0,0,
08/27/2026,06:09:37:783,0.000000,0.000000,3,-107.35,-107.35,0,0,
08/27/2026,06:09:37:820,0.000000,0.000000,4,-121.36,-121.36,0,0,
08/27/2026,06:09:37:898,0.000000,0.000000,1,-122.77,-122.77,0,0,
08/27/2026,06:09:37:941,0.000000,0.000000,2,-123.65,-123.65,0,0,
08/27/2026,06:09:37:993,0.000000,0.000000,3,-115.76,-115.76,0,0,
08/27/2026,06:09:38:036,0.000000,0.000000,4,-121,-121,0,0,
