Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:51:57:309,0.000000,0.000000,1,-121.86,-121.86,0,0,
08/27/2026,08:51:57:437,0.000000,0.000000,2,-122.48,-122.48,0,0,
08/27/2026,08:51:57:443,0.000000,0.000000,1,-123.85,-123.85,0,0,
08/27/2026,08:51:57:629,0.000000,0.000000,3,-111.08,-111.08,0,0,
08/27/2026,08:51:57:653,0.000000,0.000000,2,-124.1,-124.1,0,0,
08/27/2026,08:51:57:656,0.000000,0.000000,1,-122.05,-122.05,0,0,
08/27/2026,08:51:57:798,0.000000,0.000000,4,-120.78,-120.78,0,0,
08/27/2026,08:51:57:852,0.000000,0.000000,3,-121.48,-121.48,0,0,
08/27/2026,08:51:57:922,0.000000,0.000000,2,-124.78,-124.78,0,0,
08/27/2026,08:51:57:953,0.000000,0.000000,1,-124.99,-124.99,0,0,
08/27/2026,08:51:58:056,0.000000,0.000000,4,-121.58,-121.58,0,0,
08/27/2026,08:51:58:143,0.000000,0.000000,3,-112.34,-112.34,0,0,
08/27/2026,08:51:58:184,0.000000,0.000000,2,-120.98,-120.98,0,0,
08/27/2026,08:51:58:221,0.000000,0.000000,1,-123.6,-123.6,0,0,
08/27/2026,08:51:58:388,0.000000,0.000000,4,-123.07,-123.07,0,0,
08/27/2026,08:51:58:481,0.000000,0.000000,3,-113.87,-113.87,0,0,
08/27/2026,08:51:58:523,0.000000,0.000000,2,-120.47,-120.47,0,0,
08/27/2026,08:51:58:531,0.000000,0.000000,1,-121.64,-121.64,0,0,
08/27/2026,08:51:58:703,0.000000,0.000000,4,-123.1,-123.1,0,0,
08/27/2026,08:51:58:750,0.000000,0.000000,3,-111.54,-111.54,0,0,
08/27/2026,08:51:58:782,0.000000,0.000000,2,-121.83,-121.83,0,0,
08/27/2026,08:51:58:802,0.000000,0.000000,1,-122.8,-122.8,0,0,
08/27/2026,08:51:58:882,0.000000,0.000000,4,-122,-122,0,0,
08/27/2026,08:51:58:963,0.000000,0.000000,3,-114.88,-114.88,0,0,
08/27/2026,08:51:59:032,0.000000,0.000000,2,-122.67,-122.67,0,0,
08/27/2026,08:51:59:043,0.000000,0.000000,1,-122.26,-122.26,0,0,
08/27/2026,08:51:59:152,0.000000,0.000000,4,-123.23,-123.23,0,0,
08/27/2026,08:51:59:238,0.000000,0.000000,3,-114.74,-114.74,0,0,
08/27/2026,08:51:59:337,0.000000,0.000000,2,-121.56,-121.56,0,0,
08/27/2026,08:51:59:350,0.000000,0.000000,1,-121.36,-121.36,0,0,
08/27/2026,08:51:59:435,0.000000,0.000000,4,-121.31,-121.31,0,0,
