Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:51:55:828,0.000000,0.000000,1,-121.74,-121.74,0,0,
08/27/2026,08:51:55:829,0.000000,0.000000,1,-120.25,-120.25,0,0,
08/27/2026,08:51:55:849,0.000000,0.000000,1,-122.24,-122.24,0,0,
08/27/2026,08:51:55:887,0.000000,0.000000,1,-122.82,-122.82,0,0,
08/27/2026,08:51:55:903,0.000000,0.000000,1,-120.28,-120.28,0,0,
08/27/2026,08:51:55:904,0.000000,0.000000,1,-120.81,-120.81,0,0,
08/27/2026,08:51:55:925,0.000000,0.000000,1,-120.7,-120.7,0,0,
08/27/2026,08:51:55:935,0.000000,0.000000,1,-120.19,-120.19,0,0,
08/27/2026,08:51:55:951,0.000000,0.000000,1,-119.58,-119.58,0,0,
08/27/2026,08:51:55:982,0.000000,0.000000,2,-125.55,-125.55,0,0,
08/27/2026,08:51:55:999,0.000000,0.000000,1,-120.24,-120.24,0,0,
08/27/2026,08:51:56:009,0.000000,0.000000,2,-124.65,-124.65,0,0,
08/27/2026,08:51:56:025,0.000000,0.000000,1,-121.1,-121.1,0,0,
08/27/2026,08:51:56:032,0.000000,0.000000,2,-126.54,-126.54,0,0,
08/27/2026,08:51:56:066,0.000000,0.000000,3,-121.21,-121.21,0,0,
08/27/2026,08:51:56:069,0.000000,0.000000,1,-121.29,-121.29,0,0,
08/27/2026,08:51:56:122,0.000000,0.000000,2,-124.37,-124.37,0,0,
08/27/2026,08:51:56:150,0.000000,0.000000,3,-123.92,-123.92,0,0,
08/27/2026,08:51:56:161,0.000000,0.000000,1,-120.98,-120.98,0,0,
08/27/2026,08:51:56:171,0.000000,0.000000,4,-98.89,-98.89,0,0,
08/27/2026,08:51:56:178,0.000000,0.000000,2,-125.57,-125.57,0,0,
08/27/2026,08:51:56:183,0.000000,0.000000,3,-123.76,-123.76,0,0,
08/27/2026,08:51:56:190,0.000000,0.000000,1,-121.32,-121.32,0,0,
08/27/2026,08:51:56:205,0.000000,0.000000,4,-99.29,-99.29,0,0,
08/27/2026,08:51:56:242,0.000000,0.000000,2,-124.1,-124.1,0,0,
08/27/2026,08:51:56:276,0.000000,0.000000,3,-122.46,-122.46,0,0,
08/27/2026,08:51:56:290,0.000000,0.000000,1,-120.4,-120.4,0,0,
08/27/2026,08:51:56:320,0.000000,0.000000,4,-112.17,-112.17,0,0,
08/27/2026,08:51:56:347,0.000000,0.000000,2,-123.8,-123.8,0,0,
08/27/2026,08:51:56:352,0.000000,0.000000,3,-123.97,-123.97,0,0,
08/27/2026,08:51:56:378,0.000000,0.000000,1,-123.86,-123.86,0,0,
08/27/2026,08:51:56:392,0.000000,0.000000,4,-96.99,-96.99,0,0,
08/27/2026,08:51:56:498,0.000000,0.000000,2,-124.69,-124.69,0,0,
08/27/2026,08:51:56:532,0.000000,0.000000,3,-124.49,-124.49,0,0,
08/27/2026,08:51:56:577,0.000000,0.000000,1,-122.8,-122.8,0,0,
08/27/2026,08:51:56:662,0.000000,0.000000,4,-107.07,-107.07,0,0,
08/27/2026,08:51:56:836,0.000000,0.000000,2,-123.51,-123.51,0,0,
08/27/2026,08:51:56:839,0.000000,0.000000,3,-122.48,-122.48,0,0,
08/27/2026,08:51:56:866,0.000000,0.000000,1,-119.07,-119.07,0,0,
08/27/2026,08:51:56:870,0.000000,0.000000,4,-100.18,-100.18,0,0,
08/27/2026,08:51:56:959,0.000000,0.000000,2,-124.76,-124.76,0,0,
08/27/2026,08:51:56:962,0.000000,0.000000,3,-124.25,-124.25,0,0,
08/27/2026,08:51:57:007,0.000000,0.000000,1,-122.53,-122.53,0,0,
08/27/2026,08:51:57:012,0.000000,0.000000,4,-97.61,-97.61,0,0,
08/27/2026,08:51:57:087,0.000000,0.000000,2,-124.64,-124.64,0,0,
08/27/2026,08:51:57:090,0.000000,0.000000,3,-125.87,-125.87,0,0,
08/27/2026,08:51:57:132,0.000000,0.000000,1,-120.49,-120.49,0,0,
08/27/2026,08:51:57:137,0.000000,0.000000,4,-97.98,-97.98,0,0,
