Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:51:56:210,0.000000,0.000000,1,-102.69,-102.69,0,0,
08/27/2026,08:51:56:326,0.000000,0.000000,1,-102.14,-102.14,0,0,
08/27/2026,08:51:56:329,0.000000,0.000000,2,-124.95,-124.95,0,0,
08/27/2026,08:51:56:402,0.000000,0.000000,3,-124.52,-124.52,0,0,
08/27/2026,08:51:56:440,0.000000,0.000000,1,-106.94,-106.94,0,0,
08/27/2026,08:51:56:459,0.000000,0.000000,2,-123.99,-123.99,0,0,
08/27/2026,08:51:56:535,0.000000,0.000000,4,-125.84,-125.84,0,0,
08/27/2026,08:51:56:691,0.000000,0.000000,3,-126.88,-126.88,0,0,
08/27/2026,08:51:56:785,0.000000,0.000000,1,-107.98,-107.98,0,0,
08/27/2026,08:51:56:827,0.000000,0.000000,2,-125.36,-125.36,0,0,
08/27/2026,08:51:56:860,0.000000,0.000000,4,-125.78,-125.78,0,0,
08/27/2026,08:51:56:877,0.000000,0.000000,3,-125.81,-125.81,0,0,
08/27/2026,08:51:56:924,0.000000,0.000000,1,-105.74,-105.74,0,0,
08/27/2026,08:51:56:948,0.000000,0.000000,2,-124.98,-124.98,0,0,
08/27/2026,08:51:56:994,0.000000,0.000000,4,-125.58,-125.58,0,0,
08/27/2026,08:51:57:030,0.000000,0.000000,3,-125.34,-125.34,0,0,
08/27/2026,08:51:57:062,0.000000,0.000000,1,-115.29,-115.29,0,0,
08/27/2026,08:51:57:082,0.000000,0.000000,2,-125.8,-125.8,0,0,
08/27/2026,08:51:57:116,0.000000,0.000000,4,-126.69,-126.69,0,0,
08/27/2026,08:51:57:170,0.000000,0.000000,3,-126.89,-126.89,0,0,
08/27/2026,08:51:57:319,0.000000,0.000000,1,-107.45,-107.45,0,0,
08/27/2026,08:51:57:343,0.000000,0.000000,2,-125.34,-125.34,0,0,
08/27/2026,08:51:57:380,0.000000,0.000000,4,-125.64,-125.64,0,0,
08/27/2026,08:51:57:418,0.000000,0.000000,3,-126.87,-126.87,0,0,
08/27/2026,08:51:57:468,0.000000,0.000000,1,-105.01,-105.01,0,0,
08/27/2026,08:51:57:512,0.000000,0.000000,2,-126.05,-126.05,0,0,
