Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,05:59:40:888,0.000000,0.000000,1,-121.26,-121.26,0,0,
08/27/2026,05:59:40:946,0.000000,0.000000,2,-122.36,-122.36,0,0,
08/27/2026,05:59:40:994,0.000000,0.000000,3,-91.68,-91.68,0,0,
08/27/2026,05:59:41:066,0.000000,0.000000,4,-121.46,-121.46,0,0,
08/27/2026,05:59:41:169,0.000000,0.000000,1,-121.93,-121.93,0,0,
08/27/2026,05:59:41:221,0.000000,0.000000,2,-124.07,-124.07,0,0,
08/27/2026,05:59:41:272,0.000000,0.000000,3,-87.78,-87.78,0,0,
08/27/2026,05:59:41:330,0.000000,0.000000,4,-123.56,-123.56,0,0,
08/27/2026,05:59:41:450,0.000000,0.000000,1,-122.86,-122.86,0,0,
08/27/2026,05:59:41:500,0.000000,0.000000,2,-121.41,-121.41,0,0,
08/27/2026,05:59:41:553,0.000000,0.000000,3,-83.1,-83.1,0,0,
08/27/2026,05:59:41:618,0.000000,0.000000,4,-120.4,-120.4,0,0,
08/27/2026,05:59:41:724,0.000000,0.000000,1,-120.76,-120.76,0,0,
08/27/2026,05:59:41:778,0.000000,0.000000,2,-123.56,-123.56,0,0,
08/27/2026,05:59:41:830,0.000000,0.000000,3,-92.75,-92.75,0,0,
08/27/2026,05:59:41:882,0.000000,0.000000,4,-121.97,-121.97,0,0,
08/27/2026,05:59:42:001,0.000000,0.000000,1,-123.62,-123.62,0,0,
08/27/2026,05:59:42:068,0.000000,0.000000,2,-122.31,-122.31,0,0,
08/27/2026,05:59:42:107,0.000000,0.000000,3,-106.69,-106.69,0,0,
08/27/2026,05:59:42:178,0.000000,0.000000,4,-122.72,-122.72,0,0,
08/27/2026,05:59:42:282,0.000000,0.000000,1,-120.86,-120.86,0,0,
08/27/2026,05:59:42:336,0.000000,0.000000,2,-123.14,-123.14,0,0,
08/27/2026,05:59:42:402,0.000000,0.000000,3,-86.18,-86.18,0,0,
08/27/2026,05:59:42:455,0.000000,0.000000,4,-122.09,-122.09,0,0,
08/27/2026,05:59:42:570,0.000000,0.000000,1,-121.43,-121.43,0,0,
08/27/2026,05:59:42:611,0.000000,0.000000,2,-123.94,-123.94,0,0,
08/27/2026,05:59:42:666,0.000000,0.000000,3,-103.22,-103.22,0,0,
08/27/2026,05:59:42:740,0.000000,0.000000,4,-118.69,-118.69,0,0,
08/27/2026,05:59:42:839,0.000000,0.000000,1,-122.01,-122.01,0,0,
08/27/2026,05:59:42:895,0.000000,0.000000,2,-124.66,-124.66,0,0,
08/27/2026,05:59:42:944,0.000000,0.000000,3,-91.03,-91.03,0,0,
08/27/2026,05:59:42:996,0.000000,0.000000,4,-119.8,-119.8,0,0,
08/27/2026,05:59:43:118,0.000000,0.000000,1,-120.99,-120.99,0,0,
08/27/2026,05:59:43:172,0.000000,0.000000,2,-122.99,-122.99,0,0,
08/27/2026,05:59:43:223,0.000000,0.000000,3,-91.16,-91.16,0,0,
08/27/2026,05:59:43:278,0.000000,0.000000,4,-120.46,-120.46,0,0,
08/27/2026,05:59:43:394,0.000000,0.000000,1,-122.75,-122.75,0,0,
08/27/2026,05:59:43:447,0.000000,0.000000,2,-125.59,-125.59,0,0,
08/27/2026,05:59:43:506,0.000000,0.000000,3,-89.06,-89.06,0,0,
08/27/2026,05:59:43:559,0.000000,0.000000,4,-119.48,-119.48,0,0,
08/27/2026,05:59:43:687,0.000000,0.000000,1,-122.9,-122.9,0,0,
08/27/2026,05:59:43:733,0.000000,0.000000,2,-124.54,-124.54,0,0,
08/27/2026,05:59:43:798,0.000000,0.000000,3,-84.56,-84.56,0,0,
08/27/2026,05:59:43:842,0.000000,0.000000,4,-120.74,-120.74,0,0,
08/27/2026,05:59:43:957,0.000000,0.000000,1,-122.03,-122.03,0,0,
08/27/2026,05:59:44:033,0.000000,0.000000,2,-122.22,-122.22,0,0,
08/27/2026,05:59:44:061,0.000000,0.000000,3,-89.98,-89.98,0,0,
08/27/2026,05:59:44:131,0.000000,0.000000,4,-122.11,-122.11,0,0,
08/27/2026,05:59:44:234,0.000000,0.000000,1,-121.12,-121.12,0,0,
08/27/2026,05:59:44:283,0.000000,0.000000,2,-123.61,-123.61,0,0,
08/27/2026,05:59:44:338,0.000000,0.000000,3,-88.7,-88.7,0,0,
08/27/2026,05:59:44:397,0.000000,0.000000,4,-119.69,-119.69,0,0,
08/27/2026,05:59:44:516,0.000000,0.000000,1,-122.99,-122.99,0,0,
08/27/2026,05:59:44:568,0.000000,0.000000,2,-124.12,-124.12,0,0,
08/27/2026,05:59:44:625,0.000000,0.000000,3,-87.78,-87.78,0,0,
08/27/2026,05:59:44:670,0.000000,0.000000,4,-122.28,-122.28,0,0,
08/27/2026,05:59:44:805,0.000000,0.000000,1,-122.86,-122.86,0,0,
08/27/2026,05:59:44:843,0.000000,0.000000,2,-121.9,-121.9,0,0,
08/27/2026,05:59:44:905,0.000000,0.000000,3,-89.59,-89.59,0,0,
08/27/2026,05:59:44:961,0.000000,0.000000,4,-119.3,-119.3,0,0,
08/27/2026,05:59:45:071,0.000000,0.000000,1,-123.39,-123.39,0,0,
08/27/2026,05:59:45:131,0.000000,0.000000,2,-123.24,-123.24,0,0,
08/27/2026,05:59:45:175,0.000000,0.000000,3,-101.61,-101.61,0,0,
08/27/2026,05:59:45:233,0.000000,0.000000,4,-122.28,-122.28,0,0,
08/27/2026,05:59:45:346,0.000000,0.000000,1,-122.24,-122.24,0,0,
08/27/2026,05:59:45:401,0.000000,0.000000,2,-122.84,-122.84,0,0,
08/27/2026,05:59:45:458,0.000000,0.000000,3,-88.63,-88.63,0,0,
08/27/2026,05:59:45:505,0.000000,0.000000,4,-119.21,-119.21,0,0,
