Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,05:59:40:178,0.000000,0.000000,1,-120.87,-120.87,0,0,
08/27/2026,05:59:40:213,0.000000,0.000000,1,-122.5,-122.5,0,0,
08/27/2026,05:59:40:228,0.000000,0.000000,1,-121.37,-121.37,0,0,
08/27/2026,05:59:40:231,0.000000,0.000000,1,-122.05,-122.05,0,0,
08/27/2026,05:59:40:253,0.000000,0.000000,1,-122.45,-122.45,0,0,
08/27/2026,05:59:40:263,0.000000,0.000000,2,-125.51,-125.51,0,0,
08/27/2026,05:59:40:280,0.000000,0.000000,1,-122.71,-122.71,0,0,
08/27/2026,05:59:40:294,0.000000,0.000000,2,-126.44,-126.44,0,0,
08/27/2026,05:59:40:316,0.000000,0.000000,1,-121.13,-121.13,0,0,
08/27/2026,05:59:40:330,0.000000,0.000000,2,-127.23,-127.23,0,0,
08/27/2026,05:59:40:346,0.000000,0.000000,3,-124.87,-124.87,0,0,
08/27/2026,05:59:40:372,0.000000,0.000000,1,-123.74,-123.74,0,0,
08/27/2026,05:59:40:376,0.000000,0.000000,4,-92.7,-92.7,0,0,
08/27/2026,05:59:40:401,0.000000,0.000000,2,-126.19,-126.19,0,0,
08/27/2026,05:59:40:411,0.000000,0.000000,3,-125.28,-125.28,0,0,
08/27/2026,05:59:40:446,0.000000,0.000000,1,-121.73,-121.73,0,0,
08/27/2026,05:59:40:463,0.000000,0.000000,4,-87.35,-87.35,0,0,
08/27/2026,05:59:40:494,0.000000,0.000000,2,-126.8,-126.8,0,0,
08/27/2026,05:59:40:514,0.000000,0.000000,3,-125.54,-125.54,0,0,
08/27/2026,05:59:40:562,0.000000,0.000000,1,-123.72,-123.72,0,0,
08/27/2026,05:59:40:588,0.000000,0.000000,4,-92.92,-92.92,0,0,
08/27/2026,05:59:40:634,0.000000,0.000000,2,-125.02,-125.02,0,0,
08/27/2026,05:59:40:648,0.000000,0.000000,3,-126.5,-126.5,0,0,
08/27/2026,05:59:40:704,0.000000,0.000000,1,-125.72,-125.72,0,0,
08/27/2026,05:59:40:750,0.000000,0.000000,4,-89.86,-89.86,0,0,
08/27/2026,05:59:40:820,0.000000,0.000000,2,-125,-125,0,0,
08/27/2026,05:59:40:856,0.000000,0.000000,3,-125.31,-125.31,0,0,
08/27/2026,05:59:40:929,0.000000,0.000000,1,-123.35,-123.35,0,0,
08/27/2026,05:59:41:014,0.000000,0.000000,4,-93.82,-93.82,0,0,
08/27/2026,05:59:41:124,0.000000,0.000000,2,-125.66,-125.66,0,0,
08/27/2026,05:59:41:129,0.000000,0.000000,3,-124.19,-124.19,0,0,
08/27/2026,05:59:41:203,0.000000,0.000000,1,-122.45,-122.45,0,0,
08/27/2026,05:59:41:293,0.000000,0.000000,4,-91.61,-91.61,0,0,
08/27/2026,05:59:41:389,0.000000,0.000000,2,-127.47,-127.47,0,0,
08/27/2026,05:59:41:416,0.000000,0.000000,3,-125.52,-125.52,0,0,
08/27/2026,05:59:41:479,0.000000,0.000000,1,-122.74,-122.74,0,0,
08/27/2026,05:59:41:567,0.000000,0.000000,4,-92.22,-92.22,0,0,
08/27/2026,05:59:41:657,0.000000,0.000000,2,-126.49,-126.49,0,0,
08/27/2026,05:59:41:689,0.000000,0.000000,3,-125.76,-125.76,0,0,
08/27/2026,05:59:41:764,0.000000,0.000000,1,-120.94,-120.94,0,0,
08/27/2026,05:59:41:851,0.000000,0.000000,4,-89.94,-89.94,0,0,
08/27/2026,05:59:41:955,0.000000,0.000000,2,-127.31,-127.31,0,0,
08/27/2026,05:59:41:992,0.000000,0.000000,3,-125.04,-125.04,0,0,
08/27/2026,05:59:42:039,0.000000,0.000000,1,-122.28,-122.28,0,0,
08/27/2026,05:59:42:146,0.000000,0.000000,4,-93.49,-93.49,0,0,
08/27/2026,05:59:42:217,0.000000,0.000000,2,-126.47,-126.47,0,0,
08/27/2026,05:59:42:252,0.000000,0.000000,3,-126.98,-126.98,0,0,
08/27/2026,05:59:42:316,0.000000,0.000000,1,-122.21,-122.21,0,0,
08/27/2026,05:59:42:406,0.000000,0.000000,4,-91.77,-91.77,0,0,
08/27/2026,05:59:42:495,0.000000,0.000000,2,-125.83,-125.83,0,0,
08/27/2026,05:59:42:530,0.000000,0.000000,3,-124.71,-124.71,0,0,
08/27/2026,05:59:42:603,0.000000,0.000000,1,-120.87,-120.87,0,0,
08/27/2026,05:59:42:684,0.000000,0.000000,4,-93.82,-93.82,0,0,
08/27/2026,05:59:42:785,0.000000,0.000000,2,-125.48,-125.48,0,0,
08/27/2026,05:59:42:809,0.000000,0.000000,3,-125.78,-125.78,0,0,
08/27/2026,05:59:42:876,0.000000,0.000000,1,-121.87,-121.87,0,0,
08/27/2026,05:59:42:962,0.000000,0.000000,4,-90.8,-90.8,0,0,
08/27/2026,05:59:43:050,0.000000,0.000000,2,-125.53,-125.53,0,0,
08/27/2026,05:59:43:089,0.000000,0.000000,3,-126.68,-126.68,0,0,
08/27/2026,05:59:43:170,0.000000,0.000000,1,-121.65,-121.65,0,0,
08/27/2026,05:59:43:248,0.000000,0.000000,4,-90.63,-90.63,0,0,
08/27/2026,05:59:43:334,0.000000,0.000000,2,-126.96,-126.96,0,0,
08/27/2026,05:59:43:361,0.000000,0.000000,3,-125.65,-125.65,0,0,
08/27/2026,05:59:43:445,0.000000,0.000000,1,-119.73,-119.73,0,0,
08/27/2026,05:59:43:522,0.000000,0.000000,4,-99.07,-99.07,0,0,
08/27/2026,05:59:43:622,0.000000,0.000000,2,-126.17,-126.17,0,0,
08/27/2026,05:59:43:640,0.000000,0.000000,3,-125.57,-125.57,0,0,
08/27/2026,05:59:43:711,0.000000,0.000000,1,-120.87,-120.87,0,0,
08/27/2026,05:59:43:799,0.000000,0.000000,4,-108.27,-108.27,0,0,
08/27/2026,05:59:43:918,0.000000,0.000000,2,-126.25,-126.25,0,0,
08/27/2026,05:59:43:920,0.000000,0.000000,3,-125.9,-125.9,0,0,
08/27/2026,05:59:44:032,0.000000,0.000000,1,-122.1,-122.1,0,0,
08/27/2026,05:59:44:076,0.000000,0.000000,4,-100.54,-100.54,0,0,
08/27/2026,05:59:44:170,0.000000,0.000000,2,-125.55,-125.55,0,0,
08/27/2026,05:59:44:201,0.000000,0.000000,3,-127.03,-127.03,0,0,
08/27/2026,05:59:44:273,0.000000,0.000000,1,-122.97,-122.97,0,0,
08/27/2026,05:59:44:371,0.000000,0.000000,4,-91.99,-91.99,0,0,
08/27/2026,05:59:44:446,0.000000,0.000000,2,-125.16,-125.16,0,0,
08/27/2026,05:59:44:485,0.000000,0.000000,3,-125.42,-125.42,0,0,
08/27/2026,05:59:44:551,0.000000,0.000000,1,-126.73,-126.73,0,0,
08/27/2026,05:59:44:635,0.000000,0.000000,4,-101.53,-101.53,0,0,
08/27/2026,05:59:44:722,0.000000,0.000000,2,-126.59,-126.59,0,0,
08/27/2026,05:59:44:762,0.000000,0.000000,3,-123.85,-123.85,0,0,
08/27/2026,05:59:44:831,0.000000,0.000000,1,-120.85,-120.85,0,0,
08/27/2026,05:59:44:915,0.000000,0.000000,4,-84.33,-84.33,0,0,
08/27/2026,05:59:44:999,0.000000,0.000000,2,-125.84,-125.84,0,0,
08/27/2026,05:59:45:034,0.000000,0.000000,3,-122.75,-122.75,0,0,
08/27/2026,05:59:45:107,0.000000,0.000000,1,-123.9,-123.9,0,0,
08/27/2026,05:59:45:200,0.000000,0.000000,4,-88.04,-88.04,0,0,
08/27/2026,05:59:45:295,0.000000,0.000000,2,-124.62,-124.62,0,0,
08/27/2026,05:59:45:316,0.000000,0.000000,3,-125.2,-125.2,0,0,
08/27/2026,05:59:45:388,0.000000,0.000000,1,-121.52,-121.52,0,0,
08/27/2026,05:59:45:470,0.000000,0.000000,4,-89.15,-89.15,0,0,
08/27/2026,05:59:45:562,0.000000,0.000000,2,-124.1,-124.1,0,0,
