Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,05:59:40:428,0.000000,0.000000,1,-76.34,-76.34,0,0,
08/27/2026,05:59:40:479,0.000000,0.000000,2,-118.94,-118.94,0,0,
08/27/2026,05:59:40:528,0.000000,0.000000,1,-75.1,-75.1,0,0,
08/27/2026,05:59:40:567,0.000000,0.000000,3,-127,-127,0,0,
08/27/2026,05:59:40:603,0.000000,0.000000,2,-120.29,-120.29,0,0,
08/27/2026,05:59:40:626,0.000000,0.000000,4,-125.87,-125.87,0,0,
08/27/2026,05:59:40:682,0.000000,0.000000,1,-77.4,-77.4,0,0,
08/27/2026,05:59:40:733,0.000000,0.000000,3,-127.67,-127.67,0,0,
08/27/2026,05:59:40:783,0.000000,0.000000,2,-125.49,-125.49,0,0,
08/27/2026,05:59:40:806,0.000000,0.000000,4,-126.07,-126.07,0,0,
08/27/2026,05:59:40:912,0.000000,0.000000,1,-71.82,-71.82,0,0,
08/27/2026,05:59:40:974,0.000000,0.000000,3,-126.62,-126.62,0,0,
08/27/2026,05:59:41:068,0.000000,0.000000,2,-120.34,-120.34,0,0,
08/27/2026,05:59:41:082,0.000000,0.000000,4,-127.44,-127.44,0,0,
08/27/2026,05:59:41:187,0.000000,0.000000,1,-73.29,-73.29,0,0,
08/27/2026,05:59:41:258,0.000000,0.000000,3,-125.43,-125.43,0,0,
08/27/2026,05:59:41:343,0.000000,0.000000,2,-124.03,-124.03,0,0,
08/27/2026,05:59:41:375,0.000000,0.000000,4,-125.39,-125.39,0,0,
08/27/2026,05:59:41:468,0.000000,0.000000,1,-75.21,-75.21,0,0,
08/27/2026,05:59:41:533,0.000000,0.000000,3,-126.19,-126.19,0,0,
08/27/2026,05:59:41:619,0.000000,0.000000,2,-122.27,-122.27,0,0,
08/27/2026,05:59:41:643,0.000000,0.000000,4,-126.17,-126.17,0,0,
08/27/2026,05:59:41:752,0.000000,0.000000,1,-73.68,-73.68,0,0,
08/27/2026,05:59:41:812,0.000000,0.000000,3,-126.06,-126.06,0,0,
08/27/2026,05:59:41:904,0.000000,0.000000,2,-121.3,-121.3,0,0,
