Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,05:59:40:673,0.000000,0.000000,1,-123.04,-123.04,0,0,
08/27/2026,05:59:40:717,0.000000,0.000000,2,-124.45,-124.45,0,0,
08/27/2026,05:59:40:773,0.000000,0.000000,3,-123.43,-123.43,0,0,
08/27/2026,05:59:40:838,0.000000,0.000000,4,-64.96,-64.96,0,0,
08/27/2026,05:59:40:869,0.000000,0.000000,1,-122.06,-122.06,0,0,
08/27/2026,05:59:40:961,0.000000,0.000000,2,-125.04,-125.04,0,0,
08/27/2026,05:59:41:034,0.000000,0.000000,3,-125.41,-125.41,0,0,
08/27/2026,05:59:41:126,0.000000,0.000000,4,-80.49,-80.49,0,0,
08/27/2026,05:59:41:151,0.000000,0.000000,1,-120.87,-120.87,0,0,
08/27/2026,05:59:41:236,0.000000,0.000000,2,-127.52,-127.52,0,0,
08/27/2026,05:59:41:306,0.000000,0.000000,3,-123.92,-123.92,0,0,
08/27/2026,05:59:41:392,0.000000,0.000000,4,-73.39,-73.39,0,0,
08/27/2026,05:59:41:427,0.000000,0.000000,1,-125.24,-125.24,0,0,
08/27/2026,05:59:41:516,0.000000,0.000000,2,-123.96,-123.96,0,0,
08/27/2026,05:59:41:587,0.000000,0.000000,3,-123.66,-123.66,0,0,
08/27/2026,05:59:41:685,0.000000,0.000000,4,-70.95,-70.95,0,0,
08/27/2026,05:59:41:707,0.000000,0.000000,1,-123.48,-123.48,0,0,
08/27/2026,05:59:41:797,0.000000,0.000000,2,-124.4,-124.4,0,0,
08/27/2026,05:59:41:877,0.000000,0.000000,3,-124.15,-124.15,0,0,
08/27/2026,05:59:41:959,0.000000,0.000000,4,-68.07,-68.07,0,0,
08/27/2026,05:59:41:994,0.000000,0.000000,1,-121.52,-121.52,0,0,
08/27/2026,05:59:42:071,0.000000,0.000000,2,-123.46,-123.46,0,0,
08/27/2026,05:59:42:146,0.000000,0.000000,3,-125.16,-125.16,0,0,
08/27/2026,05:59:42:251,0.000000,0.000000,4,-73.8,-73.8,0,0,
08/27/2026,05:59:42:263,0.000000,0.000000,1,-122.07,-122.07,0,0,
08/27/2026,05:59:42:356,0.000000,0.000000,2,-123.44,-123.44,0,0,
08/27/2026,05:59:42:427,0.000000,0.000000,3,-123.92,-123.92,0,0,
08/27/2026,05:59:42:510,0.000000,0.000000,4,-64.71,-64.71,0,0,
08/27/2026,05:59:42:546,0.000000,0.000000,1,-123.64,-123.64,0,0,
08/27/2026,05:59:42:641,0.000000,0.000000,2,-124.15,-124.15,0,0,
08/27/2026,05:59:42:705,0.000000,0.000000,3,-125.41,-125.41,0,0,
08/27/2026,05:59:42:789,0.000000,0.000000,4,-80.72,-80.72,0,0,
08/27/2026,05:59:42:829,0.000000,0.000000,1,-122.55,-122.55,0,0,
08/27/2026,05:59:42:912,0.000000,0.000000,2,-124.34,-124.34,0,0,
