Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,05:57:58:017,0.000000,0.000000,1,-59.15,-59.15,0,0,
08/27/2026,05:57:58:061,0.000000,0.000000,2,-126.03,-126.03,0,0,
08/27/2026,05:57:58:112,0.000000,0.000000,3,-125.78,-125.78,0,0,
08/27/2026,05:57:58:137,0.000000,0.000000,1,-64.28,-64.28,0,0,
08/27/2026,05:57:58:163,0.000000,0.000000,4,-125.67,-125.67,0,0,
08/27/2026,05:57:58:195,0.000000,0.000000,2,-127.22,-127.22,0,0,
08/27/2026,05:57:58:266,0.000000,0.000000,3,-127.16,-127.16,0,0,
08/27/2026,05:57:58:301,0.000000,0.000000,1,-70.45,-70.45,0,0,
08/27/2026,05:57:58:354,0.000000,0.000000,4,-126.04,-126.04,0,0,
08/27/2026,05:57:58:406,0.000000,0.000000,2,-127.29,-127.29,0,0,
08/27/2026,05:57:58:522,0.000000,0.000000,3,-126.23,-126.23,0,0,
08/27/2026,05:57:58:574,0.000000,0.000000,1,-60.8,-60.8,0,0,
08/27/2026,05:57:58:642,0.000000,0.000000,4,-126.52,-126.52,0,0,
08/27/2026,05:57:58:694,0.000000,0.000000,2,-125.58,-125.58,0,0,
08/27/2026,05:57:58:798,0.000000,0.000000,3,-126.53,-126.53,0,0,
08/27/2026,05:57:58:863,0.000000,0.000000,1,-66.19,-66.19,0,0,
08/27/2026,05:57:58:920,0.000000,0.000000,4,-124.75,-124.75,0,0,
08/27/2026,05:57:58:969,0.000000,0.000000,2,-127.29,-127.29,0,0,
08/27/2026,05:57:59:075,0.000000,0.000000,3,-126.59,-126.59,0,0,
08/27/2026,05:57:59:138,0.000000,0.000000,1,-67.28,-67.28,0,0,
08/27/2026,05:57:59:195,0.000000,0.000000,4,-126.85,-126.85,0,0,
08/27/2026,05:57:59:249,0.000000,0.000000,2,-127.16,-127.16,0,0,
08/27/2026,05:57:59:363,0.000000,0.000000,3,-126.11,-126.11,0,0,
08/27/2026,05:57:59:421,0.000000,0.000000,1,-65.27,-65.27,0,0,
08/27/2026,05:57:59:485,0.000000,0.000000,4,-125.94,-125.94,0,0,
08/27/2026,05:57:59:555,0.000000,0.000000,2,-127.03,-127.03,0,0,
08/27/2026,05:57:59:675,0.000000,0.000000,3,-124.47,-124.47,0,0,
08/27/2026,05:57:59:711,0.000000,0.000000,1,-81.82,-81.82,0,0,
08/27/2026,05:57:59:784,0.000000,0.000000,4,-124.74,-124.74,0,0,
08/27/2026,05:57:59:826,0.000000,0.000000,2,-126.77,-126.77,0,0,
08/27/2026,05:57:59:924,0.000000,0.000000,3,-126.63,-126.63,0,0,
08/27/2026,05:58:00:001,0.000000,0.000000,1,-72.32,-72.32,0,0,
08/27/2026,05:58:00:047,0.000000,0.000000,4,-126.68,-126.68,0,0,
08/27/2026,05:58:00:096,0.000000,0.000000,2,-125.27,-125.27,0,0,
08/27/2026,05:58:00:199,0.000000,0.000000,3,-125.35,-125.35,0,0,
08/27/2026,05:58:00:267,0.000000,0.000000,1,-69.46,-69.46,0,0,
08/27/2026,05:58:00:349,0.000000,0.000000,4,-123.18,-123.18,0,0,
08/27/2026,05:58:00:378,0.000000,0.000000,2,-126.87,-126.87,0,0,
08/27/2026,05:58:00:479,0.000000,0.000000,3,-127.3,-127.3,0,0,
08/27/2026,05:58:00:537,0.000000,0.000000,1,-65.16,-65.16,0,0,
08/27/2026,05:58:00:602,0.000000,0.000000,4,-123.82,-123.82,0,0,
08/27/2026,05:58:00:656,0.000000,0.000000,2,-126.76,-126.76,0,0,
08/27/2026,05:58:00:780,0.000000,0.000000,3,-126.33,-126.33,0,0,
08/27/2026,05:58:00:814,0.000000,0.000000,1,-69.86,-69.86,0,0,
08/27/2026,05:58:00:884,0.000000,0.000000,4,-126.42,-126.42,0,0,
08/27/2026,05:58:00:932,0.000000,0.000000,2,-127.35,-127.35,0,0,
08/27/2026,05:58:01:037,0.000000,0.000000,3,-125.88,-125.88,0,0,
08/27/2026,05:58:01:094,0.000000,0.000000,1,-70.88,-70.88,0,0,
08/27/2026,05:58:01:159,0.000000,0.000000,4,-127.48,-127.48,0,0,
08/27/2026,05:58:01:210,0.000000,0.000000,2,-126.92,-126.92,0,0,
08/27/2026,05:58:01:317,0.000000,0.000000,3,-125.45,-125.45,0,0,
08/27/2026,05:58:01:366,0.000000,0.000000,1,-63.46,-63.46,0,0,
08/27/2026,05:58:01:525,0.000000,0.000000,4,-125.75,-125.75,0,0,
08/27/2026,05:58:01:537,0.000000,0.000000,2,-126.06,-126.06,0,0,
08/27/2026,05:58:01:611,0.000000,0.000000,3,-126.95,-126.95,0,0,
08/27/2026,05:58:01:679,0.000000,0.000000,1,-66.2,-66.2,0,0,
08/27/2026,05:58:01:722,0.000000,0.000000,4,-126.51,-126.51,0,0,
08/27/2026,05:58:01:780,0.000000,0.000000,2,-125.71,-125.71,0,0,
08/27/2026,05:58:01:879,0.000000,0.000000,3,-125.68,-125.68,0,0,
08/27/2026,05:58:01:924,0.000000,0.000000,1,-67.07,-67.07,0,0,
08/27/2026,05:58:01:998,0.000000,0.000000,4,-126.86,-126.86,0,0,
08/27/2026,05:58:02:054,0.000000,0.000000,2,-126.82,-126.82,0,0,
08/27/2026,05:58:02:156,0.000000,0.000000,3,-126.76,-126.76,0,0,
08/27/2026,05:58:02:218,0.000000,0.000000,1,-62.89,-62.89,0,0,
08/27/2026,05:58:02:273,0.000000,0.000000,4,-126.43,-126.43,0,0,
08/27/2026,05:58:02:327,0.000000,0.000000,2,-124.08,-124.08,0,0,
08/27/2026,05:58:02:440,0.000000,0.000000,3,-124.95,-124.95,0,0,
08/27/2026,05:58:02:500,0.000000,0.000000,1,-61.8,-61.8,0,0,
08/27/2026,05:58:02:564,0.000000,0.000000,4,-125.26,-125.26,0,0,
08/27/2026,05:58:02:615,0.000000,0.000000,2,-125.55,-125.55,0,0,
08/27/2026,05:58:02:720,0.000000,0.000000,3,-125.15,-125.15,0,0,
08/27/2026,05:58:02:775,0.000000,0.000000,1,-71.42,-71.42,0,0,
08/27/2026,05:58:02:844,0.000000,0.000000,4,-125.79,-125.79,0,0,
08/27/2026,05:58:02:914,0.000000,0.000000,2,-125.18,-125.18,0,0,
08/27/2026,05:58:03:004,0.000000,0.000000,3,-125.96,-125.96,0,0,
08/27/2026,05:58:03:051,0.000000,0.000000,1,-70.24,-70.24,0,0,
08/27/2026,05:58:03:126,0.000000,0.000000,4,-127.29,-127.29,0,0,
08/27/2026,05:58:03:171,0.000000,0.000000,2,-126.71,-126.71,0,0,
08/27/2026,05:58:03:290,0.000000,0.000000,3,-126.91,-126.91,0,0,
08/27/2026,05:58:03:353,0.000000,0.000000,1,-61.25,-61.25,0,0,
08/27/2026,05:58:03:756,0.000000,0.000000,4,-125.58,-125.58,0,0,
08/27/2026,05:58:03:763,0.000000,0.000000,2,-124.82,-124.82,0,0,
08/27/2026,05:58:03:784,0.000000,0.000000,3,-125.27,-125.27,0,0,
08/27/2026,05:58:03:791,0.000000,0.000000,1,-75.07,-75.07,0,0,
08/27/2026,05:58:03:805,0.000000,0.000000,4,-126.94,-126.94,0,0,
08/27/2026,05:58:03:813,0.000000,0.000000,2,-126.97,-126.97,0,0,
08/27/2026,05:58:03:855,0.000000,0.000000,3,-126.36,-126.36,0,0,
08/27/2026,05:58:03:898,0.000000,0.000000,1,-68.92,-68.92,0,0,
08/27/2026,05:58:03:969,0.000000,0.000000,4,-127.62,-127.62,0,0,
08/27/2026,05:58:04:017,0.000000,0.000000,2,-126.81,-126.81,0,0,
08/27/2026,05:58:04:126,0.000000,0.000000,3,-126.77,-126.77,0,0,
