Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,09:01:47:269,0.000000,0.000000,1,-124.04,-124.04,0,0,
08/27/2026,09:01:47:331,0.000000,0.000000,2,-124.88,-124.88,0,0,
08/27/2026,09:01:47:367,0.000000,0.000000,1,-125,-125,0,0,
08/27/2026,09:01:47:406,0.000000,0.000000,3,-123.41,-123.41,0,0,
08/27/2026,09:01:47:438,0.000000,0.000000,2,-123.09,-123.09,0,0,
08/27/2026,09:01:47:473,0.000000,0.000000,4,-110.38,-110.38,0,0,
08/27/2026,09:01:47:504,0.000000,0.000000,1,-123.72,-123.72,0,0,
08/27/2026,09:01:47:554,0.000000,0.000000,3,-124.58,-124.58,0,0,
08/27/2026,09:01:47:588,0.000000,0.000000,2,-124.92,-124.92,0,0,
08/27/2026,09:01:47:623,0.000000,0.000000,4,-104.5,-104.5,0,0,
08/27/2026,09:01:47:702,0.000000,0.000000,1,-124.69,-124.69,0,0,
08/27/2026,09:01:47:762,0.000000,0.000000,3,-124.42,-124.42,0,0,
08/27/2026,09:01:47:814,0.000000,0.000000,2,-124.64,-124.64,0,0,
08/27/2026,09:01:47:860,0.000000,0.000000,4,-98.48,-98.48,0,0,
08/27/2026,09:01:47:953,0.000000,0.000000,1,-122.75,-122.75,0,0,
08/27/2026,09:01:48:037,0.000000,0.000000,3,-123.82,-123.82,0,0,
08/27/2026,09:01:48:102,0.000000,0.000000,2,-124.28,-124.28,0,0,
08/27/2026,09:01:48:135,0.000000,0.000000,4,-106.82,-106.82,0,0,
08/27/2026,09:01:48:232,0.000000,0.000000,1,-125.18,-125.18,0,0,
08/27/2026,09:01:48:318,0.000000,0.000000,3,-124.28,-124.28,0,0,
08/27/2026,09:01:48:375,0.000000,0.000000,2,-125.8,-125.8,0,0,
08/27/2026,09:01:48:406,0.000000,0.000000,4,-101.17,-101.17,0,0,
08/27/2026,09:01:48:528,0.000000,0.000000,1,-124.49,-124.49,0,0,
08/27/2026,09:01:48:596,0.000000,0.000000,3,-125.73,-125.73,0,0,
08/27/2026,09:01:48:646,0.000000,0.000000,2,-124.91,-124.91,0,0,
08/27/2026,09:01:48:685,0.000000,0.000000,4,-99.2,-99.2,0,0,
08/27/2026,09:01:48:787,0.000000,0.000000,1,-124.03,-124.03,0,0,
08/27/2026,09:01:48:911,0.000000,0.000000,3,-121.95,-121.95,0,0,
08/27/2026,09:01:48:927,0.000000,0.000000,2,-125.92,-125.92,0,0,
08/27/2026,09:01:48:958,0.000000,0.000000,4,-95.75,-95.75,0,0,
08/27/2026,09:01:49:070,0.000000,0.000000,1,-124.95,-124.95,0,0,
08/27/2026,09:01:49:153,0.000000,0.000000,3,-125.32,-125.32,0,0,
08/27/2026,09:01:49:206,0.000000,0.000000,2,-123.95,-123.95,0,0,
08/27/2026,09:01:49:243,0.000000,0.000000,4,-95.15,-95.15,0,0,
08/27/2026,09:01:49:344,0.000000,0.000000,1,-124.03,-124.03,0,0,
08/27/2026,09:01:49:430,0.000000,0.000000,3,-123.66,-123.66,0,0,
08/27/2026,09:01:49:497,0.000000,0.000000,2,-122.91,-122.91,0,0,
08/27/2026,09:01:49:522,0.000000,0.000000,4,-97.47,-97.47,0,0,
08/27/2026,09:01:49:624,0.000000,0.000000,1,-123.72,-123.72,0,0,
08/27/2026,09:01:49:713,0.000000,0.000000,3,-122.21,-122.21,0,0,
08/27/2026,09:01:49:762,0.000000,0.000000,2,-124.49,-124.49,0,0,
08/27/2026,09:01:49:815,0.000000,0.000000,4,-91.73,-91.73,0,0,
08/27/2026,09:01:49:905,0.000000,0.000000,1,-124.98,-124.98,0,0,
08/27/2026,09:01:49:993,0.000000,0.000000,3,-124.87,-124.87,0,0,
08/27/2026,09:01:50:045,0.000000,0.000000,2,-125.23,-125.23,0,0,
08/27/2026,09:01:50:076,0.000000,0.000000,4,-100.41,-100.41,0,0,
08/27/2026,09:01:50:182,0.000000,0.000000,1,-124.63,-124.63,0,0,
08/27/2026,09:01:50:272,0.000000,0.000000,3,-125.95,-125.95,0,0,
08/27/2026,09:01:50:325,0.000000,0.000000,2,-124.47,-124.47,0,0,
08/27/2026,09:01:50:353,0.000000,0.000000,4,-96.61,-96.61,0,0,
08/27/2026,09:01:50:462,0.000000,0.000000,1,-123.17,-123.17,0,0,
08/27/2026,09:01:50:545,0.000000,0.000000,3,-124.29,-124.29,0,0,
08/27/2026,09:01:50:597,0.000000,0.000000,2,-122.87,-122.87,0,0,
08/27/2026,09:01:50:635,0.000000,0.000000,4,-93.25,-93.25,0,0,
08/27/2026,09:01:50:754,0.000000,0.000000,1,-123.23,-123.23,0,0,
08/27/2026,09:01:50:841,0.000000,0.000000,3,-124.75,-124.75,0,0,
08/27/2026,09:01:50:882,0.000000,0.000000,2,-122.92,-122.92,0,0,
08/27/2026,09:01:50:911,0.000000,0.000000,4,-101.02,-101.02,0,0,
08/27/2026,09:01:51:019,0.000000,0.000000,1,-124.15,-124.15,0,0,
08/27/2026,09:01:51:106,0.000000,0.000000,3,-124.46,-124.46,0,0,
08/27/2026,09:01:51:158,0.000000,0.000000,2,-125.21,-125.21,0,0,
08/27/2026,09:01:51:189,0.000000,0.000000,4,-95.53,-95.53,0,0,
08/27/2026,09:01:51:295,0.000000,0.000000,1,-124.43,-124.43,0,0,
08/27/2026,09:01:51:386,0.000000,0.000000,3,-122.82,-122.82,0,0,
08/27/2026,09:01:51:434,0.000000,0.000000,2,-125.03,-125.03,0,0,
08/27/2026,09:01:51:468,0.000000,0.000000,4,-98.72,-98.72,0,0,
08/27/2026,09:01:51:574,0.000000,0.000000,1,-124.15,-124.15,0,0,
08/27/2026,09:01:51:667,0.000000,0.000000,3,-123.98,-123.98,0,0,
08/27/2026,09:01:51:731,0.000000,0.000000,2,-125.17,-125.17,0,0,
08/27/2026,09:01:51:746,0.000000,0.000000,4,-93.59,-93.59,0,0,
08/27/2026,09:01:51:862,0.000000,0.000000,1,-124.5,-124.5,0,0,
08/27/2026,09:01:51:957,0.000000,0.000000,3,-120.87,-120.87,0,0,
08/27/2026,09:01:51:993,0.000000,0.000000,2,-124.98,-124.98,0,0,
08/27/2026,09:01:52:034,0.000000,0.000000,4,-91.85,-91.85,0,0,
08/27/2026,09:01:52:136,0.000000,0.000000,1,-124.99,-124.99,0,0,
08/27/2026,09:01:52:217,0.000000,0.000000,3,-123.09,-123.09,0,0,
08/27/2026,09:01:52:276,0.000000,0.000000,2,-125.92,-125.92,0,0,
08/27/2026,09:01:52:306,0.000000,0.000000,4,-95.98,-95.98,0,0,
08/27/2026,09:01:52:432,0.000000,0.000000,1,-124.31,-124.31,0,0,
08/27/2026,09:01:52:516,0.000000,0.000000,3,-122.49,-122.49,0,0,
08/27/2026,09:01:52:558,0.000000,0.000000,2,-124.91,-124.91,0,0,
08/27/2026,09:01:52:603,0.000000,0.000000,4,-100.73,-100.73,0,0,
08/27/2026,09:01:52:694,0.000000,0.000000,1,-125.66,-125.66,0,0,
08/27/2026,09:01:53:066,0.000000,0.000000,3,-122.68,-122.68,0,0,
08/27/2026,09:01:53:077,0.000000,0.000000,2,-123.82,-123.82,0,0,
08/27/2026,09:01:53:082,0.000000,0.000000,4,-99.36,-99.36,0,0,
08/27/2026,09:01:53:121,0.000000,0.000000,1,-124.47,-124.47,0,0,
08/27/2026,09:01:53:140,0.000000,0.000000,3,-122.61,-122.61,0,0,
08/27/2026,09:01:53:153,0.000000,0.000000,2,-124.19,-124.19,0,0,
08/27/2026,09:01:53:163,0.000000,0.000000,4,-99.22,-99.22,0,0,
08/27/2026,09:01:53:265,0.000000,0.000000,1,-125.27,-125.27,0,0,
08/27/2026,09:01:53:352,0.000000,0.000000,3,-125.52,-125.52,0,0,
08/27/2026,09:01:53:390,0.000000,0.000000,2,-123.12,-123.12,0,0,
08/27/2026,09:01:53:421,0.000000,0.000000,4,-99.54,-99.54,0,0,
08/27/2026,09:01:53:526,0.000000,0.000000,1,-124.53,-124.53,0,0,
08/27/2026,09:01:53:618,0.000000,0.000000,3,-123.51,-123.51,0,0,
08/27/2026,09:01:53:668,0.000000,0.000000,2,-125.22,-125.22,0,0,
08/27/2026,09:01:53:702,0.000000,0.000000,4,-94.92,-94.92,0,0,
08/27/2026,09:01:53:807,0.000000,0.000000,1,-121.3,-121.3,0,0,
08/27/2026,09:01:53:890,0.000000,0.000000,3,-121.6,-121.6,0,0,
08/27/2026,09:01:53:945,0.000000,0.000000,2,-124.47,-124.47,0,0,
08/27/2026,09:01:53:980,0.000000,0.000000,4,-91.01,-91.01,0,0,
08/27/2026,09:01:54:091,0.000000,0.000000,1,-124.8,-124.8,0,0,
08/27/2026,09:01:54:183,0.000000,0.000000,3,-123,-123,0,0,
08/27/2026,09:01:54:227,0.000000,0.000000,2,-124.16,-124.16,0,0,
08/27/2026,09:01:54:263,0.000000,0.000000,4,-94.73,-94.73,0,0,
08/27/2026,09:01:54:363,0.000000,0.000000,1,-124.87,-124.87,0,0,
08/27/2026,09:01:54:458,0.000000,0.000000,3,-123.55,-123.55,0,0,
08/27/2026,09:01:54:503,0.000000,0.000000,2,-123.41,-123.41,0,0,
08/27/2026,09:01:54:553,0.000000,0.000000,4,-104.17,-104.17,0,0,
08/27/2026,09:01:54:642,0.000000,0.000000,1,-124.22,-124.22,0,0,
08/27/2026,09:01:54:727,0.000000,0.000000,3,-122.07,-122.07,0,0,
