Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,09:01:47:537,0.000000,0.000000,1,-122.98,-122.98,0,0,
08/27/2026,09:01:47:611,0.000000,0.000000,2,-122.15,-122.15,0,0,
08/27/2026,09:01:47:672,0.000000,0.000000,3,-122.72,-122.72,0,0,
08/27/2026,09:01:47:731,0.000000,0.000000,4,-68.04,-68.04,0,0,
08/27/2026,09:01:47:741,0.000000,0.000000,1,-122.6,-122.6,0,0,
08/27/2026,09:01:47:830,0.000000,0.000000,2,-122.91,-122.91,0,0,
08/27/2026,09:01:47:916,0.000000,0.000000,3,-123.36,-123.36,0,0,
08/27/2026,09:01:48:009,0.000000,0.000000,4,-75.52,-75.52,0,0,
08/27/2026,09:01:48:019,0.000000,0.000000,1,-122.42,-122.42,0,0,
08/27/2026,09:01:48:106,0.000000,0.000000,2,-122.47,-122.47,0,0,
08/27/2026,09:01:48:193,0.000000,0.000000,3,-124.18,-124.18,0,0,
08/27/2026,09:01:48:288,0.000000,0.000000,4,-78.36,-78.36,0,0,
08/27/2026,09:01:48:298,0.000000,0.000000,1,-123.44,-123.44,0,0,
08/27/2026,09:01:48:387,0.000000,0.000000,2,-123.84,-123.84,0,0,
08/27/2026,09:01:48:479,0.000000,0.000000,3,-123.63,-123.63,0,0,
08/27/2026,09:01:48:565,0.000000,0.000000,4,-71.52,-71.52,0,0,
08/27/2026,09:01:48:581,0.000000,0.000000,1,-121.91,-121.91,0,0,
08/27/2026,09:01:48:682,0.000000,0.000000,2,-122.66,-122.66,0,0,
08/27/2026,09:01:48:779,0.000000,0.000000,3,-124.67,-124.67,0,0,
08/27/2026,09:01:48:863,0.000000,0.000000,4,-71.61,-71.61,0,0,
08/27/2026,09:01:48:865,0.000000,0.000000,1,-125.97,-125.97,0,0,
08/27/2026,09:01:48:957,0.000000,0.000000,2,-124.5,-124.5,0,0,
08/27/2026,09:01:49:034,0.000000,0.000000,3,-122.93,-122.93,0,0,
08/27/2026,09:01:49:124,0.000000,0.000000,4,-64.2,-64.2,0,0,
08/27/2026,09:01:49:140,0.000000,0.000000,1,-123.3,-123.3,0,0,
08/27/2026,09:01:49:226,0.000000,0.000000,2,-125.32,-125.32,0,0,
08/27/2026,09:01:49:308,0.000000,0.000000,3,-124.1,-124.1,0,0,
