Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,05:54:18:315,0.000000,0.000000,1,-121.66,-121.66,0,0,
08/27/2026,05:54:18:374,0.000000,0.000000,2,-116.37,-116.37,0,0,
08/27/2026,05:54:18:417,0.000000,0.000000,3,-89.59,-89.59,0,0,
08/27/2026,05:54:18:495,0.000000,0.000000,4,-120.45,-120.45,0,0,
08/27/2026,05:54:18:594,0.000000,0.000000,1,-120.01,-120.01,0,0,
08/27/2026,05:54:18:643,0.000000,0.000000,2,-119.93,-119.93,0,0,
08/27/2026,05:54:18:697,0.000000,0.000000,3,-82.34,-82.34,0,0,
08/27/2026,05:54:18:779,0.000000,0.000000,4,-119.94,-119.94,0,0,
08/27/2026,05:54:18:892,0.000000,0.000000,1,-119.12,-119.12,0,0,
08/27/2026,05:54:18:929,0.000000,0.000000,2,-122.21,-122.21,0,0,
08/27/2026,05:54:18:984,0.000000,0.000000,3,-82.18,-82.18,0,0,
08/27/2026,05:54:19:064,0.000000,0.000000,4,-122.25,-122.25,0,0,
08/27/2026,05:54:19:152,0.000000,0.000000,1,-120.63,-120.63,0,0,
08/27/2026,05:54:19:200,0.000000,0.000000,2,-121.9,-121.9,0,0,
08/27/2026,05:54:19:269,0.000000,0.000000,3,-82.08,-82.08,0,0,
08/27/2026,05:54:19:327,0.000000,0.000000,4,-120.05,-120.05,0,0,
08/27/2026,05:54:19:425,0.000000,0.000000,1,-119.93,-119.93,0,0,
08/27/2026,05:54:19:484,0.000000,0.000000,2,-123.81,-123.81,0,0,
08/27/2026,05:54:19:534,0.000000,0.000000,3,-85.54,-85.54,0,0,
08/27/2026,05:54:19:608,0.000000,0.000000,4,-123.41,-123.41,0,0,
08/27/2026,05:54:19:711,0.000000,0.000000,1,-116.81,-116.81,0,0,
08/27/2026,05:54:19:761,0.000000,0.000000,2,-119.82,-119.82,0,0,
08/27/2026,05:54:19:845,0.000000,0.000000,3,-82.5,-82.5,0,0,
08/27/2026,05:54:19:894,0.000000,0.000000,4,-120.73,-120.73,0,0,
08/27/2026,05:54:19:983,0.000000,0.000000,1,-120.91,-120.91,0,0,
08/27/2026,05:54:20:037,0.000000,0.000000,2,-123.63,-123.63,0,0,
08/27/2026,05:54:20:091,0.000000,0.000000,3,-80.45,-80.45,0,0,
08/27/2026,05:54:20:182,0.000000,0.000000,4,-119.09,-119.09,0,0,
08/27/2026,05:54:20:268,0.000000,0.000000,1,-118.97,-118.97,0,0,
08/27/2026,05:54:20:318,0.000000,0.000000,2,-122.24,-122.24,0,0,
08/27/2026,05:54:20:372,0.000000,0.000000,3,-83.6,-83.6,0,0,
08/27/2026,05:54:20:439,0.000000,0.000000,4,-120.92,-120.92,0,0,
08/27/2026,05:54:20:540,0.000000,0.000000,1,-124.24,-124.24,0,0,
08/27/2026,05:54:20:602,0.000000,0.000000,2,-122.42,-122.42,0,0,
08/27/2026,05:54:20:646,0.000000,0.000000,3,-86.06,-86.06,0,0,
08/27/2026,05:54:20:718,0.000000,0.000000,4,-119.72,-119.72,0,0,
08/27/2026,05:54:20:820,0.000000,0.000000,1,-122.14,-122.14,0,0,
08/27/2026,05:54:20:880,0.000000,0.000000,2,-124.97,-124.97,0,0,
08/27/2026,05:54:20:925,0.000000,0.000000,3,-83.28,-83.28,0,0,
08/27/2026,05:54:21:007,0.000000,0.000000,4,-120.2,-120.2,0,0,
08/27/2026,05:54:21:133,0.000000,0.000000,1,-123.29,-123.29,0,0,
08/27/2026,05:54:21:172,0.000000,0.000000,2,-123.26,-123.26,0,0,
08/27/2026,05:54:21:215,0.000000,0.000000,3,-83.3,-83.3,0,0,
08/27/2026,05:54:21:297,0.000000,0.000000,4,-119.21,-119.21,0,0,
08/27/2026,05:54:21:383,0.000000,0.000000,1,-120.97,-120.97,0,0,
08/27/2026,05:54:21:469,0.000000,0.000000,2,-124.63,-124.63,0,0,
08/27/2026,05:54:21:494,0.000000,0.000000,3,-84.56,-84.56,0,0,
08/27/2026,05:54:21:560,0.000000,0.000000,4,-123.37,-123.37,0,0,
08/27/2026,05:54:21:657,0.000000,0.000000,1,-123.31,-123.31,0,0,
08/27/2026,05:54:21:714,0.000000,0.000000,2,-124.68,-124.68,0,0,
08/27/2026,05:54:21:765,0.000000,0.000000,3,-84.69,-84.69,0,0,
08/27/2026,05:54:21:837,0.000000,0.000000,4,-122.12,-122.12,0,0,
08/27/2026,05:54:21:939,0.000000,0.000000,1,-124.82,-124.82,0,0,
08/27/2026,05:54:21:993,0.000000,0.000000,2,-124.57,-124.57,0,0,
08/27/2026,05:54:22:040,0.000000,0.000000,3,-83.77,-83.77,0,0,
08/27/2026,05:54:22:110,0.000000,0.000000,4,-120.8,-120.8,0,0,
08/27/2026,05:54:22:213,0.000000,0.000000,1,-122.22,-122.22,0,0,
08/27/2026,05:54:22:275,0.000000,0.000000,2,-122.74,-122.74,0,0,
08/27/2026,05:54:22:318,0.000000,0.000000,3,-79.15,-79.15,0,0,
08/27/2026,05:54:22:405,0.000000,0.000000,4,-119.58,-119.58,0,0,
08/27/2026,05:54:22:499,0.000000,0.000000,1,-123.09,-123.09,0,0,
08/27/2026,05:54:22:553,0.000000,0.000000,2,-124.68,-124.68,0,0,
08/27/2026,05:54:22:614,0.000000,0.000000,3,-78.23,-78.23,0,0,
08/27/2026,05:54:22:667,0.000000,0.000000,4,-120.87,-120.87,0,0,
08/27/2026,05:54:22:783,0.000000,0.000000,1,-120.74,-120.74,0,0,
08/27/2026,05:54:22:833,0.000000,0.000000,2,-124.01,-124.01,0,0,
08/27/2026,05:54:22:914,0.000000,0.000000,3,-85.5,-85.5,0,0,
08/27/2026,05:54:22:961,0.000000,0.000000,4,-120.14,-120.14,0,0,
08/27/2026,05:54:23:085,0.000000,0.000000,1,-122.97,-122.97,0,0,
08/27/2026,05:54:23:123,0.000000,0.000000,2,-122.39,-122.39,0,0,
08/27/2026,05:54:23:166,0.000000,0.000000,3,-79.29,-79.29,0,0,
08/27/2026,05:54:23:231,0.000000,0.000000,4,-122.26,-122.26,0,0,
08/27/2026,05:54:23:572,0.000000,0.000000,1,-123.4,-123.4,0,0,
08/27/2026,05:54:23:597,0.000000,0.000000,2,-125.56,-125.56,0,0,
08/27/2026,05:54:23:620,0.000000,0.000000,3,-89.62,-89.62,0,0,
08/27/2026,05:54:23:640,0.000000,0.000000,4,-119.37,-119.37,0,0,
08/27/2026,05:54:23:687,0.000000,0.000000,1,-121.77,-121.77,0,0,
08/27/2026,05:54:23:701,0.000000,0.000000,2,-126.26,-126.26,0,0,
08/27/2026,05:54:23:730,0.000000,0.000000,3,-81.35,-81.35,0,0,
08/27/2026,05:54:23:796,0.000000,0.000000,4,-119.93,-119.93,0,0,
08/27/2026,05:54:23:908,0.000000,0.000000,1,-121.69,-121.69,0,0,
08/27/2026,05:54:23:951,0.000000,0.000000,2,-126.24,-126.24,0,0,
08/27/2026,05:54:24:021,0.000000,0.000000,3,-75.66,-75.66,0,0,
08/27/2026,05:54:24:077,0.000000,0.000000,4,-117.49,-117.49,0,0,
08/27/2026,05:54:24:179,0.000000,0.000000,1,-121.62,-121.62,0,0,
08/27/2026,05:54:24:228,0.000000,0.000000,2,-123.41,-123.41,0,0,
08/27/2026,05:54:24:287,0.000000,0.000000,3,-77.41,-77.41,0,0,
08/27/2026,05:54:24:360,0.000000,0.000000,4,-119.4,-119.4,0,0,
08/27/2026,05:54:24:459,0.000000,0.000000,1,-120.79,-120.79,0,0,
08/27/2026,05:54:24:507,0.000000,0.000000,2,-125.03,-125.03,0,0,
08/27/2026,05:54:24:560,0.000000,0.000000,3,-84.76,-84.76,0,0,
08/27/2026,05:54:24:633,0.000000,0.000000,4,-119.2,-119.2,0,0,
08/27/2026,05:54:24:744,0.000000,0.000000,1,-121.01,-121.01,0,0,
08/27/2026,05:54:24:788,0.000000,0.000000,2,-121.43,-121.43,0,0,
08/27/2026,05:54:24:860,0.000000,0.000000,3,-76.72,-76.72,0,0,
