Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,05:54:17:635,0.000000,0.000000,1,-124.22,-124.22,0,0,
08/27/2026,05:54:17:636,0.000000,0.000000,1,-122.53,-122.53,0,0,
08/27/2026,05:54:17:641,0.000000,0.000000,1,-124.27,-124.27,0,0,
08/27/2026,05:54:17:654,0.000000,0.000000,1,-121.96,-121.96,0,0,
08/27/2026,05:54:17:671,0.000000,0.000000,1,-123.96,-123.96,0,0,
08/27/2026,05:54:17:695,0.000000,0.000000,1,-120.92,-120.92,0,0,
08/27/2026,05:54:17:705,0.000000,0.000000,1,-124.21,-124.21,0,0,
08/27/2026,05:54:17:720,0.000000,0.000000,1,-122.85,-122.85,0,0,
08/27/2026,05:54:17:744,0.000000,0.000000,2,-126.38,-126.38,0,0,
08/27/2026,05:54:17:754,0.000000,0.000000,1,-124.39,-124.39,0,0,
08/27/2026,05:54:17:778,0.000000,0.000000,2,-124.41,-124.41,0,0,
08/27/2026,05:54:17:795,0.000000,0.000000,3,-125.9,-125.9,0,0,
08/27/2026,05:54:17:811,0.000000,0.000000,1,-123.29,-123.29,0,0,
08/27/2026,05:54:17:828,0.000000,0.000000,2,-123.14,-123.14,0,0,
08/27/2026,05:54:17:842,0.000000,0.000000,4,-109.77,-109.77,0,0,
08/27/2026,05:54:17:863,0.000000,0.000000,3,-123.35,-123.35,0,0,
08/27/2026,05:54:17:881,0.000000,0.000000,1,-122.76,-122.76,0,0,
08/27/2026,05:54:17:908,0.000000,0.000000,2,-125.82,-125.82,0,0,
08/27/2026,05:54:17:929,0.000000,0.000000,4,-107.83,-107.83,0,0,
08/27/2026,05:54:17:941,0.000000,0.000000,3,-124.25,-124.25,0,0,
08/27/2026,05:54:17:982,0.000000,0.000000,1,-124.14,-124.14,0,0,
08/27/2026,05:54:18:027,0.000000,0.000000,2,-123.87,-123.87,0,0,
08/27/2026,05:54:18:058,0.000000,0.000000,4,-104.12,-104.12,0,0,
08/27/2026,05:54:18:091,0.000000,0.000000,3,-120.78,-120.78,0,0,
08/27/2026,05:54:18:140,0.000000,0.000000,1,-124.49,-124.49,0,0,
08/27/2026,05:54:18:207,0.000000,0.000000,2,-126.37,-126.37,0,0,
08/27/2026,05:54:18:256,0.000000,0.000000,4,-109.83,-109.83,0,0,
08/27/2026,05:54:18:298,0.000000,0.000000,3,-122.72,-122.72,0,0,
08/27/2026,05:54:18:381,0.000000,0.000000,1,-121.32,-121.32,0,0,
08/27/2026,05:54:18:470,0.000000,0.000000,2,-124.73,-124.73,0,0,
08/27/2026,05:54:18:521,0.000000,0.000000,4,-105.43,-105.43,0,0,
08/27/2026,05:54:18:578,0.000000,0.000000,3,-125.61,-125.61,0,0,
08/27/2026,05:54:18:661,0.000000,0.000000,1,-124.37,-124.37,0,0,
08/27/2026,05:54:18:755,0.000000,0.000000,2,-125.83,-125.83,0,0,
08/27/2026,05:54:18:803,0.000000,0.000000,4,-114.75,-114.75,0,0,
08/27/2026,05:54:18:890,0.000000,0.000000,3,-125.3,-125.3,0,0,
08/27/2026,05:54:18:939,0.000000,0.000000,1,-121.13,-121.13,0,0,
08/27/2026,05:54:19:030,0.000000,0.000000,2,-126.03,-126.03,0,0,
08/27/2026,05:54:19:111,0.000000,0.000000,4,-112.4,-112.4,0,0,
08/27/2026,05:54:19:148,0.000000,0.000000,3,-124.45,-124.45,0,0,
08/27/2026,05:54:19:233,0.000000,0.000000,1,-124.26,-124.26,0,0,
08/27/2026,05:54:19:306,0.000000,0.000000,2,-124.44,-124.44,0,0,
08/27/2026,05:54:19:364,0.000000,0.000000,4,-99.6,-99.6,0,0,
08/27/2026,05:54:19:407,0.000000,0.000000,3,-124.16,-124.16,0,0,
08/27/2026,05:54:19:503,0.000000,0.000000,1,-123.44,-123.44,0,0,
08/27/2026,05:54:19:588,0.000000,0.000000,2,-126.73,-126.73,0,0,
08/27/2026,05:54:19:638,0.000000,0.000000,4,-101.68,-101.68,0,0,
08/27/2026,05:54:19:692,0.000000,0.000000,3,-123.48,-123.48,0,0,
08/27/2026,05:54:19:782,0.000000,0.000000,1,-123.52,-123.52,0,0,
08/27/2026,05:54:19:864,0.000000,0.000000,2,-127.44,-127.44,0,0,
08/27/2026,05:54:19:916,0.000000,0.000000,4,-107.38,-107.38,0,0,
08/27/2026,05:54:19:972,0.000000,0.000000,3,-124.14,-124.14,0,0,
08/27/2026,05:54:20:057,0.000000,0.000000,1,-120.83,-120.83,0,0,
08/27/2026,05:54:20:141,0.000000,0.000000,2,-125.33,-125.33,0,0,
08/27/2026,05:54:20:196,0.000000,0.000000,4,-105.85,-105.85,0,0,
08/27/2026,05:54:20:250,0.000000,0.000000,3,-122.55,-122.55,0,0,
08/27/2026,05:54:20:347,0.000000,0.000000,1,-122.97,-122.97,0,0,
08/27/2026,05:54:20:420,0.000000,0.000000,2,-124.8,-124.8,0,0,
08/27/2026,05:54:20:471,0.000000,0.000000,4,-101.3,-101.3,0,0,
08/27/2026,05:54:20:532,0.000000,0.000000,3,-125.85,-125.85,0,0,
08/27/2026,05:54:20:610,0.000000,0.000000,1,-122.59,-122.59,0,0,
08/27/2026,05:54:20:701,0.000000,0.000000,2,-127.16,-127.16,0,0,
08/27/2026,05:54:20:759,0.000000,0.000000,4,-104.26,-104.26,0,0,
08/27/2026,05:54:20:800,0.000000,0.000000,3,-124.96,-124.96,0,0,
08/27/2026,05:54:20:891,0.000000,0.000000,1,-121.01,-121.01,0,0,
08/27/2026,05:54:20:976,0.000000,0.000000,2,-125.78,-125.78,0,0,
08/27/2026,05:54:21:048,0.000000,0.000000,4,-105.48,-105.48,0,0,
08/27/2026,05:54:21:091,0.000000,0.000000,3,-125.98,-125.98,0,0,
08/27/2026,05:54:21:177,0.000000,0.000000,1,-122.09,-122.09,0,0,
08/27/2026,05:54:21:264,0.000000,0.000000,2,-125.86,-125.86,0,0,
08/27/2026,05:54:21:331,0.000000,0.000000,4,-107.97,-107.97,0,0,
08/27/2026,05:54:21:364,0.000000,0.000000,3,-123.57,-123.57,0,0,
08/27/2026,05:54:21:477,0.000000,0.000000,1,-120.64,-120.64,0,0,
08/27/2026,05:54:21:556,0.000000,0.000000,2,-125.41,-125.41,0,0,
08/27/2026,05:54:21:587,0.000000,0.000000,4,-97.41,-97.41,0,0,
08/27/2026,05:54:21:648,0.000000,0.000000,3,-124.54,-124.54,0,0,
08/27/2026,05:54:21:730,0.000000,0.000000,1,-119.74,-119.74,0,0,
08/27/2026,05:54:21:816,0.000000,0.000000,2,-125.1,-125.1,0,0,
08/27/2026,05:54:21:869,0.000000,0.000000,4,-103,-103,0,0,
08/27/2026,05:54:21:923,0.000000,0.000000,3,-123.61,-123.61,0,0,
08/27/2026,05:54:22:004,0.000000,0.000000,1,-121.94,-121.94,0,0,
08/27/2026,05:54:22:104,0.000000,0.000000,2,-123.57,-123.57,0,0,
08/27/2026,05:54:22:147,0.000000,0.000000,4,-103.38,-103.38,0,0,
08/27/2026,05:54:22:200,0.000000,0.000000,3,-125.79,-125.79,0,0,
08/27/2026,05:54:22:283,0.000000,0.000000,1,-120.71,-120.71,0,0,
08/27/2026,05:54:22:374,0.000000,0.000000,2,-125.1,-125.1,0,0,
08/27/2026,05:54:22:423,0.000000,0.000000,4,-100.97,-100.97,0,0,
08/27/2026,05:54:22:473,0.000000,0.000000,3,-127.09,-127.09,0,0,
08/27/2026,05:54:22:562,0.000000,0.000000,1,-121.91,-121.91,0,0,
08/27/2026,05:54:22:660,0.000000,0.000000,2,-125.28,-125.28,0,0,
08/27/2026,05:54:22:703,0.000000,0.000000,4,-103.26,-103.26,0,0,
08/27/2026,05:54:22:754,0.000000,0.000000,3,-123.99,-123.99,0,0,
08/27/2026,05:54:22:865,0.000000,0.000000,1,-120.12,-120.12,0,0,
08/27/2026,05:54:22:956,0.000000,0.000000,2,-125.6,-125.6,0,0,
08/27/2026,05:54:22:997,0.000000,0.000000,4,-100.54,-100.54,0,0,
08/27/2026,05:54:23:042,0.000000,0.000000,3,-126.19,-126.19,0,0,
08/27/2026,05:54:23:130,0.000000,0.000000,1,-120.72,-120.72,0,0,
08/27/2026,05:54:23:209,0.000000,0.000000,2,-125.82,-125.82,0,0,
08/27/2026,05:54:23:559,0.000000,0.000000,4,-99.82,-99.82,0,0,
08/27/2026,05:54:23:568,0.000000,0.000000,3,-122.08,-122.08,0,0,
08/27/2026,05:54:23:605,0.000000,0.000000,1,-119.05,-119.05,0,0,
08/27/2026,05:54:23:639,0.000000,0.000000,2,-125.99,-125.99,0,0,
