Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:33:08:565,0.000000,0.000000,1,-125.18,-125.18,0,0,
09/21/2026,09:33:08:653,0.000000,0.000000,2,-121.21,-121.21,0,0,
09/21/2026,09:33:08:733,0.000000,0.000000,3,-75.39,-75.39,0,0,
09/21/2026,09:33:08:741,0.000000,0.000000,1,-120.7,-120.7,0,0,
09/21/2026,09:33:08:762,0.000000,0.000000,4,-119.82,-119.82,0,0,
09/21/2026,09:33:08:827,0.000000,0.000000,2,-114.46,-114.46,0,0,
09/21/2026,09:33:08:903,0.000000,0.000000,3,-91.54,-91.54,0,0,
09/21/2026,09:33:08:943,0.000000,0.000000,1,-119.58,-119.58,0,0,
09/21/2026,09:33:08:977,0.000000,0.000000,4,-119.4,-119.4,0,0,
09/21/2026,09:33:09:026,0.000000,0.000000,2,-118.93,-118.93,0,0,
09/21/2026,09:33:09:103,0.000000,0.000000,3,-76.68,-76.68,0,0,
09/21/2026,09:33:09:144,0.000000,0.000000,1,-121.84,-121.84,0,0,
09/21/2026,09:33:09:147,0.000000,0.000000,4,-122.07,-122.07,0,0,
09/21/2026,09:33:09:241,0.000000,0.000000,2,-122.27,-122.27,0,0,
09/21/2026,09:33:09:297,0.000000,0.000000,3,-99.99,-99.99,0,0,
09/21/2026,09:33:09:335,0.000000,0.000000,1,-118.34,-118.34,0,0,
09/21/2026,09:33:09:337,0.000000,0.000000,4,-121.75,-121.75,0,0,
09/21/2026,09:33:09:412,0.000000,0.000000,2,-118.86,-118.86,0,0,
09/21/2026,09:33:09:478,0.000000,0.000000,3,-86.74,-86.74,0,0,
09/21/2026,09:33:09:523,0.000000,0.000000,1,-120.44,-120.44,0,0,
09/21/2026,09:33:09:527,0.000000,0.000000,4,-119.08,-119.08,0,0,
09/21/2026,09:33:09:599,0.000000,0.000000,2,-115.94,-115.94,0,0,
09/21/2026,09:33:09:667,0.000000,0.000000,3,-70.2,-70.2,0,0,
09/21/2026,09:33:09:718,0.000000,0.000000,1,-118.04,-118.04,0,0,
