Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:33:08:146,0.000000,0.000000,1,-124.49,-124.49,0,0,
09/21/2026,09:33:08:162,0.000000,0.000000,1,-123.66,-123.66,0,0,
09/21/2026,09:33:08:173,0.000000,0.000000,1,-122.6,-122.6,0,0,
09/21/2026,09:33:08:217,0.000000,0.000000,1,-121.08,-121.08,0,0,
09/21/2026,09:33:08:219,0.000000,0.000000,1,-122.13,-122.13,0,0,
09/21/2026,09:33:08:230,0.000000,0.000000,1,-120.7,-120.7,0,0,
09/21/2026,09:33:08:245,0.000000,0.000000,2,-116.6,-116.6,0,0,
09/21/2026,09:33:08:263,0.000000,0.000000,1,-123.48,-123.48,0,0,
09/21/2026,09:33:08:279,0.000000,0.000000,2,-116.77,-116.77,0,0,
09/21/2026,09:33:08:293,0.000000,0.000000,1,-124.18,-124.18,0,0,
09/21/2026,09:33:08:320,0.000000,0.000000,2,-116.77,-116.77,0,0,
09/21/2026,09:33:08:329,0.000000,0.000000,3,-125.25,-125.25,0,0,
09/21/2026,09:33:08:357,0.000000,0.000000,1,-124.55,-124.55,0,0,
09/21/2026,09:33:08:361,0.000000,0.000000,2,-116.45,-116.45,0,0,
09/21/2026,09:33:08:396,0.000000,0.000000,3,-122.4,-122.4,0,0,
09/21/2026,09:33:08:439,0.000000,0.000000,1,-122,-122,0,0,
09/21/2026,09:33:08:453,0.000000,0.000000,2,-117.23,-117.23,0,0,
09/21/2026,09:33:08:497,0.000000,0.000000,3,-123.74,-123.74,0,0,
09/21/2026,09:33:08:546,0.000000,0.000000,1,-121.8,-121.8,0,0,
09/21/2026,09:33:08:581,0.000000,0.000000,2,-116.88,-116.88,0,0,
09/21/2026,09:33:08:655,0.000000,0.000000,3,-123.11,-123.11,0,0,
09/21/2026,09:33:08:735,0.000000,0.000000,1,-118.02,-118.02,0,0,
09/21/2026,09:33:08:778,0.000000,0.000000,2,-116.46,-116.46,0,0,
09/21/2026,09:33:08:851,0.000000,0.000000,3,-123.92,-123.92,0,0,
09/21/2026,09:33:08:917,0.000000,0.000000,1,-124.41,-124.41,0,0,
09/21/2026,09:33:08:981,0.000000,0.000000,2,-115.45,-115.45,0,0,
09/21/2026,09:33:09:062,0.000000,0.000000,3,-124.13,-124.13,0,0,
09/21/2026,09:33:09:106,0.000000,0.000000,1,-122.76,-122.76,0,0,
09/21/2026,09:33:09:187,0.000000,0.000000,2,-116.65,-116.65,0,0,
09/21/2026,09:33:09:244,0.000000,0.000000,3,-125.18,-125.18,0,0,
09/21/2026,09:33:09:323,0.000000,0.000000,1,-122.1,-122.1,0,0,
09/21/2026,09:33:09:367,0.000000,0.000000,2,-116.46,-116.46,0,0,
09/21/2026,09:33:09:437,0.000000,0.000000,3,-126.9,-126.9,0,0,
09/21/2026,09:33:09:499,0.000000,0.000000,1,-122.51,-122.51,0,0,
09/21/2026,09:33:09:554,0.000000,0.000000,2,-116.93,-116.93,0,0,
09/21/2026,09:33:09:614,0.000000,0.000000,3,-124.79,-124.79,0,0,
09/21/2026,09:33:09:684,0.000000,0.000000,1,-125.26,-125.26,0,0,
09/21/2026,09:33:09:742,0.000000,0.000000,2,-118.29,-118.29,0,0,
09/21/2026,09:33:09:810,0.000000,0.000000,3,-126.65,-126.65,0,0,
09/21/2026,09:33:09:877,0.000000,0.000000,1,-121.78,-121.78,0,0,
09/21/2026,09:33:09:930,0.000000,0.000000,2,-116.71,-116.71,0,0,
09/21/2026,09:33:10:008,0.000000,0.000000,3,-124.03,-124.03,0,0,
09/21/2026,09:33:10:084,0.000000,0.000000,1,-121.18,-121.18,0,0,
09/21/2026,09:33:10:128,0.000000,0.000000,2,-118.43,-118.43,0,0,
09/21/2026,09:33:10:199,0.000000,0.000000,3,-123.29,-123.29,0,0,
