Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:33:08:391,0.000000,0.000000,1,-121.37,-121.37,0,0,
09/21/2026,09:33:08:433,0.000000,0.000000,2,-125.64,-125.64,0,0,
09/21/2026,09:33:08:467,0.000000,0.000000,3,-125.78,-125.78,0,0,
09/21/2026,09:33:08:484,0.000000,0.000000,1,-120.86,-120.86,0,0,
09/21/2026,09:33:08:517,0.000000,0.000000,4,-66.79,-66.79,0,0,
09/21/2026,09:33:08:530,0.000000,0.000000,2,-124.9,-124.9,0,0,
09/21/2026,09:33:08:637,0.000000,0.000000,3,-124.65,-124.65,0,0,
09/21/2026,09:33:08:648,0.000000,0.000000,1,-121.61,-121.61,0,0,
09/21/2026,09:33:08:671,0.000000,0.000000,4,-80.65,-80.65,0,0,
09/21/2026,09:33:08:688,0.000000,0.000000,2,-124.03,-124.03,0,0,
09/21/2026,09:33:08:793,0.000000,0.000000,3,-124.17,-124.17,0,0,
09/21/2026,09:33:08:808,0.000000,0.000000,1,-121.72,-121.72,0,0,
09/21/2026,09:33:08:864,0.000000,0.000000,4,-73.13,-73.13,0,0,
09/21/2026,09:33:08:889,0.000000,0.000000,2,-125.61,-125.61,0,0,
09/21/2026,09:33:08:984,0.000000,0.000000,3,-124.85,-124.85,0,0,
09/21/2026,09:33:09:023,0.000000,0.000000,1,-120.8,-120.8,0,0,
09/21/2026,09:33:09:068,0.000000,0.000000,4,-76.51,-76.51,0,0,
09/21/2026,09:33:09:072,0.000000,0.000000,2,-123.57,-123.57,0,0,
09/21/2026,09:33:09:191,0.000000,0.000000,3,-125.39,-125.39,0,0,
09/21/2026,09:33:09:198,0.000000,0.000000,1,-122.9,-122.9,0,0,
09/21/2026,09:33:09:262,0.000000,0.000000,4,-83.63,-83.63,0,0,
09/21/2026,09:33:09:290,0.000000,0.000000,2,-124.08,-124.08,0,0,
09/21/2026,09:33:09:372,0.000000,0.000000,3,-124.26,-124.26,0,0,
09/21/2026,09:33:09:394,0.000000,0.000000,1,-122.16,-122.16,0,0,
09/21/2026,09:33:09:456,0.000000,0.000000,4,-75.92,-75.92,0,0,
09/21/2026,09:33:09:459,0.000000,0.000000,2,-123.77,-123.77,0,0,
09/21/2026,09:33:09:565,0.000000,0.000000,3,-126.05,-126.05,0,0,
09/21/2026,09:33:09:580,0.000000,0.000000,1,-121.96,-121.96,0,0,
09/21/2026,09:33:09:639,0.000000,0.000000,4,-73,-73,0,0,
09/21/2026,09:33:09:653,0.000000,0.000000,2,-123.42,-123.42,0,0,
09/21/2026,09:33:09:758,0.000000,0.000000,3,-125.37,-125.37,0,0,
