Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:56:24:303,0.000000,0.000000,1,-126.23,-126.23,0,0,
09/21/2026,11:56:24:392,0.000000,0.000000,1,-127.58,-127.58,0,0,
09/21/2026,11:56:24:522,0.000000,0.000000,1,-125.62,-125.62,0,0,
09/21/2026,11:56:24:733,0.000000,0.000000,1,-124.96,-124.96,0,0,
09/21/2026,11:56:24:944,0.000000,0.000000,1,-124.11,-124.11,0,0,
09/21/2026,11:56:25:166,0.000000,0.000000,1,-123.86,-123.86,0,0,
09/21/2026,11:56:25:365,0.000000,0.000000,1,-124.99,-124.99,0,0,
09/21/2026,11:56:25:578,0.000000,0.000000,1,-124.62,-124.62,0,0,
09/21/2026,11:56:25:789,0.000000,0.000000,1,-124.12,-124.12,0,0,
09/21/2026,11:56:25:997,0.000000,0.000000,1,-125.32,-125.32,0,0,
09/21/2026,11:56:26:209,0.000000,0.000000,1,-125.56,-125.56,0,0,
09/21/2026,11:56:26:429,0.000000,0.000000,1,-125.9,-125.9,0,0,
09/21/2026,11:56:26:631,0.000000,0.000000,1,-127.97,-127.97,0,0,
09/21/2026,11:56:26:852,0.000000,0.000000,1,-125.62,-125.62,0,0,
09/21/2026,11:56:27:064,0.000000,0.000000,1,-122.92,-122.92,0,0,
09/21/2026,11:56:27:263,0.000000,0.000000,1,-126.49,-126.49,0,0,
09/21/2026,11:56:27:475,0.000000,0.000000,1,-126.15,-126.15,0,0,
09/21/2026,11:56:27:688,0.000000,0.000000,1,-123.9,-123.9,0,0,
09/21/2026,11:56:27:899,0.000000,0.000000,1,-125.96,-125.96,0,0,
09/21/2026,11:56:28:107,0.000000,0.000000,1,-125.77,-125.77,0,0,
09/21/2026,11:56:28:321,0.000000,0.000000,1,-124.19,-124.19,0,0,
09/21/2026,11:56:28:530,0.000000,0.000000,1,-125.59,-125.59,0,0,
09/21/2026,11:56:28:763,0.000000,0.000000,1,-124.16,-124.16,0,0,
09/21/2026,11:56:28:985,0.000000,0.000000,1,-127.57,-127.57,0,0,
09/21/2026,11:56:29:161,0.000000,0.000000,1,-125.22,-125.22,0,0,
09/21/2026,11:56:29:373,0.000000,0.000000,1,-123.64,-123.64,0,0,
09/21/2026,11:56:29:872,0.000000,0.000000,1,-128.68,-128.68,0,0,
09/21/2026,11:56:29:935,0.000000,0.000000,1,-124.6,-124.6,0,0,
09/21/2026,11:56:30:004,0.000000,0.000000,1,-125.11,-125.11,0,0,
09/21/2026,11:56:30:215,0.000000,0.000000,1,-128.08,-128.08,0,0,
09/21/2026,11:56:30:437,0.000000,0.000000,1,-127.93,-127.93,0,0,
09/21/2026,11:56:30:646,0.000000,0.000000,1,-125.8,-125.8,0,0,
09/21/2026,11:56:30:848,0.000000,0.000000,1,-127.81,-127.81,0,0,
09/21/2026,11:56:31:059,0.000000,0.000000,1,-125.71,-125.71,0,0,
09/21/2026,11:56:31:269,0.000000,0.000000,1,-124.9,-124.9,0,0,
09/21/2026,11:56:31:479,0.000000,0.000000,1,-124.68,-124.68,0,0,
09/21/2026,11:56:31:693,0.000000,0.000000,1,-127.77,-127.77,0,0,
09/21/2026,11:56:31:902,0.000000,0.000000,1,-125.82,-125.82,0,0,
09/21/2026,11:56:32:112,0.000000,0.000000,1,-126.04,-126.04,0,0,
09/21/2026,11:56:32:328,0.000000,0.000000,1,-126.8,-126.8,0,0,
09/21/2026,11:56:32:548,0.000000,0.000000,1,-125.38,-125.38,0,0,
09/21/2026,11:56:32:751,0.000000,0.000000,1,-124.04,-124.04,0,0,
09/21/2026,11:56:32:965,0.000000,0.000000,1,-127.09,-127.09,0,0,
09/21/2026,11:56:33:169,0.000000,0.000000,1,-124.1,-124.1,0,0,
09/21/2026,11:56:33:378,0.000000,0.000000,1,-126.88,-126.88,0,0,
09/21/2026,11:56:33:594,0.000000,0.000000,1,-125.48,-125.48,0,0,
09/21/2026,11:56:33:803,0.000000,0.000000,1,-126.74,-126.74,0,0,
09/21/2026,11:56:34:013,0.000000,0.000000,1,-125.58,-125.58,0,0,
09/21/2026,11:56:34:292,0.000000,0.000000,1,-125.98,-125.98,0,0,
09/21/2026,11:56:34:473,0.000000,0.000000,1,-126.78,-126.78,0,0,
09/21/2026,11:56:34:644,0.000000,0.000000,1,-125.49,-125.49,0,0,
09/21/2026,11:56:34:859,0.000000,0.000000,1,-126.79,-126.79,0,0,
09/21/2026,11:56:35:357,0.000000,0.000000,1,-125.38,-125.38,0,0,
09/21/2026,11:56:35:423,0.000000,0.000000,1,-125.66,-125.66,0,0,
09/21/2026,11:56:35:521,0.000000,0.000000,1,-125.42,-125.42,0,0,
09/21/2026,11:56:35:698,0.000000,0.000000,1,-128.41,-128.41,0,0,
09/21/2026,11:56:35:911,0.000000,0.000000,1,-126.68,-126.68,0,0,
09/21/2026,11:56:36:231,0.000000,0.000000,1,-126.34,-126.34,0,0,
09/21/2026,11:56:36:332,0.000000,0.000000,1,-125.53,-125.53,0,0,
09/21/2026,11:56:36:546,0.000000,0.000000,1,-127.33,-127.33,0,0,
09/21/2026,11:56:36:754,0.000000,0.000000,1,-128.34,-128.34,0,0,
09/21/2026,11:56:36:966,0.000000,0.000000,1,-125.81,-125.81,0,0,
09/21/2026,11:56:37:174,0.000000,0.000000,1,-127.26,-127.26,0,0,
09/21/2026,11:56:37:385,0.000000,0.000000,1,-124.88,-124.88,0,0,
09/21/2026,11:56:37:599,0.000000,0.000000,1,-124.88,-124.88,0,0,
09/21/2026,11:56:37:810,0.000000,0.000000,1,-125.5,-125.5,0,0,
09/21/2026,11:56:38:025,0.000000,0.000000,1,-124.72,-124.72,0,0,
09/21/2026,11:56:38:260,0.000000,0.000000,1,-127.38,-127.38,0,0,
09/21/2026,11:56:38:449,0.000000,0.000000,1,-125.71,-125.71,0,0,
09/21/2026,11:56:38:653,0.000000,0.000000,1,-125.95,-125.95,0,0,
09/21/2026,11:56:38:866,0.000000,0.000000,1,-125.61,-125.61,0,0,
09/21/2026,11:56:39:074,0.000000,0.000000,1,-127.66,-127.66,0,0,
09/21/2026,11:56:39:300,0.000000,0.000000,1,-126.22,-126.22,0,0,
09/21/2026,11:56:39:495,0.000000,0.000000,1,-124.89,-124.89,0,0,
09/21/2026,11:56:39:709,0.000000,0.000000,1,-125.39,-125.39,0,0,
09/21/2026,11:56:39:962,0.000000,0.000000,1,-125.62,-125.62,0,0,
09/21/2026,11:56:40:129,0.000000,0.000000,1,-123.38,-123.38,0,0,
09/21/2026,11:56:40:350,0.000000,0.000000,1,-125.68,-125.68,0,0,
09/21/2026,11:56:40:549,0.000000,0.000000,1,-125.46,-125.46,0,0,
09/21/2026,11:56:40:761,0.000000,0.000000,1,-124.52,-124.52,0,0,
