Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:28:37:395,0.000000,0.000000,1,-119.32,-119.32,0,0,
09/21/2026,09:28:37:413,0.000000,0.000000,2,-115.67,-115.67,0,0,
09/21/2026,09:28:37:467,0.000000,0.000000,3,-87.04,-87.04,0,0,
09/21/2026,09:28:37:507,0.000000,0.000000,1,-117.1,-117.1,0,0,
09/21/2026,09:28:37:526,0.000000,0.000000,4,-117.31,-117.31,0,0,
09/21/2026,09:28:37:577,0.000000,0.000000,2,-109.68,-109.68,0,0,
09/21/2026,09:28:37:686,0.000000,0.000000,3,-66.45,-66.45,0,0,
09/21/2026,09:28:37:701,0.000000,0.000000,1,-118.11,-118.11,0,0,
09/21/2026,09:28:37:717,0.000000,0.000000,4,-114.39,-114.39,0,0,
09/21/2026,09:28:37:802,0.000000,0.000000,2,-112.32,-112.32,0,0,
09/21/2026,09:28:37:862,0.000000,0.000000,3,-67.39,-67.39,0,0,
09/21/2026,09:28:37:893,0.000000,0.000000,1,-118.63,-118.63,0,0,
09/21/2026,09:28:37:919,0.000000,0.000000,4,-117.1,-117.1,0,0,
09/21/2026,09:28:37:988,0.000000,0.000000,2,-116.75,-116.75,0,0,
09/21/2026,09:28:38:046,0.000000,0.000000,3,-89.28,-89.28,0,0,
09/21/2026,09:28:38:103,0.000000,0.000000,1,-117.91,-117.91,0,0,
09/21/2026,09:28:38:107,0.000000,0.000000,4,-118.43,-118.43,0,0,
09/21/2026,09:28:38:191,0.000000,0.000000,2,-118.6,-118.6,0,0,
09/21/2026,09:28:38:252,0.000000,0.000000,3,-76.4,-76.4,0,0,
09/21/2026,09:28:38:282,0.000000,0.000000,1,-114.3,-114.3,0,0,
09/21/2026,09:28:38:309,0.000000,0.000000,4,-117.9,-117.9,0,0,
09/21/2026,09:28:38:347,0.000000,0.000000,2,-108.04,-108.04,0,0,
09/21/2026,09:28:38:431,0.000000,0.000000,3,-67.3,-67.3,0,0,
09/21/2026,09:28:38:470,0.000000,0.000000,1,-114.55,-114.55,0,0,
09/21/2026,09:28:38:484,0.000000,0.000000,4,-118.43,-118.43,0,0,
09/21/2026,09:28:38:586,0.000000,0.000000,2,-112.64,-112.64,0,0,
09/21/2026,09:28:38:640,0.000000,0.000000,3,-70.22,-70.22,0,0,
09/21/2026,09:28:38:676,0.000000,0.000000,1,-108.45,-108.45,0,0,
09/21/2026,09:28:38:680,0.000000,0.000000,4,-119.92,-119.92,0,0,
09/21/2026,09:28:38:766,0.000000,0.000000,2,-109.61,-109.61,0,0,
09/21/2026,09:28:38:862,0.000000,0.000000,3,-78.48,-78.48,0,0,
09/21/2026,09:28:38:909,0.000000,0.000000,1,-114.62,-114.62,0,0,
09/21/2026,09:28:38:932,0.000000,0.000000,4,-121.7,-121.7,0,0,
09/21/2026,09:28:39:004,0.000000,0.000000,2,-112.75,-112.75,0,0,
09/21/2026,09:28:39:048,0.000000,0.000000,3,-98.92,-98.92,0,0,
09/21/2026,09:28:39:061,0.000000,0.000000,1,-112.36,-112.36,0,0,
09/21/2026,09:28:39:062,0.000000,0.000000,4,-119.39,-119.39,0,0,
09/21/2026,09:28:39:129,0.000000,0.000000,2,-115.14,-115.14,0,0,
09/21/2026,09:28:39:220,0.000000,0.000000,3,-80.96,-80.96,0,0,
09/21/2026,09:28:39:242,0.000000,0.000000,1,-117,-117,0,0,
