Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:28:37:092,0.000000,0.000000,1,-120.75,-120.75,0,0,
09/21/2026,09:28:37:129,0.000000,0.000000,2,-124.2,-124.2,0,0,
09/21/2026,09:28:37:160,0.000000,0.000000,1,-121.67,-121.67,0,0,
09/21/2026,09:28:37:202,0.000000,0.000000,3,-125.37,-125.37,0,0,
09/21/2026,09:28:37:241,0.000000,0.000000,2,-121.95,-121.95,0,0,
09/21/2026,09:28:37:259,0.000000,0.000000,1,-120.82,-120.82,0,0,
09/21/2026,09:28:37:279,0.000000,0.000000,4,-82.55,-82.55,0,0,
09/21/2026,09:28:37:335,0.000000,0.000000,3,-124.86,-124.86,0,0,
09/21/2026,09:28:37:401,0.000000,0.000000,2,-122.01,-122.01,0,0,
09/21/2026,09:28:37:423,0.000000,0.000000,1,-124.05,-124.05,0,0,
09/21/2026,09:28:37:436,0.000000,0.000000,4,-83.07,-83.07,0,0,
09/21/2026,09:28:37:487,0.000000,0.000000,3,-124.61,-124.61,0,0,
09/21/2026,09:28:37:567,0.000000,0.000000,2,-125.9,-125.9,0,0,
09/21/2026,09:28:37:607,0.000000,0.000000,1,-121.65,-121.65,0,0,
09/21/2026,09:28:37:636,0.000000,0.000000,4,-84.54,-84.54,0,0,
09/21/2026,09:28:37:690,0.000000,0.000000,3,-124.47,-124.47,0,0,
09/21/2026,09:28:37:752,0.000000,0.000000,2,-121.49,-121.49,0,0,
09/21/2026,09:28:37:830,0.000000,0.000000,1,-122.92,-122.92,0,0,
09/21/2026,09:28:37:855,0.000000,0.000000,4,-83.9,-83.9,0,0,
09/21/2026,09:28:37:883,0.000000,0.000000,3,-124.75,-124.75,0,0,
09/21/2026,09:28:37:960,0.000000,0.000000,2,-124.43,-124.43,0,0,
09/21/2026,09:28:38:028,0.000000,0.000000,1,-122.22,-122.22,0,0,
09/21/2026,09:28:38:031,0.000000,0.000000,4,-82.95,-82.95,0,0,
09/21/2026,09:28:38:063,0.000000,0.000000,3,-123.65,-123.65,0,0,
09/21/2026,09:28:38:135,0.000000,0.000000,2,-123.28,-123.28,0,0,
09/21/2026,09:28:38:199,0.000000,0.000000,1,-120.81,-120.81,0,0,
09/21/2026,09:28:38:204,0.000000,0.000000,4,-81.81,-81.81,0,0,
09/21/2026,09:28:38:256,0.000000,0.000000,3,-124.47,-124.47,0,0,
09/21/2026,09:28:38:327,0.000000,0.000000,2,-124.24,-124.24,0,0,
09/21/2026,09:28:38:392,0.000000,0.000000,1,-122.78,-122.78,0,0,
09/21/2026,09:28:38:394,0.000000,0.000000,4,-80.72,-80.72,0,0,
09/21/2026,09:28:38:454,0.000000,0.000000,3,-123.46,-123.46,0,0,
09/21/2026,09:28:38:554,0.000000,0.000000,2,-122.59,-122.59,0,0,
09/21/2026,09:28:38:593,0.000000,0.000000,1,-118.85,-118.85,0,0,
09/21/2026,09:28:38:597,0.000000,0.000000,4,-80.3,-80.3,0,0,
09/21/2026,09:28:38:644,0.000000,0.000000,3,-123.46,-123.46,0,0,
09/21/2026,09:28:38:731,0.000000,0.000000,2,-122.54,-122.54,0,0,
09/21/2026,09:28:38:808,0.000000,0.000000,1,-120.23,-120.23,0,0,
09/21/2026,09:28:38:812,0.000000,0.000000,4,-79.49,-79.49,0,0,
09/21/2026,09:28:38:900,0.000000,0.000000,3,-124.1,-124.1,0,0,
09/21/2026,09:28:38:997,0.000000,0.000000,2,-123.27,-123.27,0,0,
09/21/2026,09:28:39:038,0.000000,0.000000,1,-121.22,-121.22,0,0,
09/21/2026,09:28:39:041,0.000000,0.000000,4,-78.89,-78.89,0,0,
09/21/2026,09:28:39:052,0.000000,0.000000,3,-124.39,-124.39,0,0,
09/21/2026,09:28:39:100,0.000000,0.000000,2,-124.45,-124.45,0,0,
09/21/2026,09:28:39:164,0.000000,0.000000,1,-122.46,-122.46,0,0,
09/21/2026,09:28:39:176,0.000000,0.000000,4,-79.78,-79.78,0,0,
09/21/2026,09:28:39:223,0.000000,0.000000,3,-125.08,-125.08,0,0,
09/21/2026,09:28:39:320,0.000000,0.000000,2,-122.51,-122.51,0,0,
09/21/2026,09:28:39:342,0.000000,0.000000,1,-120.7,-120.7,0,0,
09/21/2026,09:28:39:370,0.000000,0.000000,4,-81.26,-81.26,0,0,
09/21/2026,09:28:39:416,0.000000,0.000000,3,-125.9,-125.9,0,0,
09/21/2026,09:28:39:482,0.000000,0.000000,2,-124.21,-124.21,0,0,
09/21/2026,09:28:39:547,0.000000,0.000000,1,-122.11,-122.11,0,0,
09/21/2026,09:28:39:555,0.000000,0.000000,4,-82.2,-82.2,0,0,
09/21/2026,09:28:39:611,0.000000,0.000000,3,-122.63,-122.63,0,0,
09/21/2026,09:28:39:691,0.000000,0.000000,2,-124.56,-124.56,0,0,
09/21/2026,09:28:39:732,0.000000,0.000000,1,-118.85,-118.85,0,0,
09/21/2026,09:28:39:743,0.000000,0.000000,4,-82.25,-82.25,0,0,
09/21/2026,09:28:39:823,0.000000,0.000000,3,-123.73,-123.73,0,0,
09/21/2026,09:28:39:868,0.000000,0.000000,2,-123.39,-123.39,0,0,
09/21/2026,09:28:39:932,0.000000,0.000000,1,-119.99,-119.99,0,0,
09/21/2026,09:28:39:939,0.000000,0.000000,4,-79.96,-79.96,0,0,
09/21/2026,09:28:39:990,0.000000,0.000000,3,-123.71,-123.71,0,0,
09/21/2026,09:28:40:059,0.000000,0.000000,2,-124.81,-124.81,0,0,
09/21/2026,09:28:40:113,0.000000,0.000000,1,-119.11,-119.11,0,0,
09/21/2026,09:28:40:145,0.000000,0.000000,4,-78.65,-78.65,0,0,
09/21/2026,09:28:40:225,0.000000,0.000000,3,-124.47,-124.47,0,0,
09/21/2026,09:28:40:316,0.000000,0.000000,2,-123.7,-123.7,0,0,
09/21/2026,09:28:40:356,0.000000,0.000000,1,-121.44,-121.44,0,0,
09/21/2026,09:28:40:361,0.000000,0.000000,4,-81.68,-81.68,0,0,
09/21/2026,09:28:40:410,0.000000,0.000000,3,-125.51,-125.51,0,0,
09/21/2026,09:28:40:455,0.000000,0.000000,2,-124.47,-124.47,0,0,
09/21/2026,09:28:40:499,0.000000,0.000000,1,-122.37,-122.37,0,0,
09/21/2026,09:28:40:550,0.000000,0.000000,4,-82.34,-82.34,0,0,
09/21/2026,09:28:40:572,0.000000,0.000000,3,-124.73,-124.73,0,0,
09/21/2026,09:28:40:648,0.000000,0.000000,2,-123.02,-123.02,0,0,
09/21/2026,09:28:40:708,0.000000,0.000000,1,-120.97,-120.97,0,0,
09/21/2026,09:28:40:712,0.000000,0.000000,4,-81.81,-81.81,0,0,
09/21/2026,09:28:40:761,0.000000,0.000000,3,-125.44,-125.44,0,0,
09/21/2026,09:28:40:830,0.000000,0.000000,2,-123.68,-123.68,0,0,
09/21/2026,09:28:40:887,0.000000,0.000000,1,-119.95,-119.95,0,0,
09/21/2026,09:28:40:918,0.000000,0.000000,4,-83.63,-83.63,0,0,
09/21/2026,09:28:40:958,0.000000,0.000000,3,-125.34,-125.34,0,0,
09/21/2026,09:28:41:023,0.000000,0.000000,2,-123.03,-123.03,0,0,
09/21/2026,09:28:41:079,0.000000,0.000000,1,-120.18,-120.18,0,0,
09/21/2026,09:28:41:096,0.000000,0.000000,4,-84.96,-84.96,0,0,
09/21/2026,09:28:41:144,0.000000,0.000000,3,-125.25,-125.25,0,0,
09/21/2026,09:28:41:216,0.000000,0.000000,2,-124.43,-124.43,0,0,
09/21/2026,09:28:41:270,0.000000,0.000000,1,-121.12,-121.12,0,0,
09/21/2026,09:28:41:297,0.000000,0.000000,4,-85.53,-85.53,0,0,
09/21/2026,09:28:41:344,0.000000,0.000000,3,-125.61,-125.61,0,0,
09/21/2026,09:28:41:420,0.000000,0.000000,2,-125.35,-125.35,0,0,
09/21/2026,09:28:41:468,0.000000,0.000000,1,-120.33,-120.33,0,0,
09/21/2026,09:28:41:479,0.000000,0.000000,4,-85.62,-85.62,0,0,
09/21/2026,09:28:41:535,0.000000,0.000000,3,-123.85,-123.85,0,0,
09/21/2026,09:28:41:602,0.000000,0.000000,2,-123.04,-123.04,0,0,
09/21/2026,09:28:41:658,0.000000,0.000000,1,-119.82,-119.82,0,0,
09/21/2026,09:28:41:689,0.000000,0.000000,4,-85.49,-85.49,0,0,
09/21/2026,09:28:41:724,0.000000,0.000000,3,-125.32,-125.32,0,0,
09/21/2026,09:28:41:795,0.000000,0.000000,2,-121.7,-121.7,0,0,
09/21/2026,09:28:41:857,0.000000,0.000000,1,-122.03,-122.03,0,0,
09/21/2026,09:28:41:863,0.000000,0.000000,4,-84.53,-84.53,0,0,
09/21/2026,09:28:41:920,0.000000,0.000000,3,-122.01,-122.01,0,0,
09/21/2026,09:28:41:988,0.000000,0.000000,2,-123.79,-123.79,0,0,
09/21/2026,09:28:42:042,0.000000,0.000000,1,-121.46,-121.46,0,0,
09/21/2026,09:28:42:057,0.000000,0.000000,4,-84.16,-84.16,0,0,
09/21/2026,09:28:42:109,0.000000,0.000000,3,-124.48,-124.48,0,0,
09/21/2026,09:28:42:179,0.000000,0.000000,2,-124.03,-124.03,0,0,
09/21/2026,09:28:42:239,0.000000,0.000000,1,-120.09,-120.09,0,0,
09/21/2026,09:28:42:274,0.000000,0.000000,4,-85.1,-85.1,0,0,
09/21/2026,09:28:42:321,0.000000,0.000000,3,-122.99,-122.99,0,0,
09/21/2026,09:28:42:488,0.000000,0.000000,2,-122.77,-122.77,0,0,
09/21/2026,09:28:42:914,0.000000,0.000000,1,-119.73,-119.73,0,0,
09/21/2026,09:28:42:916,0.000000,0.000000,4,-82.8,-82.8,0,0,
09/21/2026,09:28:42:930,0.000000,0.000000,3,-123.09,-123.09,0,0,
09/21/2026,09:28:42:950,0.000000,0.000000,2,-125.92,-125.92,0,0,
09/21/2026,09:28:42:969,0.000000,0.000000,1,-121.43,-121.43,0,0,
09/21/2026,09:28:42:974,0.000000,0.000000,4,-81.78,-81.78,0,0,
09/21/2026,09:28:42:999,0.000000,0.000000,3,-124.15,-124.15,0,0,
09/21/2026,09:28:43:017,0.000000,0.000000,2,-125.26,-125.26,0,0,
09/21/2026,09:28:43:031,0.000000,0.000000,1,-119.61,-119.61,0,0,
09/21/2026,09:28:43:039,0.000000,0.000000,4,-82.68,-82.68,0,0,
09/21/2026,09:28:43:062,0.000000,0.000000,3,-124.44,-124.44,0,0,
09/21/2026,09:28:43:085,0.000000,0.000000,2,-122.64,-122.64,0,0,
09/21/2026,09:28:43:123,0.000000,0.000000,1,-120.45,-120.45,0,0,
09/21/2026,09:28:43:126,0.000000,0.000000,4,-85.19,-85.19,0,0,
09/21/2026,09:28:43:155,0.000000,0.000000,3,-124,-124,0,0,
09/21/2026,09:28:43:183,0.000000,0.000000,2,-121.44,-121.44,0,0,
09/21/2026,09:28:43:202,0.000000,0.000000,1,-119.99,-119.99,0,0,
09/21/2026,09:28:43:213,0.000000,0.000000,4,-87.42,-87.42,0,0,
09/21/2026,09:28:43:268,0.000000,0.000000,3,-125.59,-125.59,0,0,
09/21/2026,09:28:43:346,0.000000,0.000000,2,-122.42,-122.42,0,0,
09/21/2026,09:28:43:398,0.000000,0.000000,1,-121.4,-121.4,0,0,
09/21/2026,09:28:43:404,0.000000,0.000000,4,-87.44,-87.44,0,0,
09/21/2026,09:28:43:474,0.000000,0.000000,3,-124.31,-124.31,0,0,
09/21/2026,09:28:43:537,0.000000,0.000000,2,-123.58,-123.58,0,0,
09/21/2026,09:28:43:579,0.000000,0.000000,1,-122.6,-122.6,0,0,
09/21/2026,09:28:43:606,0.000000,0.000000,4,-82.63,-82.63,0,0,
09/21/2026,09:28:43:661,0.000000,0.000000,3,-124.83,-124.83,0,0,
09/21/2026,09:28:43:725,0.000000,0.000000,2,-123.53,-123.53,0,0,
09/21/2026,09:28:43:786,0.000000,0.000000,1,-121.04,-121.04,0,0,
09/21/2026,09:28:43:794,0.000000,0.000000,4,-84.97,-84.97,0,0,
09/21/2026,09:28:43:850,0.000000,0.000000,3,-124.05,-124.05,0,0,
09/21/2026,09:28:43:951,0.000000,0.000000,2,-125.21,-125.21,0,0,
09/21/2026,09:28:44:004,0.000000,0.000000,1,-122.74,-122.74,0,0,
09/21/2026,09:28:44:015,0.000000,0.000000,4,-82.32,-82.32,0,0,
09/21/2026,09:28:44:094,0.000000,0.000000,3,-123.24,-123.24,0,0,
09/21/2026,09:28:44:189,0.000000,0.000000,2,-126.25,-126.25,0,0,
09/21/2026,09:28:44:201,0.000000,0.000000,1,-122.05,-122.05,0,0,
09/21/2026,09:28:44:204,0.000000,0.000000,4,-81.28,-81.28,0,0,
