Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/17/2026,11:40:01:708,0.000000,0.000000,1,-63.05,-63.05,0,0,
06/17/2026,11:40:01:721,0.000000,0.000000,1,-62.03,-62.03,0,0,
06/17/2026,11:40:01:731,0.000000,0.000000,1,-63.56,-63.56,0,0,
06/17/2026,11:40:01:738,0.000000,0.000000,1,-62.05,-62.05,0,0,
06/17/2026,11:40:01:752,0.000000,0.000000,1,-61.39,-61.39,0,0,
06/17/2026,11:40:01:764,0.000000,0.000000,2,-64.31,-64.31,0,0,
06/17/2026,11:40:01:778,0.000000,0.000000,1,-61.11,-61.11,0,0,
06/17/2026,11:40:01:785,0.000000,0.000000,2,-64.12,-64.12,0,0,
06/17/2026,11:40:01:794,0.000000,0.000000,1,-63.14,-63.14,0,0,
06/17/2026,11:40:01:807,0.000000,0.000000,2,-67.6,-67.6,0,0,
06/17/2026,11:40:01:817,0.000000,0.000000,1,-64.09,-64.09,0,0,
06/17/2026,11:40:01:829,0.000000,0.000000,2,-65.67,-65.67,0,0,
06/17/2026,11:40:01:842,0.000000,0.000000,1,-61.37,-61.37,0,0,
06/17/2026,11:40:01:853,0.000000,0.000000,2,-63.92,-63.92,0,0,
06/17/2026,11:40:01:862,0.000000,0.000000,1,-60.66,-60.66,0,0,
06/17/2026,11:40:01:870,0.000000,0.000000,2,-60.36,-60.36,0,0,
06/17/2026,11:40:01:893,0.000000,0.000000,1,-68.59,-68.59,0,0,
06/17/2026,11:40:01:895,0.000000,0.000000,2,-65.02,-65.02,0,0,
06/17/2026,11:40:01:903,0.000000,0.000000,1,-60.88,-60.88,0,0,
06/17/2026,11:40:01:916,0.000000,0.000000,2,-64.48,-64.48,0,0,
06/17/2026,11:40:01:928,0.000000,0.000000,1,-62.99,-62.99,0,0,
06/17/2026,11:40:01:938,0.000000,0.000000,2,-65.46,-65.46,0,0,
06/17/2026,11:40:01:950,0.000000,0.000000,1,-60.72,-60.72,0,0,
06/17/2026,11:40:01:959,0.000000,0.000000,2,-66.23,-66.23,0,0,
06/17/2026,11:40:01:976,0.000000,0.000000,1,-62.75,-62.75,0,0,
06/17/2026,11:40:01:980,0.000000,0.000000,2,-63.37,-63.37,0,0,
06/17/2026,11:40:01:994,0.000000,0.000000,1,-63.63,-63.63,0,0,
06/17/2026,11:40:02:010,0.000000,0.000000,2,-63.91,-63.91,0,0,
06/17/2026,11:40:02:013,0.000000,0.000000,1,-62.62,-62.62,0,0,
06/17/2026,11:40:02:024,0.000000,0.000000,2,-66.46,-66.46,0,0,
06/17/2026,11:40:02:037,0.000000,0.000000,1,-62.85,-62.85,0,0,
06/17/2026,11:40:02:048,0.000000,0.000000,2,-62.28,-62.28,0,0,
06/17/2026,11:40:02:058,0.000000,0.000000,1,-64.82,-64.82,0,0,
06/17/2026,11:40:02:070,0.000000,0.000000,2,-66.88,-66.88,0,0,
06/17/2026,11:40:02:078,0.000000,0.000000,1,-62.47,-62.47,0,0,
06/17/2026,11:40:02:093,0.000000,0.000000,2,-66.89,-66.89,0,0,
06/17/2026,11:40:02:100,0.000000,0.000000,1,-61.3,-61.3,0,0,
06/17/2026,11:40:02:131,0.000000,0.000000,2,-64.59,-64.59,0,0,
06/17/2026,11:40:02:132,0.000000,0.000000,1,-61.58,-61.58,0,0,
06/17/2026,11:40:02:135,0.000000,0.000000,2,-66.3,-66.3,0,0,
06/17/2026,11:40:02:147,0.000000,0.000000,1,-61.85,-61.85,0,0,
06/17/2026,11:40:02:157,0.000000,0.000000,2,-65.76,-65.76,0,0,
