Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:41:40:974,38.840557,-76.975367,1,-87.27,-87.27,0,0,
06/10/2026,09:41:40:975,38.840557,-76.975367,1,-87.72,-87.72,0,0,
06/10/2026,09:41:40:990,38.840557,-76.975367,1,-87.23,-87.23,0,0,
06/10/2026,09:41:41:006,38.840557,-76.975367,1,-87.26,-87.26,0,0,
06/10/2026,09:41:41:023,38.840557,-76.975367,1,-87.29,-87.29,0,0,
06/10/2026,09:41:41:043,38.840557,-76.975367,2,-118.99,-118.99,0,0,
06/10/2026,09:41:41:055,38.840557,-76.975367,1,-87.58,-87.58,0,0,
06/10/2026,09:41:41:075,38.840557,-76.975367,2,-117.69,-117.69,0,0,
06/10/2026,09:41:41:091,38.840557,-76.975367,1,-86.66,-86.66,0,0,
06/10/2026,09:41:41:106,38.840557,-76.975367,2,-117.41,-117.41,0,0,
06/10/2026,09:41:41:126,38.840557,-76.975367,3,-125.73,-125.73,0,0,
06/10/2026,09:41:41:149,38.840557,-76.975367,1,-89.95,-89.95,0,0,
06/10/2026,09:41:41:173,38.840557,-76.975367,2,-116.09,-116.09,0,0,
06/10/2026,09:41:41:206,38.840557,-76.975367,3,-126.48,-126.48,0,0,
06/10/2026,09:41:41:225,38.840557,-76.975367,1,-85.72,-85.72,0,0,
06/10/2026,09:41:41:241,38.840557,-76.975367,2,-116.38,-116.38,0,0,
06/10/2026,09:41:41:291,38.840557,-76.975367,3,-124.43,-124.43,0,0,
06/10/2026,09:41:41:359,38.840557,-76.975367,1,-88.09,-88.09,0,0,
06/10/2026,09:41:41:395,38.840557,-76.975367,2,-116.82,-116.82,0,0,
06/10/2026,09:41:41:454,38.840557,-76.975367,3,-126,-126,0,0,
06/10/2026,09:41:41:550,38.840557,-76.975367,1,-86.58,-86.58,0,0,
06/10/2026,09:41:41:644,38.840557,-76.975367,2,-118.61,-118.61,0,0,
06/10/2026,09:41:41:687,38.840557,-76.975367,3,-127.48,-127.48,0,0,
06/10/2026,09:41:41:812,38.840557,-76.975367,1,-91.1,-91.1,0,0,
06/10/2026,09:41:41:823,38.840557,-76.975367,2,-117.8,-117.8,0,0,
06/10/2026,09:41:41:878,38.840557,-76.975367,3,-126.25,-126.25,0,0,
06/10/2026,09:41:41:971,38.840557,-76.975367,1,-106.35,-106.35,0,0,
06/10/2026,09:41:42:024,38.840557,-76.975367,2,-116.03,-116.03,0,0,
