Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/17/2026,11:36:34:342,0.000000,0.000000,1,-48.45,-48.45,0,0,
06/17/2026,11:36:34:352,0.000000,0.000000,1,-47.92,-47.92,0,0,
06/17/2026,11:36:34:364,0.000000,0.000000,1,-49.17,-49.17,0,0,
06/17/2026,11:36:34:376,0.000000,0.000000,1,-49.76,-49.76,0,0,
06/17/2026,11:36:34:385,0.000000,0.000000,1,-51.35,-51.35,0,0,
06/17/2026,11:36:34:395,0.000000,0.000000,1,-49.86,-49.86,0,0,
06/17/2026,11:36:34:412,0.000000,0.000000,1,-48.67,-48.67,0,0,
06/17/2026,11:36:34:420,0.000000,0.000000,2,-47.88,-47.88,0,0,
06/17/2026,11:36:34:432,0.000000,0.000000,1,-49.26,-49.26,0,0,
06/17/2026,11:36:34:440,0.000000,0.000000,2,-47.01,-47.01,0,0,
06/17/2026,11:36:34:454,0.000000,0.000000,1,-47.7,-47.7,0,0,
06/17/2026,11:36:34:462,0.000000,0.000000,2,-47.04,-47.04,0,0,
06/17/2026,11:36:34:480,0.000000,0.000000,1,-49.08,-49.08,0,0,
06/17/2026,11:36:34:482,0.000000,0.000000,2,-47.68,-47.68,0,0,
06/17/2026,11:36:34:502,0.000000,0.000000,1,-48.89,-48.89,0,0,
06/17/2026,11:36:34:506,0.000000,0.000000,2,-47.8,-47.8,0,0,
06/17/2026,11:36:34:520,0.000000,0.000000,1,-48.11,-48.11,0,0,
06/17/2026,11:36:34:532,0.000000,0.000000,2,-47.26,-47.26,0,0,
06/17/2026,11:36:34:537,0.000000,0.000000,1,-49.16,-49.16,0,0,
06/17/2026,11:36:34:556,0.000000,0.000000,2,-47.23,-47.23,0,0,
06/17/2026,11:36:34:560,0.000000,0.000000,1,-48.81,-48.81,0,0,
06/17/2026,11:36:34:586,0.000000,0.000000,2,-48.83,-48.83,0,0,
06/17/2026,11:36:34:587,0.000000,0.000000,1,-48.48,-48.48,0,0,
06/17/2026,11:36:34:593,0.000000,0.000000,2,-47.81,-47.81,0,0,
06/17/2026,11:36:34:612,0.000000,0.000000,1,-49.85,-49.85,0,0,
06/17/2026,11:36:34:624,0.000000,0.000000,2,-45.56,-45.56,0,0,
06/17/2026,11:36:34:627,0.000000,0.000000,1,-48.54,-48.54,0,0,
06/17/2026,11:36:34:636,0.000000,0.000000,2,-46.84,-46.84,0,0,
06/17/2026,11:36:34:659,0.000000,0.000000,1,-49.03,-49.03,0,0,
06/17/2026,11:36:34:660,0.000000,0.000000,2,-47.19,-47.19,0,0,
06/17/2026,11:36:34:671,0.000000,0.000000,1,-48.53,-48.53,0,0,
06/17/2026,11:36:34:681,0.000000,0.000000,2,-47.41,-47.41,0,0,
06/17/2026,11:36:34:703,0.000000,0.000000,1,-50.07,-50.07,0,0,
06/17/2026,11:36:34:706,0.000000,0.000000,2,-54.88,-54.88,0,0,
06/17/2026,11:36:34:715,0.000000,0.000000,1,-49.44,-49.44,0,0,
