Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:43:09:762,38.840557,-76.975367,1,-126.55,-126.55,0,0,
06/10/2026,09:43:09:852,38.840557,-76.975367,1,-127.17,-127.17,0,0,
06/10/2026,09:43:09:956,38.840557,-76.975367,1,-126.84,-126.84,0,0,
06/10/2026,09:43:10:113,38.840557,-76.975367,1,-126.43,-126.43,0,0,
06/10/2026,09:43:10:325,38.840557,-76.975367,1,-127.4,-127.4,0,0,
06/10/2026,09:43:10:528,38.840557,-76.975367,1,-125.31,-125.31,0,0,
06/10/2026,09:43:10:745,38.840557,-76.975367,1,-128.1,-128.1,0,0,
06/10/2026,09:43:11:000,38.840557,-76.975367,1,-126.83,-126.83,0,0,
06/10/2026,09:43:11:192,38.840557,-76.975367,1,-127.42,-127.42,0,0,
06/10/2026,09:43:11:367,38.840557,-76.975367,1,-126.93,-126.93,0,0,
06/10/2026,09:43:11:572,38.840557,-76.975367,1,-126.64,-126.64,0,0,
06/10/2026,09:43:11:779,38.840557,-76.975367,1,-127.31,-127.31,0,0,
06/10/2026,09:43:11:991,38.840557,-76.975367,1,-126.9,-126.9,0,0,
06/10/2026,09:43:12:210,38.840557,-76.975367,1,-125.92,-125.92,0,0,
06/10/2026,09:43:12:419,38.840557,-76.975367,1,-126.59,-126.59,0,0,
06/10/2026,09:43:12:768,38.840557,-76.975367,1,-126.71,-126.71,0,0,
06/10/2026,09:43:12:930,38.840557,-76.975367,1,-127.41,-127.41,0,0,
06/10/2026,09:43:13:058,38.840557,-76.975367,1,-128.02,-128.02,0,0,
06/10/2026,09:43:13:256,38.840557,-76.975367,1,-127.09,-127.09,0,0,
06/10/2026,09:43:13:524,38.840557,-76.975367,1,-125.89,-125.89,0,0,
06/10/2026,09:43:13:688,38.840557,-76.975367,1,-126.52,-126.52,0,0,
06/10/2026,09:43:13:878,38.840557,-76.975367,1,-127.72,-127.72,0,0,
06/10/2026,09:43:14:088,38.840557,-76.975367,1,-125.99,-125.99,0,0,
06/10/2026,09:43:14:335,38.840557,-76.975367,1,-126.65,-126.65,0,0,
06/10/2026,09:43:14:674,38.840557,-76.975367,1,-126.9,-126.9,0,0,
06/10/2026,09:43:14:822,38.840557,-76.975367,1,-128.3,-128.3,0,0,
06/10/2026,09:43:14:931,38.840557,-76.975367,1,-127.86,-127.86,0,0,
06/10/2026,09:43:15:325,38.840557,-76.975367,1,-126.87,-126.87,0,0,
06/10/2026,09:43:15:411,38.840557,-76.975367,1,-125.15,-125.15,0,0,
06/10/2026,09:43:15:566,38.840557,-76.975367,1,-126.87,-126.87,0,0,
06/10/2026,09:43:15:766,38.840557,-76.975367,1,-126.07,-126.07,0,0,
06/10/2026,09:43:15:977,38.840557,-76.975367,1,-127.11,-127.11,0,0,
06/10/2026,09:43:16:185,38.840557,-76.975367,1,-126.54,-126.54,0,0,
