Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/17/2026,09:54:40:587,0.000000,0.000000,2,-97.05,-97.05,0,0,
06/17/2026,09:54:40:608,0.000000,0.000000,2,-97.94,-97.94,0,0,
06/17/2026,09:54:40:621,0.000000,0.000000,2,-98.55,-98.55,0,0,
06/17/2026,09:54:40:625,0.000000,0.000000,2,-99.43,-99.43,0,0,
06/17/2026,09:54:40:634,0.000000,0.000000,2,-100.61,-100.61,0,0,
06/17/2026,09:54:40:659,0.000000,0.000000,2,-101.31,-101.31,0,0,
06/17/2026,09:54:40:669,0.000000,0.000000,2,-101.96,-101.96,0,0,
06/17/2026,09:54:40:671,0.000000,0.000000,2,-103.33,-103.33,0,0,
06/17/2026,09:54:40:674,0.000000,0.000000,3,-88.97,-88.97,0,0,
06/17/2026,09:54:40:681,0.000000,0.000000,2,-103.79,-103.79,0,0,
06/17/2026,09:54:40:683,0.000000,0.000000,3,-89.71,-89.71,0,0,
06/17/2026,09:54:40:686,0.000000,0.000000,2,-102.15,-102.15,0,0,
06/17/2026,09:54:40:696,0.000000,0.000000,3,-89.42,-89.42,0,0,
06/17/2026,09:54:40:712,0.000000,0.000000,2,-101.59,-101.59,0,0,
06/17/2026,09:54:40:720,0.000000,0.000000,3,-91.23,-91.23,0,0,
06/17/2026,09:54:40:739,0.000000,0.000000,2,-100.01,-100.01,0,0,
06/17/2026,09:54:40:747,0.000000,0.000000,3,-92.67,-92.67,0,0,
06/17/2026,09:54:40:750,0.000000,0.000000,2,-99.02,-99.02,0,0,
06/17/2026,09:54:40:764,0.000000,0.000000,3,-92.52,-92.52,0,0,
06/17/2026,09:54:40:774,0.000000,0.000000,2,-98.9,-98.9,0,0,
06/17/2026,09:54:40:789,0.000000,0.000000,3,-96.61,-96.61,0,0,
06/17/2026,09:54:40:795,0.000000,0.000000,2,-98.61,-98.61,0,0,
06/17/2026,09:54:40:805,0.000000,0.000000,3,-93.61,-93.61,0,0,
06/17/2026,09:54:40:830,0.000000,0.000000,2,-99.38,-99.38,0,0,
06/17/2026,09:54:40:831,0.000000,0.000000,3,-93.76,-93.76,0,0,
06/17/2026,09:54:40:837,0.000000,0.000000,2,-100.94,-100.94,0,0,
06/17/2026,09:54:40:850,0.000000,0.000000,3,-93.26,-93.26,0,0,
06/17/2026,09:54:40:861,0.000000,0.000000,2,-102.71,-102.71,0,0,
06/17/2026,09:54:40:922,0.000000,0.000000,3,-92.97,-92.97,0,0,
06/17/2026,09:54:40:939,0.000000,0.000000,2,-105.74,-105.74,0,0,
06/17/2026,09:54:40:961,0.000000,0.000000,3,-91.29,-91.29,0,0,
06/17/2026,09:54:40:972,0.000000,0.000000,2,-109.93,-109.93,0,0,
06/17/2026,09:54:40:976,0.000000,0.000000,3,-94.08,-94.08,0,0,
06/17/2026,09:54:40:979,0.000000,0.000000,2,-112.8,-112.8,0,0,
06/17/2026,09:54:40:991,0.000000,0.000000,3,-94.28,-94.28,0,0,
06/17/2026,09:54:40:995,0.000000,0.000000,2,-107.3,-107.3,0,0,
06/17/2026,09:54:41:002,0.000000,0.000000,3,-94.14,-94.14,0,0,
06/17/2026,09:54:41:007,0.000000,0.000000,2,-103.15,-103.15,0,0,
06/17/2026,09:54:41:014,0.000000,0.000000,3,-96.48,-96.48,0,0,
06/17/2026,09:54:41:025,0.000000,0.000000,2,-99.9,-99.9,0,0,
06/17/2026,09:54:41:032,0.000000,0.000000,3,-97.85,-97.85,0,0,
06/17/2026,09:54:41:033,0.000000,0.000000,2,-97.68,-97.68,0,0,
06/17/2026,09:54:41:036,0.000000,0.000000,3,-99.51,-99.51,0,0,
06/17/2026,09:54:41:039,0.000000,0.000000,2,-96.28,-96.28,0,0,
06/17/2026,09:54:41:067,0.000000,0.000000,3,-98.39,-98.39,0,0,
06/17/2026,09:54:41:081,0.000000,0.000000,2,-95.4,-95.4,0,0,
06/17/2026,09:54:41:083,0.000000,0.000000,3,-96.37,-96.37,0,0,
06/17/2026,09:54:41:087,0.000000,0.000000,2,-95.55,-95.55,0,0,
06/17/2026,09:54:41:091,0.000000,0.000000,3,-95.38,-95.38,0,0,
06/17/2026,09:54:41:105,0.000000,0.000000,2,-96.47,-96.47,0,0,
06/17/2026,09:54:41:113,0.000000,0.000000,3,-94.32,-94.32,0,0,
06/17/2026,09:54:41:124,0.000000,0.000000,2,-97.69,-97.69,0,0,
06/17/2026,09:54:41:146,0.000000,0.000000,3,-93.65,-93.65,0,0,
06/17/2026,09:54:41:165,0.000000,0.000000,2,-100.34,-100.34,0,0,
06/17/2026,09:54:41:171,0.000000,0.000000,3,-93.22,-93.22,0,0,
06/17/2026,09:54:41:176,0.000000,0.000000,2,-103.38,-103.38,0,0,
06/17/2026,09:54:41:180,0.000000,0.000000,3,-93.98,-93.98,0,0,
06/17/2026,09:54:41:188,0.000000,0.000000,2,-106.77,-106.77,0,0,
06/17/2026,09:54:41:201,0.000000,0.000000,3,-93.74,-93.74,0,0,
