Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:47:40:550,38.840557,-76.975367,1,-122.19,-122.19,0,0,
06/10/2026,09:47:40:616,38.840557,-76.975367,2,-115.67,-115.67,0,0,
06/10/2026,09:47:40:665,38.840557,-76.975367,1,-119.5,-119.5,0,0,
06/10/2026,09:47:40:674,38.840557,-76.975367,3,-125.61,-125.61,0,0,
06/10/2026,09:47:40:772,38.840557,-76.975367,2,-121.65,-121.65,0,0,
06/10/2026,09:47:40:824,38.840557,-76.975367,1,-120.24,-120.24,0,0,
06/10/2026,09:47:40:829,38.840557,-76.975367,4,-123.57,-123.57,0,0,
06/10/2026,09:47:40:879,38.840557,-76.975367,3,-122.15,-122.15,0,0,
06/10/2026,09:47:41:046,38.840557,-76.975367,2,-121.35,-121.35,0,0,
06/10/2026,09:47:41:189,38.840557,-76.975367,1,-119.28,-119.28,0,0,
06/10/2026,09:47:41:194,38.840557,-76.975367,4,-121.11,-121.11,0,0,
06/10/2026,09:47:41:207,38.840557,-76.975367,3,-115.49,-115.49,0,0,
06/10/2026,09:47:41:278,38.840557,-76.975367,2,-124.21,-124.21,0,0,
06/10/2026,09:47:41:305,38.840557,-76.975367,1,-112.2,-112.2,0,0,
06/10/2026,09:47:41:320,38.840557,-76.975367,4,-113.87,-113.87,0,0,
06/10/2026,09:47:41:350,38.840557,-76.975367,3,-121.57,-121.57,0,0,
06/10/2026,09:47:41:381,38.840557,-76.975367,2,-121.47,-121.47,0,0,
06/10/2026,09:47:41:440,38.840557,-76.975367,1,-121.77,-121.77,0,0,
06/10/2026,09:47:41:442,38.840557,-76.975367,4,-120.08,-120.08,0,0,
06/10/2026,09:47:41:471,38.840557,-76.975367,3,-124.1,-124.1,0,0,
06/10/2026,09:47:41:522,38.840557,-76.975367,2,-121.19,-121.19,0,0,
06/10/2026,09:47:41:586,38.840557,-76.975367,1,-120.51,-120.51,0,0,
06/10/2026,09:47:41:599,38.840557,-76.975367,4,-120.97,-120.97,0,0,
06/10/2026,09:47:41:639,38.840557,-76.975367,3,-122.35,-122.35,0,0,
06/10/2026,09:47:41:701,38.840557,-76.975367,2,-123.11,-123.11,0,0,
06/10/2026,09:47:41:811,38.840557,-76.975367,1,-120.92,-120.92,0,0,
06/10/2026,09:47:41:847,38.840557,-76.975367,4,-123.06,-123.06,0,0,
06/10/2026,09:47:41:858,38.840557,-76.975367,3,-124.8,-124.8,0,0,
06/10/2026,09:47:41:927,38.840557,-76.975367,2,-123.6,-123.6,0,0,
06/10/2026,09:47:42:000,38.840557,-76.975367,1,-120.17,-120.17,0,0,
06/10/2026,09:47:42:007,38.840557,-76.975367,4,-122.4,-122.4,0,0,
06/10/2026,09:47:42:033,38.840557,-76.975367,3,-123.17,-123.17,0,0,
06/10/2026,09:47:42:082,38.840557,-76.975367,2,-120.15,-120.15,0,0,
06/10/2026,09:47:42:122,38.840557,-76.975367,1,-122.84,-122.84,0,0,
06/10/2026,09:47:42:146,38.840557,-76.975367,4,-119.36,-119.36,0,0,
06/10/2026,09:47:42:165,38.840557,-76.975367,3,-117.58,-117.58,0,0,
06/10/2026,09:47:42:256,38.840557,-76.975367,2,-121.84,-121.84,0,0,
06/10/2026,09:47:42:299,38.840557,-76.975367,1,-120.9,-120.9,0,0,
06/10/2026,09:47:42:303,38.840557,-76.975367,4,-121.66,-121.66,0,0,
06/10/2026,09:47:42:338,38.840557,-76.975367,3,-122.61,-122.61,0,0,
06/10/2026,09:47:42:441,38.840557,-76.975367,2,-123.23,-123.23,0,0,
06/10/2026,09:47:42:543,38.840557,-76.975367,1,-122.86,-122.86,0,0,
06/10/2026,09:47:42:549,38.840557,-76.975367,4,-116.84,-116.84,0,0,
06/10/2026,09:47:42:585,38.840557,-76.975367,3,-114.13,-114.13,0,0,
06/10/2026,09:47:42:638,38.840557,-76.975367,2,-121.21,-121.21,0,0,
06/10/2026,09:47:42:763,38.840557,-76.975367,1,-121.5,-121.5,0,0,
06/10/2026,09:47:42:792,38.840557,-76.975367,4,-122.86,-122.86,0,0,
06/10/2026,09:47:42:806,38.840557,-76.975367,3,-121,-121,0,0,
06/10/2026,09:47:42:855,38.840557,-76.975367,2,-121.73,-121.73,0,0,
06/10/2026,09:47:42:962,38.840557,-76.975367,1,-122.08,-122.08,0,0,
06/10/2026,09:47:42:966,38.840557,-76.975367,4,-122.85,-122.85,0,0,
