Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/17/2026,10:57:26:847,0.000000,0.000000,1,-38.78,-38.78,0,0,
06/17/2026,10:57:26:853,0.000000,0.000000,1,-38.9,-38.9,0,0,
06/17/2026,10:57:26:869,0.000000,0.000000,1,-39.79,-39.79,0,0,
06/17/2026,10:57:26:876,0.000000,0.000000,1,-44.88,-44.88,0,0,
06/17/2026,10:57:26:886,0.000000,0.000000,1,-46.54,-46.54,0,0,
06/17/2026,10:57:26:900,0.000000,0.000000,1,-43.91,-43.91,0,0,
06/17/2026,10:57:26:910,0.000000,0.000000,1,-43.66,-43.66,0,0,
06/17/2026,10:57:26:934,0.000000,0.000000,1,-49.34,-49.34,0,0,
06/17/2026,10:57:26:936,0.000000,0.000000,2,-42.66,-42.66,0,0,
06/17/2026,10:57:26:940,0.000000,0.000000,1,-47.35,-47.35,0,0,
06/17/2026,10:57:26:953,0.000000,0.000000,2,-47.99,-47.99,0,0,
06/17/2026,10:57:26:964,0.000000,0.000000,1,-50.99,-50.99,0,0,
06/17/2026,10:57:26:972,0.000000,0.000000,2,-47.6,-47.6,0,0,
06/17/2026,10:57:26:984,0.000000,0.000000,1,-41.22,-41.22,0,0,
06/17/2026,10:57:26:997,0.000000,0.000000,2,-50.84,-50.84,0,0,
06/17/2026,10:57:27:007,0.000000,0.000000,1,-38.29,-38.29,0,0,
06/17/2026,10:57:27:021,0.000000,0.000000,2,-37.77,-37.77,0,0,
06/17/2026,10:57:27:028,0.000000,0.000000,1,-46.51,-46.51,0,0,
06/17/2026,10:57:27:039,0.000000,0.000000,2,-40.09,-40.09,0,0,
06/17/2026,10:57:27:058,0.000000,0.000000,1,-43.78,-43.78,0,0,
06/17/2026,10:57:27:065,0.000000,0.000000,2,-39.13,-39.13,0,0,
06/17/2026,10:57:27:071,0.000000,0.000000,1,-38.05,-38.05,0,0,
06/17/2026,10:57:27:095,0.000000,0.000000,2,-35.5,-35.5,0,0,
06/17/2026,10:57:27:096,0.000000,0.000000,1,-44.08,-44.08,0,0,
06/17/2026,10:57:27:107,0.000000,0.000000,2,-35.77,-35.77,0,0,
06/17/2026,10:57:27:126,0.000000,0.000000,1,-53.9,-53.9,0,0,
06/17/2026,10:57:27:135,0.000000,0.000000,2,-39.56,-39.56,0,0,
06/17/2026,10:57:27:139,0.000000,0.000000,1,-41.14,-41.14,0,0,
06/17/2026,10:57:27:149,0.000000,0.000000,2,-36.63,-36.63,0,0,
06/17/2026,10:57:27:163,0.000000,0.000000,1,-46.74,-46.74,0,0,
06/17/2026,10:57:27:179,0.000000,0.000000,2,-42.2,-42.2,0,0,
06/17/2026,10:57:27:181,0.000000,0.000000,1,-43.93,-43.93,0,0,
06/17/2026,10:57:27:193,0.000000,0.000000,2,-39.09,-39.09,0,0,
06/17/2026,10:57:27:211,0.000000,0.000000,1,-37.45,-37.45,0,0,
06/17/2026,10:57:27:213,0.000000,0.000000,2,-37.79,-37.79,0,0,
06/17/2026,10:57:27:231,0.000000,0.000000,1,-42.13,-42.13,0,0,
06/17/2026,10:57:27:248,0.000000,0.000000,2,-35.47,-35.47,0,0,
06/17/2026,10:57:27:251,0.000000,0.000000,1,-44.66,-44.66,0,0,
06/17/2026,10:57:27:263,0.000000,0.000000,2,-40.1,-40.1,0,0,
06/17/2026,10:57:27:268,0.000000,0.000000,1,-37.24,-37.24,0,0,
06/17/2026,10:57:27:283,0.000000,0.000000,2,-44.62,-44.62,0,0,
06/17/2026,10:57:27:291,0.000000,0.000000,1,-39.99,-39.99,0,0,
06/17/2026,10:57:27:306,0.000000,0.000000,2,-37.02,-37.02,0,0,
06/17/2026,10:57:27:313,0.000000,0.000000,1,-37.11,-37.11,0,0,
06/17/2026,10:57:27:326,0.000000,0.000000,2,-35.5,-35.5,0,0,
06/17/2026,10:57:27:337,0.000000,0.000000,1,-38.26,-38.26,0,0,
06/17/2026,10:57:27:350,0.000000,0.000000,2,-35.44,-35.44,0,0,
06/17/2026,10:57:27:359,0.000000,0.000000,1,-41.95,-41.95,0,0,
06/17/2026,10:57:27:373,0.000000,0.000000,2,-44.42,-44.42,0,0,
06/17/2026,10:57:27:381,0.000000,0.000000,1,-37.99,-37.99,0,0,
06/17/2026,10:57:27:395,0.000000,0.000000,2,-48.59,-48.59,0,0,
06/17/2026,10:57:27:401,0.000000,0.000000,1,-37.74,-37.74,0,0,
06/17/2026,10:57:27:412,0.000000,0.000000,2,-55.17,-55.17,0,0,
06/17/2026,10:57:27:424,0.000000,0.000000,1,-47.61,-47.61,0,0,
06/17/2026,10:57:27:442,0.000000,0.000000,2,-51.1,-51.1,0,0,
06/17/2026,10:57:27:453,0.000000,0.000000,1,-49.07,-49.07,0,0,
06/17/2026,10:57:27:455,0.000000,0.000000,2,-46.62,-46.62,0,0,
06/17/2026,10:57:27:480,0.000000,0.000000,1,-45.01,-45.01,0,0,
06/17/2026,10:57:27:495,0.000000,0.000000,2,-48.73,-48.73,0,0,
06/17/2026,10:57:27:499,0.000000,0.000000,1,-41.4,-41.4,0,0,
06/17/2026,10:57:27:502,0.000000,0.000000,2,-44.08,-44.08,0,0,
06/17/2026,10:57:27:524,0.000000,0.000000,1,-46.38,-46.38,0,0,
06/17/2026,10:57:27:529,0.000000,0.000000,2,-49.06,-49.06,0,0,
06/17/2026,10:57:27:533,0.000000,0.000000,1,-42.92,-42.92,0,0,
06/17/2026,10:57:27:545,0.000000,0.000000,2,-34.33,-34.33,0,0,
06/17/2026,10:57:27:563,0.000000,0.000000,1,-46.61,-46.61,0,0,
06/17/2026,10:57:27:570,0.000000,0.000000,2,-36.19,-36.19,0,0,
06/17/2026,10:57:27:577,0.000000,0.000000,1,-42.25,-42.25,0,0,
06/17/2026,10:57:27:590,0.000000,0.000000,2,-51.3,-51.3,0,0,
06/17/2026,10:57:27:604,0.000000,0.000000,1,-40.72,-40.72,0,0,
06/17/2026,10:57:27:609,0.000000,0.000000,2,-43.92,-43.92,0,0,
06/17/2026,10:57:27:621,0.000000,0.000000,1,-46.35,-46.35,0,0,
06/17/2026,10:57:27:633,0.000000,0.000000,2,-44.27,-44.27,0,0,
06/17/2026,10:57:27:645,0.000000,0.000000,1,-40.64,-40.64,0,0,
06/17/2026,10:57:27:655,0.000000,0.000000,2,-36.87,-36.87,0,0,
06/17/2026,10:57:27:667,0.000000,0.000000,1,-37.7,-37.7,0,0,
06/17/2026,10:57:27:680,0.000000,0.000000,2,-45.8,-45.8,0,0,
06/17/2026,10:57:27:687,0.000000,0.000000,1,-44.04,-44.04,0,0,
06/17/2026,10:57:27:704,0.000000,0.000000,2,-60.54,-60.54,0,0,
06/17/2026,10:57:27:707,0.000000,0.000000,1,-46.32,-46.32,0,0,
06/17/2026,10:57:27:735,0.000000,0.000000,2,-52.71,-52.71,0,0,
06/17/2026,10:57:27:738,0.000000,0.000000,1,-38.31,-38.31,0,0,
06/17/2026,10:57:27:748,0.000000,0.000000,2,-34.13,-34.13,0,0,
06/17/2026,10:57:27:755,0.000000,0.000000,1,-44.34,-44.34,0,0,
06/17/2026,10:57:27:778,0.000000,0.000000,2,-35.27,-35.27,0,0,
06/17/2026,10:57:27:785,0.000000,0.000000,1,-46.32,-46.32,0,0,
06/17/2026,10:57:27:801,0.000000,0.000000,2,-37.53,-37.53,0,0,
06/17/2026,10:57:27:804,0.000000,0.000000,1,-36.85,-36.85,0,0,
06/17/2026,10:57:27:807,0.000000,0.000000,2,-36.91,-36.91,0,0,
06/17/2026,10:57:27:818,0.000000,0.000000,1,-38.03,-38.03,0,0,
06/17/2026,10:57:27:836,0.000000,0.000000,2,-40.45,-40.45,0,0,
06/17/2026,10:57:27:844,0.000000,0.000000,1,-40.24,-40.24,0,0,
06/17/2026,10:57:27:862,0.000000,0.000000,2,-43.22,-43.22,0,0,
06/17/2026,10:57:27:868,0.000000,0.000000,1,-38.02,-38.02,0,0,
06/17/2026,10:57:27:873,0.000000,0.000000,2,-34.51,-34.51,0,0,
06/17/2026,10:57:27:905,0.000000,0.000000,1,-37.98,-37.98,0,0,
