Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:38:39:751,38.840557,-76.975367,1,-126.82,-126.82,0,0,
06/10/2026,09:38:39:890,38.840557,-76.975367,1,-127.06,-127.06,0,0,
06/10/2026,09:38:39:951,38.840557,-76.975367,1,-126.65,-126.65,0,0,
06/10/2026,09:38:40:132,38.840557,-76.975367,1,-126.93,-126.93,0,0,
06/10/2026,09:38:40:262,38.840557,-76.975367,1,-126.9,-126.9,0,0,
06/10/2026,09:38:40:611,38.840557,-76.975367,1,-127.89,-127.89,0,0,
06/10/2026,09:38:40:936,38.840557,-76.975367,1,-126.53,-126.53,0,0,
06/10/2026,09:38:41:120,38.840557,-76.975367,1,-126.54,-126.54,0,0,
06/10/2026,09:38:41:259,38.840557,-76.975367,1,-127.66,-127.66,0,0,
06/10/2026,09:38:41:375,38.840557,-76.975367,1,-127.27,-127.27,0,0,
06/10/2026,09:38:41:494,38.840557,-76.975367,1,-125.66,-125.66,0,0,
06/10/2026,09:38:41:775,38.840557,-76.975367,1,-126.03,-126.03,0,0,
06/10/2026,09:38:41:885,38.840557,-76.975367,1,-126.82,-126.82,0,0,
06/10/2026,09:38:42:095,38.840557,-76.975367,1,-126.42,-126.42,0,0,
06/10/2026,09:38:42:538,38.840557,-76.975367,1,-127.65,-127.65,0,0,
06/10/2026,09:38:42:831,38.840557,-76.975367,1,-126.41,-126.41,0,0,
06/10/2026,09:38:43:170,38.840557,-76.975367,1,-127.41,-127.41,0,0,
06/10/2026,09:38:43:454,38.840557,-76.975367,1,-126.17,-126.17,0,0,
06/10/2026,09:38:43:729,38.840557,-76.975367,1,-127.53,-127.53,0,0,
06/10/2026,09:38:44:052,38.840557,-76.975367,1,-126.25,-126.25,0,0,
06/10/2026,09:38:44:485,38.840557,-76.975367,1,-125.75,-125.75,0,0,
06/10/2026,09:38:44:741,38.840557,-76.975367,1,-126.72,-126.72,0,0,
06/10/2026,09:38:45:102,38.840557,-76.975367,1,-125.45,-125.45,0,0,
06/10/2026,09:38:45:285,38.840557,-76.975367,1,-125.94,-125.94,0,0,
06/10/2026,09:38:46:357,38.840557,-76.975367,1,-126.94,-126.94,0,0,
06/10/2026,09:38:46:543,38.840557,-76.975367,1,-126.18,-126.18,0,0,
06/10/2026,09:38:46:777,38.840557,-76.975367,1,-125.99,-125.99,0,0,
06/10/2026,09:38:46:985,38.840557,-76.975367,1,-126.07,-126.07,0,0,
