Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/17/2026,09:42:11:932,0.000000,0.000000,2,-80.09,-80.09,0,0,
06/17/2026,09:42:11:935,0.000000,0.000000,2,-78.47,-78.47,0,0,
06/17/2026,09:42:11:956,0.000000,0.000000,2,-77.89,-77.89,0,0,
06/17/2026,09:42:11:968,0.000000,0.000000,2,-78.58,-78.58,0,0,
06/17/2026,09:42:11:975,0.000000,0.000000,2,-80.28,-80.28,0,0,
06/17/2026,09:42:11:987,0.000000,0.000000,2,-80.83,-80.83,0,0,
06/17/2026,09:42:11:991,0.000000,0.000000,2,-79.42,-79.42,0,0,
06/17/2026,09:42:12:003,0.000000,0.000000,3,-79.29,-79.29,0,0,
06/17/2026,09:42:12:022,0.000000,0.000000,2,-77.21,-77.21,0,0,
06/17/2026,09:42:12:029,0.000000,0.000000,3,-80.19,-80.19,0,0,
06/17/2026,09:42:12:033,0.000000,0.000000,2,-76.29,-76.29,0,0,
06/17/2026,09:42:12:045,0.000000,0.000000,3,-80.35,-80.35,0,0,
06/17/2026,09:42:12:057,0.000000,0.000000,2,-76.94,-76.94,0,0,
06/17/2026,09:42:12:072,0.000000,0.000000,3,-79.14,-79.14,0,0,
06/17/2026,09:42:12:077,0.000000,0.000000,2,-78.02,-78.02,0,0,
06/17/2026,09:42:12:088,0.000000,0.000000,3,-79.96,-79.96,0,0,
06/17/2026,09:42:12:100,0.000000,0.000000,2,-78.21,-78.21,0,0,
06/17/2026,09:42:12:110,0.000000,0.000000,3,-77.73,-77.73,0,0,
06/17/2026,09:42:12:121,0.000000,0.000000,2,-79,-79,0,0,
06/17/2026,09:42:12:135,0.000000,0.000000,3,-78.7,-78.7,0,0,
06/17/2026,09:42:12:148,0.000000,0.000000,2,-76.87,-76.87,0,0,
06/17/2026,09:42:12:156,0.000000,0.000000,3,-78.47,-78.47,0,0,
06/17/2026,09:42:12:175,0.000000,0.000000,2,-77.2,-77.2,0,0,
06/17/2026,09:42:12:181,0.000000,0.000000,3,-79.52,-79.52,0,0,
06/17/2026,09:42:12:202,0.000000,0.000000,2,-78.04,-78.04,0,0,
06/17/2026,09:42:12:204,0.000000,0.000000,3,-77.82,-77.82,0,0,
06/17/2026,09:42:12:208,0.000000,0.000000,2,-77.24,-77.24,0,0,
06/17/2026,09:42:12:219,0.000000,0.000000,3,-77.95,-77.95,0,0,
06/17/2026,09:42:12:231,0.000000,0.000000,2,-77.36,-77.36,0,0,
06/17/2026,09:42:12:243,0.000000,0.000000,3,-79.4,-79.4,0,0,
06/17/2026,09:42:12:266,0.000000,0.000000,2,-76.13,-76.13,0,0,
06/17/2026,09:42:12:270,0.000000,0.000000,3,-78.27,-78.27,0,0,
06/17/2026,09:42:12:274,0.000000,0.000000,2,-77.74,-77.74,0,0,
06/17/2026,09:42:12:293,0.000000,0.000000,3,-81.17,-81.17,0,0,
06/17/2026,09:42:12:299,0.000000,0.000000,2,-80.63,-80.63,0,0,
06/17/2026,09:42:12:307,0.000000,0.000000,3,-80.82,-80.82,0,0,
06/17/2026,09:42:12:318,0.000000,0.000000,2,-79.7,-79.7,0,0,
06/17/2026,09:42:12:331,0.000000,0.000000,3,-82.42,-82.42,0,0,
06/17/2026,09:42:12:340,0.000000,0.000000,2,-80.25,-80.25,0,0,
06/17/2026,09:42:12:352,0.000000,0.000000,3,-81.55,-81.55,0,0,
06/17/2026,09:42:12:363,0.000000,0.000000,2,-81.02,-81.02,0,0,
06/17/2026,09:42:12:376,0.000000,0.000000,3,-82.18,-82.18,0,0,
06/17/2026,09:42:12:386,0.000000,0.000000,2,-82.33,-82.33,0,0,
06/17/2026,09:42:12:396,0.000000,0.000000,3,-85.42,-85.42,0,0,
06/17/2026,09:42:12:408,0.000000,0.000000,2,-84.87,-84.87,0,0,
06/17/2026,09:42:12:421,0.000000,0.000000,3,-84.34,-84.34,0,0,
06/17/2026,09:42:12:432,0.000000,0.000000,2,-89.73,-89.73,0,0,
06/17/2026,09:42:12:440,0.000000,0.000000,3,-84.8,-84.8,0,0,
06/17/2026,09:42:12:451,0.000000,0.000000,2,-103.55,-103.55,0,0,
06/17/2026,09:42:12:474,0.000000,0.000000,3,-83.56,-83.56,0,0,
06/17/2026,09:42:12:479,0.000000,0.000000,2,-90.17,-90.17,0,0,
06/17/2026,09:42:12:483,0.000000,0.000000,3,-83.66,-83.66,0,0,
06/17/2026,09:42:12:494,0.000000,0.000000,2,-80.86,-80.86,0,0,
06/17/2026,09:42:12:507,0.000000,0.000000,3,-83.69,-83.69,0,0,
06/17/2026,09:42:12:519,0.000000,0.000000,2,-79.85,-79.85,0,0,
06/17/2026,09:42:12:552,0.000000,0.000000,3,-80.22,-80.22,0,0,
06/17/2026,09:42:12:553,0.000000,0.000000,2,-81.62,-81.62,0,0,
06/17/2026,09:42:12:579,0.000000,0.000000,3,-79.63,-79.63,0,0,
06/17/2026,09:42:12:582,0.000000,0.000000,2,-77.86,-77.86,0,0,
06/17/2026,09:42:12:585,0.000000,0.000000,3,-81.22,-81.22,0,0,
06/17/2026,09:42:12:588,0.000000,0.000000,2,-77.49,-77.49,0,0,
06/17/2026,09:42:12:597,0.000000,0.000000,3,-81.68,-81.68,0,0,
06/17/2026,09:42:12:636,0.000000,0.000000,2,-76.71,-76.71,0,0,
06/17/2026,09:42:12:637,0.000000,0.000000,3,-82.53,-82.53,0,0,
06/17/2026,09:42:12:638,0.000000,0.000000,2,-74.57,-74.57,0,0,
06/17/2026,09:42:12:641,0.000000,0.000000,3,-82.96,-82.96,0,0,
06/17/2026,09:42:12:676,0.000000,0.000000,2,-73.51,-73.51,0,0,
06/17/2026,09:42:12:678,0.000000,0.000000,3,-84.35,-84.35,0,0,
06/17/2026,09:42:12:681,0.000000,0.000000,2,-73.89,-73.89,0,0,
06/17/2026,09:42:12:684,0.000000,0.000000,3,-87.2,-87.2,0,0,
06/17/2026,09:42:12:718,0.000000,0.000000,2,-74.05,-74.05,0,0,
06/17/2026,09:42:12:722,0.000000,0.000000,3,-88.49,-88.49,0,0,
06/17/2026,09:42:12:726,0.000000,0.000000,2,-74.02,-74.02,0,0,
06/17/2026,09:42:12:729,0.000000,0.000000,3,-88.54,-88.54,0,0,
06/17/2026,09:42:12:762,0.000000,0.000000,2,-76.24,-76.24,0,0,
06/17/2026,09:42:12:764,0.000000,0.000000,3,-84.94,-84.94,0,0,
