Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/17/2026,10:56:06:767,0.000000,0.000000,1,-43.42,-43.42,0,0,
06/17/2026,10:56:06:772,0.000000,0.000000,1,-44.91,-44.91,0,0,
06/17/2026,10:56:06:782,0.000000,0.000000,1,-45.76,-45.76,0,0,
06/17/2026,10:56:06:798,0.000000,0.000000,1,-46.3,-46.3,0,0,
06/17/2026,10:56:06:805,0.000000,0.000000,1,-46.31,-46.31,0,0,
06/17/2026,10:56:06:817,0.000000,0.000000,2,-40.16,-40.16,0,0,
06/17/2026,10:56:06:835,0.000000,0.000000,1,-46.66,-46.66,0,0,
06/17/2026,10:56:06:837,0.000000,0.000000,2,-40.63,-40.63,0,0,
06/17/2026,10:56:06:854,0.000000,0.000000,1,-47.17,-47.17,0,0,
06/17/2026,10:56:06:874,0.000000,0.000000,2,-41.31,-41.31,0,0,
06/17/2026,10:56:06:882,0.000000,0.000000,1,-45.53,-45.53,0,0,
06/17/2026,10:56:06:896,0.000000,0.000000,2,-41.69,-41.69,0,0,
06/17/2026,10:56:06:907,0.000000,0.000000,1,-46.13,-46.13,0,0,
06/17/2026,10:56:06:914,0.000000,0.000000,2,-41.18,-41.18,0,0,
06/17/2026,10:56:06:927,0.000000,0.000000,1,-46.5,-46.5,0,0,
06/17/2026,10:56:06:939,0.000000,0.000000,2,-41.33,-41.33,0,0,
06/17/2026,10:56:06:946,0.000000,0.000000,1,-48.51,-48.51,0,0,
06/17/2026,10:56:06:960,0.000000,0.000000,2,-41.09,-41.09,0,0,
06/17/2026,10:56:06:972,0.000000,0.000000,1,-45.27,-45.27,0,0,
06/17/2026,10:56:06:985,0.000000,0.000000,2,-41.08,-41.08,0,0,
06/17/2026,10:56:06:995,0.000000,0.000000,1,-46.37,-46.37,0,0,
06/17/2026,10:56:07:002,0.000000,0.000000,2,-41.31,-41.31,0,0,
06/17/2026,10:56:07:017,0.000000,0.000000,1,-46.6,-46.6,0,0,
06/17/2026,10:56:07:028,0.000000,0.000000,2,-41.45,-41.45,0,0,
06/17/2026,10:56:07:036,0.000000,0.000000,1,-46.72,-46.72,0,0,
06/17/2026,10:56:07:047,0.000000,0.000000,2,-41.66,-41.66,0,0,
06/17/2026,10:56:07:056,0.000000,0.000000,1,-46.72,-46.72,0,0,
06/17/2026,10:56:07:078,0.000000,0.000000,2,-42.29,-42.29,0,0,
06/17/2026,10:56:07:081,0.000000,0.000000,1,-46.01,-46.01,0,0,
06/17/2026,10:56:07:093,0.000000,0.000000,2,-40.48,-40.48,0,0,
06/17/2026,10:56:07:101,0.000000,0.000000,1,-46.4,-46.4,0,0,
06/17/2026,10:56:07:115,0.000000,0.000000,2,-40.68,-40.68,0,0,
06/17/2026,10:56:07:123,0.000000,0.000000,1,-47,-47,0,0,
06/17/2026,10:56:07:142,0.000000,0.000000,2,-41.44,-41.44,0,0,
06/17/2026,10:56:07:153,0.000000,0.000000,1,-48.29,-48.29,0,0,
06/17/2026,10:56:07:157,0.000000,0.000000,2,-42.52,-42.52,0,0,
06/17/2026,10:56:07:169,0.000000,0.000000,1,-45.29,-45.29,0,0,
06/17/2026,10:56:07:177,0.000000,0.000000,2,-39.53,-39.53,0,0,
06/17/2026,10:56:07:207,0.000000,0.000000,1,-46.54,-46.54,0,0,
06/17/2026,10:56:07:211,0.000000,0.000000,2,-40.72,-40.72,0,0,
06/17/2026,10:56:07:219,0.000000,0.000000,1,-47.15,-47.15,0,0,
06/17/2026,10:56:07:227,0.000000,0.000000,2,-41.33,-41.33,0,0,
06/17/2026,10:56:07:238,0.000000,0.000000,1,-46.32,-46.32,0,0,
06/17/2026,10:56:07:242,0.000000,0.000000,2,-41.29,-41.29,0,0,
06/17/2026,10:56:07:258,0.000000,0.000000,1,-46.34,-46.34,0,0,
06/17/2026,10:56:07:272,0.000000,0.000000,2,-41.39,-41.39,0,0,
06/17/2026,10:56:07:304,0.000000,0.000000,1,-46.62,-46.62,0,0,
06/17/2026,10:56:07:312,0.000000,0.000000,2,-41.73,-41.73,0,0,
