Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:37:18:922,38.840557,-76.975367,1,-111.42,-111.42,0,0,
06/10/2026,09:37:18:937,38.840557,-76.975367,1,-111.3,-111.3,0,0,
06/10/2026,09:37:18:953,38.840557,-76.975367,1,-111.51,-111.51,0,0,
06/10/2026,09:37:19:047,38.840557,-76.975367,1,-111.71,-111.71,0,0,
06/10/2026,09:37:19:050,38.840557,-76.975367,1,-111.89,-111.89,0,0,
06/10/2026,09:37:19:055,38.840557,-76.975367,2,-117.77,-117.77,0,0,
06/10/2026,09:37:19:058,38.840557,-76.975367,1,-112.87,-112.87,0,0,
06/10/2026,09:37:19:061,38.840557,-76.975367,3,-126.9,-126.9,0,0,
06/10/2026,09:37:19:086,38.840557,-76.975367,2,-118.31,-118.31,0,0,
06/10/2026,09:37:19:095,38.840557,-76.975367,1,-117.19,-117.19,0,0,
06/10/2026,09:37:19:100,38.840557,-76.975367,3,-126.06,-126.06,0,0,
06/10/2026,09:37:19:129,38.840557,-76.975367,2,-117.17,-117.17,0,0,
06/10/2026,09:37:19:133,38.840557,-76.975367,1,-118,-118,0,0,
06/10/2026,09:37:19:161,38.840557,-76.975367,3,-126.85,-126.85,0,0,
06/10/2026,09:37:19:183,38.840557,-76.975367,2,-116.29,-116.29,0,0,
06/10/2026,09:37:19:206,38.840557,-76.975367,1,-114.1,-114.1,0,0,
06/10/2026,09:37:19:276,38.840557,-76.975367,3,-125.46,-125.46,0,0,
06/10/2026,09:37:19:291,38.840557,-76.975367,2,-117.34,-117.34,0,0,
06/10/2026,09:37:19:316,38.840557,-76.975367,1,-118.14,-118.14,0,0,
06/10/2026,09:37:19:380,38.840557,-76.975367,3,-126.53,-126.53,0,0,
06/10/2026,09:37:19:443,38.840557,-76.975367,2,-121.44,-121.44,0,0,
06/10/2026,09:37:19:469,38.840557,-76.975367,1,-113.18,-113.18,0,0,
06/10/2026,09:37:19:528,38.840557,-76.975367,3,-125.93,-125.93,0,0,
06/10/2026,09:37:19:564,38.840557,-76.975367,2,-118.3,-118.3,0,0,
