Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,09:03:17:440,0.000000,0.000000,1,-111.66,-111.66,0,0,
08/27/2026,09:03:17:507,0.000000,0.000000,2,-121.03,-121.03,0,0,
08/27/2026,09:03:17:594,0.000000,0.000000,3,-121.27,-121.27,0,0,
08/27/2026,09:03:17:623,0.000000,0.000000,1,-121.62,-121.62,0,0,
08/27/2026,09:03:17:703,0.000000,0.000000,4,-71.61,-71.61,0,0,
08/27/2026,09:03:17:713,0.000000,0.000000,2,-121.58,-121.58,0,0,
08/27/2026,09:03:17:841,0.000000,0.000000,3,-122.24,-122.24,0,0,
08/27/2026,09:03:17:907,0.000000,0.000000,1,-118.91,-118.91,0,0,
08/27/2026,09:03:17:958,0.000000,0.000000,4,-70.84,-70.84,0,0,
08/27/2026,09:03:17:994,0.000000,0.000000,2,-122.96,-122.96,0,0,
08/27/2026,09:03:18:126,0.000000,0.000000,3,-124.34,-124.34,0,0,
08/27/2026,09:03:18:189,0.000000,0.000000,1,-120.59,-120.59,0,0,
08/27/2026,09:03:18:238,0.000000,0.000000,4,-67.66,-67.66,0,0,
08/27/2026,09:03:18:274,0.000000,0.000000,2,-123.52,-123.52,0,0,
08/27/2026,09:03:18:391,0.000000,0.000000,3,-123.97,-123.97,0,0,
08/27/2026,09:03:18:475,0.000000,0.000000,1,-109.76,-109.76,0,0,
08/27/2026,09:03:18:524,0.000000,0.000000,4,-68.35,-68.35,0,0,
08/27/2026,09:03:18:572,0.000000,0.000000,2,-121.72,-121.72,0,0,
08/27/2026,09:03:18:678,0.000000,0.000000,3,-121.88,-121.88,0,0,
08/27/2026,09:03:18:757,0.000000,0.000000,1,-122.83,-122.83,0,0,
08/27/2026,09:03:18:808,0.000000,0.000000,4,-69.63,-69.63,0,0,
08/27/2026,09:03:18:833,0.000000,0.000000,2,-122.66,-122.66,0,0,
08/27/2026,09:03:18:980,0.000000,0.000000,3,-122.52,-122.52,0,0,
08/27/2026,09:03:19:031,0.000000,0.000000,1,-118.72,-118.72,0,0,
08/27/2026,09:03:19:079,0.000000,0.000000,4,-66.79,-66.79,0,0,
08/27/2026,09:03:19:118,0.000000,0.000000,2,-121.29,-121.29,0,0,
08/27/2026,09:03:19:265,0.000000,0.000000,3,-122.59,-122.59,0,0,
08/27/2026,09:03:19:343,0.000000,0.000000,1,-113.78,-113.78,0,0,
08/27/2026,09:03:19:380,0.000000,0.000000,4,-66.07,-66.07,0,0,
08/27/2026,09:03:19:413,0.000000,0.000000,2,-122.96,-122.96,0,0,
08/27/2026,09:03:19:549,0.000000,0.000000,3,-111.03,-111.03,0,0,
08/27/2026,09:03:19:629,0.000000,0.000000,1,-109.61,-109.61,0,0,
08/27/2026,09:03:19:701,0.000000,0.000000,4,-66.11,-66.11,0,0,
08/27/2026,09:03:19:714,0.000000,0.000000,2,-121.34,-121.34,0,0,
08/27/2026,09:03:19:839,0.000000,0.000000,3,-116.06,-116.06,0,0,
08/27/2026,09:03:19:936,0.000000,0.000000,1,-110.58,-110.58,0,0,
08/27/2026,09:03:19:985,0.000000,0.000000,4,-79.57,-79.57,0,0,
08/27/2026,09:03:20:011,0.000000,0.000000,2,-119.86,-119.86,0,0,
08/27/2026,09:03:20:133,0.000000,0.000000,3,-122.67,-122.67,0,0,
08/27/2026,09:03:20:209,0.000000,0.000000,1,-121.54,-121.54,0,0,
08/27/2026,09:03:20:261,0.000000,0.000000,4,-73.57,-73.57,0,0,
08/27/2026,09:03:20:301,0.000000,0.000000,2,-121.81,-121.81,0,0,
08/27/2026,09:03:20:431,0.000000,0.000000,3,-124.84,-124.84,0,0,
08/27/2026,09:03:20:484,0.000000,0.000000,1,-120.73,-120.73,0,0,
08/27/2026,09:03:20:535,0.000000,0.000000,4,-75.16,-75.16,0,0,
08/27/2026,09:03:20:569,0.000000,0.000000,2,-123.52,-123.52,0,0,
08/27/2026,09:03:20:694,0.000000,0.000000,3,-124.03,-124.03,0,0,
08/27/2026,09:03:20:775,0.000000,0.000000,1,-121.03,-121.03,0,0,
08/27/2026,09:03:20:817,0.000000,0.000000,4,-72.67,-72.67,0,0,
08/27/2026,09:03:20:853,0.000000,0.000000,2,-123.21,-123.21,0,0,
08/27/2026,09:03:20:983,0.000000,0.000000,3,-122.43,-122.43,0,0,
08/27/2026,09:03:21:060,0.000000,0.000000,1,-120.11,-120.11,0,0,
08/27/2026,09:03:21:099,0.000000,0.000000,4,-78.36,-78.36,0,0,
